訓練日期,20151016 - 20160120
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9726062.879999998956919
真實報酬,-273937.120000001043081

夏普值報酬,-0.036093712000000
夏普值風險,0.022945111216212
夏普值,-1.573045851026346

預期報酬,9266.659761917473588
風險,355902.732822177757043
趨勢值,0.026037057058922
找到最佳解世代,6
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AAPL[0](26),HD[9](5),INTC[11](12),JNJ[12](4),JPM[13](14),MCD[15](1),MRK[17](7),MSFT[18](2),PG[21](3),TRV[22](6),UTX[24](16),WMT[28](9),XOM[29](23),
Stock#,AAPL[0](26),HD[9](5),INTC[11](12),JNJ[12](4),JPM[13](14),MCD[15](1),MRK[17](7),MSFT[18](2),PG[21](3),TRV[22](6),UTX[24](16),WMT[28](9),XOM[29](23),
張數,6876,6314,23487,7917,12428,7420,15166,16363,10357,7328,8255,12965,9440,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,80.640000000013970,121.660000000032596,30.750000000000000,93.449999999953434,61.079999999958090,72.800000000046566,10.479999999981374,5.369999999995343,15.609999999986030,83.119999999995343,29.099999999976717,16.550000000046566,58.799999999930151,
20151016,763591.680000000051223,775102.020000000018626,776041.229999999981374,777859.529999999911524,775941.119999999995343,777837.199999999953434,780756.159999999916181,777411.500000000000000,775754.910000000032596,776118.320000000065193,767744.099999999976717,763525.400000000023283,778670.000000000000000,10066363.170000001788139
20151019,768336.119999999995343,777375.059999999939464,788959.080000000074506,775484.429999999934807,773331.239999999990687,775388.599999999976717,779542.880000000004657,779211.429999999934807,778447.729999999981374,779196.079999999958090,759901.849999999976717,763006.800000000046566,764604.399999999906868,10062795.699999999254942
20151020,782363.160000000032596,775796.559999999939464,785436.029999999911524,772713.479999999981374,777059.640000000013970,770565.600000000093132,764225.219999999972060,781665.880000000004657,770887.120000000111759,798468.719999999972060,789372.200000000069849,761710.300000000046566,763093.999999999883585,10093367.910000000149012
20151021,782294.400000000023283,778637.859999999986030,783791.939999999944121,773030.159999999916181,771342.760000000009313,760919.600000000093132,767258.420000000041910,772338.970000000088476,762187.239999999990687,811292.719999999972060,808771.449999999953434,760284.150000000023283,757241.199999999837019,10089400.869999999180436
20151022,794258.640000000013970,785330.700000000069849,807983.549999999930151,788072.459999999962747,785386.399999999906868,822728.200000000069849,788794.139999999897555,785920.260000000009313,775237.059999999939464,823164.079999999958090,823795.550000000046566,763655.050000000046566,782540.399999999906868,10326876.490000000223517
20151023,818874.719999999972060,786909.200000000069849,819727.049999999930151,794247.719999999972060,793837.439999999944121,835490.600000000093132,801988.560000000055879,865117.179999999934807,797815.319999999948777,822870.959999999962747,830647.200000000069849,755876.050000000046566,783390.000000000000000,10506802.000000000000000
20151026,792745.920000000041910,789434.800000000046566,812446.080000000074506,791318.429999999934807,794210.279999999911524,832448.400000000139698,802443.539999999920838,887698.119999999995343,802579.539999999920838,826461.679999999934807,827427.750000000000000,752245.850000000093132,766775.599999999976717,10478245.989999998360872
20151027,787726.439999999944121,786025.239999999990687,809627.640000000013970,793297.679999999934807,790979.000000000000000,828441.600000000093132,810936.500000000000000,878534.839999999967404,800508.140000000013970,831151.599999999976717,816283.499999999883585,745244.750000000000000,765548.399999999906868,10444315.329999998211861
20151028,820181.160000000032596,781921.140000000013970,815264.520000000018626,795593.609999999986030,814095.079999999958090,838087.599999999976717,835657.079999999958090,883280.109999999986030,792429.680000000051223,837380.400000000023283,819915.699999999953434,747319.150000000023283,776781.999999999883585,10557917.230000000447035
20151029,828844.920000000041910,780721.479999999981374,799293.359999999986030,802639.739999999990687,810490.959999999846332,835713.200000000069849,832168.899999999906868,873135.049999999930151,797711.750000000000000,837600.239999999990687,817686.849999999976717,751467.950000000069849,776310.000000000000000,10543794.400000000372529
20151030,821762.640000000013970,780784.619999999995343,795300.569999999948777,799947.959999999962747,798560.079999999958090,832967.800000000046566,828984.039999999920838,861353.690000000060536,791083.269999999902211,827341.040000000037253,812403.649999999906868,742133.150000000023283,781124.399999999906868,10473756.910000000149012
20151102,833314.320000000065193,785646.400000000023283,801172.319999999948777,808973.339999999967404,814592.200000000069849,831929.000000000000000,835808.739999999990687,871171.489999999990687,793361.809999999939464,834522.479999999981374,820493.549999999930151,746930.200000000069849,805101.999999999883585,10583027.849999999627471
20151103,842871.959999999962747,793538.900000000023283,805869.720000000088476,807310.769999999902211,817574.919999999925494,831706.400000000023283,835808.739999999990687,886061.819999999948777,798022.459999999962747,833203.439999999944121,825529.099999999976717,753412.700000000069849,819922.799999999930151,10650843.730000000447035
20151104,838952.640000000013970,791770.979999999981374,802111.799999999930151,807152.429999999934807,818444.879999999888241,834080.800000000046566,842178.459999999962747,890152.569999999948777,798126.030000000027940,836061.359999999986030,828253.250000000000000,756783.599999999976717,811710.000000000000000,10655788.799999998882413
20151105,831526.560000000055879,793917.739999999990687,798588.750000000000000,810240.059999999939464,825777.399999999906868,837419.800000000046566,834898.779999999911524,889825.310000000055879,791186.839999999967404,835255.280000000027940,832133.099999999976717,759895.200000000069849,800665.199999999953434,10641340.019999999552965
20151106,832489.200000000069849,795559.380000000004657,794830.830000000074506,806994.089999999967404,850881.959999999846332,840833.000000000116415,828225.739999999990687,898661.330000000074506,782694.099999999860302,828879.919999999925494,832133.099999999976717,762099.250000000116415,797455.599999999976717,10651747.500000000000000
20151109,829119.959999999962747,786214.660000000032596,783322.200000000069849,798443.729999999981374,837584.000000000000000,838013.400000000139698,822614.320000000065193,886225.449999999953434,780933.410000000032596,826901.359999999986030,822722.399999999906868,758339.400000000023283,773666.799999999930151,10544111.090000001713634
20151110,802991.160000000032596,791013.300000000046566,780034.020000000018626,803273.099999999976717,841188.119999999995343,840165.200000000069849,825495.859999999986030,875589.500000000000000,784765.500000000000000,835841.520000000018626,814632.500000000000000,760802.750000000000000,777442.799999999930151,10533245.330000001937151
20151111,798453.000000000000000,787540.599999999976717,771813.569999999948777,806519.069999999948777,837086.879999999888241,844839.800000000046566,814728.000000000000000,877880.319999999948777,786733.329999999958090,838259.760000000009313,811165.400000000023283,746541.250000000000000,770551.599999999976717,10492122.580000000074506
20151112,795771.359999999986030,781858.000000000000000,761009.549999999930151,793931.039999999920838,820309.079999999958090,831929.000000000000000,804263.459999999962747,872480.530000000027940,773269.229999999981374,823090.800000000046566,819090.199999999953434,738373.300000000046566,749689.199999999953434,10365074.750000000000000
20151113,772530.479999999981374,757801.660000000032596,754198.319999999948777,790843.409999999916181,814840.760000000009313,816050.200000000069849,804263.459999999962747,864626.290000000037253,766019.329999999958090,820819.119999999995343,796471.500000000000000,731501.850000000093132,737322.799999999930151,10227299.180000001564622
20151116,785182.320000000065193,763105.420000000041910,753963.450000000069849,801452.189999999944121,826647.359999999986030,824138.000000000116415,814424.680000000051223,879843.880000000004657,779897.709999999962747,827341.040000000037253,807615.750000000000000,750301.099999999976717,763754.799999999930151,10377677.700000001117587
20151117,781813.079999999958090,796822.180000000051223,766646.430000000051223,803668.949999999953434,821924.719999999855645,823247.599999999976717,814576.339999999967404,866753.479999999981374,777515.599999999860302,826241.839999999967404,805304.349999999976717,776879.350000000093132,754881.199999999837019,10416285.119999997317791
