訓練日期,20150402 - 20150706
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10491501.399999998509884
真實報酬,491501.399999998509884

夏普值報酬,0.040450140000000
夏普值風險,0.015898613215055
夏普值,2.544255870172167

預期報酬,10892.131134148290585
風險,139721.040259707049700
趨勢值,0.077956269964083
找到最佳解世代,100
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](11),DIS[6](3),GS[8](2),JNJ[12](18),JPM[13](1),MCD[15](19),MSFT[18](8),NKE[19](5),UNH[23](14),V[25](6),VZ[26](24),
Stock#,AAPL[0](11),DIS[6](3),GS[8](2),JNJ[12](18),JPM[13](1),MCD[15](19),MSFT[18](8),NKE[19](5),UNH[23](14),V[25](6),VZ[26](24),
張數,7316,8621,4729,9168,15164,9441,22325,18262,7740,13947,18583,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,77.000000000000000,91.760000000009313,34.330000000074506,82.799999999930151,8.199999999953434,16.109999999986030,16.000000000000000,7.640000000013970,27.000000000000000,24.539999999920838,9.640000000013970,
20150402,916918.119999999995343,913917.760000000009313,905874.280000000144355,913582.319999999948777,917733.479999999981374,904747.140000000013970,899490.250000000000000,910003.099999999976717,908393.400000000023283,910624.170000000041910,919310.650000000023283,10020604.669999999925494
20150406,931769.599999999976717,910727.989999999990687,908238.780000000144355,909181.679999999934807,916975.279999999911524,908995.589999999967404,927619.749999999883585,910733.579999999958090,911025.000000000000000,909368.939999999944121,922283.930000000051223,10066930.119999999180436
20150407,921966.160000000032596,909003.790000000037253,909846.640000000013970,917799.599999999860302,922737.599999999976717,909656.459999999962747,927173.250000000000000,909637.860000000102445,908316.000000000000000,917737.139999999897555,915594.050000000046566,10069478.550000000745058
20150408,918966.599999999976717,917021.319999999948777,910650.570000000065193,918349.679999999934807,925770.399999999906868,914376.959999999962747,924717.500000000000000,920777.680000000051223,914817.599999999976717,927500.039999999920838,912992.430000000051223,10105950.779999999329448
20150409,925989.959999999962747,920555.929999999934807,921669.140000000013970,929076.239999999874271,932139.279999999911524,911544.659999999916181,926056.999999999883585,919681.959999999962747,917604.000000000000000,926663.219999999855645,910762.469999999972060,10141753.860000001266599
20150410,929940.599999999976717,922107.710000000079162,925215.890000000013970,935768.880000000004657,935627.000000000000000,923345.909999999916181,931415.000000000000000,912925.020000000018626,921087.000000000000000,925268.520000000018626,914664.900000000023283,10177376.429999999701977
20150413,928111.599999999976717,918314.470000000088476,924932.150000000139698,921925.199999999953434,941237.679999999934807,919947.149999999906868,932308.000000000000000,906533.320000000065193,923950.800000000046566,915087.209999999962747,911319.959999999962747,10143677.539999999105930
20150414,924087.799999999930151,919607.619999999995343,935052.210000000079162,921650.159999999916181,955946.759999999892898,921268.890000000013970,929852.250000000000000,908907.380000000121072,928207.800000000046566,913971.449999999953434,913921.579999999958090,10172483.899999998509884
