訓練日期,20171228 - 20180403
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10299835.300000000745058
真實報酬,299835.300000000745058

夏普值報酬,0.021283530000000
夏普值風險,0.024949158715883
夏普值,0.853076059292156

預期報酬,11913.505279987190079
風險,328568.961993761127815
趨勢值,0.036258766524068
找到最佳解世代,37
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,5
BA[2](3),CSCO[4](1),MCD[15](24),MSFT[18](2),PFE[20](14),
Stock#,BA[2](3),CSCO[4](1),MCD[15](24),MSFT[18](2),PFE[20](14),
張數,6765,51867,11582,23334,55050,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,130.699999999953434,8.479999999981374,136.060000000055879,42.860000000102445,33.500000000000000,
20171228,2004938.450000000186265,2001556.010000000242144,2004980.260000000009313,2000233.340000000083819,2002201.999999999767169,10013910.060000000521541
20171229,1995196.850000000093132,1986514.579999999841675,1993629.900000000139698,1996033.220000000204891,1993944.500000000000000,9965319.050000000745058
20180102,2008253.299999999813735,2015560.099999999860302,2006370.100000000093132,2005600.160000000149012,2006055.499999999767169,10041839.160000000149012
20180103,2014747.699999999953434,2031638.870000000111759,1997915.240000000223517,2014933.760000000009313,2020919.000000000000000,10080154.570000000298023
20180104,2007103.250000000000000,2022302.810000000055879,2011929.459999999962747,2032667.600000000093132,2025323.000000000000000,10099326.119999999180436
20180105,2089433.299999999813735,2050310.989999999990687,2015983.160000000149012,2057868.320000000065193,2029176.500000000000000,10242772.269999999552965
20180108,2098295.450000000186265,2071576.459999999962747,2014593.320000000065193,2059968.380000000121072,2006606.000000000232831,10251039.610000001266599
20180109,2154309.650000000372529,2058609.709999999962747,2010076.339999999850988,2058568.340000000083819,2004403.999999999767169,10285968.039999999105930
20180110,2166689.599999999627471,2070020.449999999720603,2009728.879999999888241,2049234.739999999990687,2007707.000000000000000,10303380.669999998062849
20180111,2219862.500000000000000,2079875.180000000167638,2008339.039999999804422,2055301.580000000074506,2012661.500000000232831,10376039.800000000745058
20180112,2274591.349999999627471,2119812.770000000018626,2010423.800000000046566,2090769.260000000009313,2011560.500000000000000,10507157.679999999701977
20180116,2267488.100000000558794,2102696.660000000149012,2011697.820000000065193,2061601.760000000009313,2014863.500000000000000,10458347.840000001713634
20180117,2374713.349999999627471,2136928.880000000353903,2026754.419999999925494,2103369.620000000111759,2046792.500000000000000,10688558.769999999552965
20180118,2301313.100000000558794,2142115.579999999608845,2022005.800000000046566,2102436.259999999776483,2036333.000000000000000,10604203.739999998360872
20180119,2284874.150000000372529,2141596.910000000149012,2039957.900000000139698,2100102.860000000335276,2033580.499999999767169,10600112.320000000298023
20180122,2286700.700000000186265,2160787.699999999720603,2041000.280000000260770,2137670.599999999627471,2033030.000000000000000,10659189.280000001192093
20180123,2270397.049999999813735,2183609.180000000167638,2047949.479999999981374,2144437.459999999962747,2026974.500000000000000,10673367.670000001788139
20180124,2264308.549999999813735,2187239.870000000111759,2039957.900000000139698,2142570.740000000223517,2033030.000000000000000,10667107.060000000521541
20180125,2321269.849999999627471,2173235.779999999795109,2034630.179999999934807,2154471.080000000074506,2049544.999999999767169,10733151.889999998733401
20180126,2322014.000000000000000,2207468.000000000000000,2065901.580000000307336,2194838.900000000372529,2147534.000000000000000,10937756.480000000447035
20180129,2305778.000000000000000,2222509.430000000167638,2059068.200000000186265,2191572.140000000596046,2148084.500000000000000,10927012.269999999552965
20180130,2284738.849999999627471,2191389.229999999981374,1997799.419999999925494,2164038.019999999552965,2080923.499999999767169,10718889.019999999552965
20180131,2397443.750000000000000,2154563.660000000149012,1982279.539999999804422,2217006.200000000186265,2039085.500000000000000,10790378.650000000372529
20180201,2414829.799999999813735,2162862.380000000353903,1991081.860000000102445,2199505.700000000186265,2027525.000000000000000,10795804.740000000223517
20180202,2360506.850000000558794,2122924.790000000037253,1961895.219999999972060,2141637.379999999888241,2015414.000000000000000,10602378.240000000223517
20180205,2225003.900000000372529,2011410.739999999990687,1897846.760000000009313,2053434.860000000102445,1908617.000000000000000,10096313.260000001639128
20180206,2306386.850000000558794,2083505.870000000111759,1913250.820000000065193,2131137.080000000074506,1942197.500000000000000,10376478.120000001043081
20180207,2355162.500000000000000,2092323.260000000242144,1919389.280000000260770,2091002.600000000093132,1925682.499999999767169,10383560.140000000596046
20180208,2230280.600000000558794,2010892.070000000065193,1841326.600000000093132,1983666.200000000186265,1851365.000000000232831,9917530.470000002533197
20180209,2251725.649999999441206,2050310.989999999990687,1862521.660000000149012,2057634.980000000214204,1880541.499999999767169,10102734.779999999329448
20180212,2325937.700000000186265,2105808.680000000167638,1898425.860000000102445,2079802.280000000027940,1908066.499999999767169,10318041.020000001415610
20180213,2321608.100000000558794,2138484.889999999664724,1881052.860000000102445,2096136.080000000074506,1923480.499999999767169,10360762.429999999701977
20180214,2333040.950000000186265,2183090.510000000242144,1853140.240000000223517,2119003.400000000372529,1937242.999999999767169,10425518.100000001490116
20180215,2411582.599999999627471,2286305.839999999850988,1862290.020000000018626,2162171.299999999813735,1965869.000000000000000,10688218.759999997913837
20180216,2401976.299999999813735,2299272.589999999850988,1827659.839999999850988,2146770.860000000335276,1996146.500000000000000,10671826.089999999850988
20180220,2390543.450000000186265,2285268.500000000000000,1820363.179999999934807,2163571.339999999850988,1982384.000000000000000,10642130.469999998807907
20180221,2383913.750000000000000,2246368.250000000000000,1837504.539999999804422,2134870.519999999552965,1968621.500000000000000,10571278.559999998658895
20180222,2407929.500000000000000,2227177.459999999962747,1860900.179999999934807,2140470.680000000633299,1967520.500000000000000,10603998.320000000298023
20180223,2412935.600000000558794,2282156.479999999981374,1888696.979999999981374,2194838.900000000372529,1996146.500000000000000,10774774.460000000894070
20180226,2459072.900000000372529,2352695.600000000093132,1894719.620000000111759,2226573.140000000596046,2041838.000000000232831,10974899.260000001639128
20180227,2466920.299999999813735,2336098.160000000149012,1860900.179999999934807,2198105.660000000149012,2025873.499999999767169,10887897.800000000745058
20180228,2450481.349999999627471,2322612.740000000223517,1827080.740000000223517,2188072.040000000037253,1998899.000000000232831,10787145.870000001043081
20180301,2365783.549999999813735,2271783.079999999608845,1803453.459999999962747,2166604.759999999776483,1961465.000000000232831,10569089.849999997764826
20180302,2331823.250000000000000,2285268.500000000000000,1717399.200000000186265,2171271.559999999590218,1979081.000000000232831,10484843.509999999776483
20180305,2386484.450000000186265,2309127.320000000298023,1749365.520000000018626,2185038.620000000111759,1988439.499999999767169,10618455.410000000149012
20180306,2360574.500000000000000,2297197.910000000149012,1751334.459999999962747,2177571.740000000223517,1975227.500000000232831,10561906.109999999403954
20180307,2347856.299999999813735,2292529.880000000353903,1765001.219999999972060,2190172.099999999627471,1977980.000000000000000,10573539.500000000000000
20180308,2359289.150000000372529,2299791.260000000242144,1788860.140000000130385,2203472.480000000447035,2009358.500000000000000,10660771.530000001192093
20180309,2398458.500000000000000,2353214.270000000018626,1821289.740000000223517,2252707.220000000670552,2024222.000000000232831,10849891.730000000447035
20180312,2328576.049999999813735,2362550.329999999608845,1827080.740000000223517,2258074.040000000037253,2015414.000000000000000,10791695.160000000149012
20180313,2291233.250000000000000,2342322.199999999720603,1832640.100000000093132,2203005.799999999813735,2023121.000000000000000,10692322.349999997764826
20180314,2234339.599999999627471,2348546.240000000223517,1832871.740000000223517,2189938.759999999776483,2001101.000000000000000,10606797.339999999850988
20180315,2232445.400000000372529,2351139.589999999850988,1871903.080000000307336,2197638.980000000447035,2013762.500000000000000,10666889.550000000745058
20180316,2235760.250000000000000,2334542.149999999906868,1880589.580000000307336,2207439.259999999776483,2024772.500000000000000,10683103.740000000223517
20180319,2244487.099999999627471,2296160.570000000298023,1841789.879999999888241,2167538.120000000111759,2000000.000000000000000,10549975.669999999925494
20180320,2284197.650000000372529,2301347.270000000018626,1846075.219999999972060,2173138.280000000260770,2000000.000000000000000,10604758.419999999925494
20180321,2280612.200000000186265,2298235.250000000000000,1837736.179999999934807,2157971.180000000633299,1996697.000000000232831,10571251.810000000521541
20180322,2162292.349999999627471,2233920.169999999925494,1818973.339999999850988,2095202.720000000204891,1959813.500000000000000,10270202.080000000074506
20180323,2171695.700000000186265,2200206.620000000111759,1795114.419999999925494,2034300.980000000214204,1898708.000000000000000,10100025.720000000670552
20180326,2225612.750000000000000,2285268.500000000000000,1830207.879999999888241,2188305.379999999888241,1928985.500000000000000,10458380.009999999776483
20180327,2172507.500000000000000,2213692.040000000037253,1824069.419999999925494,2087735.840000000083819,1927334.000000000000000,10225338.800000000745058
20180328,2165066.000000000000000,2160787.699999999720603,1834840.679999999934807,2085869.120000000111759,1943298.499999999767169,10189861.999999998137355
20180329,2218238.900000000372529,2224584.109999999869615,1811329.219999999972060,2129737.040000000037253,1953758.000000000000000,10337647.269999999552965
20180402,2181437.299999999813735,2127074.149999999906868,1826849.100000000093132,2065568.540000000037253,1929535.999999999767169,10130465.089999997988343
20180403,2238128.000000000000000,2146264.939999999944121,1857888.860000000102445,2093336.000000000000000,1964217.500000000000000,10299835.300000000745058
