訓練日期,20171128 - 20180302
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10895681.750000001862645
真實報酬,895681.750000001862645

夏普值報酬,0.080868175000000
夏普值風險,0.033331794875294
夏普值,2.426157226232696

預期報酬,21792.262406555284542
風險,303299.266944947652519
趨勢值,0.071850692637878
找到最佳解世代,62
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AXP[1](13),BA[2](1),CAT[3](9),CSCO[4](2),HD[9](12),INTC[11](18),JPM[13](4),MMM[16](22),MSFT[18](5),NKE[19](3),PFE[20](21),V[25](8),VZ[26](14),
Stock#,AXP[1](13),BA[2](1),CAT[3](9),CSCO[4](2),HD[9](12),INTC[11](18),JPM[13](4),MMM[16](22),MSFT[18](5),NKE[19](3),PFE[20](21),V[25](8),VZ[26](14),
張數,8229,2896,5607,20863,4416,17289,7854,3287,9171,12900,21674,6844,16139,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,65.369999999995343,110.320000000065193,5.670000000041910,11.190000000060536,139.440000000060536,42.390000000013970,87.779999999911524,72.000000000000000,58.229999999981374,3.000000000000000,19.739999999990687,101.280000000027940,45.260000000009313,
20171128,784124.489999999990687,776209.360000000102445,779322.600000000093132,787172.180000000051223,779872.560000000055879,773379.359999999986030,796169.219999999855645,774587.809999999939464,778492.709999999962747,768585.000000000000000,777032.640000000013970,775937.119999999995343,787951.239999999990687,10138846.289999999105930
20171129,794986.769999999902211,780003.120000000111759,774108.090000000083819,781956.430000000051223,782875.440000000060536,759893.940000000060536,814783.199999999953434,782410.869999999995343,764369.369999999995343,778647.000000000000000,784835.280000000027940,751983.119999999995343,805381.359999999986030,10156243.990000000223517
20171130,804120.959999999962747,801723.120000000111759,791433.720000000088476,778201.089999999967404,794224.560000000055879,775281.150000000023283,820987.859999999869615,799273.179999999934807,771981.300000000046566,779421.000000000000000,785918.979999999981374,770667.240000000107102,821358.969999999972060,10294603.130000000819564
20171201,805355.309999999939464,786026.800000000046566,793508.310000000055879,784459.990000000107102,796874.160000000032596,772514.910000000032596,823108.439999999944121,792732.050000000046566,772806.690000000060536,772455.000000000000000,787869.640000000013970,757937.400000000023283,827169.010000000009313,10272827.710000000894070
20171204,811362.479999999981374,805111.440000000176951,793396.170000000041910,786963.550000000046566,816657.840000000083819,769230.000000000000000,840073.079999999958090,786519.619999999995343,743642.909999999916181,775293.000000000000000,781584.180000000051223,735352.200000000069849,834754.339999999967404,10279950.810000000521541
20171205,812349.959999999962747,798074.160000000149012,785770.650000000023283,778409.720000000088476,807605.040000000037253,751076.549999999930151,830412.659999999916181,783232.619999999995343,748320.119999999995343,779421.000000000000000,772264.360000000102445,743222.800000000046566,821843.140000000013970,10212012.780000001192093
