訓練日期,20190514 - 20190814
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10370393.519999999552965
真實報酬,370393.519999999552965

夏普值報酬,0.028339352000000
夏普值風險,0.027861132455730
夏普值,1.017164397212867

預期報酬,15813.308682432076239
風險,202923.893448165181326
趨勢值,0.077927287978394
找到最佳解世代,20
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AXP[1](7),DD[7](15),HD[9](6),IBM[10](12),INTC[11](13),MCD[15](1),MRK[17](9),PG[21](4),TRV[22](16),UTX[24](27),
Stock#,AXP[1](7),DD[7](15),HD[9](6),IBM[10](12),INTC[11](13),MCD[15](1),MRK[17](9),PG[21](4),TRV[22](16),UTX[24](27),
張數,8628,15620,5253,7609,22341,5024,12958,9424,6973,7578,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,14.799999999930151,7.600000000093132,143.979999999981374,25.220000000088476,16.840000000083819,73.280000000027940,31.140000000013970,19.359999999986030,2.070000000065193,7.119999999995343,
20190514,1009577.079999999958090,1017338.200000000069849,1006723.839999999967404,1014381.010000000125729,1009159.810000000172295,994875.520000000018626,1003239.500000000000000,995193.759999999892898,1016037.900000000139698,1015307.559999999939464,10081834.180000001564622
20190515,1015185.279999999911524,995470.200000000069849,1007459.259999999892898,1022674.820000000181608,1019213.260000000009313,1000200.959999999962747,1004924.039999999920838,1005560.160000000032596,1021686.030000000144355,1015307.559999999939464,10107681.570000000298023
20190516,1033994.319999999948777,1018587.800000000046566,1010716.119999999995343,1033936.140000000013970,1017202.570000000065193,1004823.040000000037253,1025397.679999999934807,1018848.000000000000000,1027892.000000000000000,1024931.619999999995343,10216329.289999999105930
20190517,1027350.759999999892898,1024211.000000000000000,1011766.720000000088476,1022066.100000000093132,1002904.330000000074506,1000954.560000000055879,1020084.900000000023283,1012628.160000000032596,1028449.840000000083819,1013564.619999999995343,10163980.990000000223517
20190520,1033994.319999999948777,1026241.600000000093132,1003204.329999999958090,1028153.300000000162981,973190.800000000162981,999799.040000000037253,1022158.179999999934807,1011497.280000000027940,1033191.479999999981374,1011518.559999999939464,10142948.890000000596046
20190521,1040120.199999999953434,1057950.200000000186265,1005830.829999999958090,1038273.270000000018626,993297.700000000069849,1004069.440000000060536,1030192.140000000013970,1002450.239999999990687,1028310.380000000004657,1030842.459999999962747,10231336.859999999403954
20190522,1035461.079999999958090,1049046.800000000046566,992488.209999999962747,1037512.369999999995343,983020.840000000083819,1004672.320000000065193,1049369.979999999981374,1005748.640000000013970,1031727.150000000139698,1026144.099999999976717,10215191.489999998360872
20190523,1021828.839999999967404,1023273.800000000162981,1008719.979999999981374,1007380.729999999981374,994861.570000000065193,999698.560000000055879,1049888.299999999813735,1006125.599999999976717,1024614.690000000060536,988557.219999999855645,10124949.290000000968575
20190524,1031147.079999999958090,1027803.600000000093132,1017072.250000000000000,1006543.740000000107102,995755.210000000079162,993669.760000000125729,1051832.000000000000000,1005465.919999999925494,1031587.690000000060536,995756.320000000065193,10156633.570000000298023
