訓練日期,20151007 - 20160108
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10051955.240000000223517
真實報酬,51955.240000000223517

夏普值報酬,-0.003504476000000
夏普值風險,0.019697102595957
夏普值,-0.177918350322213

預期報酬,12549.419916190678123
風險,216581.029296859429451
趨勢值,0.057943301668355
找到最佳解世代,23
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
BA[2](13),HD[9](3),JPM[13](14),MSFT[18](2),NKE[19](16),PG[21](4),TRV[22](7),UNH[23](23),VZ[26](9),WMT[28](30),
Stock#,BA[2](13),HD[9](3),JPM[13](14),MSFT[18](2),NKE[19](16),PG[21](4),TRV[22](7),UNH[23](23),VZ[26](9),WMT[28](30),
張數,7427,8426,16116,21390,16233,13623,9894,8616,22696,15225,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,102.989999999990687,2.319999999948777,2.200000000069849,17.500000000000000,47.199999999953434,71.799999999930151,13.420000000041910,113.200000000069849,14.239999999990687,21.999999999883585,
20151007,1017750.530000000027940,1008173.219999999972060,1001289.280000000144355,1001069.499999999883585,991071.849999999860302,1004359.359999999869615,1010883.400000000023283,1003274.080000000074506,995233.839999999967404,1010352.999999999883585,10043458.060000000521541
20151008,1032753.069999999948777,1020053.880000000004657,1001289.280000000144355,1014973.000000000116415,1013960.380000000004657,1013623.000000000000000,1019985.880000000121072,1000258.480000000097789,1003858.319999999948777,1018269.999999999767169,10139025.290000000968575
20151009,1037654.889999999897555,1022328.899999999906868,998066.080000000074506,1007700.400000000023283,1014122.709999999962747,1014712.839999999967404,1018501.780000000027940,1027743.520000000018626,1002269.599999999860302,1015377.249999999883585,10158477.970000000670552
20151012,1044933.350000000093132,1027131.719999999972060,994681.720000000088476,1005347.500000000000000,1026297.459999999962747,1012669.389999999897555,1026219.099999999976717,1055659.360000000335276,1005447.039999999920838,1019031.250000000000000,10217417.889999998733401
20151013,1042036.819999999948777,1024688.179999999934807,991942.000000000000000,1002994.599999999976717,1021265.229999999864958,1009672.329999999958090,1022162.560000000055879,1068411.040000000037253,1006808.799999999930151,1015986.250000000000000,10205967.810000000521541
20151014,996954.929999999934807,1013397.339999999967404,966801.040000000153668,998502.699999999953434,1021427.559999999939464,1011034.629999999888241,1016819.800000000046566,1051868.319999999832362,998411.280000000027940,913978.749999999883585,9989196.349999997764826
20151015,1020498.519999999902211,1026373.380000000004657,997421.440000000060536,1005561.399999999906868,1045452.400000000023283,1011852.009999999892898,1038487.660000000032596,1035497.920000000041910,1013844.560000000055879,903321.249999999883585,10098310.539999999105930
20151016,1022058.189999999944121,1034209.559999999939464,1006124.080000000074506,1016256.399999999906868,1059088.119999999878928,1020434.500000000000000,1047788.020000000135042,1033860.880000000121072,1014525.440000000060536,896622.249999999883585,10150967.439999999478459
20151019,1028148.329999999841675,1037242.919999999925494,1002739.720000000088476,1018609.299999999930151,1081327.329999999841675,1023976.479999999864958,1051943.500000000000000,1040322.880000000121072,1014525.440000000060536,896013.249999999883585,10194849.149999998509884
20151020,1031564.750000000000000,1035136.419999999925494,1007574.520000000135042,1021817.800000000046566,1074509.469999999972060,1014031.690000000060536,1077964.720000000204891,1037651.920000000041910,1026781.280000000027940,894490.749999999883585,10221523.320000000298023
20151021,1048721.119999999878928,1038928.119999999878928,1000161.160000000149012,1009625.500000000116415,1075321.119999999878928,1002588.369999999995343,1095279.220000000204891,1017748.960000000079162,1018156.799999999930151,892815.999999999883585,10199346.369999999180436
20151022,1086747.360000000102445,1047859.679999999934807,1018372.239999999990687,1027379.200000000069849,1074834.129999999888241,1019753.349999999860302,1111307.500000000000000,980700.160000000032596,1041533.680000000051223,896774.499999999883585,10305261.800000000745058
20151023,1089643.889999999897555,1049966.180000000167638,1029331.119999999995343,1130906.800000000046566,1059575.109999999869615,1049451.489999999757856,1110911.740000000223517,998879.920000000041910,1047661.599999999860302,887639.499999999883585,10453967.349999999627471
20151026,1089643.889999999897555,1053336.580000000074506,1029814.600000000093132,1160425.000000000000000,1066392.969999999972060,1055718.069999999832362,1115759.799999999813735,1004135.680000000051223,1052200.800000000046566,883376.499999999883585,10510803.890000000596046
20151027,1102715.410000000149012,1048786.540000000037253,1025624.440000000060536,1148446.599999999860302,1061847.729999999981374,1052993.470000000204891,1122091.959999999962747,1028605.120000000111759,1047888.560000000055879,875154.999999999883585,10514154.830000001937151
20151028,1098407.750000000000000,1043309.639999999897555,1055600.200000000186265,1154649.699999999953434,1065743.650000000139698,1042367.530000000027940,1130501.859999999869615,1032137.680000000051223,1054924.319999999832362,877590.999999999883585,10555233.330000000074506
20151029,1093208.850000000093132,1041708.699999999953434,1050926.560000000055879,1141387.899999999906868,1064282.679999999934807,1049315.259999999776483,1130798.680000000167638,1031534.560000000055879,1053108.639999999897555,882462.999999999883585,10538734.830000000074506
20151030,1099818.879999999888241,1041792.959999999962747,1035455.200000000069849,1125987.100000000093132,1063633.359999999869615,1040596.539999999920838,1116947.080000000074506,1014905.680000000051223,1064002.719999999972060,871500.999999999883585,10474640.520000001415610
20151102,1102269.790000000037253,1048280.979999999864958,1056244.840000000316650,1138821.100000000093132,1064931.999999999767169,1043593.599999999860302,1126643.200000000186265,1022746.240000000107102,1061733.120000000111759,877134.249999999883585,10542399.120000001043081
20151103,1099967.419999999925494,1058813.479999999981374,1060112.680000000167638,1158286.000000000000000,1066555.300000000046566,1049723.949999999720603,1124862.279999999795109,1013871.760000000009313,1054243.439999999944121,884746.749999999883585,10571183.059999998658895
20151104,1100710.119999999878928,1056454.199999999720603,1061240.799999999813735,1163633.500000000000000,1058114.140000000130385,1049860.180000000167638,1128720.939999999944121,987851.440000000060536,1047207.680000000051223,888705.249999999883585,10542498.249999998137355
20151105,1099076.179999999934807,1059319.040000000037253,1070749.240000000223517,1163205.699999999953434,1070288.890000000130385,1040732.769999999902211,1127632.600000000093132,1001550.880000000121072,1048569.440000000060536,892359.249999999883585,10573483.990000000223517
20151106,1098853.369999999878928,1061509.799999999813735,1103303.560000000055879,1174756.300000000046566,1069639.570000000065193,1029561.909999999799766,1119024.819999999832362,989316.160000000032596,1039037.119999999995343,894947.499999999883585,10579950.109999999403954
20151109,1084296.449999999953434,1049039.319999999832362,1086059.439999999944121,1158499.899999999906868,1059088.119999999878928,1027246.000000000000000,1116353.439999999944121,984577.360000000102445,1028143.039999999920838,890532.249999999883585,10483835.319999998435378
20151110,1078132.040000000037253,1055443.080000000074506,1090733.080000000074506,1144596.399999999906868,1055192.199999999953434,1032286.509999999892898,1128424.120000000111759,998621.440000000060536,1023603.839999999967404,893424.999999999883585,10500457.709999999031425
20151111,1076943.719999999972060,1050808.779999999795109,1085414.799999999813735,1147591.000000000000000,1034251.630000000004657,1034874.879999999888241,1131689.140000000130385,986989.840000000083819,1028596.959999999962747,876677.499999999883585,10453838.250000000000000
20151112,1058747.569999999832362,1043225.380000000004657,1063658.200000000186265,1140532.300000000046566,1022563.869999999995343,1017164.979999999864958,1111208.560000000055879,972170.320000000065193,1017475.919999999925494,867085.749999999883585,10313832.849999999627471
20151113,1059118.919999999925494,1011122.319999999948777,1056567.160000000149012,1130265.100000000093132,989123.889999999897555,1007628.879999999888241,1108141.419999999925494,960021.760000000009313,1003858.319999999948777,859016.499999999883585,10184864.269999999552965
20151116,1072710.329999999841675,1018200.160000000032596,1071877.360000000335276,1150157.800000000046566,1002110.289999999920838,1025883.699999999837019,1116947.080000000074506,980786.320000000065193,1022242.079999999958090,881092.749999999883585,10342007.870000001043081
20151117,1085039.150000000139698,1063195.000000000000000,1065753.279999999795109,1133045.800000000046566,994967.769999999902211,1022750.409999999799766,1115462.979999999981374,985697.440000000060536,1023149.919999999925494,912303.999999999883585,10401365.750000000000000
20151118,1101378.550000000046566,1066228.359999999869615,1087026.399999999906868,1151869.000000000000000,1020940.569999999948777,1034057.500000000000000,1134657.340000000316650,1010339.200000000069849,1029958.720000000088476,927681.249999999883585,10564136.890000000596046
20151119,1108508.469999999972060,1068924.680000000167638,1090410.760000000242144,1153794.099999999860302,1020940.569999999948777,1038416.859999999869615,1138021.299999999813735,953301.280000000027940,1038583.199999999953434,924179.499999999883585,10535080.720000000670552
20151120,1109696.790000000037253,1097151.779999999795109,1088476.840000000316650,1159141.599999999860302,1076782.089999999850988,1032967.659999999799766,1146035.439999999944121,973462.720000000088476,1030185.680000000051223,914587.749999999883585,10628488.349999999627471
20151123,1101824.169999999925494,1116447.319999999832362,1077840.279999999795109,1159141.599999999860302,1075158.790000000037253,1035011.109999999869615,1144056.640000000130385,966483.760000000009313,1021107.280000000027940,917480.499999999883585,10614551.449999999254942
20151124,1104126.540000000037253,1125715.919999999925494,1076228.680000000167638,1160425.000000000000000,1075645.780000000027940,1041550.150000000023283,1142176.779999999795109,975358.240000000107102,1025646.479999999981374,912303.999999999883585,10639177.570000002160668
20151125,1095065.600000000093132,1134563.220000000204891,1077517.959999999962747,1148446.599999999860302,1088794.509999999776483,1034057.500000000000000,1135844.620000000111759,985869.760000000009313,1019518.560000000055879,917175.999999999883585,10636854.330000000074506
20151127,1091500.639999999897555,1135321.560000000055879,1082513.919999999925494,1153580.199999999953434,1090417.810000000055879,1031332.900000000023283,1136339.319999999832362,985266.640000000130385,1026554.319999999948777,911847.249999999883585,10644674.560000002384186
20151130,1080360.139999999897555,1128075.199999999720603,1074617.080000000074506,1162564.000000000000000,1073697.820000000065193,1019617.119999999995343,1133569.000000000000000,971222.560000000055879,1031547.440000000060536,895860.999999999883585,10571131.359999999403954
20151201,1097367.969999999972060,1132709.500000000000000,1089604.959999999962747,1181173.300000000046566,1082138.979999999981374,1034602.419999999925494,1144551.340000000316650,1001809.360000000102445,1034497.919999999925494,898144.749999999883585,10696600.499999998137355
20151202,1091574.910000000149012,1127485.379999999888241,1074294.760000000242144,1180959.399999999906868,1076782.089999999850988,1032558.969999999972060,1134954.160000000149012,1013699.440000000060536,1019518.560000000055879,888400.749999999883585,10640228.419999999925494
20151203,1081177.110000000102445,1103218.500000000000000,1060435.000000000000000,1159355.500000000000000,1048049.679999999934807,1031877.819999999832362,1101116.680000000167638,990953.200000000069849,1011348.000000000000000,898905.999999999883585,10486437.489999998360872
20151204,1103012.489999999990687,1133552.100000000093132,1094117.439999999944121,1195932.399999999906868,1074184.810000000055879,1060349.890000000130385,1128523.060000000055879,1014561.040000000037253,1037448.400000000023283,908345.499999999883585,10750027.130000000819564
20151207,1102641.139999999897555,1128496.500000000000000,1079774.200000000186265,1193793.400000000139698,1068178.599999999860302,1067706.310000000055879,1123872.879999999888241,998793.760000000009313,1045392.000000000000000,921134.499999999883585,10729783.290000000968575
20151208,1076943.719999999972060,1127738.160000000149012,1063013.560000000055879,1193365.600000000093132,1068990.249999999767169,1059260.049999999813735,1111802.200000000186265,998535.280000000027940,1037221.440000000060536,907584.249999999883585,10644454.509999999776483
20151209,1071373.469999999972060,1111391.720000000204891,1054955.560000000055879,1176039.699999999953434,1045777.059999999939464,1058578.899999999906868,1098643.180000000167638,991384.000000000000000,1029504.799999999930151,900276.249999999883585,10537924.640000000596046
20151210,1087490.060000000055879,1116784.359999999869615,1057372.959999999962747,1182242.800000000046566,1044153.759999999892898,1059804.970000000204891,1098148.479999999981374,1001378.560000000055879,1028596.959999999962747,906822.999999999883585,10582795.910000000149012
20151211,1074195.729999999981374,1099089.759999999776483,1032554.319999999948777,1156360.900000000139698,1025161.149999999906868,1059668.739999999757856,1085978.859999999869615,999396.880000000121072,1017248.959999999962747,903777.999999999883585,10453433.300000000745058
20151214,1062163.989999999990687,1112318.580000000074506,1035777.520000000018626,1179462.100000000093132,1037822.889999999897555,1066616.470000000204891,1098544.240000000223517,998276.800000000046566,1031547.440000000060536,919459.749999999883585,10541989.780000001192093
20151215,1088381.300000000046566,1106251.859999999869615,1065269.799999999813735,1180745.500000000000000,1043991.429999999934807,1085552.439999999944121,1119816.340000000316650,1013440.960000000079162,1033817.039999999920838,908040.999999999883585,10645307.669999999925494
20151216,1100115.960000000195578,1119817.720000000204891,1088315.680000000167638,1200638.199999999953434,1062821.709999999962747,1103398.569999999832362,1133272.180000000167638,1023952.480000000097789,1055605.199999999953434,918089.499999999883585,10806027.199999999254942
20151217,1081177.110000000102445,1106757.419999999925494,1068170.680000000167638,1191440.500000000000000,1056977.829999999841675,1093862.470000000204891,1120706.799999999813735,1027312.720000000088476,1046299.839999999967404,897992.499999999883585,10690697.870000001043081
20151218,1036763.650000000139698,1097825.859999999869615,1037872.600000000209548,1157858.199999999953434,1043179.780000000027940,1064436.790000000037253,1089639.640000000130385,998018.320000000065193,1034044.000000000000000,896013.249999999883585,10455652.089999999850988
20151221,1046567.290000000037253,1106420.379999999888241,1056244.840000000316650,1172831.199999999953434,1053568.900000000139698,1075607.649999999906868,1097653.779999999795109,1011717.760000000009313,1041760.640000000013970,906670.749999999883585,10569043.189999999478459
20151222,1057559.250000000000000,1111223.199999999720603,1058501.080000000074506,1183954.000000000000000,1070288.890000000130385,1084462.599999999627471,1112890.540000000037253,1011976.240000000107102,1051746.880000000121072,921743.499999999883585,10664346.179999999701977
20151223,1070036.610000000102445,1121587.180000000167638,1075422.880000000353903,1194007.300000000046566,1044803.079999999958090,1088821.959999999962747,1120113.160000000149012,1022746.240000000107102,1065591.439999999944121,930117.249999999883585,10733247.099999999627471
20151224,1066100.300000000046566,1119817.720000000204891,1073327.799999999813735,1190798.800000000046566,1025648.139999999897555,1087050.970000000204891,1120706.799999999813735,1019730.640000000130385,1060144.399999999906868,926158.749999999883585,10689484.320000000298023
20151228,1073601.569999999832362,1117964.000000000000000,1069782.279999999795109,1196788.000000000000000,1035874.929999999934807,1088821.959999999962747,1122784.540000000037253,1019644.480000000097789,1061052.239999999990687,924940.749999999883585,10711254.750000000000000
20151229,1094471.439999999944121,1126558.520000000018626,1080902.319999999832362,1209622.000000000000000,1043179.780000000027940,1094816.080000000074506,1138021.299999999813735,1032482.320000000065193,1071492.399999999906868,938034.249999999883585,10829580.410000000149012
20151230,1087490.060000000055879,1123609.419999999925494,1073166.640000000130385,1204488.400000000139698,1026784.449999999953434,1090865.409999999683350,1130798.680000000167638,1024727.920000000041910,1061506.160000000149012,939099.999999999883585,10762537.140000000596046
20151231,1073972.919999999925494,1114340.819999999832362,1064141.680000000167638,1186734.699999999953434,1014609.699999999953434,1081874.229999999981374,1116650.260000000242144,1013699.440000000060536,1049023.359999999869615,933314.499999999883585,10648361.609999999403954
