訓練日期,20110602 - 20110901
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10114569.679999997839332
真實報酬,114569.679999997839332

夏普值報酬,0.002756968000000
夏普值風險,0.035350190057182
夏普值,0.077990188894038

預期報酬,953.844507019692742
風險,355003.687991605314892
趨勢值,0.002686858022281
找到最佳解世代,58
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AAPL[0](2),AXP[1](14),CAT[3](27),CSCO[4](17),IBM[10](7),INTC[11](15),JNJ[12](9),KO[14](5),MCD[15](1),MSFT[18](4),NKE[19](6),PFE[20](20),V[25](3),
Stock#,AAPL[0](2),AXP[1](14),CAT[3](27),CSCO[4](17),IBM[10](7),INTC[11](15),JNJ[12](9),KO[14](5),MCD[15](1),MSFT[18](4),NKE[19](6),PFE[20](20),V[25](3),
張數,15584,15412,7598,46961,4618,34965,11570,23044,9499,31487,37450,36542,38850,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,3.760000000009313,17.080000000074506,8.479999999981374,8.820000000065193,55.920000000041910,0.000000000000000,56.399999999906868,21.279999999911524,0.979999999981374,2.589999999967404,7.000000000000000,20.900000000023283,0.000000000000000,
20110602,770476.719999999972060,772004.160000000149012,776448.099999999976717,763125.070000000065193,767059.540000000037253,772376.849999999976717,769230.000000000000000,760934.160000000032596,767045.229999999981374,762617.729999999981374,759867.500000000000000,767402.900000000023283,783993.000000000000000,9992590.960000000894070
20110603,764554.800000000046566,759520.440000000060536,768166.279999999911524,751854.430000000167638,762256.820000000065193,759789.450000000069849,764717.699999999953434,755173.160000000032596,765050.440000000060536,752856.760000000009313,752377.500000000000000,761556.180000000051223,768453.000000000000000,9886336.960000000894070
20110606,752555.119999999995343,751814.440000000060536,758744.760000000009313,750915.210000000079162,760871.420000000041910,763285.949999999953434,764254.899999999906868,753790.519999999902211,766570.280000000027940,756005.459999999962747,746760.000000000000000,757901.979999999981374,759517.500000000000000,9842997.540000000968575
20110607,739152.880000000004657,753509.760000000125729,758896.719999999972060,728373.930000000051223,755976.340000000083819,771327.899999999906868,757891.399999999906868,751255.679999999934807,770749.839999999967404,757579.809999999939464,766983.000000000000000,757901.979999999981374,775057.500000000000000,9844666.740000000223517
20110608,739620.400000000023283,741334.280000000144355,744916.400000000023283,718512.120000000111759,758978.040000000037253,762936.300000000046566,765296.199999999953434,753560.079999999958090,770844.830000000074506,753801.369999999995343,749756.000000000000000,755709.459999999962747,745143.000000000000000,9760418.480000000447035
20110609,738062.000000000000000,744879.040000000037253,754185.959999999962747,718981.730000000097789,761287.040000000037253,760838.400000000023283,772700.999999999883585,759321.079999999958090,771889.719999999972060,754431.109999999986030,755373.500000000116415,758267.400000000023283,742423.500000000000000,9792651.480000000447035
20110610,725594.800000000046566,735785.960000000079162,735418.900000000023283,710059.140000000013970,753621.160000000032596,747551.699999999953434,764717.699999999953434,753560.079999999958090,763340.619999999995343,746559.359999999986030,746011.000000000116415,734880.520000000018626,725329.500000000116415,9642440.440000001341105
20110613,727153.199999999953434,743491.960000000079162,725161.599999999976717,707241.480000000097789,753574.979999999981374,747901.349999999976717,770502.699999999953434,750333.919999999925494,766855.250000000000000,756950.069999999948777,753875.500000000000000,747670.220000000088476,727272.000000000000000,9677994.230000000447035
20110614,740087.920000000041910,742104.880000000004657,743548.760000000009313,708180.700000000069849,757962.080000000074506,762936.300000000046566,776403.399999999790452,756094.919999999925494,773884.510000000009313,762617.729999999981374,769979.000000000000000,752055.260000000009313,737373.000000000000000,9783238.459999999031425
20110615,727464.880000000004657,728696.440000000060536,726757.180000000051223,696910.060000000055879,749695.860000000102445,748950.300000000046566,765527.599999999860302,748720.839999999967404,771699.739999999990687,747503.969999999972060,752752.000000000000000,737803.880000000121072,726883.500000000000000,9629376.250000000000000
20110616,723880.560000000055879,746112.000000000000000,725313.559999999939464,706771.870000000111759,751265.979999999981374,748950.300000000046566,767378.799999999813735,754481.839999999967404,777114.170000000041910,755690.589999999967404,751628.500000000000000,739630.979999999981374,727272.000000000000000,9675501.150000000372529
20110617,712971.760000000009313,747499.080000000074506,729036.579999999958090,703014.990000000107102,759439.840000000083819,740908.350000000093132,767031.699999999953434,756094.919999999925494,783858.459999999962747,763877.209999999962747,759493.000000000000000,740361.820000000065193,722998.500000000000000,9686596.209999999031425
20110620,702062.959999999962747,753355.640000000130385,745980.119999999995343,710998.360000000102445,762118.280000000144355,745803.449999999953434,769577.099999999976717,758629.759999999892898,785473.289999999920838,770489.479999999981374,779341.500000000000000,740727.239999999990687,719113.500000000116415,9743680.679999999701977
20110621,724192.239999999990687,763681.680000000051223,770369.699999999953434,728373.930000000051223,767659.880000000004657,756992.250000000000000,769345.699999999837019,763469.000000000000000,786518.179999999934807,779620.709999999962747,791325.500000000000000,746573.959999999962747,728437.500000000000000,9876570.230000000447035
20110622,718270.320000000065193,768305.280000000144355,760948.180000000051223,721329.780000000027940,765166.160000000032596,748251.000000000000000,764486.299999999813735,765082.079999999958090,785093.330000000074506,776157.139999999897555,767357.499999999883585,741092.660000000032596,725329.500000000116415,9806879.230000000447035
20110623,737438.640000000013970,758441.600000000093132,763987.380000000004657,726495.490000000107102,767198.080000000074506,759090.150000000023283,759858.299999999930151,748720.839999999967404,781673.690000000060536,775527.399999999906868,769604.500000000000000,754613.199999999953434,731545.499999999883585,9834204.769999999552965
20110624,726529.839999999967404,745033.160000000149012,759884.459999999962747,701136.550000000046566,762349.180000000051223,741258.000000000000000,752800.599999999976717,748259.959999999846332,777399.140000000013970,765136.689999999944121,760242.000000000000000,733784.260000000009313,712509.000000000000000,9686332.839999997988343
20110627,739152.880000000004657,763527.560000000055879,765886.880000000004657,706771.870000000111759,774125.080000000074506,746153.099999999976717,754998.899999999906868,751255.679999999934807,781958.659999999916181,793474.989999999990687,764361.500000000000000,737073.040000000037253,717559.500000000000000,9796309.640000000596046
20110628,746321.520000000018626,767842.920000000041910,788984.800000000046566,710528.750000000116415,785162.099999999976717,751397.849999999976717,762635.099999999860302,760934.160000000032596,801241.629999999888241,812367.189999999944121,841883.000000000000000,750959.000000000000000,731157.000000000000000,10011425.019999999552965
20110629,743672.239999999990687,784796.120000000111759,785337.760000000009313,720390.560000000055879,787609.640000000013970,747901.349999999976717,767263.099999999976717,768538.679999999934807,803331.409999999916181,806699.530000000027940,840759.500000000000000,755344.040000000037253,840714.000000000000000,10152367.929999999701977
20110630,747256.560000000055879,796817.480000000097789,808891.559999999939464,733070.030000000027940,792273.820000000065193,774824.400000000023283,769692.799999999813735,775451.879999999888241,800956.659999999916181,818664.589999999967404,842632.000000000000000,752786.100000000093132,818569.500000000000000,10231897.380000000819564
