訓練日期,20101227 - 20110329
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10960367.579999998211861
真實報酬,960367.579999998211861

夏普值報酬,0.087336758000000
夏普值風險,0.025884654824281
夏普值,3.374074662879960

預期報酬,13217.942499866556318
風險,117562.079693329986185
趨勢值,0.112433724669950
找到最佳解世代,51
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
CAT[3](6),CVX[5](2),GS[8](26),MCD[15](23),MMM[16](7),PFE[20](1),TRV[22](11),UNH[23](3),UTX[24](17),VZ[26](19),
Stock#,CAT[3](6),CVX[5](2),GS[8](26),MCD[15](23),MMM[16](7),PFE[20](1),TRV[22](11),UNH[23](3),UTX[24](17),VZ[26](19),
張數,10587,11027,5966,12993,11564,56785,18024,27956,12578,28216,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,57.849999999976717,71.639999999897555,98.400000000023283,58.720000000088476,60.920000000041910,16.150000000023283,28.480000000097789,13.879999999888241,49.000000000000000,24.960000000079162,
20101227,995976.939999999944121,993824.880000000004657,1013304.180000000051223,993113.710000000195578,1006244.560000000055879,993185.799999999930151,1005587.440000000060536,993570.119999999878928,997107.059999999939464,1001692.960000000079162,9993607.650000000372529
20101228,991953.880000000004657,1005623.769999999902211,1009485.940000000060536,993113.710000000195578,1003122.280000000027940,998864.300000000046566,1003244.320000000065193,998602.199999999837019,997358.620000000111759,1005078.880000000004657,10006447.900000000372529
20101229,992906.709999999962747,1007608.630000000004657,1000178.979999999981374,1000389.790000000037253,1003353.560000000055879,999432.150000000139698,1001982.640000000130385,1003913.839999999850988,994968.799999999930151,1003950.239999999990687,10008685.340000001713634
20101230,993859.540000000037253,1010144.839999999850988,1000238.639999999897555,997401.400000000139698,1000809.480000000097789,993185.799999999930151,1001081.440000000060536,1004752.519999999785796,991824.299999999930151,1003385.920000000158325,9996683.880000000819564
20101231,991636.269999999902211,1006285.389999999897555,1003340.959999999962747,997401.400000000139698,998034.119999999995343,994321.500000000116415,1004145.520000000135042,1009505.039999999920838,990189.160000000032596,1009593.440000000060536,10004452.799999998882413
20110103,996823.900000000023283,1013894.019999999902211,1032514.700000000069849,995322.520000000018626,1003700.480000000097789,1003974.949999999953434,1006128.160000000149012,1038020.159999999916181,993585.219999999972060,1027933.840000000083819,10111897.950000001117587
20110104,992165.619999999878928,1010144.839999999850988,1032693.680000000051223,965568.550000000162981,1002312.800000000046566,1021578.299999999930151,1001622.160000000149012,1047525.199999999837019,995220.360000000102445,1048531.520000000018626,10117363.029999999329448
20110105,1000741.089999999967404,1008380.519999999902211,1038182.400000000023283,970116.100000000093132,1002312.800000000046566,1028392.500000000000000,995674.240000000107102,1050879.919999999925494,996603.940000000060536,1062921.680000000167638,10154205.189999999478459
20110106,990365.830000000074506,1000110.269999999902211,1027503.260000000125729,964269.250000000000000,996183.880000000004657,1032367.449999999953434,980353.840000000083819,1072685.599999999860302,995597.700000000069849,1022290.640000000013970,10081727.720000000670552
20110107,992377.359999999986030,1005623.769999999902211,1018434.940000000060536,966348.130000000121072,997224.640000000130385,1041453.050000000046566,961248.400000000023283,1074922.080000000074506,994717.239999999990687,1013825.840000000083819,10066175.449999999254942
20110110,988777.780000000027940,997022.709999999846332,1012886.559999999939464,955823.800000000162981,1007863.520000000135042,1036910.250000000116415,970620.880000000121072,1074922.080000000074506,986918.879999999888241,1013543.680000000167638,10045290.140000000596046
20110111,994706.500000000000000,1012681.049999999930151,1010500.160000000149012,960241.420000000158325,1014686.280000000027940,1034638.849999999976717,971522.080000000074506,1092534.359999999869615,992704.760000000009313,997742.720000000088476,10081958.179999999701977
20110112,989836.479999999864958,1019517.789999999920838,1024281.619999999995343,956343.520000000018626,1025325.160000000032596,1043156.600000000093132,983958.640000000130385,1086384.039999999804422,999119.540000000037253,1000846.480000000097789,10128769.870000001043081
20110113,996718.030000000027940,1016540.500000000000000,1023685.020000000018626,944260.030000000144355,1018155.480000000097789,1034638.849999999976717,985400.560000000172295,1107071.479999999981374,1000000.000000000000000,1010157.760000000009313,10136627.710000000894070
20110114,995341.720000000088476,1023708.049999999930151,1044148.400000000023283,962320.300000000162981,1018849.319999999948777,1041453.050000000046566,984679.600000000093132,1139780.000000000000000,994717.239999999990687,1000564.320000000065193,10205562.000000000000000
20110118,1018844.859999999986030,1029442.089999999850988,1042239.280000000027940,970375.960000000195578,1019311.880000000004657,1043724.449999999953434,985400.560000000172295,1142855.159999999916181,1000880.459999999962747,969526.720000000088476,10222601.419999999925494
20110119,1011539.830000000074506,1025251.829999999841675,993377.740000000107102,979081.270000000018626,1017230.359999999986030,1040317.350000000093132,981435.280000000144355,1133909.239999999990687,1005156.979999999981374,976298.560000000172295,10163598.440000001341105
20110120,991106.919999999925494,1022384.809999999823049,988604.940000000060536,976612.600000000093132,1018155.480000000097789,1035774.549999999930151,989185.600000000093132,1126920.239999999990687,1000628.899999999906868,976580.720000000088476,10125954.760000001639128
20110121,982002.099999999976717,1034183.699999999953434,991647.599999999976717,974663.650000000139698,1032610.480000000097789,1042588.750000000000000,991348.480000000097789,1129715.839999999850988,1008804.600000000093132,986174.160000000149012,10173739.360000001266599
20110124,1001270.439999999944121,1037712.339999999850988,992244.200000000069849,979471.060000000055879,1044521.399999999906868,1047699.400000000023283,1002523.360000000102445,1112942.239999999990687,1025407.559999999939464,994356.800000000162981,10238148.800000000745058
20110125,999364.780000000027940,1037491.799999999930151,966471.079999999958090,980770.360000000102445,1023474.920000000041910,1048835.100000000093132,1013518.000000000000000,1135586.599999999860302,1028048.940000000060536,1009875.600000000093132,10243437.179999999701977
20110126,1013763.099999999976717,1043666.919999999925494,962473.859999999986030,976742.530000000144355,1035848.399999999906868,1042588.750000000000000,1012977.280000000144355,1125242.879999999888241,1024023.979999999981374,1027087.359999999986030,10264415.060000000521541
20110127,1023079.659999999916181,1044879.889999999897555,978701.380000000004657,966088.270000000018626,1031454.079999999958090,1049402.950000000186265,1020727.600000000093132,1182273.119999999878928,1038866.020000000018626,1029626.800000000162981,10365099.770000001415610
20110128,1013022.010000000009313,1029662.630000000004657,965218.220000000088476,952185.760000000125729,1011217.079999999958090,1030663.899999999906868,1005947.920000000158325,1144252.959999999962747,1024275.540000000037253,1005361.040000000153668,10181807.060000000521541
20110131,1027102.720000000088476,1046864.750000000000000,976255.320000000065193,957253.030000000144355,1016767.800000000046566,1034638.849999999976717,1014058.720000000088476,1147607.679999999701977,1022640.399999999906868,1005078.880000000004657,10248268.150000000372529
20110201,1037689.720000000088476,1061089.579999999841675,986457.180000000051223,954654.430000000051223,1015264.480000000097789,1091423.850000000093132,1023971.920000000158325,1176122.799999999813735,1029306.739999999990687,1023419.280000000144355,10399399.979999998584390
20110202,1049123.680000000167638,1063956.599999999860302,984786.700000000069849,956863.240000000107102,1014801.920000000041910,1076659.750000000000000,1022169.520000000135042,1172768.080000000074506,1033457.479999999981374,1020315.520000000018626,10394902.490000000223517
20110203,1047429.760000000009313,1073109.010000000009313,982340.639999999897555,959331.910000000032596,1017114.720000000088476,1088584.600000000093132,1031902.480000000097789,1203240.119999999878928,1034212.160000000032596,1026523.040000000153668,10463788.440000001341105
20110204,1054417.180000000167638,1070903.609999999869615,983474.180000000051223,962190.369999999995343,1021046.480000000097789,1095966.649999999906868,1034786.320000000065193,1187864.319999999832362,1037985.559999999939464,1024547.920000000158325,10473182.590000001713634
20110207,1063733.739999999757856,1076968.459999999962747,997195.979999999981374,954394.570000000181608,1026828.480000000097789,1081202.549999999813735,1030640.800000000046566,1168854.239999999990687,1052324.479999999981374,1016365.280000000144355,10468508.580000000074506
20110208,1065215.919999999925494,1077850.619999999878928,1005667.700000000069849,979211.200000000069849,1034692.000000000000000,1088016.750000000000000,1043257.600000000093132,1173327.199999999953434,1055091.639999999897555,1025394.400000000139698,10547725.030000001192093
20110209,1056534.580000000074506,1061310.119999999878928,990514.059999999939464,986617.210000000195578,1049840.839999999850988,1081770.399999999906868,1060019.919999999925494,1176122.799999999813735,1056349.439999999944121,1034987.840000000083819,10554067.209999999031425
20110210,1065110.049999999813735,1066382.540000000037253,986516.840000000083819,984408.400000000139698,1046140.359999999986030,1080634.700000000186265,1053711.520000000018626,1186186.959999999962747,1066034.500000000000000,1027651.680000000167638,10562777.550000000745058
20110211,1096235.830000000074506,1063625.790000000037253,994391.959999999962747,989345.740000000107102,1061636.120000000111759,1069277.699999999720603,1063264.240000000223517,1184789.159999999916181,1071694.600000000093132,1026805.200000000069849,10621066.339999999850988
20110214,1093271.470000000204891,1069139.290000000037253,999522.720000000088476,990645.040000000037253,1062792.520000000018626,1081770.399999999906868,1060560.640000000130385,1187025.639999999897555,1071820.379999999888241,1012979.359999999986030,10629527.460000000894070
20110215,1090518.850000000093132,1062412.819999999832362,1001849.459999999962747,989475.670000000158325,1063948.919999999925494,1081770.399999999906868,1069752.880000000353903,1175004.559999999823049,1068298.540000000037253,1028780.320000000065193,10631812.420000001788139
20110216,1096341.699999999720603,1065941.459999999962747,1007218.859999999986030,987786.580000000074506,1067765.040000000037253,1094830.950000000186265,1071735.520000000018626,1188143.879999999888241,1069933.679999999934807,1020597.680000000167638,10670295.349999997764826
20110217,1094330.169999999925494,1071565.229999999981374,997374.959999999962747,987266.860000000102445,1072390.640000000130385,1099941.600000000093132,1077503.200000000186265,1190659.919999999925494,1063393.120000000111759,1026240.880000000004657,10680666.580000000074506
20110218,1120797.669999999925494,1088657.079999999841675,1002625.039999999920838,989215.810000000055879,1075050.359999999869615,1089720.300000000279397,1098050.560000000055879,1197648.919999999925494,1069304.780000000027940,1033294.880000000004657,10764365.400000000372529
20110222,1080037.720000000204891,1106300.279999999795109,972198.440000000060536,983628.820000000181608,1063948.919999999925494,1072684.800000000279397,1091021.200000000186265,1201003.639999999897555,1051066.679999999934807,1015800.960000000079162,10637691.460000000894070
20110223,1058969.589999999850988,1127802.929999999934807,973093.340000000083819,977002.390000000013970,1043827.560000000055879,1065302.750000000000000,1089038.560000000055879,1199605.839999999850988,1041381.620000000111759,1010439.920000000158325,10586464.499999998137355
20110224,1064792.439999999944121,1125156.449999999953434,975181.440000000060536,977262.250000000000000,1041167.840000000083819,1073252.649999999906868,1069392.399999999906868,1195132.879999999888241,1040501.160000000032596,1003950.239999999990687,10565789.750000001862645
20110225,1079931.850000000093132,1125928.339999999850988,985204.320000000065193,967257.640000000013970,1043711.920000000041910,1070981.250000000000000,1074258.880000000353903,1188703.000000000000000,1048676.860000000102445,1014954.480000000097789,10599608.540000000968575
20110228,1089777.760000000242144,1144122.889999999897555,977209.880000000004657,983368.960000000195578,1066608.640000000130385,1092559.549999999813735,1080206.800000000279397,1190380.359999999869615,1050815.120000000111759,1041759.680000000167638,10716809.640000000596046
20110301,1057275.669999999925494,1134749.939999999944121,962473.859999999986030,973104.490000000107102,1046140.359999999986030,1086881.050000000279397,1067409.760000000242144,1186746.080000000074506,1032451.239999999990687,1016365.280000000144355,10563597.730000000447035
