訓練日期,20091029 - 20100202
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11313826.380000000819564
真實報酬,1313826.380000000819564

夏普值報酬,0.122682638000000
夏普值風險,0.036606452786355
夏普值,3.351393775190649

預期報酬,26378.707848609410576
風險,251453.418072306434624
趨勢值,0.104904948402905
找到最佳解世代,10
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AAPL[0](19),BA[2](1),CVX[5](25),DIS[6](12),INTC[11](11),MCD[15](14),MRK[17](3),PFE[20](5),UNH[23](2),V[25](8),
Stock#,AAPL[0](19),BA[2](1),CVX[5](25),DIS[6](12),INTC[11](11),MCD[15](14),MRK[17](3),PFE[20](5),UNH[23](2),V[25](8),
張數,36376,21177,13176,36710,52548,17053,31201,58105,38639,52246,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,23.760000000009313,22.060000000055879,73.359999999986030,19.600000000093132,11.559999999939464,12.079999999958090,7.950000000069849,12.949999999953434,22.680000000051223,11.559999999939464,
20091029,1020370.560000000055879,1033671.430000000051223,1027142.560000000055879,1033039.000000000116415,1009984.119999999878928,1008526.500000000000000,976911.260000000009313,1019755.699999999953434,1022797.010000000009313,1009404.279999999911524,10161602.419999999925494
20091030,979629.439999999944121,1012282.660000000032596,1008564.400000000023283,1004772.300000000162981,1004203.839999999967404,999488.409999999916181,965054.880000000004657,989541.099999999976717,1002704.729999999981374,989550.800000000046566,9955792.560000000521541
20091102,983630.799999999930151,1022235.850000000093132,1009882.000000000000000,1006240.700000000069849,998949.040000000037253,1008867.559999999939464,975351.210000000079162,984892.699999999953434,1020865.060000000172295,1009404.279999999911524,10020319.199999999254942
20091103,980720.720000000088476,1018635.760000000125729,1010672.560000000055879,1013949.800000000162981,972149.559999999939464,1010231.800000000046566,956942.620000000111759,981406.400000000023283,1039798.170000000041910,1014106.419999999925494,9998613.810000000521541
20091104,991633.520000000018626,1018000.450000000069849,1005138.640000000013970,1029000.900000000139698,976878.879999999888241,1028137.449999999953434,1018408.590000000083819,983730.599999999976717,1076891.609999999869615,1022988.239999999874271,10150808.880000000819564
20091105,1008366.479999999981374,1054001.350000000093132,1017787.599999999976717,1064609.600000000093132,992643.279999999911524,1048430.519999999902211,1020592.660000000149012,988960.049999999930151,1090028.870000000111759,1039706.959999999846332,10325127.369999999180436
20091106,1009821.520000000018626,1052095.420000000158325,1021608.640000000013970,1048457.200000000069849,994745.199999999953434,1052523.239999999757856,1016848.540000000153668,985473.750000000000000,1107802.810000000055879,1040751.880000000004657,10330128.200000001117587
20091109,1046925.040000000037253,1087461.010000000009313,1023321.519999999902211,1064609.600000000093132,1022595.640000000013970,1068212.000000000000000,1043057.380000000004657,1012783.099999999976717,1125576.750000000000000,1060082.899999999906868,10554624.939999999478459
20091110,1054927.760000000009313,1065648.699999999953434,1032281.200000000069849,1069014.800000000046566,1024697.559999999939464,1062072.919999999925494,1048673.560000000055879,1020336.749999999883585,1119394.509999999776483,1059037.979999999981374,10556085.740000000223517
20091111,1056382.800000000046566,1073272.420000000158325,1034521.119999999995343,1075255.500000000000000,1042563.879999999888241,1071452.069999999832362,1036505.170000000041910,1023823.050000000046566,1134850.109999999869615,1055380.759999999776483,10604006.879999998956919
20091112,1049835.119999999878928,1064801.620000000111759,1020159.280000000027940,1066445.100000000093132,1034156.199999999953434,1060197.089999999850988,1029016.929999999934807,1023823.050000000046566,1111280.320000000298023,1043886.640000000013970,10503601.350000001490116
20091113,1062566.719999999972060,1073272.420000000158325,1027010.799999999930151,1117472.000000000232831,1041512.919999999925494,1084241.819999999832362,1032761.050000000162981,1022079.899999999906868,1123644.799999999813735,1044931.559999999939464,10629493.990000000223517
20091116,1073843.280000000027940,1111391.020000000018626,1035838.719999999972060,1127016.600000000093132,1063057.600000000093132,1100442.169999999925494,1054913.760000000242144,1042416.650000000023283,1126349.529999999795109,1039184.500000000000000,10774453.829999998211861
20091117,1075662.080000000074506,1112449.870000000111759,1038473.920000000041910,1133257.300000000046566,1067786.919999999925494,1084071.290000000037253,1069890.240000000223517,1042416.650000000023283,1119394.509999999776483,1052246.000000000000000,10795648.779999999329448
20091118,1070205.680000000167638,1101649.600000000093132,1039923.280000000027940,1125915.300000000046566,1057277.319999999832362,1091063.020000000018626,1096411.090000000316650,1056942.900000000139698,1115530.609999999869615,1050156.160000000149012,10805074.959999999031425
20091119,1041832.400000000023283,1089155.170000000158325,1019105.200000000069849,1109028.700000000186265,1014187.959999999962747,1081342.810000000055879,1102339.279999999795109,1052294.500000000000000,1106257.250000000000000,1047543.859999999986030,10663087.129999998956919
20091120,1038922.319999999948777,1094872.960000000195578,1011594.879999999888241,1101686.700000000186265,1011035.079999999841675,1090892.489999999757856,1137596.410000000149012,1066820.750000000000000,1103552.520000000018626,1044931.559999999939464,10701905.669999999925494
20091123,1069841.919999999925494,1114567.570000000065193,1037551.599999999976717,1118940.400000000139698,1019442.759999999892898,1091233.549999999813735,1136348.370000000111759,1076698.600000000093132,1123644.799999999813735,1050678.620000000111759,10838948.190000001341105
20091124,1062566.719999999972060,1100590.750000000000000,1041372.640000000013970,1109762.900000000139698,1018917.279999999911524,1095155.739999999757856,1130108.169999999925494,1063915.499999999767169,1142191.520000000018626,1053290.919999999925494,10817872.139999998733401
20091125,1061111.680000000167638,1120920.670000000158325,1049410.000000000000000,1123712.700000000186265,1016289.879999999888241,1099077.930000000167638,1141028.520000000018626,1080184.899999999906868,1141418.740000000223517,1068442.259999999776483,10901597.280000001192093
20091127,1042559.920000000041910,1110755.710000000195578,1030041.280000000027940,1114168.100000000093132,1004203.839999999967404,1084582.879999999888241,1132292.240000000223517,1060429.199999999953434,1137554.840000000316650,1049111.239999999757856,10765699.250000000000000
20091130,1038922.319999999948777,1109908.629999999888241,1028328.400000000023283,1109395.800000000046566,1008933.159999999916181,1078614.330000000074506,1129796.160000000149012,1055780.800000000046566,1107802.810000000055879,1057993.060000000055879,10725475.470000000670552
