訓練日期,20181017 - 20190122
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9967215.900000002235174
真實報酬,-32784.099999997764826

夏普值報酬,-0.011978410000000
夏普值風險,0.030597747974503
夏普值,-0.391480118405491

預期報酬,1981.765257353332800
風險,351678.355602509458549
趨勢值,0.005635164137293
找到最佳解世代,42
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AAPL[0](27),CSCO[4](12),INTC[11](6),KO[14](5),MCD[15](2),PFE[20](7),PG[21](1),VZ[26](4),WBA[27](13),
Stock#,AAPL[0](27),CSCO[4](12),INTC[11](6),KO[14](5),MCD[15](2),PFE[20](7),PG[21](1),VZ[26](4),WBA[27](13),
張數,5001,24249,24186,24425,6772,25292,13715,20691,14566,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,138.849999999860302,21.820000000065193,6.160000000149012,17.750000000000000,28.959999999962747,33.439999999944121,58.849999999860302,4.300000000046566,16.520000000018626,
20181017,1106310.039999999804422,1114020.880000000121072,1109901.700000000186265,1120148.250000000000000,1129395.400000000139698,1127297.879999999888241,1122768.749999999767169,1116490.660000000149012,1121307.200000000186265,10067641.760000001639128
20181018,1080454.869999999878928,1102381.360000000102445,1087650.580000000074506,1114042.000000000000000,1129666.280000000027940,1112881.439999999944121,1100550.449999999720603,1130767.449999999953434,1115480.800000000046566,9973876.230000000447035
20181019,1096908.159999999916181,1099471.480000000214204,1064190.160000000149012,1131628.000000000000000,1134271.239999999990687,1125527.439999999944121,1197378.349999999860302,1135940.199999999953434,1126696.619999999878928,10112012.649999998509884
20181022,1103609.500000000000000,1109656.060000000055879,1088618.020000000018626,1122835.000000000000000,1128447.319999999832362,1122239.479999999981374,1187777.849999999860302,1137595.479999999981374,1131066.420000000158325,10131846.130000000819564
20181023,1114011.579999999841675,1101411.400000000139698,1076283.160000000149012,1132360.750000000000000,1199688.760000000009313,1115410.639999999897555,1195458.249999999767169,1183736.410000000149012,1125385.680000000167638,10243747.629999998956919
20181024,1075803.939999999944121,1068675.250000000000000,1025976.280000000144355,1141398.000000000000000,1201043.159999999916181,1074437.599999999860302,1227002.749999999767169,1188081.520000000018626,1080813.719999999972060,10083233.220000000670552
20181025,1099358.649999999906868,1102623.850000000093132,1071687.820000000298023,1136024.500000000000000,1187228.280000000027940,1097959.159999999916181,1220693.849999999860302,1167597.429999999934807,1103245.359999999869615,10186419.900000000372529
20181026,1081855.149999999906868,1073040.070000000065193,1105064.500000000000000,1121613.750000000000000,1173887.439999999944121,1077472.639999999897555,1205058.749999999767169,1148561.709999999962747,1110382.700000000186265,10096937.710000000894070
20181029,1061551.089999999850988,1063097.980000000214204,1098050.560000000055879,1134803.250000000000000,1173142.519999999785796,1093406.599999999860302,1210270.449999999720603,1168631.979999999981374,1118976.639999999897555,10121932.070000000298023
20181030,1066852.149999999906868,1081042.239999999990687,1155129.520000000018626,1163380.500000000000000,1208763.239999999990687,1084807.320000000065193,1223299.699999999720603,1203806.679999999934807,1147817.320000000065193,10334899.669999999925494
20181031,1094657.709999999962747,1109413.570000000065193,1133845.840000000316650,1169486.750000000000000,1197995.760000000009313,1089106.959999999962747,1216305.050000000046566,1181253.490000000223517,1161946.339999999850988,10354012.470000000670552
20181101,1111461.069999999832362,1106988.669999999925494,1166255.080000000074506,1166067.250000000000000,1184316.319999999832362,1104535.080000000074506,1228785.699999999953434,1159734.850000000093132,1163839.920000000158325,10391984.940000001341105
20181102,1037746.329999999841675,1102866.340000000083819,1139408.620000000111759,1172417.750000000000000,1196979.959999999962747,1085819.000000000000000,1231803.000000000000000,1171735.630000000121072,1155100.320000000065193,10293877.950000001117587
20181105,1008290.439999999827705,1118870.680000000167638,1160208.580000000074506,1189271.000000000000000,1221630.039999999804422,1100741.280000000027940,1250866.849999999860302,1183736.410000000149012,1164859.540000000037253,10398475.820000000298023
20181106,1019192.619999999878928,1127600.320000000065193,1142794.660000000149012,1199529.500000000000000,1237341.080000000074506,1087842.359999999869615,1255118.500000000000000,1183736.410000000149012,1174036.119999999878928,10427192.569999998435378
20181107,1050098.799999999813735,1161548.919999999925494,1178348.080000000074506,1205880.000000000000000,1247769.959999999962747,1122998.239999999990687,1252101.199999999953434,1192840.449999999953434,1193117.580000000074506,10604704.230000000447035
20181108,1042797.339999999850988,1174643.380000000121072,1184878.300000000279397,1204903.000000000000000,1256099.519999999785796,1109087.639999999897555,1253061.249999999767169,1205668.870000000111759,1200837.560000000055879,10631977.859999999403954
20181109,1022693.319999999832362,1142392.209999999962747,1163594.620000000111759,1213451.750000000000000,1259214.639999999897555,1119963.199999999953434,1267461.999999999767169,1209600.160000000149012,1200109.260000000009313,10598482.160000000149012
20181112,971183.019999999785796,1106261.199999999953434,1128283.060000000055879,1218092.500000000000000,1248582.600000000093132,1115663.559999999823049,1271439.349999999860302,1214979.820000000065193,1191660.979999999981374,10466147.089999997988343
20181113,961481.079999999841675,1094136.699999999953434,1146180.700000000186265,1217848.250000000000000,1246144.679999999934807,1100741.280000000027940,1281999.899999999906868,1213738.359999999869615,1193263.239999999990687,10455535.189999999478459
20181114,934325.649999999906868,1074979.989999999990687,1138924.900000000139698,1215405.750000000000000,1245061.159999999916181,1085313.159999999916181,1282274.199999999720603,1219531.840000000083819,1187436.839999999850988,10383254.490000000223517
20181115,957380.259999999892898,1134147.550000000046566,1163594.620000000111759,1214917.250000000000000,1243097.280000000027940,1092900.760000000009313,1286937.299999999813735,1222428.580000000074506,1198652.660000000149012,10514057.259999999776483
20181116,967982.379999999888241,1123962.970000000204891,1181008.540000000037253,1225420.000000000000000,1270388.439999999944121,1100488.359999999869615,1286800.149999999674037,1245809.410000000149012,1202002.839999999850988,10603864.089999999850988
20181119,929624.709999999962747,1109413.570000000065193,1160934.160000000149012,1233724.500000000000000,1264496.800000000046566,1117434.000000000000000,1279531.199999999953434,1254292.719999999972060,1193263.239999999990687,10542715.900000000372529
20181120,885215.829999999841675,1078859.830000000074506,1146180.700000000186265,1206124.250000000000000,1244113.080000000074506,1100994.199999999953434,1263210.349999999860302,1230291.160000000149012,1162237.660000000149012,10317228.060000000521541
20181121,884215.629999999888241,1088559.430000000167638,1137473.740000000223517,1190248.000000000000000,1237408.800000000046566,1090118.639999999897555,1253746.999999999767169,1224083.859999999869615,1161800.680000000167638,10267656.779999999329448
20181123,861761.139999999781139,1080072.280000000027940,1125622.600000000093132,1197331.250000000000000,1232058.919999999925494,1091130.320000000065193,1255529.949999999953434,1213324.540000000037253,1177094.979999999981374,10233926.980000000447035
20181126,873413.469999999855645,1105048.750000000000000,1147631.860000000102445,1193667.500000000000000,1245332.039999999804422,1096188.719999999972060,1261015.949999999720603,1224290.770000000018626,1190058.719999999972060,10336648.779999999329448
