訓練日期,20130606 - 20130906
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10599512.260000001639128
真實報酬,599512.260000001639128

夏普值報酬,0.051251226000000
夏普值風險,0.028631191931366
夏普值,1.790048633771791

預期報酬,10689.196361074033121
風險,186664.020226136286510
趨勢值,0.057264363791825
找到最佳解世代,40
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AAPL[0](10),AXP[1](23),DD[7](5),GS[8](17),HD[9](11),MRK[17](26),NKE[19](6),UNH[23](1),UTX[24](2),
Stock#,AAPL[0](10),AXP[1](23),DD[7](5),GS[8](17),HD[9](11),MRK[17](26),NKE[19](6),UNH[23](1),UTX[24](2),
張數,17473,14862,23181,7019,14795,22801,35981,17993,11946,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,2.929999999934807,27.879999999888241,45.669999999925494,3.299999999813735,6.500000000000000,18.270000000018626,17.719999999972060,43.250000000000000,13.540000000037253,
20130606,1094511.649999999906868,1133106.759999999776483,1118760.729999999981374,1120797.219999999972060,1143068.200000000186265,1108146.870000000111759,1118307.199999999953434,1114169.810000000055879,1108005.040000000037253,10058874.480000000447035
20130607,1102898.689999999944121,1159858.359999999869615,1134060.189999999944121,1165227.489999999757856,1164964.799999999813735,1098798.459999999962747,1129101.500000000000000,1125865.260000000009313,1128910.540000000037253,10209686.289999999105930
20130610,1095560.030000000027940,1163425.239999999990687,1133364.760000000009313,1175615.609999999869615,1150021.850000000093132,1104954.729999999981374,1134138.839999999850988,1145837.489999999990687,1124609.979999999981374,10227529.530000001192093
20130611,1092240.159999999916181,1137268.119999999878928,1122469.689999999944121,1146276.189999999944121,1148246.449999999953434,1084433.830000000074506,1118307.199999999953434,1150335.739999999990687,1119114.820000000065193,10118693.200000001117587
20130612,1078785.949999999953434,1110516.519999999785796,1115515.389999999897555,1136098.639999999897555,1130344.500000000000000,1077365.520000000018626,1104994.229999999981374,1148536.439999999944121,1107168.820000000065193,10009327.009999999776483
20130613,1088221.369999999878928,1117798.899999999906868,1143796.209999999962747,1163893.879999999655411,1132267.850000000093132,1092186.169999999925494,1111111.000000000000000,1154294.200000000186265,1126401.880000000121072,10129972.459999999031425
20130614,1073544.049999999813735,1084508.019999999785796,1122701.500000000000000,1143538.779999999795109,1133155.550000000046566,1093326.219999999972060,1113629.669999999925494,1147996.649999999906868,1123176.459999999962747,10035577.899999998509884
20130617,1078261.760000000009313,1097437.959999999962747,1127105.889999999897555,1151891.389999999897555,1126497.800000000046566,1089906.070000000065193,1114349.290000000037253,1158252.660000000149012,1134644.620000000111759,10078348.440000001341105
20130618,1077737.569999999832362,1114380.639999999897555,1142868.969999999972060,1152172.149999999906868,1142032.550000000046566,1088766.020000000018626,1118307.199999999953434,1181823.490000000223517,1148860.360000000102445,10166949.949999999254942
20130619,1055896.319999999832362,1103234.139999999897555,1125715.030000000027940,1133992.939999999944121,1123390.850000000093132,1084889.850000000093132,1111111.000000000000000,1174266.430000000167638,1125087.820000000065193,10037585.379999998956919
20130620,1040520.079999999841675,1083764.919999999925494,1095811.540000000037253,1090826.089999999850988,1092913.150000000139698,1055932.580000000074506,1093480.310000000055879,1147996.649999999906868,1103226.639999999897555,9804472.960000000894070
20130621,1032133.039999999920838,1089561.099999999860302,1077266.739999999990687,1082684.049999999813735,1092173.399999999906868,1071665.270000000018626,1089882.209999999962747,1149795.949999999953434,1101195.820000000065193,9786358.580000000074506
20130624,1004875.159999999916181,1070240.500000000000000,1067994.339999999850988,1058328.119999999878928,1087586.950000000186265,1058212.679999999934807,1078728.100000000093132,1163290.700000000186265,1092953.080000000074506,9682210.630000000819564
20130625,1005049.890000000013970,1088372.139999999897555,1072862.349999999860302,1074331.439999999944121,1096907.800000000046566,1054108.500000000000000,1086643.919999999925494,1146737.139999999897555,1096417.420000000158325,9721431.599999999627471
20130626,993692.439999999944121,1098329.679999999934807,1063126.329999999841675,1064504.839999999850988,1119544.150000000139698,1064596.959999999962747,1112910.050000000046566,1165629.790000000037253,1110752.620000000111759,9793087.859999999403954
20130627,982859.179999999934807,1116461.320000000065193,1067994.339999999850988,1077489.989999999757856,1128421.149999999906868,1078049.550000000046566,1121185.679999999934807,1189200.620000000111759,1117084.000000000000000,9878746.830000000074506
20130628,989848.379999999888241,1111111.000000000000000,1061967.280000000027940,1061627.049999999813735,1146175.149999999906868,1059124.719999999972060,1145652.760000000009313,1178224.890000000130385,1110274.780000000027940,9864007.009999997913837
20130701,1021474.509999999892898,1124189.559999999823049,1072862.349999999860302,1065136.549999999813735,1137298.150000000139698,1056160.590000000083819,1121545.489999999990687,1180923.839999999850988,1131777.580000000074506,9911369.619999999180436
20130702,1044538.869999999995343,1109030.320000000065193,1071007.869999999878928,1059310.779999999795109,1143807.949999999953434,1061404.820000000065193,1126582.829999999841675,1174446.359999999869615,1120548.340000000083819,9910679.140000000596046
20130703,1050304.959999999962747,1108435.839999999850988,1070544.250000000000000,1055871.469999999972060,1150021.850000000093132,1061404.820000000065193,1130900.550000000046566,1179304.470000000204891,1131658.120000000111759,9938447.329999998211861
20130705,1041917.919999999925494,1134147.099999999860302,1079121.219999999972060,1075594.859999999869615,1158307.050000000046566,1075313.429999999934807,1144933.139999999897555,1190640.060000000055879,1153160.920000000158325,10053136.699999999254942
20130708,1035977.099999999976717,1144996.359999999869615,1092334.389999999897555,1079595.689999999944121,1172066.399999999906868,1081013.679999999934807,1146372.379999999888241,1215650.330000000074506,1158536.620000000111759,10126543.949999999254942
20130709,1054323.750000000000000,1153467.699999999953434,1123165.119999999878928,1101565.159999999683350,1179168.000000000000000,1085801.889999999897555,1150330.290000000037253,1223027.459999999962747,1170960.459999999962747,10241810.830000001937151
20130710,1050130.229999999981374,1134444.339999999850988,1115515.389999999897555,1093774.069999999832362,1174729.500000000000000,1093554.229999999981374,1144213.520000000018626,1217989.419999999925494,1168212.880000000121072,10192564.580000000074506
20130711,1066554.849999999860302,1143510.159999999916181,1128960.369999999878928,1106969.789999999804422,1181535.199999999953434,1101534.580000000074506,1146372.379999999888241,1230044.729999999981374,1190910.280000000027940,10296393.339999999850988
20130712,1064632.819999999832362,1164168.339999999850988,1126410.459999999962747,1123815.389999999897555,1191595.800000000046566,1106778.810000000055879,1145652.760000000009313,1223567.250000000000000,1192582.719999999972060,10339205.349999999627471
20130715,1066904.310000000055879,1157034.579999999841675,1135682.859999999869615,1144100.299999999813735,1189524.500000000000000,1106322.790000000037253,1139895.800000000046566,1216729.910000000149012,1197480.580000000074506,10353676.629999998956919
20130716,1073893.510000000009313,1163276.619999999878928,1121542.449999999953434,1124727.859999999869615,1186861.399999999906868,1099710.500000000000000,1128022.070000000065193,1203954.879999999888241,1194494.080000000074506,10296484.369999999180436
20130717,1074068.239999999990687,1141429.479999999748543,1146577.929999999934807,1133571.799999999813735,1190116.300000000046566,1097430.400000000139698,1139535.989999999990687,1191719.640000000130385,1204887.100000000093132,10319337.879999998956919
20130718,1077737.569999999832362,1099964.500000000000000,1141709.919999999925494,1151540.439999999944121,1183902.399999999906868,1080785.669999999925494,1139176.179999999934807,1269449.399999999906868,1210621.180000000167638,10354888.259999999776483
20130719,1060788.760000000009313,1100707.599999999860302,1144491.639999999897555,1153646.139999999897555,1181979.050000000046566,1089678.060000000055879,1139895.800000000046566,1285643.100000000093132,1224239.620000000111759,10381070.769999999552965
20130722,1064108.629999999888241,1110516.519999999785796,1141941.729999999981374,1166912.049999999813735,1183606.500000000000000,1088081.989999999990687,1138816.369999999878928,1298777.990000000223517,1219819.600000000093132,10412582.380000000819564
20130723,1045936.709999999962747,1105909.299999999813735,1140550.869999999878928,1166982.239999999757856,1186417.550000000046566,1092870.199999999953434,1137017.320000000065193,1307954.419999999925494,1255777.060000000055879,10439416.669999999925494
20130724,1099578.819999999832362,1120028.199999999953434,1134755.619999999878928,1158419.059999999823049,1187601.149999999906868,1089222.040000000037253,1126942.639999999897555,1305075.540000000037253,1254224.080000000074506,10475848.150000000372529
20130725,1094511.649999999906868,1126121.619999999878928,1155154.899999999906868,1164525.589999999850988,1168663.549999999813735,1098342.439999999944121,1124423.969999999972060,1306694.910000000149012,1251834.880000000121072,10490274.509999999776483
20130726,1100801.929999999934807,1119730.959999999962747,1145650.689999999944121,1159963.239999999757856,1164964.799999999813735,1105638.760000000009313,1125143.589999999850988,1299317.779999999795109,1253985.159999999916181,10475197.909999998286366
20130729,1117750.739999999990687,1115569.599999999860302,1155386.709999999962747,1145293.529999999795109,1163929.150000000139698,1102218.610000000102445,1128381.879999999888241,1309753.720000000204891,1255179.760000000009313,10493464.700000001117587
20130730,1131554.409999999916181,1117501.659999999916181,1157473.000000000000000,1140099.469999999972060,1162893.500000000000000,1095606.320000000065193,1130900.550000000046566,1300397.359999999869615,1261152.760000000009313,10497580.029999999329448
20130731,1129632.380000000121072,1096397.619999999878928,1156777.569999999832362,1151329.869999999878928,1169255.350000000093132,1098342.439999999944121,1131979.979999999981374,1310833.299999999813735,1261152.760000000009313,10505702.269999997690320
20130801,1139941.449999999953434,1124040.939999999711290,1168599.879999999888241,1175615.609999999869615,1163485.300000000046566,1107690.850000000093132,1187030.910000000149012,1316411.129999999888241,1280385.820000000065193,10663202.890000000596046
20130802,1154618.770000000018626,1124932.659999999916181,1195721.649999999906868,1176528.079999999841675,1187009.350000000093132,1106778.810000000055879,1192787.869999999878928,1300217.430000000167638,1287433.959999999962747,10726029.580000001937151
20130805,1171742.310000000055879,1128499.540000000037253,1204298.619999999878928,1181441.379999999655411,1178576.199999999953434,1106550.800000000046566,1194586.920000000158325,1319649.870000000111759,1273934.979999999981374,10759281.620000001043081
20130806,1161258.509999999776483,1126716.099999999860302,1190390.020000000018626,1156594.119999999878928,1184346.250000000000000,1104498.709999999962747,1197105.590000000083819,1317850.569999999832362,1256732.739999999990687,10695493.609999999403954
