訓練日期,20141014 - 20150115
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10979294.999999998137355
真實報酬,979294.999999998137355

夏普值報酬,0.089229500000000
夏普值風險,0.036157499440992
夏普值,2.467800632773828

預期報酬,21548.939830246097699
風險,177389.454335041897139
趨勢值,0.121478133584795
找到最佳解世代,11
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
BA[2](16),GS[8](19),HD[9](4),INTC[11](8),JNJ[12](21),KO[14](29),PFE[20](3),UTX[24](2),WBA[27](1),WMT[28](13),
Stock#,BA[2](16),GS[8](19),HD[9](4),INTC[11](8),JNJ[12](21),KO[14](29),PFE[20](3),UTX[24](2),WBA[27](1),WMT[28](13),
張數,8302,5593,11037,31776,10088,22691,35124,10069,16477,12893,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,24.099999999976717,139.389999999897555,47.800000000046566,9.280000000027940,77.439999999944121,7.630000000004657,19.720000000088476,47.609999999986030,10.869999999995343,18.919999999925494,
20141014,1015275.680000000051223,999608.489999999874271,994481.500000000000000,1021289.920000000041910,978714.319999999948777,990242.869999999995343,999648.760000000125729,1008155.890000000013970,1000000.000000000000000,1005415.059999999939464,10012832.490000000223517
20141015,997841.479999999981374,991442.709999999962747,969648.250000000000000,993962.560000000055879,990819.919999999925494,980939.559999999939464,990165.280000000144355,998590.339999999967404,1004284.020000000018626,969572.520000000018626,9887266.639999998733401
20141016,998671.680000000051223,965379.329999999958090,981016.359999999986030,980298.880000000121072,976394.079999999958090,965736.590000000083819,972954.520000000018626,999194.479999999981374,995056.900000000023283,951780.179999999818392,9786483.000000000000000
20141017,1023162.579999999958090,989597.019999999902211,996026.679999999934807,997140.160000000032596,995763.039999999920838,972997.710000000079162,977520.640000000013970,1022353.180000000051223,993079.660000000032596,955390.219999999855645,9923030.889999998733401
20141020,1032045.719999999972060,994798.509999999892898,1013796.250000000000000,1003495.359999999986030,1000807.039999999920838,982301.020000000018626,981033.040000000037253,1021849.729999999981374,991926.270000000018626,968798.939999999944121,9990851.879999998956919
20141021,1055374.339999999850988,1007886.129999999888241,1039733.200000000069849,1036224.640000000013970,1012509.119999999995343,923077.510000000009313,993326.440000000176951,1026884.229999999981374,1014170.219999999972060,980144.779999999911524,10089330.609999999403954
20141022,1008302.000000000000000,989149.579999999958090,1030241.380000000121072,1025420.800000000162981,1021184.799999999930151,921716.049999999930151,994028.920000000158325,1018829.030000000027940,1013346.369999999995343,980273.709999999962747,10002492.640000000596046
20141023,1013117.160000000032596,1007214.969999999855645,1046355.400000000023283,1038766.719999999972060,1035408.879999999888241,927161.890000000013970,1004566.120000000111759,1038967.030000000027940,1022738.260000000009313,983110.169999999925494,10117406.599999999627471
20141024,1014860.579999999958090,1025615.939999999827705,1048452.429999999934807,1054336.959999999962747,1040452.879999999888241,931019.359999999986030,1022479.360000000102445,1045411.189999999944121,1032294.919999999925494,984786.259999999892898,10199709.879999998956919
20141027,1013864.339999999967404,1028748.019999999902211,1053750.189999999944121,1054972.480000000214204,1049935.599999999860302,924892.789999999920838,1019669.440000000176951,1049136.719999999739230,1039874.339999999967404,987493.789999999920838,10222337.709999999031425
20141028,1026234.319999999948777,1042227.149999999906868,1066111.630000000121072,1072131.520000000018626,1057198.959999999962747,920354.590000000083819,1021776.880000000121072,1070080.239999999757856,1049595.770000000018626,984399.469999999855645,10310110.529999999329448
20141029,1021834.260000000009313,1040884.829999999958090,1064235.340000000083819,1077851.200000000186265,1064966.719999999972060,929430.989999999990687,1035826.479999999981374,1065851.259999999776483,1035260.779999999911524,984915.189999999944121,10321057.049999998882413
20141030,1027977.739999999874271,1045862.599999999860302,1076376.040000000037253,1035271.359999999986030,1079896.959999999962747,939415.030000000027940,1048119.880000000121072,1070785.069999999832362,1037402.790000000037253,985688.770000000018626,10346796.239999998360872
20141031,1037026.919999999925494,1062753.459999999962747,1076376.040000000037253,1080711.040000000037253,1087362.079999999841675,950306.710000000079162,1051983.520000000018626,1077430.609999999869615,1058163.810000000055879,983368.029999999911524,10465482.219999998807907
20141103,1046325.160000000032596,1067451.580000000074506,1060593.130000000121072,1090243.840000000083819,1084133.919999999925494,948718.340000000083819,1060413.280000000260770,1070382.310000000055879,1070686.330000000074506,983496.959999999962747,10482444.850000001490116
20141104,1044747.780000000027940,1064319.500000000000000,1059158.320000000065193,1097552.320000000065193,1095836.000000000000000,948945.250000000000000,1063574.439999999944121,1076222.330000000074506,1074970.350000000093132,996132.099999999976717,10521458.390000000596046
20141105,1031298.539999999920838,1061914.510000000009313,1057171.660000000149012,1072767.040000000037253,1097853.599999999860302,960063.840000000083819,1055144.680000000167638,1086794.780000000260770,1081890.689999999944121,1001805.020000000018626,10506704.359999997541308
20141106,1034287.260000000009313,1068402.389999999897555,1073837.530000000027940,1074673.600000000093132,1099770.320000000065193,959610.020000000018626,1055144.680000000167638,1093339.629999999888241,1098202.919999999925494,1003223.250000000000000,10560491.599999999627471
20141107,1033208.000000000000000,1066780.419999999925494,1077810.850000000093132,1067047.359999999869615,1091599.040000000037253,960290.750000000000000,1050929.800000000279397,1098374.129999999888241,1102651.709999999962747,1015600.529999999911524,10564292.590000001713634
20141110,1034785.380000000004657,1072876.790000000037253,1083439.719999999972060,1056879.040000000037253,1097853.599999999860302,961879.119999999995343,1060764.520000000018626,1097568.609999999869615,1116821.930000000167638,1024238.839999999850988,10607107.549999998882413
20141111,1040762.819999999948777,1073324.229999999981374,1083218.979999999981374,1058467.840000000083819,1098761.520000000018626,964602.039999999920838,1064979.399999999906868,1090117.549999999813735,1112208.370000000111759,1018694.849999999976717,10605137.599999999627471
20141112,1044996.839999999967404,1063816.129999999888241,1087081.929999999934807,1060692.160000000149012,1097147.439999999944121,969140.239999999990687,1068491.800000000279397,1088909.270000000018626,1111219.750000000000000,1021144.520000000018626,10612640.080000000074506
20141113,1067080.160000000149012,1064151.709999999962747,1092710.800000000046566,1070224.959999999962747,1100375.599999999860302,970955.520000000018626,1068491.800000000279397,1088909.270000000018626,1103310.790000000037253,1069364.339999999850988,10695574.949999999254942
20141114,1069819.820000000298023,1062697.529999999795109,1084322.679999999934807,1078804.480000000214204,1091195.520000000018626,969594.059999999939464,1065681.879999999888241,1081961.660000000149012,1102816.479999999981374,1069622.199999999953434,10676516.310000000521541
20141117,1066166.939999999944121,1062417.879999999888241,1082004.910000000149012,1088019.520000000018626,1092607.839999999850988,973905.350000000093132,1064979.399999999906868,1081156.140000000130385,1096555.219999999739230,1077486.929999999934807,10685300.129999998956919
20141118,1084763.419999999925494,1060795.909999999916181,1059379.060000000055879,1102954.239999999990687,1097954.479999999981374,987746.859999999986030,1074462.879999999888241,1095554.810000000055879,1121435.490000000223517,1080323.389999999897555,10765370.540000000968575
20141119,1092650.320000000298023,1058279.059999999823049,1067325.700000000186265,1091514.880000000121072,1097248.320000000065193,1003403.650000000023283,1069194.280000000260770,1094145.149999999906868,1116986.700000000186265,1095794.989999999757856,10786543.050000002607703
20141120,1093397.500000000000000,1061411.139999999897555,1076927.889999999897555,1142356.480000000214204,1091397.280000000027940,1004084.380000000004657,1069194.280000000260770,1095756.189999999944121,1109572.050000000279397,1090508.859999999869615,10834606.050000000745058
