訓練日期,20150616 - 20150916
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10130103.649999998509884
真實報酬,130103.649999998509884

夏普值報酬,0.004310365000000
夏普值風險,0.026730618215183
夏普值,0.161251975741866

預期報酬,3442.791002081884926
風險,308617.183662400289904
趨勢值,0.011155538914670
找到最佳解世代,84
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
GS[8](22),HD[9](1),KO[14](7),MMM[16](17),MSFT[18](12),NKE[19](2),TRV[22](6),UNH[23](8),V[25](5),WBA[27](4),
Stock#,GS[8](22),HD[9](1),KO[14](7),MMM[16](17),MSFT[18](12),NKE[19](2),TRV[22](6),UNH[23](8),V[25](5),WBA[27](4),
張數,4722,9090,25258,6415,21987,19349,10122,8404,14583,11845,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,69.280000000027940,9.099999999976717,35.779999999911524,93.949999999953434,31.240000000107102,43.680000000051223,47.619999999878928,92.079999999958090,43.690000000060536,45.099999999976717,
20150616,1008499.600000000093132,1001999.800000000046566,1012376.419999999925494,1003977.300000000046566,1007695.450000000069849,1011609.400000000023283,1007085.399999999790452,1021598.279999999911524,1006416.520000000135042,1017293.699999999953434,10098551.869999999180436
20150617,1005524.740000000107102,1004181.400000000023283,1017175.439999999944121,1006928.199999999837019,1010773.630000000121072,1013544.300000000046566,1010020.779999999911524,1006387.039999999920838,1002624.940000000060536,1014214.000000000000000,10091374.470000000670552
20150618,1013410.479999999981374,1016725.599999999976717,1026773.479999999864958,1024056.250000000000000,1027263.880000000121072,1025540.680000000051223,1027126.959999999846332,1016051.640000000013970,1013562.190000000060536,1040036.099999999976717,10230547.259999999776483
20150619,1006752.459999999962747,1021997.800000000046566,1020458.979999999864958,1019758.199999999837019,1013631.940000000176951,1030764.910000000149012,1006680.519999999902211,1011345.399999999906868,1001749.960000000079162,1048564.499999999883585,10181704.669999999925494
20150622,1022429.500000000000000,1027815.399999999906868,1022479.619999999878928,1024441.150000000023283,1016490.250000000000000,1033280.280000000027940,1012652.500000000000000,1010673.079999999958090,1007583.160000000149012,1039443.849999999976717,10217288.790000000968575
20150623,1031354.080000000074506,1028815.300000000046566,1019953.819999999948777,1025467.549999999930151,1009454.410000000032596,1037150.080000000074506,1012247.619999999878928,1031599.039999999920838,1012395.550000000046566,1031626.150000000023283,10240063.600000001490116
20150624,1012607.740000000107102,1021270.599999999976717,1015154.799999999813735,1010713.049999999930151,1003517.920000000158325,1027669.070000000065193,999898.779999999911524,1001596.760000000009313,1004229.070000000065193,1020491.850000000093132,10117149.639999998733401
20150625,1005005.319999999948777,1020270.699999999953434,1010860.939999999944121,1000320.749999999883585,1003737.790000000037253,1017994.570000000065193,990080.439999999944121,1028153.399999999906868,1000729.150000000139698,1022979.299999999930151,10100132.360000001266599
20150626,1006658.020000000018626,1023543.099999999976717,1010355.779999999911524,1007826.299999999930151,995162.860000000102445,1061529.819999999832362,991193.859999999869615,1035885.079999999958090,1002624.940000000060536,1027835.749999999883585,10162615.509999997913837
20150629,980592.580000000074506,1004817.700000000069849,995200.979999999864958,987683.199999999837019,975594.430000000051223,1041793.840000000083819,973176.699999999837019,1018572.839999999967404,973021.450000000069849,998341.699999999953434,9948795.419999998062849
