訓練日期,20180117 - 20180419
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10336443.780000001192093
真實報酬,336443.780000001192093

夏普值報酬,0.024944378000000
夏普值風險,0.020039011510855
夏普值,1.244790841428880

預期報酬,4590.589005284782615
風險,239041.510922111308901
趨勢值,0.019204149888345
找到最佳解世代,83
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,8
BA[2](7),CSCO[4](2),INTC[11](1),MRK[17](27),NKE[19](4),TRV[22](5),UTX[24](13),V[25](6),
Stock#,BA[2](7),CSCO[4](2),INTC[11](1),MRK[17](27),NKE[19](4),TRV[22](5),UTX[24](13),V[25](6),
張數,3729,30833,28975,20138,19709,9223,9330,10382,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,188.359999999869615,30.179999999934807,18.500000000000000,34.340000000083819,55.219999999972060,99.039999999804422,59.899999999906868,111.020000000018626,
20180117,1309104.649999999906868,1270349.780000000027940,1286218.750000000000000,1249194.480000000214204,1257686.510000000009313,1262358.819999999832362,1254198.499999999767169,1266507.380000000121072,10155618.870000001043081
20180118,1268645.000000000000000,1273433.079999999841675,1288826.500000000000000,1231070.280000000027940,1263599.209999999962747,1266785.859999999869615,1255971.199999999953434,1278239.040000000037253,10126570.169999998062849
20180119,1259583.530000000027940,1273124.750000000000000,1298678.000000000000000,1234090.980000000214204,1324697.109999999869615,1271489.589999999850988,1268006.899999999906868,1273982.420000000158325,10203653.280000001192093
20180122,1260590.359999999869615,1284532.959999999729916,1325624.750000000000000,1233486.840000000083819,1308535.729999999981374,1285324.089999999850988,1261569.199999999953434,1290905.080000000074506,10250569.009999997913837
20180123,1251603.469999999739230,1298099.479999999981374,1334607.000000000000000,1242548.940000000176951,1323317.479999999981374,1349055.019999999785796,1269219.799999999813735,1294227.320000000065193,10362678.509999997913837
20180124,1248247.369999999878928,1300257.790000000037253,1318670.750000000000000,1232077.180000000167638,1340267.219999999972060,1361598.299999999813735,1265954.300000000046566,1293189.119999999878928,10360262.029999999329448
20180125,1279645.549999999813735,1291932.879999999888241,1312586.000000000000000,1234493.739999999990687,1334551.609999999869615,1369437.849999999860302,1285267.399999999906868,1300145.060000000055879,10408060.089999999850988
20180126,1280055.739999999990687,1312282.659999999916181,1451086.500000000000000,1249395.860000000102445,1341055.580000000074506,1378199.699999999720603,1287413.299999999813735,1311565.260000000009313,10611054.599999999627471
20180129,1271106.139999999897555,1321224.229999999981374,1448189.000000000000000,1241139.280000000027940,1331989.439999999944121,1373957.119999999878928,1275190.999999999767169,1296199.900000000139698,10558996.109999999403954
20180130,1259508.949999999720603,1302724.429999999934807,1413708.750000000000000,1221404.040000000037253,1327062.189999999944121,1371743.599999999860302,1273604.899999999906868,1282807.119999999878928,10452563.979999998584390
20180131,1321634.089999999850988,1280833.000000000000000,1394875.000000000000000,1193210.840000000083819,1344603.199999999953434,1382811.199999999720603,1287693.199999999720603,1289866.880000000121072,10495527.410000000149012
20180201,1331217.619999999878928,1285766.280000000027940,1380677.250000000000000,1205495.020000000018626,1333369.070000000065193,1383549.039999999804422,1290585.499999999767169,1305336.060000000055879,10515995.839999999850988
20180202,1301273.750000000000000,1262024.869999999878928,1337214.750000000000000,1179315.620000000111759,1324894.199999999953434,1364641.889999999664724,1255971.199999999953434,1255398.639999999897555,10280734.919999999925494
20180205,1226581.879999999888241,1195733.919999999925494,1289985.500000000000000,1135817.540000000037253,1269117.729999999981374,1305338.000000000000000,1187209.099999999860302,1207226.159999999916181,9817009.830000000074506
20180206,1271441.750000000000000,1238591.790000000037253,1301285.750000000000000,1116887.820000000065193,1285476.199999999953434,1299158.589999999850988,1211187.199999999953434,1245639.560000000055879,9969668.660000000149012
20180207,1298327.839999999850988,1243833.400000000139698,1309688.500000000000000,1125345.780000000027940,1293556.889999999897555,1311056.259999999776483,1231340.000000000000000,1242317.320000000065193,10055465.990000000223517
20180208,1229490.500000000000000,1195425.590000000083819,1238699.750000000000000,1102187.080000000074506,1231670.630000000121072,1245296.269999999785796,1189448.300000000046566,1182205.540000000037253,9614423.660000000149012
20180209,1241311.429999999701977,1218858.669999999925494,1273469.750000000000000,1105006.400000000139698,1290797.629999999888241,1264387.879999999888241,1166589.799999999813735,1207745.260000000009313,9768166.819999998435378
20180212,1282218.559999999823049,1251849.979999999981374,1298967.750000000000000,1116283.680000000167638,1300455.040000000037253,1274164.259999999776483,1188515.299999999813735,1230066.560000000055879,9942521.130000000819564
20180213,1279832.000000000000000,1271274.769999999785796,1288247.000000000000000,1105610.540000000037253,1298287.050000000046566,1278222.379999999888241,1173493.999999999767169,1228820.719999999972060,9923788.459999999031425
20180214,1286134.010000000009313,1297791.150000000139698,1314904.000000000000000,1105610.540000000037253,1339478.859999999869615,1296852.839999999850988,1182170.899999999906868,1254568.080000000074506,10077510.380000000819564
20180215,1329427.699999999720603,1359148.819999999832362,1330550.500000000000000,1127560.960000000195578,1345982.830000000074506,1299435.279999999795109,1212959.899999999906868,1269621.979999999981374,10274687.970000000670552
20180216,1324132.520000000018626,1366857.069999999832362,1320119.500000000000000,1133602.360000000102445,1346179.919999999925494,1302017.719999999739230,1206055.699999999720603,1265157.719999999972060,10264122.509999999776483
20180220,1317830.510000000009313,1358532.159999999916181,1342140.500000000000000,1107221.580000000074506,1330215.629999999888241,1282741.649999999674037,1179931.699999999953434,1266818.840000000083819,10185432.569999998435378
20180221,1314176.089999999850988,1335407.409999999916181,1331130.000000000000000,1098562.239999999990687,1321543.669999999925494,1277853.459999999729916,1206055.699999999720603,1250415.280000000027940,10135143.849999999627471
20180222,1327414.040000000037253,1323999.199999999953434,1327073.500000000000000,1098965.000000000000000,1323120.389999999897555,1269552.759999999776483,1246361.300000000046566,1249896.179999999934807,10166382.369999999180436
20180223,1330173.500000000000000,1356682.179999999934807,1382995.250000000000000,1105006.400000000139698,1343420.659999999916181,1288921.059999999823049,1242349.399999999906868,1276370.280000000027940,10325918.729999998584390
20180226,1355605.280000000027940,1398615.059999999823049,1422980.750000000000000,1128970.620000000111759,1372787.070000000065193,1315114.379999999888241,1263995.000000000000000,1293604.400000000139698,10551672.560000000521541
20180227,1359930.919999999925494,1388748.500000000000000,1446160.750000000000000,1101985.699999999953434,1340858.489999999990687,1305522.459999999729916,1249440.199999999953434,1280938.360000000102445,10473585.379999998956919
20180228,1350869.449999999720603,1380731.919999999925494,1428196.250000000000000,1091916.699999999953434,1321149.489999999990687,1282096.039999999804422,1257184.100000000093132,1276474.100000000093132,10388618.049999998882413
20180301,1304182.369999999878928,1350515.579999999841675,1386182.500000000000000,1081444.940000000176951,1307156.099999999860302,1281819.349999999860302,1215758.899999999906868,1250103.820000000065193,10177163.559999998658895
20180302,1285462.790000000037253,1358532.159999999916181,1419214.000000000000000,1094736.020000000018626,1298681.229999999981374,1271766.279999999795109,1212400.099999999860302,1253945.159999999916181,10194737.740000000223517
20180305,1315593.109999999869615,1372715.340000000083819,1441524.750000000000000,1095541.540000000037253,1282125.669999999925494,1287445.379999999888241,1228914.199999999953434,1265469.179999999934807,10289329.169999999925494
20180306,1301311.040000000037253,1365623.750000000000000,1469340.750000000000000,1093527.739999999990687,1285870.379999999888241,1304139.009999999776483,1227981.199999999953434,1256955.939999999944121,10304749.809999998658895
20180307,1294300.520000000018626,1362848.780000000027940,1487015.500000000000000,1096951.199999999953434,1264781.750000000000000,1280989.279999999795109,1221636.800000000046566,1265157.719999999972060,10273681.550000000745058
