訓練日期,20190510 - 20190812
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10379155.280000001192093
真實報酬,379155.280000001192093

夏普值報酬,0.029215528000000
夏普值風險,0.024129602208043
夏普值,1.210775368284410

預期報酬,11271.141561415688557
風險,146549.200307490216801
趨勢值,0.076910290453762
找到最佳解世代,61
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,7
HD[9](8),IBM[10](14),KO[14](3),MRK[17](9),PG[21](2),VZ[26](21),XOM[29](28),
Stock#,HD[9](8),IBM[10](14),KO[14](3),MRK[17](9),PG[21](2),VZ[26](21),XOM[29](28),
張數,7341,10555,30138,18237,13704,25293,18608,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,159.219999999972060,57.300000000046566,29.800000000046566,66.790000000037253,66.040000000037253,22.360000000102445,34.840000000083819,
20190510,1428571.000000000000000,1428359.899999999906868,1452380.020000000018626,1426017.820000000065193,1452827.080000000074506,1439446.989999999990687,1424663.320000000065193,10052269.130000000819564
20190513,1397445.159999999916181,1387195.399999999906868,1448160.699999999953434,1407416.080000000074506,1454197.479999999981374,1435400.110000000102445,1408846.520000000018626,9938664.449999999254942
20190514,1406841.639999999897555,1407144.350000000093132,1467449.020000000018626,1411975.330000000074506,1447208.439999999944121,1430341.510000000009313,1410707.320000000065193,9981670.609999999403954
20190515,1407869.379999999888241,1418649.300000000046566,1482216.640000000130385,1414346.139999999897555,1462282.840000000083819,1436917.690000000176951,1421127.800000000279397,10043412.790000000968575
20190516,1412420.800000000046566,1434270.699999999953434,1494271.840000000083819,1443160.599999999860302,1481605.479999999981374,1451334.700000000186265,1420941.719999999972060,10138008.840000001713634
20190517,1413889.000000000000000,1417804.899999999906868,1482819.400000000139698,1435683.429999999934807,1472560.840000000083819,1469292.730000000214204,1412568.120000000111759,10104621.419999998062849
20190520,1401923.169999999925494,1426248.900000000139698,1472271.100000000093132,1438601.349999999860302,1470916.360000000102445,1492562.290000000037253,1412382.040000000270084,10114908.210000000894070
20190521,1405593.669999999925494,1440287.049999999813735,1464736.600000000093132,1449908.290000000037253,1457760.520000000018626,1504955.860000000102445,1418894.840000000083819,10142139.830000000074506
20190522,1386947.530000000027940,1439231.550000000046566,1496381.500000000000000,1476899.050000000046566,1462556.919999999925494,1498632.610000000102445,1406055.320000000065193,10166707.480000000447035
