訓練日期,20100224 - 20100526
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10227635.039999999105930
真實報酬,227635.039999999105930

夏普值報酬,0.014063504000000
夏普值風險,0.032212563424013
夏普值,0.436584441135046

預期報酬,18368.748337906370580
風險,397377.665779147704598
趨勢值,0.046224913777905
找到最佳解世代,93
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AAPL[0](1),CAT[3](5),CVX[5](7),DIS[6](6),HD[9](2),JPM[13](14),MCD[15](3),MMM[16](8),NKE[19](4),PG[21](24),TRV[22](26),WMT[28](22),XOM[29](20),
Stock#,AAPL[0](1),CAT[3](5),CVX[5](7),DIS[6](6),HD[9](2),JPM[13](14),MCD[15](3),MMM[16](8),NKE[19](4),PG[21](24),TRV[22](26),WMT[28](22),XOM[29](20),
張數,27326,13576,10677,24878,25015,19288,11858,9650,47986,12169,14691,14345,11845,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,3.100000000093132,13.840000000083819,58.919999999925494,2.239999999990687,18.750000000000000,24.559999999939464,1.539999999920838,28.500000000116415,14.419999999925494,27.510000000009313,9.239999999990687,51.100000000093132,15.700000000069849,
20100224,783439.520000000135042,773302.800000000046566,772433.099999999976717,780922.660000000032596,784489.150000000023283,787939.359999999986030,773854.619999999995343,772704.000000000000000,778827.199999999953434,777504.920000000041910,775547.130000000004657,773533.500000000116415,776455.450000000069849,10110963.410000000149012
20100225,788631.460000000079162,770994.880000000121072,769977.389999999897555,780176.319999999948777,784489.150000000023283,783888.880000000004657,763419.579999999841675,769519.500000000116415,793702.859999999869615,775192.810000000055879,774959.489999999990687,776832.850000000093132,771599.000000000116415,10103394.169999999925494
20100226,798742.080000000074506,774524.640000000013970,772006.019999999902211,777190.959999999962747,780486.750000000000000,809541.919999999925494,757134.839999999967404,773476.000000000116415,810977.819999999832362,770081.830000000074506,772608.930000000051223,775685.250000000116415,769940.700000000069849,10142407.739999998360872
20100301,815957.460000000079162,785385.440000000060536,777451.289999999920838,784654.359999999986030,786240.199999999953434,806841.599999999860302,758676.379999999888241,777625.500000000116415,818655.579999999841675,772880.699999999953434,779807.520000000018626,773246.600000000093132,774678.700000000186265,10212111.329999998211861
20100302,815410.940000000060536,789458.240000000107102,782896.559999999823049,793112.880000000004657,784489.150000000023283,802791.119999999878928,759743.599999999860302,782933.000000000116415,816256.280000000027940,775314.500000000000000,782892.630000000004657,768799.650000000139698,775744.750000000000000,10229853.300000000745058
20100303,817050.500000000000000,795160.160000000032596,780867.929999999934807,787142.160000000032596,787240.799999999930151,801055.199999999953434,754526.079999999958090,781678.500000000116415,811457.679999999934807,773367.459999999962747,780395.159999999916181,769803.800000000046566,775034.050000000162981,10214789.480000000447035
