訓練日期,20120221 - 20120522
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10226129.340000001713634
真實報酬,226129.340000001713634

夏普值報酬,0.013912934000000
夏普值風險,0.016101361381557
夏普值,0.864084326182277

預期報酬,8062.561599850530001
風險,172261.563333576137666
趨勢值,0.046804182220486
找到最佳解世代,1
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,15
AAPL[0](6),AXP[1](3),CVX[5](22),DIS[6](5),IBM[10](7),INTC[11](15),KO[14](1),MSFT[18](16),NKE[19](10),PFE[20](2),UNH[23](11),V[25](8),VZ[26](9),WMT[28](25),XOM[29](20),
Stock#,AAPL[0](6),AXP[1](3),CVX[5](22),DIS[6](5),IBM[10](7),INTC[11](15),KO[14](1),MSFT[18](16),NKE[19](10),PFE[20](2),UNH[23](11),V[25](8),VZ[26](9),WMT[28](25),XOM[29](20),
張數,9294,12611,6250,15968,3446,24357,19306,21333,24996,31461,12192,23188,17334,10670,7786,
分配資金,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,
剩餘資金,7.380000000004657,48.540000000037253,41.000000000000000,2.000000000000000,140.680000000051223,14.910000000032596,29.819999999948777,9.750000000000000,22.679999999934807,7.409999999916181,7.440000000060536,11.000000000000000,0.359999999986030,4.400000000023283,28.679999999934807,
20120221,683581.079999999958090,666539.890000000013970,677603.500000000000000,663791.760000000009313,666562.619999999995343,661551.030000000027940,664349.279999999911524,670719.270000000018626,655917.719999999855645,667609.829999999841675,674468.880000000121072,662028.400000000023283,667186.020000000018626,640951.300000000046566,674062.699999999837019,9996933.279999999329448
20120222,681164.640000000013970,665783.229999999981374,671916.000000000000000,659001.360000000102445,668216.700000000069849,651077.520000000018626,668596.599999999976717,667092.660000000032596,660666.959999999962747,672014.369999999878928,672762.000000000000000,674549.920000000041910,662332.500000000000000,625266.400000000023283,676787.799999999930151,9977238.660000002011657
20120223,685625.760000000009313,664269.910000000032596,677228.500000000000000,662354.639999999897555,681104.740000000107102,649372.530000000027940,667824.359999999986030,669225.960000000079162,663416.519999999902211,661632.239999999990687,669835.920000000041910,675245.560000000055879,660945.780000000027940,624626.200000000069849,677566.399999999906868,9990285.019999999552965
20120224,693618.599999999976717,672593.170000000041910,681791.000000000000000,659640.080000000074506,681621.640000000013970,650346.810000000055879,666086.819999999948777,671572.589999999967404,664166.399999999906868,666351.389999999897555,678492.239999999990687,681506.320000000065193,661119.119999999995343,627293.700000000069849,680057.919999999925494,10036267.799999998882413
20120227,698079.719999999972060,683312.520000000018626,685228.500000000000000,664909.520000000018626,680829.060000000055879,654974.640000000013970,664542.339999999967404,668799.300000000046566,669665.519999999902211,668868.270000000018626,679467.599999999976717,677564.359999999986030,660945.780000000027940,623772.599999999976717,679201.459999999962747,10060171.189999997615814
20120228,710905.439999999944121,678015.900000000023283,685103.500000000000000,669540.239999999990687,682379.760000000009313,663499.589999999967404,664542.339999999967404,679892.460000000079162,671415.239999999874271,667609.829999999841675,680808.720000000088476,689622.119999999995343,661292.459999999962747,628787.500000000000000,678500.719999999972060,10111925.820000000298023
20120229,720199.439999999944121,667044.330000000074506,682041.000000000000000,670498.320000000065193,678072.260000000009313,654731.070000000065193,674388.399999999906868,677119.169999999925494,674414.759999999892898,664778.339999999850988,679711.440000000060536,674549.920000000041910,660599.099999999976717,630388.000000000000000,673517.679999999934807,10082063.230000000447035
20120301,722894.700000000069849,675619.810000000055879,686041.000000000000000,676885.520000000018626,680829.060000000055879,654243.930000000051223,671878.619999999878928,688852.319999999948777,678414.119999999995343,676104.299999999813735,682637.520000000135042,679419.400000000023283,666145.979999999981374,627613.800000000046566,676087.059999999939464,10143677.140000002458692
20120302,723824.099999999976717,668305.430000000051223,685103.500000000000000,676406.479999999981374,685239.940000000060536,655705.350000000093132,667824.359999999986030,684372.390000000013970,679663.919999999925494,673587.419999999925494,680808.720000000088476,673390.520000000018626,670306.140000000013970,629641.099999999976717,672194.059999999939464,10126383.429999999701977
