訓練日期,20160210 - 20160512
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11402463.189999999478459
真實報酬,1402463.189999999478459

夏普值報酬,0.131546319000000
夏普值風險,0.040703738579921
夏普值,3.231799426524714

預期報酬,25479.711211551806628
風險,122141.459106142196106
趨勢值,0.208608210496402
找到最佳解世代,20
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AXP[1](2),CVX[5](3),IBM[10](15),JPM[13](16),MCD[15](5),PFE[20](14),PG[21](30),V[25](12),XOM[29](6),
Stock#,AXP[1](2),CVX[5](3),IBM[10](15),JPM[13](16),MCD[15](5),PFE[20](14),PG[21](30),V[25](12),XOM[29](6),
張數,21111,13399,8955,19770,9495,38182,13445,16260,13875,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,39.069999999832362,65.919999999925494,64.150000000139698,37.000000000000000,101.050000000046566,14.800000000046566,16.199999999953434,65.199999999953434,1.000000000000000,
20160210,1103933.259999999776483,1112718.880000000121072,1076365.600000000093132,1097667.400000000139698,1116143.350000000093132,1126001.979999999981374,1097397.100000000093132,1140704.199999999953434,1100982.250000000000000,9971915.019999999552965
20160211,1079022.279999999795109,1112048.929999999934807,1055410.900000000139698,1049230.899999999906868,1108452.400000000139698,1112256.459999999962747,1074271.699999999953434,1113387.399999999906868,1104451.000000000000000,9808532.970000000670552
20160212,1111744.329999999841675,1144742.489999999990687,1083977.350000000093132,1136614.300000000046566,1119846.400000000139698,1121038.320000000065193,1088926.750000000000000,1145094.399999999906868,1124292.250000000000000,10076277.589999999850988
20160216,1122722.049999999813735,1136435.109999999869615,1099200.850000000093132,1153616.500000000000000,1131715.150000000139698,1138220.219999999972060,1095380.349999999860302,1156151.199999999953434,1126928.500000000000000,10160370.929999999701977
20160217,1131799.779999999795109,1183331.609999999869615,1129289.650000000139698,1161919.900000000139698,1126587.850000000093132,1131347.459999999962747,1108556.449999999953434,1171273.000000000000000,1137751.000000000000000,10281857.700000001117587
20160218,1143199.719999999739230,1162161.189999999944121,1186153.900000000139698,1142940.699999999953434,1112630.199999999953434,1128292.900000000139698,1102237.300000000046566,1158427.599999999860302,1143994.750000000000000,10280039.259999999776483
20160219,1155021.879999999888241,1159079.419999999925494,1191795.550000000279397,1143138.399999999906868,1106553.400000000139698,1126001.979999999981374,1099682.750000000000000,1163143.000000000000000,1144688.500000000000000,10289105.880000000819564
20160222,1174444.000000000000000,1190165.099999999860302,1197974.500000000232831,1157965.899999999906868,1117377.699999999953434,1147383.900000000139698,1104254.049999999813735,1188020.800000000046566,1143162.250000000000000,10420749.200000001117587
20160223,1163466.279999999795109,1137775.009999999776483,1185706.150000000139698,1109529.399999999906868,1110066.550000000046566,1143947.520000000018626,1099951.649999999906868,1173224.199999999953434,1127067.250000000000000,10250735.009999999776483
20160224,1153544.109999999869615,1142598.649999999906868,1189288.150000000139698,1109924.800000000046566,1111585.750000000000000,1146238.439999999944121,1096590.399999999906868,1168346.199999999953434,1131091.000000000000000,10249208.500000000000000
20160225,1169377.359999999869615,1143000.619999999878928,1204511.650000000139698,1127124.699999999953434,1124024.200000000186265,1168002.179999999934807,1107077.500000000000000,1191435.399999999906868,1137889.750000000000000,10372444.359999999403954
20160226,1169166.250000000000000,1130271.569999999832362,1182392.800000000046566,1137602.800000000046566,1111585.750000000000000,1154256.660000000149012,1090405.699999999953434,1182655.000000000000000,1134282.250000000000000,10292619.780000001192093
20160229,1173388.449999999720603,1118078.479999999981374,1173437.800000000046566,1113088.000000000000000,1112820.100000000093132,1132874.740000000223517,1079515.250000000000000,1177126.599999999860302,1112082.250000000000000,10192412.669999999925494
20160301,1199143.869999999878928,1154121.789999999804422,1203347.500000000232831,1170421.000000000000000,1128581.800000000046566,1147002.080000000074506,1092153.550000000046566,1213711.599999999860302,1127761.000000000000000,10436245.189999999478459
20160302,1205899.389999999664724,1167654.780000000027940,1220630.650000000139698,1181492.199999999953434,1125068.650000000139698,1144711.160000000149012,1109900.949999999953434,1208183.199999999953434,1147463.500000000000000,10511005.480000000447035
20160303,1226377.059999999823049,1172880.389999999897555,1234063.150000000139698,1185446.199999999953434,1108072.600000000093132,1141274.780000000027940,1113800.000000000000000,1201841.799999999813735,1143301.000000000000000,10527057.980000000447035
20160304,1230599.259999999776483,1178239.989999999990687,1234063.150000000139698,1187225.500000000000000,1112725.150000000139698,1134402.020000000018626,1122539.250000000000000,1201679.199999999953434,1141774.750000000000000,10543249.269999999552965
20160307,1245588.069999999832362,1214953.250000000000000,1255107.400000000139698,1185050.800000000046566,1112440.300000000046566,1137456.580000000074506,1117295.699999999953434,1169809.599999999860302,1171883.500000000000000,10609586.199999999254942
20160308,1254665.799999999813735,1189093.179999999934807,1245436.000000000000000,1162117.600000000093132,1124498.949999999953434,1121038.320000000065193,1116757.899999999906868,1148346.400000000139698,1146492.250000000000000,10508447.400000000372529
20160309,1246643.619999999878928,1243761.099999999860302,1257435.700000000186265,1168839.399999999906868,1136082.850000000093132,1135547.479999999981374,1115413.399999999906868,1149322.000000000000000,1143301.000000000000000,10596347.550000000745058
