訓練日期,20171220 - 20180326
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10442333.550000000745058
真實報酬,442333.550000000745058

夏普值報酬,0.035533355000000
夏普值風險,0.025944018736762
夏普值,1.369616456129461

預期報酬,10983.961456040146004
風險,247717.924178140179720
趨勢值,0.044340600271385
找到最佳解世代,8
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
BA[2](3),CSCO[4](1),INTC[11](13),JPM[13](5),MCD[15](27),MRK[17](14),MSFT[18](2),NKE[19](6),UTX[24](9),
Stock#,BA[2](3),CSCO[4](1),INTC[11](13),JPM[13](5),MCD[15](27),MRK[17](14),MSFT[18](2),NKE[19](6),UTX[24](9),
張數,3737,29010,23620,10431,6408,19760,12945,17296,8764,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,287.750000000000000,28.000000000000000,26.199999999953434,105.189999999944121,27.880000000121072,6.199999999953434,41.649999999906868,15.960000000195578,11.080000000074506,
20171220,1113540.049999999813735,1123875.400000000139698,1123393.399999999906868,1107251.530000000027940,1103293.239999999990687,1108739.800000000046566,1107098.049999999813735,1099868.600000000325963,1113039.080000000074506,10000100.150000000372529
20171221,1102814.859999999869615,1117783.300000000046566,1104497.399999999906868,1124879.919999999925494,1101242.680000000167638,1118422.199999999953434,1106839.149999999906868,1120277.880000000121072,1115755.920000000158325,10012514.310000000521541
20171222,1103076.450000000186265,1118363.500000000000000,1103080.199999999953434,1120916.139999999897555,1098487.239999999990687,1113679.800000000046566,1106968.599999999860302,1094679.800000000279397,1115054.800000000046566,9974307.530000001192093
20171226,1104048.070000000065193,1116332.799999999813735,1088435.799999999813735,1116430.809999999823049,1097654.200000000186265,1113284.600000000093132,1105544.649999999906868,1100906.360000000102445,1114266.040000000037253,9956904.329999998211861
20171227,1105019.689999999944121,1118653.600000000093132,1089144.399999999906868,1118517.010000000009313,1106497.239999999990687,1113284.600000000093132,1109557.599999999860302,1088799.160000000149012,1118122.199999999953434,9967596.500000000000000
20171228,1107747.700000000186265,1119523.900000000139698,1091742.599999999860302,1124462.679999999934807,1109252.680000000167638,1118422.199999999953434,1109687.049999999813735,1088799.160000000149012,1122854.760000000009313,9992493.730000000447035
20171229,1102366.420000000158325,1111111.000000000000000,1090325.399999999906868,1115596.329999999841675,1102972.840000000083819,1111901.399999999906868,1107356.949999999953434,1081880.760000000242144,1118034.560000000055879,9941546.660000000149012
20180102,1109578.829999999841675,1127356.600000000093132,1106623.199999999953434,1126131.639999999897555,1110021.640000000130385,1110913.399999999906868,1112664.399999999906868,1098139.000000000232831,1123205.320000000065193,10024635.030000001192093
20180103,1113166.350000000093132,1136349.699999999953434,1069067.399999999906868,1127279.050000000046566,1105343.800000000279397,1109332.599999999860302,1117842.399999999906868,1097966.040000000037253,1139681.639999999897555,10016029.980000000447035
20180104,1108943.540000000037253,1131127.900000000139698,1049462.800000000046566,1137501.429999999934807,1113097.479999999981374,1127314.199999999953434,1127680.599999999860302,1097274.200000000186265,1143274.879999999888241,10035678.030000001192093
20180105,1154422.829999999841675,1146793.300000000046566,1056785.000000000000000,1130199.729999999981374,1115340.280000000260770,1126128.600000000093132,1141661.199999999953434,1106614.040000000037253,1153090.560000000055879,10131036.540000000968575
20180108,1159318.299999999813735,1158687.399999999906868,1056785.000000000000000,1131868.689999999944121,1114571.320000000065193,1119607.799999999813735,1142826.250000000000000,1116472.760000000242144,1164045.560000000055879,10164184.080000000074506
20180109,1190260.659999999916181,1151434.899999999906868,1030330.599999999860302,1137605.739999999990687,1112072.200000000186265,1122374.199999999953434,1142049.549999999813735,1108516.600000000325963,1176753.360000000102445,10171398.809999998658895
20180110,1197099.369999999878928,1157817.099999999860302,1003876.199999999953434,1150122.939999999944121,1111879.959999999962747,1132254.199999999953434,1136871.549999999813735,1110765.080000000074506,1182274.680000000167638,10182962.079999998211861
20180111,1226472.189999999944121,1163329.000000000000000,1025370.399999999906868,1156277.229999999981374,1111111.000000000000000,1138182.199999999953434,1140237.250000000000000,1111975.800000000279397,1183063.440000000176951,10256019.509999999776483
20180112,1256704.520000000018626,1185666.699999999953434,1021355.000000000000000,1175365.959999999962747,1112264.440000000176951,1159127.799999999813735,1159913.649999999906868,1118548.280000000260770,1196998.200000000186265,10385945.550000000745058
20180116,1252780.670000000158325,1176093.399999999906868,1018993.000000000000000,1171193.559999999823049,1112969.320000000065193,1226509.399999999906868,1143732.399999999906868,1096928.280000000260770,1174124.160000000149012,10373325.190000001341105
20180117,1312012.119999999878928,1195240.000000000000000,1048518.000000000000000,1178703.879999999888241,1121299.719999999972060,1225719.000000000000000,1166903.949999999953434,1103673.720000000204891,1178067.959999999962747,10530139.350000001490116
20180118,1271465.670000000158325,1198141.000000000000000,1050643.799999999813735,1181520.250000000000000,1118672.440000000176951,1207935.000000000000000,1166386.149999999906868,1108862.520000000251457,1179733.120000000111759,10483360.949999999254942
20180119,1262384.760000000009313,1197850.899999999906868,1058674.599999999860302,1178912.500000000000000,1128604.840000000083819,1210899.000000000000000,1165091.649999999906868,1162480.120000000111759,1191038.680000000167638,10555938.050000000745058
20180122,1263393.750000000000000,1208584.599999999860302,1080641.199999999953434,1192681.419999999925494,1129181.560000000055879,1210306.199999999953434,1185933.099999999860302,1148297.400000000139698,1184991.520000000251457,10604011.749999998137355
20180123,1254387.579999999841675,1221349.000000000000000,1087963.399999999906868,1191429.699999999953434,1133026.360000000102445,1219198.199999999953434,1189687.149999999906868,1161269.400000000139698,1192178.000000000000000,10650489.790000000968575
20180124,1251024.280000000027940,1223379.699999999953434,1074972.399999999906868,1206658.959999999962747,1128604.840000000083819,1208923.000000000000000,1188651.549999999813735,1176143.960000000195578,1189110.600000000093132,10647470.289999999105930
20180125,1282489.820000000065193,1215547.000000000000000,1070012.199999999953434,1206971.889999999897555,1125657.160000000149012,1211294.199999999953434,1195253.500000000000000,1171128.120000000111759,1207252.080000000074506,10685606.970000000670552
20180126,1282900.890000000130385,1234693.600000000093132,1182915.799999999813735,1213439.109999999869615,1142958.760000000242144,1225916.599999999860302,1217648.349999999860302,1176835.800000000279397,1209267.800000000046566,10886577.710000000894070
20180129,1273932.090000000083819,1243106.500000000000000,1180553.799999999813735,1212187.389999999897555,1139178.040000000270084,1217815.000000000000000,1215836.049999999813735,1168879.640000000130385,1197786.959999999962747,10849276.469999998807907
20180130,1262310.020000000018626,1225700.500000000000000,1152446.000000000000000,1200817.599999999860302,1105279.719999999972060,1198450.199999999953434,1200560.949999999953434,1164555.640000000130385,1196297.080000000074506,10706418.710000000894070
20180131,1324568.439999999944121,1205103.399999999906868,1137093.000000000000000,1206658.959999999962747,1096693.000000000000000,1170786.199999999953434,1229946.099999999860302,1179949.080000000074506,1209530.719999999972060,10760329.900000000372529
20180201,1334172.530000000027940,1209745.000000000000000,1125519.199999999953434,1219176.159999999916181,1101563.080000000074506,1182839.800000000046566,1220237.349999999860302,1170090.360000000335276,1212247.560000000055879,10775592.040000000968575
20180202,1304164.420000000158325,1187407.300000000046566,1090089.199999999953434,1192159.869999999878928,1085414.920000000158325,1157151.800000000046566,1188133.750000000000000,1162653.080000000074506,1179733.120000000111759,10546908.460000000894070
20180205,1229312.310000000055879,1125035.800000000046566,1051588.600000000093132,1134997.989999999990687,1049978.680000000167638,1114470.199999999953434,1139201.649999999906868,1113705.400000000139698,1115142.439999999944121,10073434.070000000298023
