訓練日期,20190529 - 20190828
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10613758.750000001862645
真實報酬,613758.750000001862645

夏普值報酬,0.052675875000000
夏普值風險,0.023945180226092
夏普值,2.199852935022003

預期報酬,13059.969970106234541
風險,231735.974635826918529
趨勢值,0.056357110675759
找到最佳解世代,80
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](4),BA[2](26),GS[8](10),JPM[13](19),MCD[15](1),MMM[16](20),MRK[17](9),MSFT[18](7),PG[21](2),V[25](5),VZ[26](27),
Stock#,AAPL[0](4),BA[2](26),GS[8](10),JPM[13](19),MCD[15](1),MMM[16](20),MRK[17](9),MSFT[18](7),PG[21](2),V[25](5),VZ[26](27),
張數,5100,2561,4798,8377,4622,5565,11326,7205,8702,5553,15479,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,117.000000000000000,242.320000000065193,156.880000000004657,17.960000000079162,81.260000000009313,47.250000000000000,65.239999999990687,107.200000000069849,79.080000000074506,8.369999999995343,8.330000000074506,
20190529,904755.000000000000000,893519.120000000111759,902420.780000000027940,906576.900000000023283,906085.700000000069849,898238.250000000000000,898896.599999999976717,900299.900000000023283,906740.460000000079162,903648.059999999939464,900576.550000000046566,9921767.320000000298023
20190530,909447.000000000000000,896259.390000000130385,899158.140000000013970,896859.580000000074506,920968.540000000037253,893674.950000000069849,902520.920000000041910,905991.850000000093132,916660.740000000107102,903814.649999999906868,879679.900000000023283,9925045.660000002011657
20190531,892974.000000000000000,875105.530000000144355,875743.900000000023283,887644.880000000004657,916485.200000000069849,889056.000000000000000,897197.699999999953434,891221.600000000093132,895601.900000000023283,895873.860000000102445,841291.980000000097789,9758206.550000000745058
20190603,883947.000000000000000,868139.609999999986030,879102.500000000000000,891833.380000000004657,918842.420000000041910,890669.849999999976717,909090.000000000000000,863554.400000000139698,903346.680000000051223,880714.169999999925494,872714.350000000093132,9761964.359999999403954
20190604,916280.999999999883585,882814.140000000130385,911201.119999999995343,919309.940000000060536,922771.119999999995343,914321.099999999976717,918377.319999999948777,887475.000000000000000,911004.440000000176951,901426.860000000102445,870237.710000000079162,9955229.750000001862645
20190605,931071.000000000000000,893391.070000000065193,904292.000000000000000,922576.970000000088476,925082.119999999995343,911872.500000000000000,925286.179999999934807,906712.350000000093132,928843.540000000153668,918419.039999999920838,882775.700000000069849,10050332.469999998807907
20190606,944739.000000000000000,898231.359999999986030,910865.260000000009313,924587.450000000069849,938578.360000000102445,916714.050000000046566,922454.679999999934807,921050.300000000046566,934499.840000000083819,926915.129999999888241,890669.990000000107102,10129315.419999999925494
