訓練日期,20091119 - 20100224
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10453070.259999999776483
真實報酬,453070.259999999776483

夏普值報酬,0.036607026000000
夏普值風險,0.017177415823570
夏普值,2.131113688810439

預期報酬,7143.806234239041260
風險,177209.544034477876266
趨勢值,0.040312762346757
找到最佳解世代,71
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
BA[2](1),GS[8](30),HD[9](3),INTC[11](9),JNJ[12](7),MCD[15](17),MMM[16](6),MRK[17](4),NKE[19](12),UNH[23](2),V[25](5),VZ[26](18),WMT[28](13),
Stock#,BA[2](1),GS[8](30),HD[9](3),INTC[11](9),JNJ[12](7),MCD[15](17),MMM[16](6),MRK[17](4),NKE[19](12),UNH[23](2),V[25](5),VZ[26](18),WMT[28](13),
張數,14787,4348,28187,38232,12343,12022,9887,21890,47748,26644,38270,26830,14205,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,10.260000000009313,68.799999999930151,6.770000000018626,2.159999999916181,14.239999999990687,62.440000000060536,21.400000000023283,15.400000000023283,9.719999999972060,17.719999999972060,3.000000000000000,13.899999999906868,29.250000000000000,
20091119,760505.670000000041910,751533.640000000013970,764156.339999999967404,737879.759999999892898,770587.729999999981374,762377.459999999962747,763792.150000000023283,773389.099999999976717,758725.439999999944121,762835.439999999944121,767316.500000000000000,765473.799999999930151,774769.949999999953434,9913352.979999998584390
20091120,764498.160000000032596,739272.279999999911524,766129.430000000051223,735585.839999999850988,769106.570000000065193,769109.780000000027940,757761.080000000074506,798124.800000000046566,763022.760000000009313,760970.359999999986030,765403.000000000000000,763327.399999999906868,771076.650000000023283,9923398.110000001266599
20091123,778250.070000000065193,747924.799999999930151,775431.140000000013970,741702.959999999846332,773796.909999999916181,769350.220000000088476,768537.910000000032596,797249.200000000069849,769707.479999999981374,774825.239999999874271,769612.699999999953434,785864.599999999860302,776758.650000000023283,10029021.879999998956919
20091124,768490.650000000023283,744142.039999999920838,776840.489999999990687,741320.639999999897555,779844.979999999981374,772115.280000000027940,767351.469999999972060,792871.199999999953434,770184.959999999962747,787614.359999999986030,771526.199999999953434,799547.899999999906868,779173.500000000000000,10051033.669999999925494
20091125,782686.170000000041910,734532.959999999846332,785014.720000000088476,739409.039999999920838,781326.139999999897555,774880.340000000083819,770317.569999999948777,800532.700000000069849,784509.359999999986030,787081.479999999981374,782624.500000000000000,803572.399999999906868,780736.050000000046566,10107233.430000001564622
20091127,775588.410000000032596,713836.479999999864958,778249.839999999967404,730615.679999999934807,776265.510000000009313,764661.640000000130385,758848.650000000023283,794403.500000000000000,776392.200000000069849,784417.079999999958090,768464.599999999976717,793376.999999999883585,776048.400000000023283,9991178.990000002086163
20091130,774996.929999999934807,737750.479999999864958,771203.089999999967404,734056.559999999939464,775648.359999999986030,760453.940000000060536,765670.680000000051223,792652.300000000046566,774482.279999999911524,763901.200000000069849,774970.500000000000000,789084.199999999953434,774912.000000000000000,9989792.519999999552965
20091201,794367.900000000023283,728924.039999999920838,789242.770000000018626,751643.279999999911524,783918.169999999925494,763940.320000000065193,777436.209999999962747,807318.600000000093132,780689.520000000018626,764700.519999999902211,793722.799999999930151,811353.099999999860302,777753.000000000000000,10125020.229999998584390
20091202,795255.119999999995343,724706.479999999864958,798544.479999999981374,753937.199999999837019,788485.080000000074506,751437.440000000060536,775261.069999999948777,805567.399999999906868,780212.039999999920838,753776.479999999981374,786834.199999999953434,819133.799999999930151,775196.099999999976717,10108356.889999998733401
