訓練日期,20101221 - 20110324
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11273077.219999998807907
真實報酬,1273077.219999998807907

夏普值報酬,0.118607722000000
夏普值風險,0.034976001227349
夏普值,3.391117275786730

預期報酬,23074.181182512144005
風險,216336.689663230732549
趨勢值,0.106658658863790
找到最佳解世代,13
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](12),CAT[3](6),CVX[5](1),DD[7](10),JPM[13](8),MMM[16](15),PFE[20](2),UNH[23](3),UTX[24](17),V[25](13),XOM[29](4),
Stock#,AAPL[0](12),CAT[3](6),CVX[5](1),DD[7](10),JPM[13](8),MMM[16](15),PFE[20](2),UNH[23](3),UTX[24](17),V[25](13),XOM[29](4),
張數,19749,9743,10237,18864,22755,10408,52946,25841,11522,53475,12587,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,43.530000000027940,68.099999999976717,44.400000000023283,33.840000000083819,27.749999999883585,55.279999999911524,7.179999999934807,3.619999999995343,4.199999999953434,15.000000000000000,56.859999999986030,
20101221,914619.720000000088476,922048.189999999944121,913491.910000000032596,915503.760000000125729,932982.749999999883585,900659.519999999902211,920208.659999999916181,912966.149999999906868,914274.899999999906868,909624.750000000116415,915383.500000000000000,10071773.810000000521541
20101222,917384.580000000074506,921463.609999999869615,920555.440000000060536,923426.640000000130385,959378.549999999813735,902637.039999999920838,929738.939999999827705,926145.060000000055879,916233.639999999897555,916576.500000000000000,916390.459999999962747,10149940.460000000894070
20101223,913039.799999999930151,920294.449999999953434,928335.560000000055879,924369.840000000083819,957558.149999999790452,900035.039999999920838,932386.239999999874271,924336.190000000060536,916003.199999999953434,918715.500000000000000,921425.260000000009313,10156509.230000000447035
20101227,916002.150000000023283,916592.109999999869615,922602.840000000083819,922294.800000000046566,970983.599999999976717,905655.359999999986030,926032.719999999855645,918392.760000000009313,913353.139999999897555,946522.500000000000000,919033.730000000097789,10177475.709999999031425
20101228,918372.030000000027940,912889.769999999902211,933556.430000000051223,923615.280000000144355,969618.299999999813735,902845.199999999837019,931327.319999999948777,923044.140000000013970,913583.580000000074506,945453.000000000000000,924194.400000000023283,10198509.450000001117587
20101229,917779.560000000055879,913766.640000000013970,935399.090000000083819,919653.840000000083819,963929.549999999813735,903053.359999999986030,931856.780000000027940,927953.929999999934807,911394.399999999906868,943848.749999999883585,923565.050000000046566,10192210.950000001117587
20101230,913237.290000000037253,914643.510000000009313,937753.599999999976717,920219.760000000125729,960971.399999999790452,900763.599999999976717,926032.719999999855645,928729.159999999916181,908513.899999999906868,939570.750000000000000,923439.179999999934807,10173884.869999999180436
20101231,910077.449999999953434,912597.479999999981374,934170.650000000023283,917201.520000000018626,965294.849999999976717,898265.679999999934807,927091.640000000013970,933122.130000000004657,907016.039999999920838,941175.000000000116415,920418.300000000046566,10166440.740000000223517
20110103,929826.449999999953434,917371.550000000046566,941234.180000000051223,939649.680000000167638,991690.649999999790452,903365.599999999976717,936092.459999999962747,959479.950000000069849,910126.979999999864958,942779.250000000000000,938417.709999999962747,10310044.460000000894070
20110104,934763.699999999953434,913084.629999999888241,937753.599999999976717,933235.920000000041910,1004888.549999999813735,902116.639999999897555,952505.719999999855645,968265.890000000013970,911624.839999999967404,943848.749999999883585,942823.160000000032596,10344921.399999998509884
20110105,942268.320000000065193,920976.459999999962747,936115.680000000051223,931726.800000000046566,1017176.250000000000000,902116.639999999897555,958859.239999999874271,971366.810000000055879,912892.260000000009313,963634.500000000000000,940305.760000000009313,10397448.719999998807907
20110106,941675.849999999976717,911428.320000000065193,928437.930000000051223,949458.960000000079162,1012170.149999999790452,896600.399999999906868,962565.459999999962747,991522.789999999920838,911970.500000000000000,978072.750000000000000,946347.520000000018626,10430260.629999998956919
20110107,948390.510000000125729,913279.489999999990687,933556.430000000051223,938329.200000000069849,993055.949999999953434,897537.119999999995343,971036.819999999948777,993590.070000000065193,911163.959999999962747,975398.999999999883585,951508.190000000060536,10426856.740000000223517
20110110,966164.610000000102445,909966.869999999995343,925571.569999999948777,953797.680000000167638,987594.749999999883585,907112.479999999981374,966801.140000000013970,993590.070000000065193,904020.319999999832362,959891.250000000000000,945718.169999999925494,10420238.909999998286366
20110111,963992.220000000088476,915422.949999999953434,940108.109999999986030,953420.400000000023283,992145.749999999883585,913253.199999999837019,964683.299999999930151,1009869.899999999906868,909320.439999999944121,960960.749999999883585,952766.890000000013970,10475953.910000000149012
20110112,971694.330000000074506,910941.169999999925494,946455.050000000046566,963041.040000000037253,1017403.799999999930151,922828.559999999823049,972625.199999999953434,1004184.880000000004657,915196.660000000032596,970586.249999999883585,963969.319999999948777,10558936.259999999776483
20110113,975249.150000000023283,917274.119999999995343,943691.060000000055879,957759.120000000111759,1011487.500000000000000,916375.599999999976717,964683.299999999930151,1023307.220000000088476,916003.199999999953434,951335.250000000000000,965605.629999999888241,10542781.149999998509884
20110114,983148.750000000000000,916007.530000000027940,950345.109999999986030,965304.720000000088476,1021954.799999999813735,917000.079999999841675,971036.819999999948777,1053541.189999999944121,911163.959999999962747,950800.500000000116415,979828.940000000060536,10620142.400000000372529
20110118,961029.869999999995343,937636.989999999990687,955668.349999999976717,966813.840000000083819,1018313.999999999883585,917416.399999999906868,973154.659999999916181,1056383.700000000186265,916809.739999999874271,951870.000000000000000,990779.629999999888241,10645887.179999999701977
20110119,956092.619999999995343,930914.320000000065193,951778.290000000037253,944931.600000000093132,994648.799999999930151,915542.959999999846332,969977.899999999906868,1048114.580000000074506,920727.219999999972060,924063.000000000116415,984863.739999999874271,10541665.030000001192093
20110120,938713.500000000000000,912110.329999999958090,949116.669999999925494,921162.960000000079162,1018313.999999999883585,916375.599999999976717,965742.219999999855645,1041654.330000000074506,916579.299999999930151,944918.250000000116415,978696.109999999986030,10503393.269999999552965
20110121,921729.360000000102445,903731.349999999976717,960070.260000000009313,926633.520000000018626,1030601.699999999837019,929385.599999999976717,972095.739999999874271,1044238.429999999934807,924068.599999999976717,937966.500000000000000,994178.119999999995343,10544709.179999997839332
20110124,952142.820000000065193,921463.609999999869615,963346.099999999976717,940026.960000000079162,1024457.849999999976717,940105.839999999850988,976860.879999999888241,1028733.830000000074506,939277.639999999897555,959891.250000000000000,989269.190000000060536,10635585.969999998807907
20110125,963202.260000000125729,919709.869999999995343,963141.359999999986030,947761.200000000069849,1021044.599999999860302,921163.279999999911524,977919.799999999930151,1049665.040000000037253,941697.260000000009313,957217.499999999883585,990402.020000000018626,10652934.189999999478459
20110126,970114.410000000032596,932960.349999999976717,968874.080000000074506,948515.760000000125729,1023547.649999999790452,932299.839999999850988,972095.739999999874271,1040103.869999999995343,938010.219999999972060,949196.250000000000000,1002737.279999999911524,10678465.449999999254942
20110127,968337.000000000000000,941534.189999999944121,970000.150000000023283,955495.440000000060536,1026278.249999999883585,928344.799999999930151,978449.260000000009313,1092819.509999999776483,951606.179999999934807,943848.749999999883585,1005506.419999999925494,10762229.949999999254942
20110128,948193.020000000018626,932278.340000000083819,955873.090000000083819,941913.360000000102445,1013535.449999999837019,910130.799999999930151,960977.079999999841675,1057675.750000000000000,938240.660000000032596,928341.000000000000000,994303.989999999874271,10581472.540000000968575
20110131,957277.560000000055879,945236.530000000027940,971842.810000000055879,953231.760000000125729,1022637.449999999837019,915126.639999999897555,964683.299999999930151,1060776.669999999925494,936742.799999999930151,933688.500000000000000,1015576.020000000018626,10676830.039999999105930
20110201,973471.739999999990687,954979.530000000027940,985048.540000000037253,976811.760000000125729,1045164.899999999906868,913773.599999999976717,1017629.299999999930151,1087134.490000000223517,942849.459999999962747,945453.000000000000000,1056232.029999999795109,10898558.349999999627471
20110202,971496.839999999967404,965501.969999999972060,987710.160000000032596,984357.360000000102445,1034242.500000000000000,913357.279999999911524,1003863.339999999967404,1084033.570000000298023,946651.719999999972060,963634.500000000000000,1049938.529999999795109,10904797.769999999552965
20110203,968929.470000000088476,963943.090000000083819,996206.869999999995343,986998.320000000065193,1034470.049999999930151,915438.879999999888241,1014982.000000000000000,1112200.259999999776483,947343.039999999920838,957752.250000000000000,1050316.140000000130385,10948590.369999999180436
20110204,977619.030000000027940,970373.469999999972060,994159.469999999972060,994355.280000000144355,1014673.199999999953434,918977.599999999976717,1021864.979999999981374,1097987.709999999962747,950799.639999999897555,974864.250000000000000,1048302.219999999972060,10963986.849999999627471
20110207,992825.760000000125729,978947.309999999939464,999789.819999999948777,1010578.320000000065193,1035380.249999999883585,924181.599999999976717,1008099.019999999902211,1080415.830000000074506,963934.719999999972060,988233.000000000000000,1056483.770000000018626,11038879.399999998509884
20110208,1002107.790000000037253,980311.329999999958090,1000608.780000000027940,1019255.760000000125729,1040841.449999999953434,931259.039999999920838,1014452.539999999920838,1084550.390000000130385,966469.559999999939464,996789.000000000000000,1044526.119999999995343,11081181.759999999776483
20110209,1010599.860000000102445,972322.070000000065193,985253.280000000027940,1006428.240000000107102,1026505.799999999813735,944893.519999999902211,1008628.479999999981374,1087134.490000000223517,967621.760000000009313,979677.000000000000000,1039113.709999999962747,11028188.210000000894070
20110210,1000330.380000000004657,980213.899999999906868,989962.300000000046566,1024349.040000000037253,1036062.899999999906868,941562.959999999846332,1007569.559999999939464,1096437.250000000000000,976493.699999999953434,998928.000000000000000,1047295.260000000009313,11099215.249999998137355
20110211,1006847.549999999930151,1008858.320000000065193,987403.050000000046566,1031140.080000000074506,1059728.100000000093132,955509.679999999934807,996980.359999999869615,1095145.200000000186265,981678.599999999976717,1001601.750000000000000,1042512.199999999953434,11167414.889999998733401
20110214,1013364.720000000088476,1006130.280000000027940,992521.550000000046566,1033969.680000000167638,1059045.449999999720603,956550.479999999981374,1008628.479999999981374,1097212.479999999981374,981793.819999999832362,1012296.750000000000000,1068819.029999999795109,11230342.720000000670552
20110215,1015339.619999999995343,1003597.099999999976717,986276.980000000097789,1019821.680000000167638,1065416.850000000093132,957591.279999999911524,1008628.479999999981374,1086100.850000000093132,978567.660000000032596,1010692.499999999883585,1044400.250000000000000,11176443.250000000000000
20110216,1024621.650000000023283,1008955.750000000000000,989552.819999999948777,1028876.400000000023283,1090902.449999999720603,961025.919999999925494,1020806.059999999939464,1098246.120000000111759,980065.520000000018626,1015505.249999999883585,1053462.890000000130385,11272030.830000000074506
