訓練日期,20150327 - 20150629
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10312442.500000000000000
真實報酬,312442.500000000000000

夏普值報酬,0.022544250000000
夏普值風險,0.015767434579039
夏普值,1.429798226654404

預期報酬,10554.841349383443230
風險,126573.746823931156541
趨勢值,0.083388867077354
找到最佳解世代,52
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,17
AAPL[0](12),BA[2](27),CAT[3](5),CSCO[4](8),DIS[6](3),DD[7](4),GS[8](2),JNJ[12](22),JPM[13](1),MCD[15](24),MRK[17](13),MSFT[18](9),NKE[19](6),PFE[20](20),UNH[23](15),UTX[24](19),V[25](7),
Stock#,AAPL[0](12),BA[2](27),CAT[3](5),CSCO[4](8),DIS[6](3),DD[7](4),GS[8](2),JNJ[12](22),JPM[13](1),MCD[15](24),MRK[17](13),MSFT[18](9),NKE[19](6),PFE[20](20),UNH[23](15),UTX[24](19),V[25](7),
張數,4734,3970,7363,21714,5589,8815,3141,5874,9879,6024,10212,14274,11842,17219,5060,5069,8968,
分配資金,588235.000000000000000,588235.000000000000000,588235.000000000000000,588235.000000000000000,588235.000000000000000,588235.000000000000000,588235.000000000000000,588235.000000000000000,588235.000000000000000,588235.000000000000000,588235.000000000000000,588235.000000000000000,588235.000000000000000,588235.000000000000000,588235.000000000000000,588235.000000000000000,588235.000000000000000,
剩餘資金,82.839999999967404,0.100000000093132,78.560000000055879,2.739999999990687,48.640000000013970,10.049999999930151,114.159999999916181,12.640000000013970,39.339999999967404,51.640000000013970,23.799999999930151,3.459999999962747,42.859999999986030,33.960000000079162,10.000000000000000,28.239999999990687,23.880000000004657,
20150327,583548.339999999967404,590934.600000000093132,586688.770000000018626,589103.559999999939464,589576.359999999986030,599518.199999999953434,590810.619999999878928,589409.800000000046566,588333.789999999920838,584138.679999999934807,589766.799999999930151,584809.239999999990687,591432.339999999967404,594606.030000000144355,597140.599999999976717,592594.339999999967404,587786.600000000093132,10030203.669999999925494
20150330,598318.420000000041910,606219.100000000093132,599205.870000000111759,600394.839999999967404,593153.320000000065193,611065.849999999860302,600107.979999999981374,596517.339999999967404,602263.179999999934807,589680.760000000009313,595791.880000000004657,584666.500000000000000,597471.760000000009313,602698.960000000079162,612270.000000000000000,602377.510000000009313,588862.760000000009313,10181071.029999997466803
20150331,589134.459999999962747,595817.700000000186265,589339.450000000069849,597789.160000000032596,586278.849999999976717,602338.999999999883585,590527.929999999934807,590937.040000000037253,598509.159999999916181,587030.199999999953434,587009.559999999939464,580384.299999999930151,594156.000000000000000,599082.970000000088476,598557.400000000023283,594115.040000000037253,586620.760000000009313,10067633.979999998584390
20150401,588282.339999999967404,590100.900000000023283,586467.880000000004657,591709.239999999990687,589352.800000000046566,601281.199999999837019,603908.589999999850988,582419.739999999990687,592285.390000000013970,580102.600000000093132,580678.119999999878928,581240.739999999990687,589537.619999999995343,591162.230000000097789,594307.000000000000000,587626.719999999972060,584558.120000000111759,10015026.230000000447035
20150402,593347.719999999972060,592641.700000000069849,590885.680000000051223,589103.559999999939464,592482.640000000013970,605600.549999999930151,601772.709999999962747,585298.000000000000000,597916.420000000041910,577331.560000000055879,583129.000000000000000,575102.919999999925494,590129.719999999972060,592023.180000000167638,593851.599999999976717,593760.209999999962747,585544.600000000093132,10039926.770000001415610
20150406,602957.739999999990687,599192.200000000069849,600089.430000000051223,591057.819999999948777,590414.709999999962747,611065.849999999860302,603343.209999999962747,582478.479999999981374,597422.469999999972060,580042.359999999986030,583945.959999999962747,593088.159999999916181,590603.399999999906868,593745.080000000074506,595572.000000000000000,597460.579999999958090,584737.479999999981374,10097221.929999999701977
20150407,596614.179999999934807,604710.500000000116415,593094.580000000074506,594749.199999999953434,589296.910000000032596,609126.549999999930151,604411.149999999906868,588000.040000000037253,601176.489999999990687,580464.040000000037253,586498.959999999962747,592802.679999999934807,589892.880000000004657,594778.220000000088476,593801.000000000000000,595585.049999999930151,590118.280000000027940,10105125.709999999031425
