訓練日期,20120229 - 20120531
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10331941.750000001862645
真實報酬,331941.750000001862645

夏普值報酬,0.024494175000000
夏普值風險,0.015408655651572
夏普值,1.589637380046260

預期報酬,7726.892558159402142
風險,143972.307488177990308
趨勢值,0.053669297193100
找到最佳解世代,91
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](9),AXP[1](5),BA[2](22),DIS[6](4),JNJ[12](17),KO[14](1),NKE[19](10),TRV[22](3),VZ[26](6),WMT[28](8),XOM[29](21),
Stock#,AAPL[0](9),AXP[1](5),BA[2](22),DIS[6](4),JNJ[12](17),KO[14](1),NKE[19](10),TRV[22](3),VZ[26](6),WMT[28](8),XOM[29](21),
張數,11885,16910,12095,21681,13947,26411,33845,15566,23829,15426,10432,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,6.350000000093132,8.400000000023283,29.800000000046566,5.670000000041910,24.539999999920838,23.380000000004657,13.300000000046566,35.599999999976717,13.650000000023283,35.819999999948777,45.520000000018626,
20120229,920975.000000000000000,894378.300000000046566,906550.050000000046566,910390.860000000102445,907695.299999999930151,922559.609999999986030,913151.400000000023283,902396.619999999995343,908136.839999999967404,911403.899999999906868,902413.520000000018626,10000061.400000000372529
20120301,924421.650000000139698,905877.099999999976717,908122.400000000023283,919063.260000000009313,904208.549999999930151,919126.179999999934807,918566.600000000093132,909401.319999999948777,915762.119999999995343,907393.139999999897555,905856.079999999958090,10037808.400000000372529
20120302,925610.150000000023283,896069.300000000046566,905945.300000000162981,918412.830000000074506,903371.729999999864958,913579.870000000111759,920258.850000000093132,903019.259999999892898,921481.080000000074506,910324.079999999958090,900640.079999999958090,10018722.530000001192093
20120305,905286.800000000162981,895731.099999999976717,896632.150000000023283,925784.370000000111759,905324.309999999823049,914372.199999999953434,924320.250000000000000,910646.599999999976717,929344.650000000023283,916340.219999999972060,907733.840000000083819,10031526.490000000223517
20120306,900295.100000000093132,874931.800000000046566,877643.000000000116415,910607.670000000041910,897513.989999999874271,908033.560000000055879,908413.100000000093132,887141.940000000060536,921957.659999999916181,909707.039999999920838,895737.040000000037253,9891991.900000002235174
20120307,901008.200000000069849,883894.100000000093132,889254.199999999953434,905187.420000000041910,896816.639999999897555,908561.779999999911524,910443.800000000046566,885274.019999999902211,926246.880000000004657,923436.179999999934807,895424.079999999958090,9925557.299999998882413
20120308,920261.900000000139698,895392.900000000023283,897115.950000000069849,911041.290000000153668,904487.489999999874271,914900.420000000041910,913151.400000000023283,888854.199999999953434,934587.030000000027940,922047.839999999967404,884992.079999999958090,9986842.500000001862645
20120309,925610.150000000023283,899620.400000000023283,886472.350000000093132,915811.110000000102445,902953.319999999832362,918069.739999999990687,930750.800000000046566,896792.859999999986030,931727.550000000046566,926829.899999999906868,879463.119999999995343,10014111.299999998882413
20120312,937257.450000000069849,892349.100000000093132,890221.799999999930151,917979.210000000079162,907974.239999999874271,926521.260000000009313,926012.500000000000000,896792.859999999986030,936969.930000000051223,936085.500000000000000,892503.119999999995343,10060676.969999998807907
20120313,964592.950000000069849,917375.900000000023283,898809.250000000116415,954186.479999999981374,911182.049999999930151,927841.810000000055879,937181.350000000093132,909245.659999999916181,940782.569999999948777,941021.819999999948777,906169.040000000037253,10208398.879999998956919
20120314,1001079.900000000139698,949504.900000000023283,909936.650000000139698,942695.549999999930151,907695.299999999930151,927313.589999999967404,933458.400000000023283,917651.300000000046566,940544.280000000027940,942255.899999999906868,897406.160000000032596,10269551.929999999701977
20120315,994186.600000000209548,959143.599999999976717,912355.650000000139698,942478.739999999990687,907555.829999999841675,928898.250000000000000,936842.900000000023283,919674.880000000004657,942212.310000000055879,944569.799999999930151,898136.400000000023283,10286064.960000002756715
20120316,994186.600000000209548,956268.900000000023283,909573.800000000046566,936408.059999999939464,908253.179999999934807,926521.260000000009313,941242.750000000000000,921542.800000000046566,942927.180000000051223,938553.660000000032596,901787.599999999976717,10277275.789999999105930
20120319,1020571.300000000162981,968444.100000000093132,911992.800000000162981,941828.309999999939464,909508.409999999799766,929690.580000000074506,948688.650000000139698,920297.519999999902211,944833.500000000000000,937011.059999999939464,907525.199999999953434,10340401.430000001564622
20120320,1028890.800000000046566,962356.500000000000000,908848.100000000093132,937492.110000000102445,906021.659999999799766,932331.679999999934807,945642.600000000093132,920920.159999999916181,944356.920000000041910,934851.419999999925494,903456.719999999972060,10325178.670000001788139
20120321,1022948.300000000046566,964723.900000000023283,907275.750000000116415,938142.540000000153668,903232.260000000009313,939198.540000000037253,934473.750000000000000,910802.259999999892898,947931.270000000018626,934234.380000000004657,897301.840000000083819,10300274.790000000968575
20120322,1017600.050000000162981,968782.300000000046566,894092.200000000069849,938576.160000000032596,899048.159999999799766,943160.190000000060536,939212.050000000046566,902396.619999999995343,945071.789999999920838,935622.719999999972060,890208.079999999958090,10273780.320000000298023
20120323,1012014.100000000209548,968105.900000000023283,894696.950000000069849,946381.320000000065193,900303.389999999897555,943952.520000000018626,909090.000000000000000,905976.800000000046566,939352.830000000074506,937165.319999999948777,892503.119999999995343,10249552.249999998137355
20120326,1030554.700000000069849,991949.000000000000000,909331.900000000139698,962208.450000000069849,908950.529999999911524,949498.830000000074506,918566.600000000093132,916094.699999999953434,937208.219999999972060,944107.020000000018626,907942.479999999981374,10376422.430000001564622
20120327,1043271.650000000139698,984508.599999999976717,904856.750000000116415,957221.820000000065193,912158.339999999967404,949234.719999999972060,912812.949999999953434,910335.279999999911524,921242.789999999920838,942410.160000000032596,903665.360000000102445,10341728.419999999925494
20120328,1048619.900000000139698,998713.000000000116415,899051.150000000023283,943345.979999999981374,915226.679999999934807,959535.010000000009313,907397.750000000000000,914849.420000000041910,911711.189999999944121,943952.759999999892898,895737.040000000037253,10338149.879999998956919
20120329,1035427.550000000162981,978928.300000000046566,896027.400000000023283,932505.479999999981374,914110.920000000041910,974853.389999999897555,912474.500000000116415,912981.500000000000000,907183.680000000051223,938245.139999999897555,898032.079999999958090,10300779.940000001341105
20120330,1017956.600000000209548,978421.000000000000000,899534.950000000069849,949199.850000000093132,919968.659999999799766,977494.489999999990687,917551.250000000000000,921542.800000000046566,910996.319999999948777,944107.020000000018626,904812.880000000004657,10341595.820000000298023
20120402,1050402.650000000139698,980957.500000000000000,909210.950000000069849,950500.710000000079162,923455.409999999799766,979079.150000000023283,922628.000000000116415,923566.380000000004657,917906.730000000097789,946575.179999999934807,908359.759999999892898,10412652.419999999925494
20120403,1068467.850000000093132,987383.300000000046566,902921.550000000162981,938576.160000000032596,918852.899999999906868,974061.060000000055879,929735.449999999953434,922788.079999999958090,916476.989999999990687,935622.719999999972060,895424.079999999958090,10390320.140000000596046
20120404,1060029.500000000000000,970135.099999999976717,891068.450000000069849,930771.000000000000000,912018.869999999878928,970099.409999999916181,926350.950000000069849,921854.119999999995343,914808.960000000079162,929606.579999999958090,886556.880000000004657,10313309.820000002160668
20120405,1075955.400000000139698,982479.400000000023283,890100.850000000093132,934023.150000000023283,911321.520000000018626,970363.520000000018626,934135.300000000046566,916561.680000000051223,897413.789999999920838,935931.239999999990687,884887.759999999892898,10333183.609999999403954
20120409,1080234.000000000000000,966584.000000000000000,876070.650000000139698,912992.580000000074506,905463.779999999911524,962440.219999999972060,936504.450000000069849,903641.899999999906868,892647.989999999990687,927601.199999999953434,875081.679999999934807,10239272.449999999254942
20120410,1067041.650000000139698,950012.200000000069849,853936.799999999930151,888709.860000000102445,895421.939999999944121,951083.489999999990687,900967.200000000069849,898972.099999999976717,876920.849999999976717,924516.000000000000000,857242.960000000079162,10064835.050000000745058
