訓練日期,20160620 - 20160920
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10738645.979999998584390
真實報酬,738645.979999998584390

夏普值報酬,0.065164598000000
夏普值風險,0.026815031541495
夏普值,2.430151831041490

預期報酬,14503.161074574278246
風險,142451.138560082501499
趨勢值,0.101811478807221
找到最佳解世代,94
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](4),AXP[1](12),GS[8](2),INTC[11](3),JPM[13](9),MMM[16](11),NKE[19](14),PG[21](1),TRV[22](13),V[25](10),WBA[27](25),
Stock#,AAPL[0](4),AXP[1](12),GS[8](2),INTC[11](3),JPM[13](9),MMM[16](11),NKE[19](14),PG[21](1),TRV[22](13),V[25](10),WBA[27](25),
張數,9536,14695,6242,28623,14596,5381,16925,10935,8127,11807,10999,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,23.119999999995343,57.300000000046566,5.120000000111759,23.519999999902211,51.119999999995343,23.859999999986030,48.250000000000000,63.450000000069849,3.780000000027940,69.070000000065193,22.649999999906868,
20160620,906896.719999999972060,915555.800000000046566,922260.620000000111759,920825.429999999934807,910403.640000000013970,921412.489999999874271,920091.250000000000000,908105.850000000093132,915185.250000000000000,913222.450000000069849,912169.719999999972060,10066139.220000000670552
20160621,914620.880000000004657,915408.849999999976717,926005.820000000065193,925118.879999999888241,918869.320000000065193,922165.829999999958090,927030.500000000000000,912151.800000000046566,916079.219999999972060,913104.380000000004657,915139.449999999953434,10105704.929999999701977
20160622,911187.919999999925494,910412.550000000046566,924695.000000000000000,924260.189999999827705,915366.280000000027940,921412.489999999874271,923645.500000000000000,913901.400000000023283,908846.190000000060536,903658.780000000027940,921078.909999999799766,10078475.210000000894070
20160623,916432.719999999972060,929516.050000000046566,952908.840000000083819,944296.289999999920838,934924.919999999925494,936909.770000000018626,916029.250000000000000,920899.800000000046566,925262.729999999981374,923730.680000000167638,935597.589999999967404,10236518.639999998733401
20160624,890685.520000000018626,882639.000000000116415,885495.240000000223517,903079.169999999925494,869972.719999999972060,910058.579999999958090,890134.000000000000000,899576.550000000162981,902263.319999999948777,886184.420000000041910,899520.869999999878928,9819619.390000000596046
20160627,877716.560000000055879,847517.950000000069849,870826.540000000037253,879322.079999999841675,840926.679999999934807,899673.250000000000000,878286.500000000000000,888313.500000000116415,896818.229999999981374,865994.450000000069849,873233.259999999892898,9618638.999999998137355
20160628,892497.359999999986030,850897.800000000046566,888928.340000000083819,892774.889999999897555,868805.040000000037253,912587.650000000023283,898596.500000000000000,901763.550000000046566,927538.290000000037253,887483.190000000060536,878622.769999999902211,9800505.379999998956919
20160629,900221.520000000018626,876320.150000000139698,908216.120000000111759,913955.909999999916181,893326.320000000065193,922972.980000000097789,933123.500000000000000,917619.300000000046566,949318.650000000023283,906138.250000000000000,915029.459999999846332,10036252.160000000149012
20160630,911664.719999999972060,892925.500000000000000,927441.480000000214204,938857.919999999809079,907046.560000000055879,942344.579999999958090,934308.250000000000000,925929.900000000139698,967441.860000000102445,875794.260000000125729,915909.379999999888241,10139674.410000000149012
