訓練日期,20171206 - 20180312
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11061485.849999999627471
真實報酬,1061485.849999999627471

夏普值報酬,0.097448585000000
夏普值風險,0.032282376116569
夏普值,3.018631114640451

預期報酬,19105.286525810068269
風險,312278.287764987617265
趨勢值,0.061180323046309
找到最佳解世代,37
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](17),BA[2](1),CAT[3](10),CSCO[4](2),CVX[5](26),INTC[11](9),JPM[13](4),MRK[17](18),NKE[19](6),UNH[23](11),V[25](5),
20180221,916751.940000000060536,1162552.169999999925494,1006978.829999999958090,1055280.000000000000000,823537.170000000041910,961407.500000000000000,990522.529999999911524,889204.000000000000000,1008844.979999999864958,929905.199999999953434,1008298.200000000069849,10753292.519999999552965
20180222,924413.880000000121072,1174263.620000000111759,1030526.640000000130385,1046264.949999999953434,829804.500000000000000,958477.719999999972060,988716.739999999990687,889530.000000000000000,1010048.659999999916181,938000.000000000000000,1007879.599999999976717,10797936.309999998658895
20180223,940487.880000000121072,1176704.879999999888241,1053555.489999999990687,1072091.850000000093132,850192.200000000069849,998866.829999999958090,1008752.410000000032596,894420.000000000000000,1025546.039999999920838,950679.099999999860302,1029228.200000000069849,11000534.879999998956919
20180226,959080.140000000130385,1199204.060000000055879,1061858.850000000093132,1105228.250000000000000,865369.709999999962747,1027746.089999999967404,1021306.949999999953434,913817.000000000000000,1047964.580000000074506,966786.099999999976717,1043125.719999999972060,11211497.450000001117587
20180227,955972.500000000000000,1203030.899999999906868,1046095.440000000060536,1097431.450000000186265,857894.219999999972060,1044487.689999999944121,1009182.359999999986030,891975.000000000000000,1023590.059999999939464,960425.900000000023283,1032911.880000000004657,11123007.400000000372529
20180228,954525.840000000200234,1195014.330000000074506,1003086.630000000004657,1091096.549999999813735,845133.030000000027940,1031512.949999999953434,993188.219999999972060,883825.000000000000000,1008544.059999999939464,934159.099999999860302,1029311.919999999925494,10969407.629999998956919
20180301,937808.880000000121072,1153710.850000000093132,974543.829999999958090,1067218.850000000093132,846039.150000000023283,1001168.800000000046566,975388.290000000037253,875349.000000000000000,997861.399999999790452,927096.799999999930151,1008047.040000000037253,10764242.890000000596046
20180302,944292.060000000172295,1137149.870000000111759,949568.880000000004657,1073553.750000000000000,843018.750000000000000,1025025.579999999958090,974442.399999999906868,886107.000000000000000,991391.619999999995343,930152.999999999883585,1011144.679999999934807,10765857.589999999850988
20180305,947560.440000000060536,1163805.790000000037253,980317.260000000125729,1084761.649999999906868,854420.760000000009313,1041139.369999999995343,989404.660000000032596,886759.000000000000000,978752.979999999864958,943327.699999999953434,1020437.599999999976717,10890697.209999999031425
20180306,946756.740000000107102,1151170.620000000111759,997378.070000000065193,1079157.700000000186265,858196.260000000009313,1061229.290000000037253,990264.559999999939464,885129.000000000000000,981611.719999999855645,934241.699999999953434,1013572.560000000055879,10898718.220000000670552
20180307,937969.620000000111759,1144968.500000000000000,982847.190000000060536,1076964.850000000093132,859630.950000000069849,1073994.759999999776483,986566.989999999990687,887900.000000000000000,965512.500000000000000,938743.400000000023283,1020186.439999999944121,10875295.199999999254942
20180308,948203.400000000139698,1150543.810000000055879,996340.150000000139698,1080375.950000000186265,855930.959999999962747,1061857.100000000093132,986652.979999999981374,892627.000000000000000,979655.739999999874271,928253.199999999837019,1023284.079999999958090,10903734.370000001043081
20180309,964491.720000000088476,1169645.020000000018626,1026569.570000000065193,1105471.899999999906868,885153.329999999958090,1092201.250000000000000,1015029.680000000051223,898821.000000000000000,997560.479999999864958,931144.199999999953434,1042455.960000000079162,11128554.110000001266599
20180312,973814.640000000130385,1135566.350000000093132,1002243.320000000065193,1109857.600000000093132,881906.400000000023283,1078180.160000000149012,1011762.059999999939464,902407.000000000000000,1005384.399999999790452,920158.400000000023283,1040195.519999999902211,11061485.849999999627471
