訓練日期,20120906 - 20121210
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10619777.000000001862645
真實報酬,619777.000000001862645

夏普值報酬,0.053277700000000
夏普值風險,0.013047829700432
夏普值,4.083261448318533

預期報酬,9554.962035125177863
風險,201798.710585146880476
趨勢值,0.047348974665988
找到最佳解世代,72
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
BA[2](13),CVX[5](25),HD[9](2),JNJ[12](4),JPM[13](5),KO[14](17),NKE[19](23),PG[21](8),TRV[22](3),V[25](1),VZ[26](14),
Stock#,BA[2](13),CVX[5](25),HD[9](2),JNJ[12](4),JPM[13](5),KO[14](17),NKE[19](23),PG[21](8),TRV[22](3),V[25](1),VZ[26](14),
張數,12640,8207,16078,13514,24497,24235,37349,13510,14087,28498,20755,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,21.199999999953434,0.609999999986030,39.880000000004657,3.220000000088476,6.329999999958090,35.150000000023283,15.339999999967404,2.099999999860302,55.890000000013970,3.800000000046566,21.000000000116415,
20120906,920465.999999999883585,927637.819999999948777,926936.579999999958090,916792.980000000097789,947795.259999999892898,924600.400000000023283,928884.969999999972060,921924.499999999767169,920500.470000000088476,922769.040000000153668,916354.250000000116415,10174672.269999999552965
20120907,921350.799999999930151,935598.609999999986030,920666.159999999916181,917333.540000000037253,962738.429999999934807,918541.650000000023283,927017.520000000018626,925707.299999999813735,918669.159999999916181,924193.940000000060536,907429.600000000093132,10179256.710000000894070
20120910,898472.399999999906868,935270.329999999958090,921309.279999999911524,921387.740000000223517,949510.049999999930151,912725.249999999883585,934113.830000000074506,925572.199999999953434,920077.860000000102445,916784.460000000079162,914486.300000000162981,10149719.700000001117587
20120911,900873.999999999883585,937075.869999999995343,911984.040000000037253,921658.020000000135042,970087.530000000027940,915391.100000000093132,930752.420000000041910,922194.699999999953434,943180.540000000037253,936733.059999999939464,918222.200000000186265,10208163.480000000447035
20120912,896955.599999999860302,939537.969999999972060,917289.779999999911524,920982.320000000181608,977926.569999999948777,910059.399999999906868,941583.630000000004657,920033.099999999743886,951491.870000000111759,950982.059999999939464,931712.950000000186265,10258565.250000000000000
20120913,904792.399999999906868,956608.530000000027940,937387.279999999911524,932334.080000000074506,1014182.129999999888241,929447.400000000023283,926270.540000000037253,930976.199999999837019,964311.040000000037253,961526.320000000065193,946033.900000000023283,10403879.820000002160668
20120914,901000.400000000023283,962271.359999999986030,956037.760000000009313,925306.800000000046566,1018346.619999999995343,923873.349999999976717,902367.179999999934807,934353.699999999837019,966142.349999999976717,956396.680000000167638,924241.150000000139698,10370347.349999999627471
20120917,883810.000000000000000,961368.589999999967404,947194.859999999986030,922333.720000000088476,1009037.759999999892898,929447.400000000023283,914692.349999999860302,935569.599999999860302,964733.650000000023283,953831.859999999986030,925278.900000000023283,10347308.689999999478459
20120918,890509.199999999953434,959973.400000000023283,946390.959999999962747,926387.920000000041910,1010752.549999999930151,935990.849999999976717,912451.409999999916181,935164.299999999813735,964451.909999999916181,952406.960000000079162,932128.050000000046566,10366617.510000001639128
20120919,883557.200000000069849,956936.809999999939464,956198.540000000037253,927063.619999999995343,1012712.310000000055879,933567.350000000093132,912077.920000000041910,935704.699999999953434,961211.900000000023283,960386.400000000139698,939599.850000000209548,10379026.599999999627471
20120920,882925.199999999837019,967195.559999999939464,953143.719999999972060,931117.820000000181608,1010507.579999999958090,936475.550000000046566,903114.159999999916181,939757.699999999837019,964311.040000000037253,958961.500000000000000,944165.950000000186265,10391685.780000001192093
20120921,884441.999999999883585,966785.209999999962747,955394.640000000013970,933280.060000000172295,1001443.690000000060536,921692.200000000069849,901246.709999999962747,937866.299999999930151,966564.959999999962747,961811.300000000046566,947279.200000000186265,10377816.269999999552965
20120924,885200.400000000023283,966621.069999999948777,954912.300000000046566,932469.220000000088476,1010017.639999999897555,923873.349999999976717,890042.009999999892898,942459.699999999953434,963888.430000000051223,952976.919999999925494,948109.400000000139698,10370580.439999999478459
20120925,876984.399999999906868,959645.119999999995343,960218.040000000037253,936793.699999999953434,993359.679999999934807,913209.950000000069849,887801.069999999948777,940162.999999999883585,964733.650000000023283,958676.520000000018626,946864.100000000093132,10338459.229999998584390
20120926,887981.199999999953434,954474.709999999962747,951375.140000000013970,932469.220000000088476,985765.609999999986030,915148.750000000000000,891535.969999999972060,936245.099999999860302,954872.750000000000000,944142.540000000153668,946241.450000000186265,10300262.440000001341105
20120927,886085.199999999837019,961861.010000000009313,962790.520000000018626,932604.360000000102445,996544.289999999920838,928478.000000000116415,896391.339999999967404,936245.099999999860302,963747.559999999939464,954116.839999999967404,949769.800000000046566,10368644.019999999552965
20120928,879765.199999999837019,956608.530000000027940,970668.739999999990687,931252.960000000079162,991644.889999999897555,919268.700000000069849,886307.109999999986030,937055.699999999837019,961634.510000000125729,956681.660000000032596,945826.350000000093132,10336724.349999999627471
20121001,884947.599999999976717,962271.359999999986030,973884.339999999967404,934226.040000000037253,1003648.419999999925494,930174.450000000069849,892282.949999999953434,938271.599999999860302,973044.979999999864958,974065.440000000060536,950807.550000000162981,10417634.730000000447035
20121002,878880.400000000023283,968098.329999999958090,970025.619999999995343,931928.660000000032596,1002423.569999999948777,929205.050000000162981,886680.599999999860302,929355.000000000000000,967832.790000000037253,968935.800000000046566,951845.300000000046566,10385221.120000001043081
20121003,883051.599999999976717,953161.589999999967404,993177.940000000060536,932469.220000000088476,1000953.750000000000000,926781.550000000046566,875849.389999999897555,934488.799999999930151,972199.760000000125729,986889.540000000153668,960562.400000000139698,10419595.540000000968575
20121004,884062.799999999930151,961450.660000000032596,992695.600000000093132,936118.000000000000000,1024470.869999999995343,928962.699999999953434,895270.869999999878928,937325.899999999790452,976003.250000000000000,995153.960000000079162,980902.300000000046566,10512426.910000000149012
20121005,896070.799999999930151,964323.109999999986030,1016169.480000000097789,941253.320000000181608,1021776.199999999953434,935021.449999999953434,889295.029999999911524,940703.399999999790452,979947.610000000102445,999428.660000000032596,976543.750000000000000,10560542.810000000521541
20121008,892025.999999999883585,965307.950000000069849,994946.520000000018626,938415.380000000004657,1020551.349999999860302,935021.449999999953434,887054.089999999967404,933543.099999999743886,979665.870000000111759,988314.440000000060536,966581.350000000093132,10501437.499999998137355
20121009,892910.799999999930151,963174.130000000004657,979993.980000000097789,924495.960000000079162,1013692.190000000060536,934536.750000000116415,882198.719999999972060,928139.099999999860302,976566.729999999864958,974350.419999999925494,957034.050000000046566,10427102.830000000074506
20121010,889118.800000000046566,922877.760000000009313,960539.600000000093132,921928.300000000046566,1023246.020000000018626,923146.300000000162981,879957.779999999911524,920573.499999999883585,977693.690000000060536,978910.100000000093132,950184.900000000139698,10348186.750000000000000
20121011,895312.399999999906868,927884.030000000027940,948802.659999999916181,918549.800000000046566,1031330.030000000027940,923631.000000000000000,886307.109999999986030,918682.099999999860302,974312.809999999939464,990594.280000000027940,938147.000000000232831,10353563.219999998807907
20121012,908205.199999999837019,919759.099999999976717,957645.560000000055879,918549.800000000046566,1019571.469999999855645,926539.199999999953434,881825.229999999981374,917871.499999999883585,968114.530000000027940,991164.240000000107102,926109.100000000093132,10335364.929999999701977
20121015,913261.199999999953434,925914.349999999976717,975170.579999999958090,927063.619999999995343,1038189.190000000060536,924115.700000000069849,892656.439999999944121,928274.199999999720603,983187.620000000111759,996578.859999999986030,923618.500000000116415,10428040.259999997913837
20121016,928808.400000000023283,936337.239999999990687,978546.959999999962747,939901.920000000041910,1049212.839999999850988,918541.650000000023283,907969.529999999911524,932192.099999999860302,993048.519999999902211,1005698.219999999972060,914901.400000000023283,10505168.780000001192093
20121017,930704.399999999906868,945282.869999999995343,987068.300000000046566,959497.220000000088476,1061216.370000000111759,914664.050000000046566,910957.449999999953434,938541.799999999813735,1005585.949999999953434,1015672.520000000018626,928184.600000000093132,10597385.529999999329448
20121018,938667.599999999976717,941015.229999999981374,993660.279999999911524,980038.500000000000000,1053622.299999999813735,917087.550000000162981,910957.449999999953434,938541.799999999813735,1041648.669999999925494,1010827.859999999986030,950184.900000000139698,10676262.139999998733401
20121019,935507.599999999976717,930510.269999999902211,995107.300000000046566,971119.260000000125729,1036719.369999999995343,906424.150000000023283,900499.729999999981374,926382.799999999813735,1035591.260000000125729,997148.820000000065193,937316.800000000046566,10572337.360000001266599
20121022,931589.199999999953434,925257.789999999920838,997519.000000000000000,970038.140000000130385,1031085.060000000055879,902304.199999999953434,882198.719999999972060,925437.099999999860302,1042353.019999999902211,990309.300000000046566,929222.350000000209548,10527323.879999998956919
20121023,920465.999999999883585,897682.269999999902211,992856.380000000004657,958010.680000000051223,1012467.339999999967404,887278.500000000000000,866885.630000000004657,911116.499999999883585,1033759.949999999953434,973495.479999999981374,914693.850000000093132,10368722.580000000074506
20121024,919075.599999999860302,900390.579999999958090,985299.719999999972060,955983.580000000074506,1021776.199999999953434,893821.950000000069849,867259.119999999878928,919762.899999999790452,1030942.550000000162981,972355.559999999939464,918014.650000000023283,10384692.410000000149012
20121025,904286.800000000046566,910649.329999999958090,972437.319999999948777,961389.180000000051223,1020796.319999999948777,898911.300000000162981,852693.009999999892898,946647.799999999813735,1016010.330000000074506,980050.020000000018626,918429.750000000116415,10382311.160000000149012
20121026,898851.599999999976717,912454.869999999995343,965363.000000000000000,958145.820000000181608,1008302.849999999860302,897699.550000000046566,851199.049999999930151,938136.499999999883585,1008121.610000000102445,985464.640000000013970,928392.150000000023283,10352141.640000000596046
20121031,890382.799999999930151,904740.289999999920838,986907.520000000018626,957064.699999999953434,1021041.289999999920838,901092.450000000069849,853439.989999999990687,935434.499999999767169,999387.669999999925494,988599.419999999925494,926524.200000000186265,10364624.830000001937151
20121101,894806.800000000046566,914752.829999999958090,1001056.159999999916181,966254.220000000088476,1049457.810000000055879,904727.699999999953434,890415.500000000000000,935569.599999999860302,989385.900000000023283,1025076.859999999986030,936901.700000000186265,10508415.079999998211861
20121102,885453.199999999953434,889393.200000000069849,997197.440000000060536,958145.820000000181608,1039169.069999999948777,898668.949999999953434,882945.699999999953434,934758.999999999883585,980792.830000000074506,1021657.100000000093132,924033.600000000209548,10412225.910000000149012
20121105,890003.599999999860302,896122.939999999944121,1002985.520000000018626,956659.280000000144355,1035494.520000000018626,891156.100000000093132,889668.520000000018626,927733.799999999930151,973608.459999999962747,1008263.040000000153668,917392.000000000232831,10389097.779999999329448
20121106,910353.999999999883585,905725.130000000004657,1006844.239999999990687,959632.360000000102445,1050437.689999999944121,906908.850000000093132,897511.810000000055879,931246.399999999906868,988540.680000000051223,1025076.859999999986030,919467.500000000000000,10501755.519999999552965
20121107,886211.599999999976717,882335.180000000051223,996715.100000000093132,950577.980000000097789,991644.889999999897555,889944.349999999976717,883692.679999999934807,919492.699999999837019,967973.659999999916181,1015672.520000000018626,896429.450000000069849,10280700.109999999403954
20121108,897208.400000000023283,868875.700000000069849,978546.959999999962747,941253.320000000181608,989685.129999999888241,881219.750000000000000,857921.869999999878928,903956.199999999837019,972058.890000000013970,1012252.760000000125729,884391.550000000046566,10187380.530000001192093
20121109,925901.199999999953434,868629.489999999990687,980154.760000000009313,944226.400000000139698,995074.469999999855645,879523.300000000046566,862030.259999999892898,905307.199999999953434,971777.150000000023283,1018237.339999999967404,885014.200000000186265,10235885.769999999552965
