訓練日期,20180109 - 20180412
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10144638.479999998584390
真實報酬,144638.479999998584390

夏普值報酬,0.005763848000000
夏普值風險,0.023280229105844
夏普值,0.247585535941010

預期報酬,3090.993864090111401
風險,281366.333924548176583
趨勢值,0.010985656389577
找到最佳解世代,15
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AAPL[0](12),BA[2](4),GS[8](8),HD[9](21),INTC[11](1),JPM[13](7),MCD[15](24),MSFT[18](3),TRV[22](5),WBA[27](26),
Stock#,AAPL[0](12),BA[2](4),GS[8](8),HD[9](21),INTC[11](1),JPM[13](7),MCD[15](24),MSFT[18](3),TRV[22](5),WBA[27](26),
張數,5735,3224,3971,5207,22351,9216,5749,11327,7607,13540,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,102.750000000000000,76.400000000023283,62.489999999990687,47.720000000088476,16.260000000009313,64.000000000000000,76.429999999934807,52.439999999944121,59.850000000093132,71.000000000116415,
20180109,999885.300000000046566,1026694.720000000088476,1008458.229999999981374,1005519.420000000041910,974966.880000000004657,1005068.799999999930151,997757.889999999897555,999320.379999999888241,1007759.140000000130385,994177.800000000162981,10019608.560000000521541
20180110,999655.899999999906868,1032594.640000000013970,1010006.920000000041910,998750.320000000181608,949933.760000000009313,1016128.000000000000000,997585.419999999925494,994789.579999999841675,1005020.620000000228174,1003114.200000000069849,10007579.359999999403954
20180111,1005333.550000000046566,1057935.280000000260770,1013183.719999999972060,1013746.480000000097789,970273.169999999925494,1021565.440000000060536,996895.539999999804422,997734.599999999976717,1006770.230000000097789,1020716.200000000069849,10104154.209999999031425
20180112,1015713.900000000023283,1084017.439999999944121,1020728.619999999878928,1022806.660000000032596,966473.500000000000000,1038430.719999999972060,997930.359999999869615,1014951.639999999897555,1024950.959999999962747,1030058.800000000046566,10216062.599999999627471
20180116,1010552.400000000023283,1080632.240000000223517,1026407.149999999906868,1022233.890000000130385,964238.400000000023283,1034744.319999999948777,998562.750000000000000,1000792.889999999897555,1030960.490000000223517,1029517.200000000186265,10198641.730000000447035
20180117,1027241.250000000000000,1131732.640000000130385,1007306.640000000013970,1040510.460000000079162,992177.150000000023283,1041379.839999999967404,1006036.449999999837019,1021068.219999999972060,1041153.870000000228174,1026132.200000000186265,10334738.720000002533197
20180118,1028158.849999999976717,1096752.240000000223517,996664.359999999986030,1032752.030000000144355,994188.739999999990687,1043868.160000000032596,1003679.359999999869615,1020615.139999999897555,1044805.230000000097789,1029111.000000000116415,10290595.109999999403954
20180119,1023570.850000000093132,1088917.919999999925494,1017115.010000000009313,1048373.030000000144355,1001788.079999999958090,1041564.160000000032596,1012590.309999999939464,1019482.439999999944121,1048684.800000000046566,1035474.800000000046566,10337561.400000002235174
20180122,1015197.750000000000000,1089788.399999999906868,1038558.409999999916181,1064670.939999999944121,1022574.510000000009313,1053729.280000000027940,1013107.719999999972060,1037718.909999999916181,1060095.300000000046566,1048067.000000000232831,10443508.220000000670552
20180123,1015427.149999999906868,1082018.560000000055879,1032879.879999999888241,1066962.020000000018626,1029503.320000000065193,1052623.359999999869615,1016557.119999999995343,1041003.739999999990687,1112659.669999999925494,1042921.800000000046566,10492556.620000001043081
20180124,999254.449999999953434,1079116.959999999962747,1055077.770000000018626,1073835.260000000242144,1017210.270000000018626,1066078.719999999972060,1012590.309999999939464,1040097.579999999841675,1123005.190000000176951,1047119.200000000069849,10513385.709999997168779
20180125,981418.600000000093132,1106263.040000000037253,1068380.619999999878928,1069409.310000000055879,1012516.559999999939464,1066355.199999999953434,1009945.769999999902211,1045874.349999999976717,1129471.140000000130385,1059846.800000000279397,10549481.390000000596046
20180126,983712.599999999976717,1106617.680000000167638,1064846.429999999934807,1079094.330000000074506,1119354.340000000083819,1072069.119999999878928,1025468.070000000065193,1065470.060000000055879,1136697.790000000037253,1071762.000000000000000,10725092.420000001788139
