訓練日期,20171108 - 20180212
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10974936.359999997541308
真實報酬,974936.359999997541308

夏普值報酬,0.088793636000000
夏普值風險,0.046848806146879
夏普值,1.895323345521692

預期報酬,24475.256308012609225
風險,245506.703702427534154
趨勢值,0.099692822798348
找到最佳解世代,60
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
BA[2](4),CAT[3](9),CSCO[4](1),HD[9](5),JPM[13](3),MCD[15](25),MMM[16](16),MSFT[18](14),NKE[19](2),PFE[20](20),TRV[22](21),VZ[26](7),WMT[28](6),
Stock#,BA[2](4),CAT[3](9),CSCO[4](1),HD[9](5),JPM[13](3),MCD[15](25),MMM[16](16),MSFT[18](14),NKE[19](2),PFE[20](20),TRV[22](21),VZ[26](7),WMT[28](6),
張數,2890,5541,22361,4700,7789,4504,3343,9128,13947,21754,5752,16880,8647,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,114.300000000046566,83.790000000037253,11.599999999976717,28.000000000000000,66.250000000000000,81.919999999925494,172.849999999976717,13.440000000060536,52.950000000069849,8.560000000055879,72.560000000055879,8.400000000023283,79.349999999976717,
20171108,767611.599999999976717,760807.680000000051223,771466.099999999976717,771063.000000000000000,760584.209999999962747,766212.319999999948777,768494.540000000037253,771877.120000000111759,777737.670000000041910,768794.920000000158325,768079.600000000093132,767373.200000000069849,780557.570000000065193,10000669.529999999329448
20171109,759317.300000000046566,750002.730000000097789,761403.649999999906868,767397.000000000000000,760506.319999999948777,752249.919999999925494,763680.619999999878928,767586.960000000079162,782898.060000000055879,765749.360000000102445,773889.120000000111759,760790.000000000000000,780903.449999999953434,9946384.490000000223517
20171110,753970.800000000162981,756319.469999999972060,760061.989999999990687,771345.000000000116415,759571.640000000013970,745899.279999999911524,760538.199999999953434,765578.800000000046566,782340.180000000167638,765314.280000000027940,779698.640000000013970,757582.800000000046566,786264.589999999967404,9944495.669999999925494
20171113,758508.100000000093132,756596.520000000018626,759167.550000000046566,777173.000000000000000,762297.790000000037253,753916.399999999906868,763112.309999999939464,766126.480000000097789,779829.719999999972060,767924.760000000009313,766929.200000000069849,755388.400000000023283,786869.879999999888241,9953850.109999999403954
20171114,756600.700000000069849,762192.930000000051223,761180.039999999920838,789910.000000000000000,757702.279999999911524,757249.359999999986030,766823.040000000037253,767221.840000000083819,780806.010000000009313,769665.080000000074506,770035.280000000144355,746442.000000000000000,787734.579999999958090,9973573.139999998733401
20171115,759779.700000000069849,743131.890000000013970,762745.309999999939464,777737.000000000000000,764868.160000000032596,753691.199999999837019,760371.050000000046566,757454.880000000121072,789871.560000000055879,769230.000000000000000,769172.480000000097789,744585.200000000069849,776839.359999999986030,9929487.789999999105930
