訓練日期,20100823 - 20101122
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11267333.939999999478459
真實報酬,1267333.939999999478459

夏普值報酬,0.118033394000000
夏普值風險,0.043337516307657
夏普值,2.723584645739011

預期報酬,22562.065510916563653
風險,119648.248530510551063
趨勢值,0.188569960597152
找到最佳解世代,58
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,15
CVX[5](8),DIS[6](19),HD[9](18),IBM[10](9),INTC[11](25),JNJ[12](10),KO[14](1),MSFT[18](21),NKE[19](6),PG[21](16),UNH[23](13),V[25](20),WBA[27](12),WMT[28](14),XOM[29](3),
Stock#,CVX[5](8),DIS[6](19),HD[9](18),IBM[10](9),INTC[11](25),JNJ[12](10),KO[14](1),MSFT[18](21),NKE[19](6),PG[21](16),UNH[23](13),V[25](20),WBA[27](12),WMT[28](14),XOM[29](3),
張數,8882,20171,23665,5228,35254,11349,24110,27514,37411,11114,21090,38051,23432,13274,11320,
分配資金,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,666666.000000000000000,
剩餘資金,71.900000000023283,14.450000000069849,22.949999999953434,96.000000000000000,12.859999999986030,25.739999999990687,24.500000000000000,1.780000000027940,1.979999999981374,48.280000000027940,11.099999999976717,12.479999999981374,25.599999999976717,45.719999999972060,31.199999999953434,
20100823,666666.000000000000000,664245.480000000097789,658619.899999999906868,661281.160000000032596,659262.659999999916181,668141.369999999995343,670282.500000000000000,668041.700000000069849,663673.119999999878928,667221.700000000069849,664346.099999999976717,667046.510000000009313,667368.959999999962747,678878.079999999958090,673571.199999999953434,9998656.439999999478459
20100824,655385.859999999986030,648310.390000000130385,657436.650000000023283,653073.200000000069849,649039.000000000000000,658381.229999999981374,671005.799999999930151,661438.339999999967404,655068.590000000083819,663109.520000000018626,654644.699999999953434,672373.650000000023283,654950.000000000000000,681001.919999999925494,667231.999999999883585,9902460.849999999627471
20100825,657961.640000000013970,647705.260000000009313,670452.399999999906868,655007.559999999939464,651506.780000000027940,658040.760000000009313,667871.500000000000000,663089.180000000051223,655816.810000000055879,663220.660000000032596,674047.500000000000000,674276.199999999953434,644405.599999999976717,684320.419999999925494,666892.399999999906868,9934624.669999999925494
20100826,651388.959999999962747,644276.190000000060536,671635.649999999906868,641989.839999999967404,640930.579999999958090,655997.939999999944121,664978.299999999930151,655385.260000000009313,658435.580000000074506,661775.839999999967404,671727.599999999976717,665143.959999999962747,635970.079999999958090,676621.500000000000000,662024.799999999930151,9858292.080000000074506
20100827,665600.160000000032596,661219.830000000074506,680155.049999999930151,652184.440000000060536,647628.839999999967404,653728.140000000013970,677033.299999999930151,658411.800000000046566,663673.119999999878928,664665.479999999981374,682694.399999999906868,676559.260000000009313,640187.839999999967404,677019.719999999972060,676967.199999999953434,9977738.580000000074506
20100830,655385.859999999986030,652546.300000000046566,662406.299999999930151,645231.200000000069849,633174.700000000069849,650323.439999999944121,669800.300000000046566,650432.739999999990687,658061.469999999972060,659886.459999999962747,672993.000000000000000,661719.369999999995343,637141.680000000051223,671046.419999999925494,667911.199999999953434,9848070.439999999478459
20100831,658050.459999999962747,656378.790000000037253,658383.250000000000000,643819.640000000013970,622951.040000000037253,647145.719999999972060,673657.900000000023283,645755.359999999986030,654694.479999999981374,663220.660000000032596,668985.899999999906868,656392.229999999981374,629877.760000000009313,665604.079999999958090,669156.399999999906868,9814083.670000001788139
20100901,681943.040000000037253,675944.660000000032596,678498.500000000000000,657621.559999999939464,639520.420000000041910,661558.949999999953434,691017.099999999976717,657586.380000000004657,674522.310000000055879,664665.479999999981374,687334.200000000069849,670851.609999999986030,648857.680000000051223,679674.520000000018626,689532.399999999906868,10059138.810000000521541
20100902,687982.800000000046566,684013.060000000055879,696010.599999999976717,653805.119999999995343,644455.979999999981374,665190.630000000004657,691740.400000000023283,658686.940000000060536,682378.619999999878928,667666.260000000009313,693028.500000000000000,684930.479999999981374,663151.199999999953434,687107.959999999962747,691230.400000000023283,10151388.950000001117587
20100903,692867.900000000023283,699343.020000000135042,706423.199999999953434,667084.239999999990687,649744.079999999958090,668822.309999999939464,693910.300000000046566,668316.839999999967404,694350.139999999897555,670111.339999999967404,715172.999999999883585,689877.109999999986030,663151.199999999953434,690824.679999999934807,694173.599999999976717,10264182.959999999031425
20100907,684430.000000000000000,682601.090000000083819,694117.399999999906868,658562.599999999976717,638815.339999999967404,666212.040000000037253,694874.699999999953434,659237.220000000088476,692479.590000000083819,668444.239999999990687,712431.300000000046566,680364.359999999986030,667603.279999999911524,688435.359999999986030,685457.199999999953434,10174075.719999998807907
20100908,686206.400000000023283,682601.090000000083819,696957.199999999953434,659242.239999999990687,631059.459999999962747,667914.390000000013970,697285.700000000069849,658411.800000000046566,693601.919999999925494,671000.459999999962747,713907.599999999976717,652206.619999999995343,671821.040000000037253,688037.139999999897555,687721.199999999953434,10157984.259999999776483
20100909,687183.420000000041910,687442.130000000004657,696010.599999999976717,660706.079999999958090,634584.859999999986030,678922.920000000041910,702831.000000000000000,660612.920000000041910,691357.260000000009313,670111.339999999967404,717492.900000000023283,635464.179999999934807,672992.639999999897555,689099.059999999939464,691117.199999999953434,10175938.509999999776483
20100910,700151.140000000013970,688854.100000000093132,702400.149999999906868,669227.719999999972060,633527.239999999990687,680738.760000000009313,705483.100000000093132,656210.680000000051223,689860.820000000065193,671333.880000000004657,727405.200000000069849,647640.500000000000000,678616.319999999948777,689895.500000000000000,692815.199999999953434,10234170.310000000521541
20100913,703970.400000000023283,691274.620000000111759,709736.299999999930151,677697.080000000074506,654327.099999999976717,684597.420000000041910,699696.699999999953434,690878.320000000065193,698465.350000000093132,672223.000000000000000,732255.899999999906868,622907.349999999976717,680959.519999999902211,693081.260000000009313,690551.199999999953434,10302631.519999999552965
20100914,706279.720000000088476,686837.000000000000000,709262.999999999883585,673723.799999999930151,660672.819999999948777,687548.159999999916181,694392.500000000000000,688677.200000000069849,704077.000000000000000,674001.239999999990687,729936.000000000000000,638508.260000000009313,684708.639999999897555,699054.559999999939464,690664.399999999906868,10328354.300000000745058
20100915,703615.119999999995343,690064.360000000102445,708553.049999999930151,676756.040000000037253,659967.739999999990687,692882.189999999944121,692222.599999999976717,691153.460000000079162,716048.520000000018626,679224.820000000065193,722765.400000000023283,655631.209999999962747,684474.319999999948777,701709.359999999986030,690551.199999999953434,10365629.389999998733401
20100916,702194.000000000000000,689257.520000000135042,708789.699999999953434,678010.759999999892898,668781.239999999990687,695605.949999999953434,693428.100000000093132,696931.400000000023283,716796.739999999990687,679224.820000000065193,722132.700000000069849,650684.580000000074506,682365.439999999944121,705558.819999999948777,690211.599999999976717,10379983.370000001043081
20100917,696953.619999999995343,697124.210000000079162,707369.799999999930151,680729.319999999948777,663140.599999999976717,698783.670000000041910,693910.300000000046566,693904.859999999986030,722782.500000000000000,677668.859999999986030,719812.800000000046566,651445.599999999976717,684474.319999999948777,703700.459999999962747,688060.799999999930151,10379871.719999998807907
20100920,709743.700000000069849,703982.350000000093132,725355.199999999953434,689094.119999999995343,667371.079999999958090,704685.150000000023283,698973.399999999906868,699682.800000000046566,732883.469999999972060,682781.300000000046566,736684.799999999930151,668949.059999999939464,685177.279999999911524,710735.679999999934807,696777.199999999953434,10512886.589999997988343
20100921,708411.400000000023283,695913.950000000069849,731508.099999999976717,690087.439999999944121,674774.420000000041910,702982.799999999930151,700661.099999999976717,691978.880000000004657,726523.600000000093132,683781.560000000055879,743644.499999999883585,665524.469999999972060,696424.639999999897555,711133.900000000023283,696664.000000000000000,10520024.760000001639128
20100922,703970.400000000023283,685626.740000000107102,730798.149999999906868,693171.959999999962747,670191.400000000023283,703323.270000000018626,702107.700000000069849,677121.320000000065193,723156.609999999869615,686782.339999999967404,752502.299999999930151,671993.140000000013970,698064.880000000004657,714452.400000000023283,695645.199999999953434,10508917.810000000521541
20100923,697664.180000000051223,668077.969999999972060,729851.549999999930151,688466.759999999892898,669133.780000000027940,701507.430000000051223,697767.900000000023283,672168.800000000046566,726523.600000000093132,680447.359999999986030,747440.699999999953434,675417.729999999981374,691503.920000000041910,712195.819999999948777,692249.199999999953434,10450426.699999999254942
20100924,711697.740000000107102,677356.630000000004657,748783.549999999930151,701223.080000000074506,684645.540000000037253,705252.599999999976717,706688.599999999976717,681798.700000000069849,744106.770000000018626,685115.239999999990687,753556.799999999930151,688355.069999999948777,711421.119999999995343,717903.639999999897555,699041.199999999953434,10616956.279999997466803
20100927,711342.459999999962747,671507.040000000037253,747836.949999999953434,704046.200000000069849,678299.819999999948777,704004.209999999962747,706447.500000000000000,680423.000000000000000,739991.560000000055879,678446.839999999967404,745542.599999999976717,694443.229999999981374,711186.800000000046566,709939.239999999874271,698588.399999999906868,10582055.850000001490116
20100928,718448.059999999939464,670095.070000000065193,752806.599999999976717,705300.919999999925494,687818.400000000023283,708543.809999999939464,712475.000000000000000,679047.300000000046566,754207.739999999990687,673778.959999999962747,739004.699999999953434,697106.800000000046566,792261.520000000018626,714452.400000000023283,702550.400000000023283,10707907.679999999701977
20100929,722000.859999999986030,665859.160000000032596,752806.599999999976717,708385.439999999944121,678299.819999999948777,707181.930000000051223,708376.299999999930151,674094.780000000027940,747473.760000000009313,669666.780000000027940,742379.100000000093132,707761.080000000074506,788043.760000000009313,708213.619999999995343,697230.000000000000000,10677782.989999998360872
20100930,719958.000000000000000,667674.550000000046566,749730.149999999906868,701379.919999999925494,676889.659999999916181,703209.780000000027940,705483.100000000093132,673819.640000000013970,749718.419999999925494,666554.859999999986030,740481.000000000000000,706619.550000000046566,784997.599999999976717,710470.200000000069849,699494.000000000000000,10656490.429999999701977
