訓練日期,20120206 - 20120508
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10822828.940000001341105
真實報酬,822828.940000001341105

夏普值報酬,0.073582894000000
夏普值風險,0.027582388652195
夏普值,2.667749154283114

預期報酬,16749.033967437138926
風險,122162.346191272750730
趨勢值,0.137104717530660
找到最佳解世代,15
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AAPL[0](5),AXP[1](3),DIS[6](11),HD[9](1),IBM[10](10),INTC[11](9),KO[14](2),PFE[20](4),PG[21](13),TRV[22](19),UNH[23](8),VZ[26](15),WMT[28](29),
Stock#,AAPL[0](5),AXP[1](3),DIS[6](11),HD[9](1),IBM[10](10),INTC[11](9),KO[14](2),PFE[20](4),PG[21](13),TRV[22](19),UNH[23](8),VZ[26](15),WMT[28](29),
張數,11713,14722,19230,17029,3972,28767,22597,36284,12254,12794,14991,20328,12400,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,37.290000000037253,5.500000000000000,30.000000000000000,30.069999999948777,91.920000000041910,0.420000000041910,28.119999999995343,9.200000000069849,46.419999999925494,54.720000000088476,41.789999999920838,18.479999999981374,58.000000000000000,
20120206,776374.930000000051223,762752.320000000065193,778075.800000000046566,769740.869999999995343,765972.959999999962747,768654.660000000032596,768778.060000000055879,760159.000000000000000,778297.959999999846332,759122.740000000107102,768930.179999999934807,775328.400000000023283,767370.000000000000000,9999567.880000000819564
20120207,784574.030000000027940,767463.359999999986030,788075.399999999906868,774168.409999999916181,768078.119999999995343,766353.300000000046566,774653.280000000027940,763787.400000000139698,780626.219999999972060,764368.280000000144355,780023.519999999902211,770856.239999999990687,765014.000000000000000,10048051.560000000521541
20120208,797692.589999999967404,760249.579999999958090,793652.100000000093132,769230.000000000000000,766489.319999999948777,772394.370000000111759,772167.609999999986030,762336.040000000153668,779890.979999999981374,765775.620000000111759,781672.529999999911524,770856.239999999990687,764146.000000000000000,10056562.980000000447035
20120209,825218.140000000013970,770113.320000000065193,798651.900000000023283,770932.900000000023283,767204.280000000027940,772682.040000000037253,768100.150000000023283,767052.960000000079162,784792.579999999958090,766287.380000000121072,795464.250000000000000,770856.239999999990687,768362.000000000000000,10125728.140000000596046
20120210,825686.660000000032596,762752.320000000065193,797113.500000000000000,771954.639999999897555,764384.160000000032596,768079.320000000065193,767648.209999999962747,763787.400000000139698,782831.939999999944121,759762.440000000176951,799361.909999999916181,766180.799999999930151,767618.000000000000000,10097171.300000000745058
20120213,841030.690000000060536,766580.040000000037253,803651.699999999953434,782172.039999999920838,765178.560000000055879,768079.320000000065193,773297.459999999962747,772858.400000000139698,787120.839999999967404,754772.780000000144355,807307.139999999897555,775125.119999999995343,766254.000000000000000,10163438.089999999850988
20120214,852509.430000000051223,764960.619999999995343,799998.000000000000000,784385.809999999939464,763589.760000000009313,770380.680000000051223,778494.770000000018626,773946.920000000041910,790184.339999999967404,756947.760000000009313,816451.649999999906868,773295.599999999976717,771586.000000000000000,10196741.339999999850988
20120215,832831.589999999967404,758482.940000000060536,793267.500000000000000,778425.659999999916181,763708.920000000041910,764627.280000000027940,772845.520000000018626,765964.440000000060536,791042.119999999878928,758610.980000000097789,818850.209999999846332,769026.719999999972060,765882.000000000000000,10133575.880000000819564
20120216,840327.910000000032596,778357.640000000013970,798844.199999999953434,782172.039999999920838,766767.360000000102445,771819.030000000027940,778042.829999999958090,773946.920000000041910,799007.219999999972060,760530.080000000074506,821398.679999999934807,773498.879999999888241,769354.000000000000000,10214076.789999999105930
20120217,840210.780000000027940,778210.420000000041910,802882.500000000000000,795454.659999999916181,768356.160000000032596,787353.210000000079162,780302.530000000027940,768867.160000000149012,795453.559999999939464,765775.620000000111759,819749.669999999925494,781833.359999999986030,774810.000000000000000,10259269.629999998956919
20120221,861528.440000000060536,778063.200000000069849,799421.099999999976717,799030.750000000000000,768237.000000000000000,781312.140000000013970,777590.889999999897555,769955.680000000051223,789449.099999999976717,758355.100000000093132,829343.909999999916181,782443.200000000069849,744926.000000000000000,10239666.509999997913837
20120222,858483.060000000055879,777179.880000000004657,793652.100000000093132,793070.599999999976717,770143.560000000055879,768942.330000000074506,782562.230000000097789,775035.440000000060536,789694.179999999934807,754133.080000000074506,827245.169999999925494,776751.359999999986030,726698.000000000000000,10193600.990000000223517
20120223,864105.300000000046566,775413.239999999990687,797690.399999999906868,799541.619999999995343,784998.840000000083819,766928.640000000013970,781658.350000000093132,763061.720000000088476,813957.099999999976717,754388.960000000079162,823647.329999999841675,775125.119999999995343,725954.000000000000000,10226480.619999999180436
20120224,874178.479999999981374,785129.760000000009313,794421.300000000046566,800052.489999999874271,785594.640000000013970,768079.320000000065193,779624.619999999995343,768504.320000000065193,817510.759999999892898,749783.120000000111759,834290.939999999944121,775328.400000000023283,729054.000000000000000,10261562.150000000372529
20120227,879800.720000000088476,797643.459999999962747,800767.199999999953434,799201.039999999920838,784681.080000000074506,773545.050000000046566,777816.859999999986030,771407.040000000153668,817388.219999999972060,749783.120000000111759,835490.219999999855645,775125.119999999995343,724962.000000000000000,10287621.129999998956919
20120228,895964.660000000032596,791460.219999999972060,806343.900000000023283,804309.739999999874271,786468.479999999981374,783613.500000000000000,777816.859999999986030,769955.680000000051223,825843.479999999981374,747224.320000000065193,837139.229999999981374,775531.679999999934807,730790.000000000000000,10332471.750000000000000
20120229,907677.660000000032596,778652.079999999958090,807497.700000000069849,810099.599999999976717,781503.479999999981374,773257.380000000004657,789341.329999999958090,766690.119999999995343,828661.900000000023283,741722.900000000023283,835790.039999999920838,774718.559999999939464,732650.000000000000000,10328272.750000001862645
20120301,911074.430000000051223,788663.040000000037253,815189.699999999953434,808226.409999999916181,784681.080000000074506,772682.040000000037253,786403.719999999972060,779752.359999999986030,816898.059999999939464,747480.200000000069849,839387.880000000004657,781223.520000000018626,729426.000000000000000,10361098.439999999478459
20120302,912245.729999999981374,780124.280000000027940,814612.800000000046566,807374.959999999846332,789765.240000000107102,774408.060000000055879,781658.350000000093132,776849.640000000130385,817020.599999999976717,742234.660000000032596,837139.229999999981374,786102.239999999990687,731782.000000000000000,10351327.790000000968575
20120305,892216.500000000000000,779829.839999999967404,821151.000000000000000,807034.380000000004657,797113.440000000060536,763476.599999999976717,782336.259999999892898,780115.200000000069849,820451.719999999972060,748503.720000000088476,825146.429999999934807,792810.479999999981374,736618.000000000000000,10346813.570000000298023
20120306,887297.040000000037253,761721.780000000027940,807690.000000000000000,790005.380000000004657,783608.640000000013970,765490.290000000037253,776912.980000000097789,771769.880000000004657,819103.779999999911524,729184.780000000144355,816451.649999999906868,786508.799999999930151,731286.000000000000000,10227041.000000001862645
20120307,887999.820000000065193,769524.440000000060536,802882.500000000000000,807034.380000000004657,785634.360000000102445,774120.390000000013970,777364.919999999925494,775398.280000000144355,815917.739999999874271,727649.500000000000000,815402.279999999911524,790167.839999999967404,742322.000000000000000,10271428.449999999254942
20120308,906974.880000000121072,779535.400000000023283,808074.600000000093132,814356.849999999976717,793737.240000000107102,772106.700000000069849,782788.199999999953434,778663.840000000083819,819839.020000000018626,730592.120000000111759,833691.299999999930151,797282.640000000013970,741206.000000000000000,10358858.790000000968575
20120309,912245.729999999981374,783215.900000000023283,812305.200000000069849,819124.969999999972060,796954.560000000055879,778723.110000000102445,785499.839999999967404,779389.520000000135042,820206.640000000013970,737117.060000000055879,836239.769999999902211,794843.280000000027940,745050.000000000000000,10400925.579999998211861
20120312,923724.470000000088476,776885.440000000060536,814228.200000000069849,827469.180000000051223,798463.920000000041910,776421.750000000000000,792730.880000000004657,781566.560000000055879,829764.759999999892898,737117.060000000055879,824846.609999999986030,799315.439999999944121,752490.000000000000000,10435034.269999999552965
20120313,950664.369999999995343,798674.000000000000000,846342.299999999930151,836835.130000000004657,809506.080000000074506,790805.250000000000000,793860.730000000097789,798620.040000000153668,832093.020000000018626,747352.260000000009313,829493.819999999948777,802567.919999999925494,756458.000000000000000,10593282.919999999925494
20120314,986623.280000000027940,826645.799999999930151,836150.399999999906868,842454.699999999953434,813239.760000000009313,789942.240000000107102,793408.790000000037253,795717.320000000065193,831480.319999999832362,754261.020000000135042,836239.769999999902211,802364.640000000013970,757450.000000000000000,10665988.040000000968575
20120315,979829.740000000107102,835037.339999999967404,835958.099999999976717,837856.869999999995343,818323.920000000041910,798284.670000000041910,794764.609999999986030,794991.640000000130385,829397.140000000013970,755924.240000000107102,835190.399999999906868,803787.599999999976717,759310.000000000000000,10678666.269999999552965
20120316,979829.740000000107102,832534.599999999976717,830573.699999999953434,835302.519999999902211,818363.640000000013970,797709.330000000074506,792730.880000000004657,796080.160000000149012,824127.919999999925494,757459.520000000135042,833391.479999999981374,804397.439999999944121,754474.000000000000000,10656984.929999999701977
20120319,1005832.600000000093132,843134.440000000060536,835381.199999999953434,831556.139999999897555,817211.760000000009313,797997.000000000000000,795442.520000000018626,793903.119999999995343,823637.759999999892898,756436.000000000000000,841486.619999999995343,806023.679999999934807,753234.000000000000000,10701286.839999999850988
20120320,1014031.699999999953434,837834.519999999902211,831535.200000000069849,840922.089999999967404,811372.920000000041910,798284.670000000041910,797702.219999999972060,791000.400000000139698,823637.759999999892898,756947.760000000009313,821248.769999999902211,805617.119999999995343,751498.000000000000000,10681643.129999998956919
20120321,1008175.199999999953434,839895.599999999976717,832112.100000000093132,847903.979999999981374,813120.599999999976717,799147.680000000051223,803577.440000000060536,789911.880000000004657,823515.219999999972060,748631.660000000032596,809106.059999999939464,808666.319999999948777,751002.000000000000000,10674775.740000000223517
20120322,1002904.350000000093132,843428.880000000004657,832496.699999999953434,846030.789999999920838,816298.200000000069849,802599.719999999972060,806966.989999999990687,788460.520000000135042,827436.499999999883585,741722.900000000023283,807756.869999999995343,806226.959999999962747,752118.000000000000000,10674457.379999998956919
20120323,997399.240000000107102,842840.000000000000000,839419.500000000000000,843646.729999999981374,816258.479999999981374,802024.380000000004657,807644.900000000023283,791726.080000000074506,826333.640000000013970,744665.520000000135042,804458.849999999860302,801348.239999999990687,753358.000000000000000,10671133.560000000521541
20120326,1015671.520000000018626,863598.019999999902211,853457.400000000023283,853693.839999999967404,825354.360000000102445,810942.150000000023283,812390.270000000018626,804062.640000000130385,826701.259999999892898,752981.620000000111759,826045.889999999897555,799518.719999999972060,758938.000000000000000,10803365.690000003203750
20120327,1028204.430000000051223,857120.339999999967404,849034.500000000000000,852161.229999999981374,823010.880000000121072,810942.150000000023283,812164.299999999930151,816399.200000000069849,822902.520000000018626,748247.840000000083819,830992.919999999925494,785898.959999999962747,757574.000000000000000,10794663.269999999552965
20120328,1033475.280000000027940,869486.820000000065193,836727.299999999930151,849947.459999999846332,823447.800000000046566,799723.020000000018626,820977.130000000004657,813133.640000000130385,823392.679999999934807,751958.100000000093132,831142.829999999841675,777767.759999999892898,758814.000000000000000,10790003.819999998435378
20120329,1020473.850000000093132,852262.079999999958090,827112.299999999930151,849947.459999999846332,827340.360000000102445,810079.140000000013970,834083.389999999897555,813496.480000000097789,821186.959999999962747,750422.820000000065193,871168.799999999930151,773905.439999999944121,754226.000000000000000,10805715.080000000074506
20120330,1003255.740000000107102,851820.420000000041910,841919.400000000023283,856759.059999999939464,828849.720000000088476,808928.460000000079162,836343.089999999967404,821841.800000000046566,823637.759999999892898,757459.520000000135042,883611.329999999841675,777157.919999999925494,758938.000000000000000,10850532.219999998807907
20120402,1035232.229999999981374,854028.719999999972060,843073.200000000069849,851309.780000000027940,832106.760000000009313,816407.880000000004657,837698.910000000032596,819664.760000000009313,827926.659999999916181,759122.740000000107102,886309.709999999846332,783053.040000000037253,760922.000000000000000,10906866.389999996870756
20120403,1053035.989999999990687,859623.079999999958090,832496.699999999953434,851480.069999999948777,832225.920000000041910,808640.790000000037253,833405.480000000097789,817850.560000000055879,822167.279999999911524,758483.040000000153668,890507.189999999944121,781833.359999999986030,752118.000000000000000,10893877.459999999031425
20120404,1044719.760000000009313,844606.640000000013970,825573.900000000023283,848925.719999999972060,818522.520000000135042,803462.729999999981374,830015.929999999934807,812407.960000000079162,824250.459999999962747,757715.400000000023283,885410.250000000000000,780410.400000000023283,747282.000000000000000,10823313.669999999925494
20120405,1060415.179999999934807,855353.700000000069849,828458.400000000023283,862038.049999999930151,816218.760000000009313,807490.110000000102445,830241.900000000023283,810593.760000000009313,824863.159999999916181,753365.440000000176951,884660.699999999837019,765570.959999999962747,752366.000000000000000,10851646.120000001043081
20120409,1064631.860000000102445,841515.019999999902211,809805.300000000046566,861356.889999999897555,814113.599999999976717,798572.340000000083819,823462.799999999930151,800071.400000000139698,818736.159999999916181,742746.420000000041910,871618.529999999911524,761505.359999999986030,745670.000000000000000,10753815.679999997839332
20120410,1051630.429999999934807,827087.459999999962747,788267.700000000069849,840581.509999999892898,803746.680000000051223,789654.570000000065193,813746.089999999967404,797894.359999999986030,813099.319999999832362,738908.220000000088476,862923.750000000000000,748088.879999999888241,743190.000000000000000,10618828.969999998807907
20120411,1047882.270000000018626,838423.400000000023283,795575.099999999976717,847222.819999999948777,804739.680000000051223,801161.370000000111759,814875.940000000060536,796443.000000000000000,814202.179999999934807,744281.700000000069849,869819.609999999986030,759879.119999999995343,741578.000000000000000,10676094.189999999478459
20120412,1042142.900000000023283,854470.380000000004657,810574.500000000000000,862208.339999999967404,815622.959999999962747,819284.580000000074506,816005.790000000037253,795354.480000000097789,809913.279999999911524,756180.120000000111759,876415.649999999906868,763334.879999999888241,745794.000000000000000,10767311.859999999403954
20120413,1012743.270000000018626,843281.660000000032596,804805.500000000000000,867827.909999999916181,805613.520000000135042,808065.450000000069849,812842.209999999962747,792814.600000000093132,806482.159999999916181,743642.000000000000000,870269.339999999850988,757439.759999999892898,741206.000000000000000,10667043.380000000819564
20120416,970810.729999999981374,851378.760000000009313,801151.799999999930151,880259.079999999958090,805295.760000000009313,817270.890000000013970,818491.459999999962747,797531.520000000135042,818368.539999999920838,756947.760000000009313,859925.549999999930151,760895.520000000018626,751250.000000000000000,10689587.369999999180436
20120417,1020239.589999999967404,856531.459999999962747,820766.400000000023283,886048.939999999944121,824083.319999999948777,818996.910000000032596,835665.179999999934807,809505.239999999990687,821309.499999999883585,767566.780000000144355,871018.889999999897555,767197.200000000069849,767246.000000000000000,10866185.410000000149012
20120418,1018014.119999999995343,854470.380000000004657,817112.700000000069849,882302.559999999939464,795008.280000000027940,804038.070000000065193,838150.850000000093132,814585.000000000000000,818000.919999999925494,760913.900000000023283,859325.909999999916181,765570.959999999962747,769602.000000000000000,10797105.650000002235174
20120419,982992.250000000000000,847551.040000000037253,809228.400000000023283,878045.309999999939464,792545.640000000013970,796558.650000000023283,834083.389999999897555,810593.760000000009313,815795.199999999837019,789444.520000000135042,880163.399999999906868,775531.679999999934807,765758.000000000000000,10778301.240000000223517
20120420,958746.339999999967404,845784.400000000023283,814420.500000000000000,876342.409999999916181,792903.119999999995343,793969.620000000111759,837698.910000000032596,818576.239999999990687,827313.959999999962747,802878.220000000088476,892156.199999999837019,787321.919999999925494,774438.000000000000000,10822559.839999999850988
20120423,956638.000000000000000,843870.540000000037253,807882.299999999930151,870211.969999999972060,789010.560000000055879,789654.570000000065193,832727.570000000065193,812045.119999999995343,816775.520000000018626,804925.260000000009313,887359.079999999841675,784069.439999999944121,738354.000000000000000,10733533.929999999701977
20120424,937545.810000000055879,848434.359999999986030,811151.400000000023283,872425.739999999874271,794491.920000000041910,785627.190000000060536,837472.940000000060536,821116.119999999995343,821064.419999999925494,810810.500000000000000,880313.309999999939464,802974.479999999981374,716406.000000000000000,10739844.190000001341105
20120425,1020708.109999999986030,867278.519999999902211,821151.000000000000000,884005.459999999846332,808671.959999999962747,801449.040000000037253,846737.709999999962747,830187.119999999995343,819716.479999999981374,816056.040000000153668,882561.959999999846332,802567.919999999925494,711322.000000000000000,10912423.320000000298023
20120426,1016842.820000000065193,877289.480000000097789,833842.800000000046566,883324.299999999930151,816655.680000000051223,811805.160000000032596,855324.570000000065193,836718.239999999990687,819471.400000000023283,828722.100000000093132,875066.459999999846332,815984.400000000023283,731038.000000000000000,11002095.410000000149012
20120427,1008995.109999999986030,885828.239999999990687,833650.500000000000000,884686.619999999995343,821541.240000000107102,816407.880000000004657,865945.160000000032596,837443.920000000041910,789694.179999999934807,818998.660000000149012,868170.599999999860302,817813.919999999925494,732030.000000000000000,10981216.029999999329448
20120430,977252.880000000121072,886417.119999999995343,829035.300000000046566,881961.979999999981374,822613.680000000051223,816983.219999999972060,862329.639999999897555,830912.800000000046566,779890.979999999981374,822964.800000000046566,841786.439999999944121,820863.119999999995343,730542.000000000000000,10903563.959999999031425
20120501,974090.369999999995343,897605.839999999967404,842111.699999999953434,890987.349999999976717,826267.920000000041910,832805.070000000065193,869334.709999999962747,826558.720000000088476,779033.199999999953434,826547.119999999995343,856477.619999999995343,824522.160000000032596,732526.000000000000000,10978877.779999999329448
20120502,980532.520000000018626,898783.599999999976717,837304.199999999953434,897628.659999999916181,826506.240000000107102,839421.479999999981374,871820.380000000004657,822204.640000000130385,784057.339999999850988,828338.280000000027940,849431.849999999860302,825335.280000000027940,731782.000000000000000,10993156.469999998807907
20120503,973621.850000000093132,895986.420000000041910,842496.300000000046566,893541.699999999953434,823249.200000000069849,821585.940000000060536,874983.959999999962747,820027.600000000093132,790551.959999999962747,828466.220000000088476,835340.309999999939464,826148.400000000023283,731534.000000000000000,10957543.860000001266599
20120504,945862.040000000037253,884797.700000000069849,825573.900000000023283,884856.909999999916181,814312.200000000069849,802599.719999999972060,870012.619999999995343,812045.119999999995343,787733.539999999920838,825267.720000000088476,820349.309999999939464,818423.759999999892898,727938.000000000000000,10819782.540000000968575
20120507,952889.839999999967404,884797.700000000069849,842688.599999999976717,875150.380000000004657,809386.920000000041910,798572.340000000083819,873176.199999999953434,814585.000000000000000,787365.919999999925494,826419.180000000167638,828294.539999999920838,823912.319999999948777,734014.000000000000000,10851262.939999999478459
20120508,950781.500000000000000,881706.079999999958090,851919.000000000000000,862038.049999999930151,800370.479999999981374,787353.210000000079162,871594.410000000032596,813496.480000000097789,786263.059999999939464,823860.380000000121072,836839.409999999916181,824318.879999999888241,732278.000000000000000,10822828.940000001341105
