訓練日期,20181025 - 20190130
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10504653.039999999105930
真實報酬,504653.039999999105930

夏普值報酬,0.041765304000000
夏普值風險,0.025718407950777
夏普值,1.623945933198335

預期報酬,9528.544658410279226
風險,379685.083682512340602
趨勢值,0.025095915188435
找到最佳解世代,60
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
CAT[3](1),DIS[6](18),DD[7](7),INTC[11](2),MCD[15](8),MRK[17](3),NKE[19](5),PFE[20](14),PG[21](4),WBA[27](17),WMT[28](23),
Stock#,CAT[3](1),DIS[6](18),DD[7](7),INTC[11](2),MCD[15](8),MRK[17](3),NKE[19](5),PFE[20](14),PG[21](4),WBA[27](17),WMT[28](23),
張數,8092,8145,12117,21430,5125,12887,12605,21400,10161,12251,9318,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,34.719999999972060,26.550000000046566,72.660000000032596,29.399999999906868,171.250000000000000,41.019999999902211,17.399999999906868,18.000000000116415,86.940000000060536,65.799999999930151,25.919999999925494,
20181025,935712.679999999934807,929859.750000000000000,913209.780000000027940,949592.699999999953434,898635.000000000000000,901615.539999999804422,921442.899999999790452,928992.000000000000000,904415.940000000060536,927956.539999999920838,924185.160000000032596,10135627.990000000223517
20181026,931019.319999999948777,921959.099999999976717,897336.510000000009313,979166.099999999860302,888538.750000000000000,907285.819999999948777,908459.749999999767169,911658.000000000116415,892832.400000000023283,933959.530000000027940,921948.839999999850988,10094174.119999999180436
20181029,922360.880000000004657,920737.350000000093132,898548.210000000079162,972951.399999999906868,887975.000000000000000,920817.169999999925494,909972.349999999860302,925140.000000000000000,896693.579999999958090,941187.619999999878928,929962.319999999948777,10126355.879999998956919
20181030,950521.039999999920838,934746.750000000116415,908241.810000000055879,1023526.199999999837019,914932.500000000000000,939116.709999999962747,939215.949999999953434,917864.000000000116415,906346.530000000027940,965444.599999999860302,954375.479999999981374,10354341.570000000298023
20181031,981756.159999999916181,935316.900000000023283,930537.090000000083819,1004667.799999999930151,906783.750000000000000,948653.089999999850988,945896.599999999976717,921502.000000000116415,901164.420000000158325,977328.069999999832362,934434.959999999962747,10388050.839999999850988
20181101,1009107.119999999995343,945661.050000000046566,1005541.320000000065193,1033383.999999999883585,896431.250000000000000,942338.459999999962747,967955.349999999976717,934556.000000000116415,910410.930000000051223,978920.699999999953434,937230.359999999869615,10561546.539999999105930
20181102,1017927.400000000023283,938167.650000000139698,996211.229999999981374,1009596.699999999837019,906015.000000000000000,931384.509999999892898,965308.299999999930151,918720.000000000116415,912646.350000000093132,971570.099999999860302,944312.039999999920838,10511869.279999999329448
20181105,1022944.439999999944121,940366.800000000046566,994514.849999999976717,1028026.499999999883585,924669.999999999883585,942338.459999999962747,977283.049999999930151,931346.000000000232831,926770.140000000130385,979778.269999999902211,958941.299999999930151,10626989.810000000521541
20181106,1046573.080000000074506,950629.500000000000000,1001300.369999999995343,1012596.899999999906868,936560.000000000000000,944786.989999999874271,965182.249999999767169,920432.000000000116415,929920.050000000162981,987496.399999999906868,962854.859999999869615,10658342.400000000372529
20181107,1093263.919999999925494,953398.800000000046566,1032441.060000000055879,1044098.999999999883585,944452.500000000000000,967596.979999999864958,982829.249999999883585,950178.000000000116415,927684.630000000121072,1003545.209999999846332,972079.679999999818392,10871579.029999999329448
20181108,1063242.599999999860302,944846.550000000046566,1025776.710000000079162,1049885.099999999860302,950756.250000000000000,972751.779999999911524,980434.299999999930151,938408.000000000116415,928395.900000000023283,1010038.239999999874271,977297.759999999892898,10841843.189999999478459
20181109,1026990.439999999944121,961136.550000000046566,1012690.349999999976717,1031026.699999999837019,953113.750000000000000,964761.839999999850988,962535.199999999953434,947610.000000000116415,939064.950000000069849,1009425.689999999944121,983634.000000000000000,10791999.469999998807907
20181112,1011534.719999999972060,950548.050000000046566,995726.550000000046566,999738.899999999906868,945067.500000000000000,962571.049999999930151,946652.899999999790452,943972.000000000116415,942011.640000000130385,1002320.109999999986030,967886.579999999958090,10668040.000000000000000
20181113,1019303.039999999920838,951769.800000000046566,991727.940000000060536,1015597.099999999976717,943222.500000000000000,961540.089999999850988,947913.399999999906868,931346.000000000232831,949835.610000000102445,1003667.719999999972060,959220.839999999850988,10675154.039999999105930
20181114,1012343.919999999925494,953968.950000000069849,1000573.349999999976717,1009168.099999999976717,942402.500000000000000,954838.849999999976717,947913.399999999906868,918292.000000000000000,950038.829999999958090,998767.319999999832362,946082.459999999962747,10634399.679999999701977
20181115,1047301.359999999869615,953887.500000000000000,1013538.540000000037253,1031026.699999999837019,940916.250000000000000,964504.099999999976717,936947.049999999930151,924712.000000000116415,953493.570000000065193,1008200.589999999967404,927539.640000000013970,10702077.299999998882413
20181116,1051671.040000000037253,946394.099999999976717,1021414.590000000083819,1046456.299999999813735,961570.000000000000000,980226.239999999874271,942115.099999999860302,931132.000000000116415,953391.959999999962747,1011018.319999999832362,910301.339999999850988,10755700.990000000223517
20181119,1019464.880000000004657,940122.450000000069849,997422.930000000051223,1028669.399999999906868,957111.250000000000000,983963.469999999855645,914131.999999999883585,945470.000000000116415,948006.630000000121072,1003667.719999999972060,901821.959999999962747,10639862.690000001341105
20181120,989443.559999999939464,911207.700000000069849,972825.420000000041910,1015597.099999999976717,941685.000000000000000,963730.879999999888241,896485.000000000000000,931560.000000000116415,935915.040000000037253,977573.089999999967404,877408.799999999930151,10413441.589999999850988
20181121,1002390.760000000009313,920655.900000000023283,983124.869999999995343,1007882.299999999930151,936611.250000000000000,963859.750000000000000,912241.250000000000000,922358.000000000116415,928903.950000000069849,977205.559999999939464,877501.979999999981374,10432745.570000000298023
20181123,989848.159999999916181,912918.150000000023283,973794.780000000027940,997381.599999999860302,932562.500000000000000,962313.309999999939464,901148.849999999860302,923214.000000000116415,930224.880000000121072,990069.109999999986030,886167.719999999855645,10399653.059999998658895
