訓練日期,20120224 - 20120525
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10270307.740000000223517
真實報酬,270307.740000000223517

夏普值報酬,0.018330774000000
夏普值風險,0.014948446812532
夏普值,1.226266128507256

預期報酬,7867.842038541608417
風險,154485.694207621912938
趨勢值,0.050929259689040
找到最佳解世代,57
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,14
AAPL[0](8),HD[9](5),IBM[10](12),JNJ[12](17),KO[14](1),MRK[17](16),NKE[19](10),PFE[20](2),PG[21](20),TRV[22](7),V[25](11),VZ[26](6),WBA[27](22),WMT[28](9),
Stock#,AAPL[0](8),HD[9](5),IBM[10](12),JNJ[12](17),KO[14](1),MRK[17](16),NKE[19](10),PFE[20](2),PG[21](20),TRV[22](7),V[25](11),VZ[26](6),WBA[27](22),WMT[28](9),
張數,9682,15213,3614,10972,20650,18548,26913,33965,10754,12114,24529,18732,21026,12201,
分配資金,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,
剩餘資金,43.859999999986030,34.649999999906868,122.459999999962747,7.800000000046566,1.499999999883585,1.520000000018626,13.979999999981374,1.049999999930151,4.319999999948777,43.559999999939464,0.520000000018626,33.839999999967404,31.780000000027940,38.459999999962747,
20120224,722611.519999999902211,714741.389999999897555,714827.099999999976717,707262.919999999925494,712426.499999999883585,708535.120000000111759,715092.390000000013970,719379.749999999883585,717403.659999999916181,709923.959999999962747,720907.830000000074506,714472.319999999948777,711972.140000000013970,717335.250000000000000,10006901.849999999627471
20120227,727258.880000000004657,713980.739999999874271,713995.880000000004657,707153.200000000069849,710774.499999999883585,707607.719999999972060,721013.250000000000000,722096.949999999953434,717296.119999999995343,709923.959999999962747,716737.900000000023283,714285.000000000000000,705243.820000000065193,713308.919999999925494,10000686.840000001713634
20120228,740620.039999999920838,718544.639999999897555,715622.179999999934807,715162.760000000125729,710774.499999999883585,711873.760000000009313,722897.159999999916181,720738.349999999860302,724716.380000000004657,707501.159999999916181,729492.979999999981374,714659.639999999897555,702510.439999999944121,719043.390000000013970,10054167.380000000819564
20120229,750302.039999999920838,723717.059999999939464,711104.679999999934807,714065.560000000055879,721305.999999999883585,707978.680000000051223,726126.719999999972060,717681.499999999883585,727189.800000000046566,702292.139999999897555,713549.130000000004657,713910.359999999986030,697253.939999999944121,720873.539999999920838,10047361.149999996647239
20120301,753109.819999999948777,722043.629999999888241,713995.880000000004657,711322.560000000055879,718621.499999999767169,700930.440000000060536,730432.800000000046566,729908.899999999906868,716865.959999999962747,707743.439999999944121,718700.220000000088476,719904.599999999976717,689053.800000000046566,717701.279999999911524,10050344.830000000074506
20120302,754078.019999999902211,721282.979999999864958,718621.799999999930151,710664.239999999990687,714285.000000000000000,703527.160000000032596,731778.450000000069849,727191.699999999953434,716973.500000000000000,702776.699999999953434,712322.680000000051223,724400.280000000027940,687371.719999999972060,720019.469999999972060,10045303.700000001117587
20120305,737521.800000000046566,720978.719999999972060,725307.699999999953434,712200.320000000065193,714904.499999999883585,713172.120000000111759,735008.009999999892898,730248.549999999930151,719984.619999999995343,708712.559999999939464,712813.260000000009313,730581.839999999967404,700197.579999999958090,724777.859999999986030,10086419.439999999478459
20120306,733455.359999999986030,705765.719999999972060,713020.099999999976717,706056.000000000000000,709948.499999999883585,694438.640000000013970,722358.900000000023283,722436.599999999860302,718801.679999999934807,690420.419999999925494,704228.109999999986030,724774.919999999925494,691156.400000000023283,719531.429999999934807,9956402.779999999329448
20120307,734036.280000000027940,720978.719999999972060,714863.239999999990687,705507.400000000023283,710361.499999999883585,692027.400000000023283,723973.679999999934807,725833.099999999976717,716005.639999999897555,688966.739999999874271,709133.910000000032596,728146.679999999934807,689474.320000000065193,730390.319999999948777,9989708.929999999701977
20120308,749721.119999999995343,727520.309999999939464,722235.799999999930151,711542.000000000000000,715317.499999999883585,693696.719999999972060,726126.719999999972060,728889.949999999953434,719446.920000000041910,691752.959999999962747,723360.729999999981374,734702.879999999888241,689264.060000000055879,729292.229999999981374,10062879.900000000372529
20120309,754078.019999999902211,731779.949999999953434,725163.140000000013970,710335.079999999958090,717795.499999999883585,697406.320000000065193,740121.479999999981374,729569.250000000000000,719769.540000000037253,697931.099999999976717,718454.930000000051223,732455.040000000037253,703982.260000000009313,733074.539999999920838,10111926.149999998509884
20120312,763566.380000000004657,739234.319999999948777,726536.459999999962747,714285.000000000000000,724403.499999999883585,706680.320000000065193,736353.659999999916181,731607.149999999906868,728157.659999999916181,697931.099999999976717,714530.290000000037253,736576.079999999958090,707136.160000000032596,740395.140000000013970,10167403.220000000670552
20120313,785834.979999999981374,747601.469999999972060,736583.380000000004657,716808.560000000055879,725435.999999999883585,710018.960000000079162,745234.950000000069849,747570.699999999953434,730200.920000000041910,707622.299999999930151,719190.800000000046566,739573.199999999953434,699146.280000000027940,744299.459999999962747,10255131.960000000894070
20120314,815558.719999999972060,752621.759999999892898,739980.539999999920838,714065.560000000055879,725022.999999999883585,708906.079999999958090,742274.519999999902211,744853.499999999883585,729663.219999999855645,714163.859999999986030,716002.030000000027940,739385.879999999888241,701669.400000000023283,745275.539999999920838,10289453.609999999403954
20120315,809943.160000000032596,748514.250000000000000,744606.459999999962747,713955.839999999967404,726261.999999999883585,705938.400000000023283,744965.819999999948777,744174.199999999953434,727835.040000000037253,715738.679999999934807,717473.770000000018626,740697.119999999995343,710079.800000000046566,747105.689999999944121,10297300.230000000447035
20120316,809943.160000000032596,746232.299999999813735,744642.599999999976717,714504.440000000060536,724403.499999999883585,705381.960000000079162,748464.509999999892898,745193.150000000023283,723210.819999999948777,717192.359999999986030,715511.450000000069849,741259.079999999958090,719331.239999999990687,742347.300000000046566,10297627.870000001043081
