訓練日期,20120604 - 20120904
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11454228.339999999850988
真實報酬,1454228.339999999850988

夏普值報酬,0.136722834000000
夏普值風險,0.037079773935183
夏普值,3.687261800435892

預期報酬,24718.505621630276437
風險,134772.752048830472631
趨勢值,0.183408776966091
找到最佳解世代,86
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
AAPL[0](4),CSCO[4](23),DIS[6](6),GS[8](10),HD[9](12),JPM[13](11),MCD[15](25),MRK[17](7),PG[21](17),V[25](8),WBA[27](16),XOM[29](5),
Stock#,AAPL[0](4),CSCO[4](23),DIS[6](6),GS[8](10),HD[9](12),JPM[13](11),MCD[15](25),MRK[17](7),PG[21](17),V[25](8),WBA[27](16),XOM[29](5),
張數,10398,52213,18768,8995,17375,26098,9610,22413,13539,29698,27842,10694,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,37.280000000027940,13.519999999902211,33.800000000046566,36.199999999953434,28.000000000000000,23.859999999986030,49.900000000023283,17.660000000032596,7.550000000046566,7.119999999995343,21.940000000060536,56.520000000018626,
20120604,838220.060000000055879,841164.949999999837019,833520.679999999934807,818581.199999999953434,847233.000000000000000,809061.859999999986030,829585.099999999976717,839608.640000000013970,831302.150000000023283,847588.039999999920838,849481.360000000102445,832370.540000000037253,10017721.579999998211861
20120605,836036.480000000097789,841687.079999999958090,841590.920000000158325,829465.149999999906868,850013.000000000000000,834898.879999999888241,836888.699999999953434,840505.160000000032596,828188.180000000051223,844915.219999999972060,851430.300000000046566,829910.919999999925494,10065533.990000000223517
20120606,848930.000000000000000,870926.359999999869615,854540.840000000083819,854201.399999999906868,879203.000000000000000,863084.719999999972060,852072.500000000000000,849470.359999999986030,836717.750000000000000,863921.939999999944121,862010.260000000125729,857501.440000000060536,10292584.569999998435378
20120607,849241.940000000060536,865705.059999999823049,856417.640000000130385,845566.199999999953434,890323.000000000000000,856299.239999999990687,849381.699999999953434,859107.949999999953434,849715.190000000060536,867188.719999999972060,862567.100000000093132,862955.380000000004657,10314473.120000001043081
20120608,862031.480000000097789,873537.009999999892898,867866.120000000111759,850423.500000000000000,909609.250000000000000,879004.500000000000000,843327.400000000023283,862021.640000000013970,849579.800000000046566,865703.819999999948777,867578.660000000032596,864559.480000000097789,10395246.660000000149012
20120611,848514.079999999958090,860483.759999999892898,859608.199999999953434,834772.199999999953434,892234.250000000000000,856560.219999999972060,832179.800000000046566,862245.770000000018626,846736.609999999986030,863921.939999999944121,869249.180000000051223,858463.900000000023283,10284973.910000000149012
20120612,855896.660000000032596,876669.789999999804422,870493.640000000130385,845926.000000000000000,907698.000000000000000,881353.320000000065193,841021.000000000116415,870762.710000000079162,849715.190000000060536,869861.539999999920838,870084.440000000060536,869050.960000000079162,10408537.250000000000000
20120613,849969.799999999930151,869882.099999999860302,867678.439999999944121,834052.599999999976717,885631.750000000000000,895185.259999999892898,845441.599999999976717,860676.859999999986030,847142.780000000027940,853230.660000000032596,859782.900000000023283,862313.739999999990687,10330992.490000000223517
20120614,849033.980000000097789,883457.479999999981374,885508.040000000037253,843947.099999999860302,906307.999999999883585,904319.559999999939464,862259.099999999976717,869417.930000000051223,855401.570000000065193,864812.880000000004657,881778.080000000074506,878354.739999999990687,10484602.459999999031425
20120615,852881.239999999990687,892855.819999999948777,883818.920000000158325,860497.899999999906868,901269.250000000000000,914236.800000000046566,869754.900000000023283,872779.880000000004657,851339.870000000111759,879067.920000000041910,885397.540000000037253,890011.199999999953434,10553915.240000002086163
20120618,870141.920000000041910,894944.339999999967404,884006.600000000093132,842238.049999999930151,909088.000000000000000,903536.619999999878928,867256.299999999930151,870762.710000000079162,843351.859999999986030,891838.060000000055879,889852.260000000125729,888834.859999999986030,10555855.580000000074506
