訓練日期,20120828 - 20121130
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10688048.679999999701977
真實報酬,688048.679999999701977

夏普值報酬,0.060104868000000
夏普值風險,0.018819346211279
夏普值,3.193780874490540

預期報酬,10643.488912614098808
風險,194298.380501395760803
趨勢值,0.054779092265968
找到最佳解世代,37
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,7
CSCO[4](28),DD[7](17),GS[8](4),HD[9](2),JNJ[12](6),V[25](1),XOM[29](11),
Stock#,CSCO[4](28),DD[7](17),GS[8](4),HD[9](2),JNJ[12](6),V[25](1),XOM[29](11),
張數,73789,34086,13589,25208,21167,44754,16281,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,15.959999999962747,26.740000000223517,95.319999999832362,33.639999999897555,10.170000000158325,23.319999999832362,76.060000000055879,
20120828,1418240.539999999804422,1420390.360000000335276,1427347.989999999757856,1425041.879999999888241,1428994.340000000316650,1425438.219999999972060,1434432.159999999916181,9979888.490000002086163
20120829,1416764.760000000009313,1423117.240000000223517,1434142.489999999757856,1432856.359999999869615,1426030.960000000195578,1432598.859999999636784,1431175.960000000195578,9996689.630000000819564
20120830,1394628.059999999823049,1425844.120000000111759,1423135.399999999906868,1427310.599999999860302,1422644.239999999990687,1417830.039999999804422,1419779.260000000009313,9931174.719999998807907
20120831,1407910.079999999841675,1422776.380000000353903,1436724.399999999906868,1430587.639999999897555,1427300.980000000214204,1434836.559999999823049,1421407.360000000102445,9981546.399999998509884
20120904,1402006.959999999962747,1390394.680000000167638,1446100.809999999823049,1431595.959999999962747,1423702.590000000316650,1437969.339999999850988,1418476.780000000027940,9950250.119999999180436
20120905,1394628.059999999823049,1381191.460000000428408,1494069.979999999748543,1425293.959999999962747,1423914.260000000009313,1427675.919999999692664,1421895.790000000037253,9968672.429999999701977
20120906,1455872.929999999934807,1433343.040000000037253,1542990.379999999888241,1453274.839999999850988,1435979.450000000186265,1449157.839999999850988,1448922.250000000000000,10219543.730000000447035
20120907,1443328.799999999813735,1472201.080000000074506,1580903.689999999711290,1443443.719999999739230,1436826.130000000121072,1451395.539999999804422,1464063.580000000074506,10292165.539999999105930
20120910,1413075.309999999823049,1470837.640000000130385,1558481.839999999850988,1444452.039999999804422,1443176.230000000214204,1439759.500000000000000,1456899.940000000176951,10226685.500000000000000
20120911,1404958.519999999785796,1467769.900000000372529,1585795.729999999748543,1429831.399999999906868,1443599.570000000298023,1471087.299999999813735,1459179.280000000027940,10262224.699999997392297
20120912,1407910.079999999841675,1465043.020000000018626,1606858.679999999701977,1438150.039999999804422,1442541.220000000204891,1493464.299999999813735,1458039.610000000102445,10312009.949999999254942
20120913,1428571.000000000000000,1525716.100000000093132,1639879.949999999953434,1469660.039999999804422,1460321.500000000000000,1510023.280000000027940,1485391.690000000176951,10519566.559999998658895
20120914,1438163.569999999832362,1565596.720000000204891,1649256.359999999869615,1498901.319999999832362,1449314.660000000149012,1501967.559999999823049,1502812.360000000102445,10606015.550000000745058
20120917,1413813.199999999953434,1511059.120000000111759,1629416.419999999925494,1485036.919999999925494,1444657.920000000158325,1497939.699999999720603,1496462.770000000018626,10478389.049999998882413
20120918,1405696.409999999916181,1505946.220000000204891,1629144.639999999664724,1483776.519999999785796,1451008.020000000018626,1495702.000000000000000,1492229.710000000195578,10463506.519999999552965
20120919,1410861.640000000130385,1502878.480000000447035,1617458.099999999860302,1499153.399999999906868,1452066.370000000111759,1508233.119999999878928,1474646.229999999981374,10465300.340000001713634
20120920,1410123.750000000000000,1499129.020000000018626,1598569.389999999664724,1494363.879999999888241,1458416.470000000204891,1505995.419999999692664,1490113.179999999934807,10456714.109999999403954
20120921,1394628.059999999823049,1468792.480000000447035,1586203.399999999906868,1497893.000000000000000,1461803.190000000176951,1510470.819999999832362,1496625.580000000074506,10416419.529999999329448
20120924,1387987.049999999813735,1467088.180000000167638,1584572.719999999739230,1497136.760000000009313,1460533.170000000158325,1496597.079999999841675,1495974.340000000083819,10389892.299999998882413
