訓練日期,20140124 - 20140428
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10752700.489999998360872
真實報酬,752700.489999998360872

夏普值報酬,0.066570049000000
夏普值風險,0.027993140635201
夏普值,2.378084326711444

預期報酬,11919.314209363155896
風險,130758.119226788374363
趨勢值,0.091155442429469
找到最佳解世代,39
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
CAT[3](1),CVX[5](19),DD[7](4),HD[9](26),IBM[10](9),INTC[11](14),JPM[13](16),MSFT[18](2),TRV[22](11),WBA[27](5),
Stock#,CAT[3](1),CVX[5](19),DD[7](4),HD[9](26),IBM[10](9),INTC[11](14),JPM[13](16),MSFT[18](2),TRV[22](11),WBA[27](5),
張數,11301,8446,15701,12462,5472,39793,17708,27731,12038,17137,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,87.519999999902211,78.059999999939464,3.310000000055879,49.120000000111759,101.440000000060536,1.910000000032596,29.239999999990687,20.139999999897555,3.340000000083819,56.049999999930151,
20140124,973894.689999999944121,982263.400000000023283,970639.130000000004657,986541.040000000037253,983091.520000000018626,987266.239999999990687,975562.960000000079162,1020798.250000000000000,982424.520000000135042,980806.559999999823049,9843288.310000000521541
20140127,1031755.809999999939464,983445.839999999967404,963730.690000000060536,983799.400000000139698,973570.240000000107102,983684.869999999995343,975562.960000000079162,999168.069999999948777,990610.360000000102445,983719.849999999860302,9869048.089999999850988
20140128,1045090.989999999874271,986908.699999999953434,962788.630000000004657,978814.600000000209548,967824.640000000013970,990847.609999999986030,987073.160000000032596,1005823.510000000009313,1000361.140000000013970,977207.790000000037253,9902740.769999999552965
20140129,1024184.139999999897555,979814.059999999939464,1000157.010000000125729,955635.280000000144355,965362.240000000107102,982093.150000000023283,983354.479999999981374,1016638.599999999860302,989647.320000000065193,968296.549999999930151,9865182.830000001937151
20140130,1053340.719999999739230,983614.760000000009313,1013188.840000000083819,958750.780000000144355,970615.360000000102445,984480.729999999981374,991677.239999999990687,1022184.799999999930151,991453.020000000135042,981320.669999999925494,9950626.919999999925494
20140131,1061364.429999999701977,942905.039999999920838,1017585.120000000111759,957753.820000000065193,966894.400000000139698,976522.130000000004657,980344.119999999995343,1049361.179999999934807,978451.980000000097789,982863.000000000000000,9914045.220000000670552
