訓練日期,20150113 - 20150416
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10776222.629999998956919
真實報酬,776222.629999998956919

夏普值報酬,0.068922263000000
夏普值風險,0.027656676654651
夏普值,2.492065979605287

預期報酬,13706.405771099121921
風險,136929.114090459741419
趨勢值,0.100098549984368
找到最佳解世代,41
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
BA[2](5),DIS[6](3),GS[8](15),HD[9](4),IBM[10](13),MCD[15](11),MMM[16](12),PFE[20](7),TRV[22](10),UNH[23](1),WBA[27](2),WMT[28](24),
Stock#,BA[2](5),DIS[6](3),GS[8](15),HD[9](4),IBM[10](13),MCD[15](11),MMM[16](12),PFE[20](7),TRV[22](10),UNH[23](1),WBA[27](2),WMT[28](24),
張數,6367,8822,4502,7980,5326,8959,5184,25429,7921,8126,11008,9257,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,83.709999999962747,6.880000000004657,147.859999999986030,61.400000000023283,133.560000000055879,56.409999999916181,56.839999999967404,24.669999999925494,43.799999999930151,11.700000000069849,27.400000000023283,17.859999999986030,
20150113,835243.099999999860302,839773.059999999939464,832702.719999999972060,827826.800000000046566,835303.620000000111759,831720.379999999888241,832710.920000000041910,824941.429999999818392,834600.359999999869615,837558.520000000018626,828489.480000000097789,826760.530000000027940,9987634.919999998062849
20150114,830213.169999999925494,831303.940000000060536,811543.319999999948777,819128.599999999976717,829924.360000000102445,820163.270000000018626,828667.400000000023283,825958.589999999850988,822005.969999999855645,839671.280000000027940,825517.319999999948777,801766.630000000004657,9885867.850000001490116
20150115,828685.089999999850988,832362.579999999958090,803709.840000000083819,806121.200000000069849,823373.380000000004657,818729.829999999841675,827734.279999999911524,823924.269999999902211,825491.209999999846332,848853.660000000032596,823205.640000000013970,808894.519999999902211,9871089.500000000000000
20150116,832759.969999999972060,839684.840000000083819,798037.319999999948777,830939.000000000116415,837061.199999999953434,819715.319999999832362,839864.839999999967404,834095.869999999878928,843947.140000000013970,859498.720000000088476,836965.640000000013970,803247.750000000000000,9975821.609999999403954
20150120,835561.449999999953434,835803.159999999916181,790834.119999999995343,823996.400000000023283,836049.260000000009313,813533.609999999869615,839553.799999999930151,841724.569999999948777,838402.439999999944121,858279.820000000065193,837185.800000000046566,802507.189999999944121,9953435.620000001043081
20150121,843138.179999999934807,830774.619999999995343,797677.160000000032596,826230.800000000046566,810164.900000000023283,809412.469999999972060,842664.199999999953434,830027.229999999981374,831828.010000000009313,888346.020000000018626,832122.120000000111759,802044.339999999967404,9944434.050000000745058
20150122,863703.589999999850988,839420.180000000051223,819691.939999999944121,846500.000000000000000,827740.699999999953434,814339.919999999925494,860030.599999999860302,834350.160000000032596,856858.369999999995343,925156.800000000046566,836855.559999999939464,817410.959999999962747,10142062.780000001192093
20150123,857209.250000000000000,835626.719999999972060,812713.840000000083819,840914.000000000116415,830297.180000000051223,802424.449999999953434,850336.520000000018626,825195.719999999972060,847590.799999999930151,910123.700000000069849,832122.120000000111759,819354.930000000051223,10063913.230000000447035
20150126,853707.399999999906868,837832.219999999972060,812398.699999999953434,848814.200000000069849,832906.920000000158325,812368.939999999944121,851477.000000000000000,834095.869999999878928,848145.269999999902211,906954.560000000055879,834874.120000000111759,820465.769999999902211,10094044.969999998807907
20150127,843583.869999999878928,829010.219999999972060,794705.840000000083819,839238.199999999953434,818579.979999999981374,802514.039999999804422,848314.759999999892898,829010.069999999948777,840065.849999999860302,893952.960000000079162,824856.840000000083819,810283.069999999948777,9974119.699999999254942
20150128,889171.589999999850988,817541.619999999995343,779218.960000000079162,835886.599999999976717,807288.860000000102445,795436.429999999934807,849921.799999999930151,812481.219999999855645,828421.979999999864958,881357.660000000032596,812087.559999999939464,803710.599999999976717,9912528.879999998956919
20150129,940998.969999999972060,822393.719999999972060,792454.840000000083819,858869.000000000116415,828220.040000000037253,835662.339999999850988,861274.759999999892898,809429.739999999874271,828105.140000000013970,888914.840000000083819,820893.959999999962747,812041.900000000023283,10099263.250000001862645
20150130,925654.500000000000000,802456.000000000000000,776337.679999999934807,833333.000000000000000,816662.620000000111759,828226.369999999878928,841420.040000000037253,794680.919999999925494,814481.019999999902211,863399.200000000069849,811867.400000000023283,786677.719999999972060,9895200.470000000670552
20150202,931321.129999999888241,811013.340000000083819,790203.840000000083819,833412.800000000046566,823852.720000000088476,828853.500000000000000,852410.119999999878928,804852.519999999902211,828421.979999999864958,871850.240000000107102,824416.520000000018626,793435.329999999958090,9994048.039999999105930
