訓練日期,20120817 - 20121120
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10244372.070000002160668
真實報酬,244372.070000002160668

夏普值報酬,0.015737207000000
夏普值風險,0.023580586357202
夏普值,0.667379799705173

預期報酬,9059.138171462125683
風險,223250.126379814959364
趨勢值,0.040578423485637
找到最佳解世代,48
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
BA[2](24),DD[7](21),GS[8](4),HD[9](1),JPM[13](5),MRK[17](10),PFE[20](8),TRV[22](3),WBA[27](22),WMT[28](11),XOM[29](12),
Stock#,BA[2](24),DD[7](21),GS[8](4),HD[9](1),JPM[13](5),MRK[17](10),PFE[20](8),TRV[22](3),WBA[27](22),WMT[28](11),XOM[29](12),
張數,12345,21245,8784,16144,24503,20689,37847,14197,25593,12599,10252,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,4.199999999953434,16.450000000069849,33.840000000083819,21.359999999986030,28.699999999953434,15.340000000083819,5.060000000055879,56.089999999967404,26.639999999897555,72.149999999906868,45.160000000032596,
20120817,912423.149999999906868,912489.200000000186265,910056.239999999990687,915870.479999999981374,906149.639999999897555,896676.600000000209548,900385.190000000060536,924706.699999999953434,917279.760000000009313,907074.159999999799766,906321.960000000079162,10009443.080000001937151
20120820,911435.549999999930151,913126.550000000046566,924813.360000000102445,913287.439999999944121,915705.809999999939464,905159.090000000083819,904926.830000000074506,931947.169999999925494,922142.429999999934807,910979.849999999860302,901708.560000000055879,10055242.640000000596046
20120821,904522.349999999860302,914613.699999999953434,925164.719999999972060,909251.439999999944121,932122.819999999948777,888401.000000000000000,896600.490000000107102,926126.400000000023283,912417.089999999850988,900018.719999999972060,896685.079999999958090,10005933.810000000521541
20120822,898720.199999999953434,913763.900000000023283,919455.120000000111759,914417.520000000018626,926977.189999999944121,887780.329999999958090,896978.960000000079162,929249.739999999990687,909857.789999999804422,904302.379999999888241,899453.120000000111759,10000966.250000000000000
20120823,868598.399999999906868,901229.350000000093132,914272.560000000055879,912964.559999999939464,912275.389999999897555,885504.540000000037253,898492.839999999967404,920021.689999999944121,912673.019999999785796,901656.589999999967404,895147.280000000027940,9922846.219999998807907
20120824,877610.250000000000000,904416.100000000093132,922002.479999999981374,919583.599999999976717,910805.209999999962747,892125.020000000018626,908711.530000000144355,928539.890000000013970,912417.089999999850988,908586.039999999920838,902733.760000000009313,9987540.969999998807907
20120827,881190.299999999930151,890394.400000000023283,923407.920000000158325,914901.839999999967404,912275.389999999897555,890676.790000000037253,904169.890000000130385,925416.550000000046566,911137.439999999944121,913499.649999999906868,899555.640000000013970,9966635.810000000521541
20120828,882918.599999999860302,885295.600000000093132,922617.360000000102445,912641.680000000051223,909825.089999999967404,886125.210000000079162,902656.010000000125729,920589.570000000065193,906018.839999999850988,912365.739999999874271,903246.359999999986030,9944310.059999998658895
20120829,881930.999999999883585,886995.200000000069849,927009.360000000102445,917646.320000000065193,913990.599999999860302,890883.680000000167638,906819.180000000051223,920021.689999999944121,903459.539999999804422,916901.379999999888241,901195.960000000079162,9966863.910000000149012
20120830,874277.099999999860302,888694.800000000046566,919894.320000000065193,914094.639999999897555,904189.399999999906868,892125.020000000018626,902277.540000000037253,915620.619999999878928,901156.169999999925494,910349.899999999906868,894019.560000000055879,9916709.070000000298023
20120831,881437.200000000069849,886782.750000000116415,928678.320000000065193,916193.359999999986030,910070.119999999995343,890676.790000000037253,903034.479999999981374,919169.869999999878928,915232.319999999832362,914759.549999999813735,895044.760000000009313,9961089.519999997690320
20120904,874894.349999999976717,866600.000000000000000,934739.280000000027940,916839.119999999995343,906884.729999999864958,894814.590000000083819,900006.720000000088476,917750.169999999925494,913696.739999999990687,926224.640000000013970,893199.400000000023283,9945659.740000000223517
20120905,887856.599999999976717,860863.850000000093132,965746.800000000046566,912803.119999999995343,909335.029999999911524,898745.500000000000000,905305.300000000162981,916188.500000000000000,918303.479999999981374,926728.599999999860302,895352.320000000065193,9997239.099999999627471
20120906,898967.099999999860302,893368.699999999953434,997369.200000000186265,930722.959999999962747,948049.769999999902211,915296.700000000069849,921201.040000000037253,927688.070000000065193,900900.239999999990687,942603.339999999967404,912370.640000000013970,10188547.760000001639128
20120907,899831.250000000000000,917588.000000000000000,1021876.560000000055879,924426.799999999930151,962996.599999999860302,911365.790000000037253,917416.339999999967404,925842.459999999846332,894246.059999999823049,930130.329999999841675,921905.000000000000000,10227635.189999999478459
20120910,877486.799999999930151,916738.200000000069849,1007382.960000000195578,925072.559999999939464,949764.979999999864958,915710.480000000097789,912117.760000000125729,927262.160000000032596,899364.659999999916181,926224.640000000013970,917394.120000000111759,10174529.320000000298023
20120911,879832.349999999860302,914826.150000000139698,1025038.800000000046566,915709.039999999920838,970347.500000000000000,917158.710000000079162,914767.050000000162981,950545.239999999990687,898596.869999999878928,933154.089999999967404,918829.400000000023283,10238815.200000001117587
