訓練日期,20091120 - 20100225
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10491868.900000000372529
真實報酬,491868.900000000372529

夏普值報酬,0.040486890000000
夏普值風險,0.019215632453410
夏普值,2.106976707540762

預期報酬,8131.763331553932403
風險,189683.936430384899722
趨勢值,0.042870068412664
找到最佳解世代,74
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](15),BA[2](1),GS[8](30),HD[9](3),IBM[10](17),INTC[11](6),JNJ[12](8),MCD[15](16),PFE[20](10),UNH[23](2),UTX[24](12),
Stock#,AAPL[0](15),BA[2](1),GS[8](30),HD[9](3),IBM[10](17),INTC[11](6),JNJ[12](8),MCD[15](16),PFE[20](10),UNH[23](2),UTX[24](12),
張數,31741,17676,5260,33533,7127,47103,14561,14336,50198,31753,13367,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,27.760000000009313,13.319999999948777,4.199999999953434,10.369999999995343,112.419999999925494,2.099999999976717,46.770000000018626,44.239999999990687,4.219999999972060,1.609999999986030,0.329999999958090,
20091120,906550.719999999972060,913862.520000000018626,894256.799999999930151,911437.309999999939464,904956.339999999850988,906263.819999999948777,907342.680000000051223,917118.159999999916181,921639.500000000000000,906867.289999999920838,908555.319999999948777,9998860.459999999031425
20091123,933530.570000000065193,930301.199999999953434,904724.199999999953434,922503.200000000069849,913793.819999999832362,913800.299999999930151,912875.859999999986030,917404.880000000004657,930173.160000000032596,923378.849999999976717,918714.239999999990687,10121210.280000001192093
20091124,927182.369999999995343,918635.039999999920838,900147.999999999883585,924179.849999999976717,911869.530000000027940,913329.270000000018626,920010.750000000000000,920702.159999999916181,919129.599999999860302,938620.289999999920838,912565.419999999925494,10106382.279999999329448
20091125,925912.730000000097789,935604.000000000000000,888523.399999999906868,933904.420000000041910,907236.979999999981374,910974.119999999995343,921758.069999999948777,923999.440000000060536,933185.039999999920838,937985.229999999981374,913100.099999999976717,10132193.529999999329448
20091127,909724.820000000065193,927119.520000000018626,863485.799999999930151,925856.500000000000000,895976.319999999948777,900140.429999999934807,915788.060000000055879,911813.839999999967404,916117.719999999972060,934809.930000000051223,898262.729999999981374,9999105.669999999925494
20091130,906550.719999999972060,926412.479999999864958,892415.799999999930151,917473.250000000000000,900608.869999999878928,904379.699999999953434,915060.010000000125729,906796.239999999990687,912101.880000000004657,910360.119999999995343,898797.409999999916181,9990966.479999998584390
20091201,893219.500000000000000,949568.039999999920838,881737.999999999883585,938934.369999999995343,911940.799999999930151,926047.079999999958090,924815.880000000004657,910953.679999999934807,946236.520000000018626,911312.709999999962747,908956.329999999958090,10103732.909999998286366
20091202,889727.989999999990687,950628.599999999976717,876635.799999999930151,950000.259999999892898,906738.089999999850988,928873.259999999892898,930203.450000000069849,896044.239999999990687,940714.739999999874271,898293.979999999981374,910961.380000000004657,10078831.790000000968575
20091203,890997.630000000004657,950451.839999999967404,864222.200000000069849,936587.059999999939464,909161.269999999902211,935938.710000000079162,934280.529999999911524,888446.159999999916181,935694.939999999944121,867811.099999999976717,899064.750000000000000,10012666.189999999478459
20091204,876714.180000000051223,966537.000000000000000,879686.599999999976717,941617.009999999892898,907023.169999999925494,963729.479999999981374,937192.729999999981374,882998.479999999981374,928165.239999999874271,871938.989999999990687,913233.769999999902211,10068846.650000000372529
20091207,856717.349999999976717,986687.639999999897555,861855.199999999953434,946311.630000000004657,905526.500000000000000,959490.210000000079162,937338.340000000083819,887872.719999999972060,906580.099999999860302,898611.510000000009313,920451.949999999953434,10067453.149999998509884
20091208,860843.680000000051223,983859.479999999864958,851282.599999999976717,927868.480000000097789,903816.019999999902211,941591.069999999948777,935591.020000000018626,868949.199999999953434,891520.700000000069849,903691.989999999990687,912030.739999999990687,9981054.980000000447035
20091209,897028.420000000041910,980501.039999999920838,875478.599999999976717,923844.520000000018626,915147.949999999837019,942533.130000000004657,937483.949999999953434,868805.839999999967404,915615.739999999874271,904962.109999999986030,901069.799999999930151,10062481.100000001490116
20091210,890680.219999999972060,972370.079999999958090,877003.999999999883585,938599.039999999920838,921918.599999999976717,949127.549999999930151,943162.739999999990687,875257.039999999920838,919631.579999999958090,962435.039999999920838,908020.640000000013970,10158216.529999999329448
20091211,882744.969999999972060,982798.919999999925494,873164.199999999953434,955365.539999999920838,924341.780000000027940,937351.799999999930151,944327.619999999878928,884002.000000000000000,918627.619999999995343,967833.050000000046566,927670.130000000004657,10198237.630000000819564
20091214,893219.500000000000000,990753.119999999878928,873690.199999999953434,968108.080000000074506,926123.530000000027940,941120.040000000037253,945929.329999999958090,890883.280000000027940,923647.419999999925494,982756.959999999962747,934487.299999999930151,10270728.760000001639128
20091215,880523.099999999976717,984036.239999999990687,856016.599999999976717,973138.030000000027940,915860.650000000023283,932641.500000000000000,942725.909999999916181,888876.239999999990687,918125.639999999897555,994505.569999999948777,939032.079999999958090,10225491.560000000521541
20091216,884332.020000000018626,974491.199999999953434,867851.599999999976717,971126.050000000046566,917428.589999999967404,912858.239999999874271,943599.569999999948777,894897.359999999986030,924149.400000000023283,1022448.210000000079162,939032.079999999958090,10252224.320000002160668
