訓練日期,20141022 - 20150126
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11360714.160000000149012
真實報酬,1360714.160000000149012

夏普值報酬,0.127371416000000
夏普值風險,0.034317570237561
夏普值,3.711551112688971

預期報酬,24300.274812469961034
風險,177847.098342774726916
趨勢值,0.136635767684186
找到最佳解世代,69
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,8
BA[2](22),DIS[6](8),HD[9](2),INTC[11](11),MMM[16](12),PFE[20](5),UTX[24](3),WBA[27](1),
Stock#,BA[2](22),DIS[6](8),HD[9](2),INTC[11](11),MMM[16](12),PFE[20](5),UTX[24](3),WBA[27](1),
張數,9833,14279,13269,38331,8869,44200,12257,20308,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,29.040000000037253,16.339999999850988,60.199999999953434,26.090000000083819,91.829999999841675,24.000000000000000,31.139999999897555,42.600000000093132,
20141022,1194246.890000000130385,1243717.239999999757856,1238588.659999999916181,1236967.460000000195578,1232439.379999999655411,1250884.000000000000000,1240194.399999999906868,1248984.600000000093132,9886022.629999998956919
20141023,1199950.030000000027940,1256425.549999999813735,1257961.399999999906868,1253066.479999999981374,1286540.280000000027940,1264144.000000000000000,1264708.399999999906868,1260560.160000000149012,10043356.300000000745058
20141024,1202014.959999999962747,1265278.529999999795109,1260482.509999999776483,1271848.670000000158325,1317936.539999999804422,1286686.000000000000000,1272552.879999999888241,1272338.800000000046566,10149138.890000000596046
20141027,1200835.000000000000000,1262993.889999999897555,1266851.629999999888241,1272615.290000000270084,1326539.469999999972060,1283150.000000000000000,1277087.969999999972060,1281680.479999999981374,10171753.730000000447035
20141028,1215486.169999999925494,1284126.810000000055879,1281712.909999999916181,1293314.030000000260770,1339842.969999999972060,1285802.000000000000000,1302582.529999999795109,1293662.200000000186265,10296529.620000001043081
20141029,1210274.679999999934807,1278415.209999999962747,1279457.179999999934807,1300213.610000000102445,1339399.519999999785796,1303482.000000000000000,1297434.589999999850988,1275994.239999999990687,10284671.029999999329448
20141030,1217551.099999999860302,1288267.719999999739230,1294053.079999999841675,1248850.070000000065193,1349066.729999999748543,1318952.000000000000000,1303440.520000000018626,1278634.280000000027940,10298815.499999998137355
20141031,1228269.070000000065193,1304831.359999999869615,1294053.079999999841675,1303663.399999999906868,1363877.959999999962747,1323814.000000000000000,1311530.139999999897555,1304222.360000000102445,10434261.369999999180436
20141103,1239282.030000000027940,1309543.429999999701977,1275078.409999999916181,1315162.700000000186265,1359709.530000000027940,1334422.000000000000000,1302950.239999999757856,1319656.440000000176951,10455804.779999999329448
20141104,1237413.760000000009313,1290123.989999999757856,1273353.439999999944121,1323978.830000000074506,1375230.280000000027940,1338400.000000000000000,1310059.299999999813735,1324936.520000000018626,10473496.119999999180436
20141105,1221484.300000000046566,1299405.339999999850988,1270965.020000000018626,1294080.649999999906868,1380906.439999999711290,1327792.000000000000000,1322929.149999999906868,1333465.880000000121072,10451028.779999999329448
20141106,1225024.179999999934807,1313684.339999999850988,1291001.209999999962747,1296380.510000000009313,1384099.280000000027940,1327792.000000000000000,1330896.199999999953434,1353570.800000000279397,10522448.519999999552965
20141107,1223745.890000000130385,1285126.339999999850988,1295778.050000000046566,1287181.070000000065193,1388533.780000000027940,1322488.000000000000000,1337024.699999999953434,1359053.960000000195578,10498931.790000000968575
20141110,1225614.160000000149012,1281984.959999999962747,1302545.239999999990687,1274915.149999999906868,1398378.369999999878928,1334864.000000000000000,1336044.139999999897555,1376518.840000000083819,10530864.859999999403954
20141111,1232693.919999999925494,1284840.760000000009313,1302279.859999999869615,1276831.700000000186265,1393500.419999999925494,1340168.000000000000000,1326973.959999999962747,1370832.600000000093132,10528121.220000000670552
20141112,1237708.750000000000000,1283698.439999999944121,1306924.009999999776483,1279514.870000000111759,1398555.750000000000000,1344588.000000000000000,1325503.119999999878928,1369614.120000000111759,10546107.059999998658895
20141113,1263864.530000000027940,1292123.049999999813735,1313691.199999999953434,1291014.170000000158325,1404497.979999999748543,1344588.000000000000000,1325503.119999999878928,1359866.280000000027940,10595148.329999998211861
20141114,1267109.420000000158325,1296549.539999999804422,1303606.759999999776483,1301363.540000000270084,1408932.479999999748543,1341052.000000000000000,1317045.790000000037253,1359257.040000000270084,10594916.570000000298023
20141117,1262782.899999999906868,1290980.729999999748543,1300820.270000000018626,1312479.530000000260770,1407513.439999999711290,1340168.000000000000000,1316065.229999999981374,1351540.000000000000000,10582350.099999999627471
20141118,1284808.820000000065193,1289124.459999999962747,1273618.820000000065193,1330495.100000000093132,1420462.179999999934807,1352102.000000000000000,1333592.739999999757856,1382205.080000000074506,10666409.200000001117587
20141119,1294150.170000000158325,1282556.119999999646097,1283172.500000000000000,1316695.940000000176951,1408755.099999999860302,1345472.000000000000000,1331876.759999999776483,1376721.920000000158325,10639400.509999999776483
20141120,1295035.139999999897555,1269419.439999999944121,1294716.529999999795109,1378025.540000000270084,1413455.669999999925494,1345472.000000000000000,1333837.879999999888241,1367583.320000000065193,10697545.519999999552965
20141121,1305654.780000000027940,1270276.179999999701977,1304137.520000000018626,1364226.380000000121072,1420550.869999999878928,1345914.000000000000000,1351978.239999999757856,1372660.320000000065193,10735398.290000000968575
20141124,1323649.170000000158325,1293408.159999999916181,1305729.800000000046566,1389524.840000000083819,1418067.549999999813735,1335748.000000000000000,1333470.169999999925494,1375503.440000000176951,10775101.129999998956919
