訓練日期,20120309 - 20120611
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10479150.000000000000000
真實報酬,479150.000000000000000

夏普值報酬,0.039215000000000
夏普值風險,0.014530759241037
夏普值,2.698757810896150

預期報酬,11020.000888378799573
風險,227924.124862644093810
趨勢值,0.048349427227240
找到最佳解世代,51
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,7
AAPL[0](10),AXP[1](5),DIS[6](3),JNJ[12](18),PFE[20](4),TRV[22](2),VZ[26](8),
Stock#,AAPL[0](10),AXP[1](5),DIS[6](3),JNJ[12](18),PFE[20](4),TRV[22](2),VZ[26](8),
張數,18449,26979,33997,22028,66569,25018,36424,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,64.929999999934807,32.949999999953434,17.059999999823049,55.200000000186265,0.260000000009313,43.199999999953434,21.719999999972060,
20120309,1436873.049999999813735,1435315.750000000000000,1436050.339999999850988,1426147.920000000158325,1429902.380000000121072,1441330.179999999934807,1424200.120000000111759,10029822.739999998360872
20120312,1454953.069999999832362,1423714.780000000027940,1439450.040000000037253,1434078.000000000000000,1433896.520000000018626,1441330.179999999934807,1432213.399999999906868,10059638.990000000223517
20120313,1497385.769999999785796,1463643.699999999953434,1496225.029999999795109,1439144.440000000176951,1465183.950000000186265,1461344.579999999841675,1438041.239999999757856,10260971.710000000894070
20120314,1554024.199999999953434,1514903.799999999813735,1478206.619999999646097,1433637.440000000176951,1459858.429999999934807,1474854.300000000046566,1437677.000000000000000,10353164.789999999105930
20120315,1543323.780000000027940,1530281.829999999841675,1477866.649999999674037,1433417.160000000149012,1458527.050000000046566,1478106.639999999897555,1440226.679999999934807,10361752.789999999105930
20120316,1543323.780000000027940,1525695.399999999906868,1468347.489999999757856,1434518.560000000288710,1460524.120000000111759,1481108.800000000046566,1441319.399999999906868,10354840.550000000745058
20120319,1584280.560000000055879,1545120.280000000027940,1476846.739999999757856,1436501.080000000074506,1456529.979999999981374,1479107.359999999869615,1444233.319999999832362,10422622.320000000298023
20120320,1597194.859999999869615,1535407.839999999850988,1470047.339999999850988,1430994.080000000074506,1451204.459999999962747,1480108.079999999841675,1443504.840000000083819,10408464.499999998137355
20120321,1587970.359999999869615,1539184.899999999906868,1471067.250000000000000,1426588.480000000214204,1449207.389999999897555,1463846.379999999888241,1448968.439999999944121,10386836.199999999254942
20120322,1579668.310000000055879,1545659.859999999869615,1471747.189999999711290,1419980.080000000074506,1446544.630000000121072,1450336.659999999916181,1444597.559999999823049,10358537.289999999105930
20120323,1570997.280000000027940,1544580.699999999953434,1483986.109999999869615,1421962.600000000093132,1452535.840000000083819,1456090.800000000046566,1435855.800000000046566,10366012.130000000819564
20120326,1599777.719999999739230,1582621.089999999850988,1508803.919999999925494,1435619.960000000195578,1475169.300000000046566,1472352.500000000000000,1432577.639999999897555,10506925.129999998956919
20120327,1619518.149999999906868,1570750.329999999841675,1500984.609999999869615,1440686.400000000372529,1497802.760000000009313,1463095.839999999850988,1408173.559999999823049,10501014.650000000372529
20120328,1627820.199999999953434,1593412.689999999944121,1479226.529999999795109,1445532.560000000288710,1491811.550000000046566,1470351.060000000055879,1393603.959999999962747,10501761.550000000745058
20120329,1607341.810000000055879,1561847.260000000009313,1462228.029999999795109,1443770.320000000298023,1492477.240000000223517,1467348.899999999906868,1386683.399999999906868,10421699.960000000894070
20120330,1580221.780000000027940,1561037.889999999897555,1488405.719999999972060,1453022.080000000074506,1507788.109999999869615,1481108.800000000046566,1392511.239999999757856,10464098.620000001043081
20120402,1630587.549999999813735,1565084.739999999990687,1490445.540000000037253,1458529.080000000074506,1503793.969999999972060,1484361.139999999897555,1403074.200000000186265,10535879.219999998807907
20120403,1658630.030000000027940,1575336.760000000009313,1471747.189999999711290,1451259.840000000083819,1500465.520000000018626,1483110.239999999990687,1400888.760000000009313,10541441.339999999850988
20120404,1645531.239999999990687,1547818.179999999934807,1459508.269999999785796,1440466.120000000111759,1490480.170000000158325,1481609.159999999916181,1398339.080000000074506,10463755.219999998807907
20120405,1670252.899999999906868,1567512.850000000093132,1464607.819999999832362,1439364.720000000204891,1487151.719999999972060,1473103.040000000037253,1371749.559999999823049,10473745.610000001266599
20120409,1676894.540000000037253,1542152.589999999850988,1431630.729999999748543,1430112.960000000195578,1467846.709999999962747,1452338.099999999860302,1364464.760000000009313,10365443.389999998733401
20120410,1656416.149999999906868,1515713.169999999925494,1393554.089999999850988,1414252.800000000279397,1463852.569999999832362,1444832.699999999953434,1340424.919999999925494,10229049.400000000372529
20120411,1650512.469999999739230,1536487.000000000000000,1406472.949999999720603,1412710.840000000083819,1461189.810000000055879,1455340.260000000009313,1361550.840000000083819,10284267.169999999925494
20120412,1641472.459999999962747,1565894.109999999869615,1432990.609999999869615,1413151.400000000372529,1459192.740000000223517,1478607.000000000000000,1367742.919999999925494,10359054.240000000223517
20120413,1595165.469999999739230,1545390.070000000065193,1422791.509999999776483,1399714.320000000065193,1454532.910000000149012,1454089.359999999869615,1357179.959999999962747,10228866.600000001490116
20120416,1529118.049999999813735,1560228.520000000018626,1416332.079999999608845,1409406.640000000130385,1463186.880000000121072,1480108.079999999841675,1363372.040000000037253,10221755.289999999105930
