訓練日期,20190305 - 20190605
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10558964.679999999701977
真實報酬,558964.679999999701977

夏普值報酬,0.047196468000000
夏普值風險,0.016455436517293
夏普值,2.868138317108914

預期報酬,9055.823107777710902
風險,94823.776365088284365
趨勢值,0.095501607876396
找到最佳解世代,85
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AXP[1](7),DIS[6](8),JNJ[12](18),KO[14](3),MCD[15](1),MMM[16](29),MRK[17](22),MSFT[18](5),PFE[20](23),PG[21](6),TRV[22](2),UNH[23](16),V[25](4),
Stock#,AXP[1](7),DIS[6](8),JNJ[12](18),KO[14](3),MCD[15](1),MMM[16](29),MRK[17](22),MSFT[18](5),PFE[20](23),PG[21](6),TRV[22](2),UNH[23](16),V[25](4),
張數,7057,6728,5554,16850,4259,3718,9453,6852,17859,7780,5820,3259,5198,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,17.000000000000000,17.760000000009313,112.080000000074506,27.500000000000000,97.189999999944121,124.519999999902211,39.390000000013970,24.479999999981374,42.869999999995343,21.399999999906868,117.000000000000000,40.819999999948777,133.919999999925494,
20190305,768171.449999999953434,767009.760000000009313,770840.660000000149012,768387.500000000000000,772466.839999999967404,758001.639999999897555,772349.489999999990687,765392.880000000004657,766015.380000000004657,770941.599999999976717,772372.799999999930151,786861.189999999944121,769178.019999999902211,10007999.209999999031425
20190306,769088.859999999986030,772728.559999999939464,772617.940000000060536,765860.000000000000000,775362.959999999962747,754134.919999999925494,763463.670000000041910,765735.479999999981374,747620.609999999986030,769696.799999999930151,767193.000000000116415,779169.949999999953434,768450.299999999930151,9971133.050000000745058
20190307,761185.020000000018626,767077.040000000037253,767897.040000000153668,762995.500000000000000,768931.869999999995343,743204.000000000000000,760533.239999999990687,756416.760000000009313,739226.880000000004657,766740.399999999906868,765388.800000000046566,771446.119999999878928,763356.260000000009313,9894408.929999999701977
20190308,762031.859999999986030,765731.440000000060536,766897.320000000065193,755581.500000000000000,764587.689999999944121,747033.539999999804422,754388.790000000037253,757239.000000000000000,730297.380000000004657,765651.199999999837019,762653.400000000023283,773368.929999999934807,766059.219999999855645,9871531.270000001415610
20190311,773181.920000000041910,772055.760000000009313,769674.320000000065193,778160.500000000000000,771316.910000000032596,770122.319999999832362,764503.500000000000000,773135.640000000013970,741191.369999999995343,774753.799999999930151,767600.400000000023283,792466.669999999925494,783316.579999999841675,10031489.689999999478459
20190312,779321.510000000009313,771921.200000000069849,773117.800000000162981,775970.000000000000000,774511.160000000032596,765288.919999999925494,767906.580000000074506,778548.719999999972060,745298.939999999944121,778410.399999999906868,772547.400000000023283,801363.739999999990687,788826.459999999846332,10073042.830000000074506
20190313,791388.979999999981374,767615.280000000027940,774395.220000000088476,778834.500000000000000,775490.729999999981374,768486.399999999906868,771404.189999999944121,784578.479999999981374,750299.459999999962747,787201.799999999930151,774177.000000000000000,822123.569999999948777,792672.979999999864958,10138678.589999999850988
20190314,792870.949999999953434,770239.200000000069849,766675.160000000149012,770072.500000000000000,778386.849999999976717,771163.359999999869615,770364.359999999986030,785195.160000000032596,735655.079999999958090,788290.999999999883585,774526.200000000069849,825447.750000000000000,801665.519999999902211,10130563.089999999850988
20190315,801127.640000000013970,773468.640000000013970,764342.480000000097789,763332.500000000000000,789417.660000000032596,773765.959999999962747,771120.599999999976717,794239.799999999930151,746191.890000000013970,797004.599999999860302,781044.600000000093132,819353.419999999925494,808215.000000000000000,10182634.789999999105930
20190318,801339.349999999976717,761089.119999999995343,761954.260000000009313,765186.000000000000000,783540.239999999874271,775290.339999999967404,769040.939999999944121,805614.119999999878928,746727.660000000032596,789769.199999999953434,785467.799999999930151,831085.819999999948777,805616.000000000000000,10181730.850000001490116
20190319,795129.190000000060536,740097.760000000009313,769007.840000000083819,767713.500000000000000,779962.680000000051223,777260.879999999888241,774334.619999999995343,806162.280000000027940,755478.569999999948777,792803.399999999906868,773769.600000000093132,838027.489999999990687,803692.739999999990687,10173450.550000000745058
20190320,781720.890000000013970,740030.479999999981374,762620.739999999990687,767208.000000000000000,787884.419999999925494,774583.919999999925494,775941.630000000004657,805271.519999999902211,753156.900000000023283,791402.999999999883585,764457.600000000093132,816420.319999999948777,799326.419999999925494,10120035.839999999850988
20190321,789130.739999999990687,731082.239999999990687,767119.480000000097789,766871.000000000000000,793847.020000000018626,779454.500000000000000,784165.739999999990687,823771.919999999925494,756371.520000000018626,797393.599999999860302,782150.400000000023283,821374.000000000000000,809982.319999999948777,10202724.480000000447035
20190322,772476.219999999972060,728189.200000000069849,760510.220000000088476,773948.000000000000000,795720.979999999981374,761050.399999999906868,777926.760000000125729,802051.079999999958090,747442.020000000018626,790936.199999999837019,785235.000000000000000,805307.130000000004657,795791.779999999911524,10096594.989999998360872
