訓練日期,20120827 - 20121129
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10478027.459999999031425
真實報酬,478027.459999999031425

夏普值報酬,0.039102746000000
夏普值風險,0.018394335369317
夏普值,2.125803689826535

預期報酬,9070.413589921534367
風險,215530.659385857929010
趨勢值,0.042084098920159
找到最佳解世代,40
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AXP[1](18),BA[2](11),DD[7](23),GS[8](4),HD[9](2),JNJ[12](6),JPM[13](5),MRK[17](7),PG[21](8),V[25](1),VZ[26](12),WBA[27](26),XOM[29](10),
Stock#,AXP[1](18),BA[2](11),DD[7](23),GS[8](4),HD[9](2),JNJ[12](6),JPM[13](5),MRK[17](7),PG[21](8),V[25](1),VZ[26](12),WBA[27](26),XOM[29](10),
張數,13380,10820,18069,7328,13504,11379,20694,17839,11477,24288,17818,21577,8736,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,13.799999999930151,36.199999999953434,32.670000000041910,83.119999999995343,42.160000000032596,9.600000000093132,34.020000000018626,12.320000000065193,41.460000000079162,29.039999999920838,26.939999999944121,9.950000000069849,25.200000000069849,
20120827,768293.399999999906868,772367.799999999930151,757304.459999999962747,770402.479999999981374,765313.840000000083819,767978.310000000055879,770471.639999999897555,767981.270000000018626,770262.930000000051223,775302.000000000000000,761924.619999999878928,768151.150000000139698,766521.839999999967404,9982285.739999998360872
20120828,770166.599999999976717,773882.599999999860302,752967.900000000023283,769742.959999999962747,763423.280000000027940,768205.890000000130385,768402.240000000107102,764056.690000000060536,768885.690000000060536,773601.839999999967404,760321.000000000000000,763835.750000000000000,769666.800000000046566,9967169.240000002086163
20120829,768293.399999999906868,773016.999999999883585,754413.420000000041910,773406.959999999962747,767609.520000000135042,766612.830000000190921,771920.219999999972060,768159.660000000149012,767508.450000000186265,777487.919999999925494,767804.560000000055879,761678.050000000046566,767919.600000000093132,9985841.589999999850988
20120830,764948.399999999906868,766308.599999999860302,755858.940000000060536,767471.280000000027940,764638.640000000013970,764792.190000000060536,763642.619999999995343,769230.000000000000000,767623.219999999972060,769472.879999999888241,762102.800000000046566,759736.120000000111759,761804.400000000139698,9937640.090000001713634
20120831,780067.799999999930151,772584.200000000069849,754232.730000000097789,774799.280000000027940,766394.160000000032596,767295.570000000181608,768609.180000000051223,767981.270000000018626,771181.090000000083819,778702.319999999948777,765131.859999999869615,771603.469999999972060,762678.000000000000000,10001270.929999999701977
20120904,784215.599999999976717,766849.599999999976717,737067.180000000051223,779855.599999999976717,766934.320000000065193,765361.140000000130385,765918.959999999962747,771549.070000000065193,773591.260000000125729,780402.479999999981374,778673.540000000037253,770308.850000000093132,761105.520000000135042,10001843.119999999180436
20120905,765215.999999999883585,778210.599999999976717,732188.550000000046566,805723.439999999944121,763558.320000000065193,765474.930000000051223,767988.359999999986030,774938.479999999981374,772328.790000000153668,774816.239999999874271,780455.339999999850988,774192.710000000079162,762940.080000000074506,10018041.840000001713634
20120906,768159.599999999860302,787948.599999999860302,759834.119999999995343,832104.239999999990687,778547.760000000009313,771960.960000000079162,800684.880000000004657,789209.680000000051223,783231.940000000060536,786474.479999999981374,786691.639999999897555,759520.350000000093132,777441.839999999967404,10181820.089999999850988
20120907,772441.199999999837019,788706.000000000000000,780432.780000000027940,852549.359999999986030,773281.199999999953434,772416.119999999995343,813308.219999999972060,785820.270000000018626,786445.500000000000000,787688.879999999888241,779029.899999999906868,753910.330000000074506,785566.320000000065193,10231606.079999998211861
20120910,769631.400000000023283,769121.799999999930151,779710.020000000018626,840458.160000000032596,773821.359999999986030,775829.820000000181608,802133.459999999962747,789566.460000000079162,786330.730000000097789,781374.000000000000000,785088.020000000018626,758225.730000000097789,781722.480000000097789,10193023.440000001341105
20120911,765751.199999999837019,771177.599999999860302,778083.810000000055879,855187.439999999944121,765989.040000000037253,776057.400000000139698,819516.420000000041910,790815.190000000060536,783461.480000000097789,798375.599999999860302,788295.260000000009313,757578.420000000041910,782945.520000000135042,10233244.380000000819564
20120912,766286.400000000023283,767823.399999999906868,776638.290000000037253,866545.839999999967404,770445.359999999986030,775488.450000000186265,826138.500000000000000,794382.990000000107102,781625.160000000032596,810519.599999999860302,799876.959999999962747,762972.670000000041910,782334.000000000000000,10281087.619999999180436
20120913,790102.799999999930151,774531.799999999930151,808801.109999999986030,884352.880000000004657,787325.359999999986030,785046.810000000055879,856765.619999999995343,796702.060000000055879,790921.530000000027940,819506.159999999916181,812171.379999999888241,777213.490000000107102,797010.480000000097789,10480461.480000000447035
20120914,793046.400000000023283,771285.799999999930151,829941.840000000083819,889409.199999999953434,802990.000000000000000,779129.730000000097789,860283.599999999976717,778149.500000000000000,793790.780000000027940,815134.319999999948777,793462.479999999981374,777213.490000000107102,806358.000000000000000,10490205.140000000596046
20120917,791842.199999999953434,756570.599999999976717,801031.440000000060536,878710.320000000065193,795562.799999999930151,776626.350000000093132,852419.880000000004657,784928.320000000065193,794823.710000000079162,812948.399999999906868,794353.379999999888241,770308.850000000093132,802950.960000000079162,10413087.209999999031425
20120918,785018.399999999906868,762305.199999999953434,798321.090000000083819,878563.760000000009313,794887.599999999976717,780040.050000000046566,853868.459999999962747,786355.440000000060536,794479.400000000023283,811734.000000000000000,800233.319999999832362,769445.770000000018626,800679.600000000093132,10415942.089999999850988
20120919,785018.399999999906868,756354.200000000069849,796694.880000000121072,872261.679999999934807,803125.040000000037253,780609.000000000000000,855523.980000000097789,794026.210000000079162,794938.480000000097789,818534.640000000013970,806647.800000000046566,772682.320000000065193,791244.719999999972060,10427671.350000001490116
20120920,780603.000000000000000,755813.199999999837019,794707.290000000037253,862075.760000000009313,800559.280000000027940,784022.700000000186265,853661.520000000018626,800805.030000000027940,798381.580000000074506,817320.239999999874271,810567.760000000009313,767072.300000000046566,799543.920000000041910,10425143.580000001937151
20120921,774180.599999999976717,757111.599999999976717,778625.880000000121072,855407.280000000027940,802449.840000000083819,785843.340000000083819,846004.740000000107102,801161.810000000055879,796774.800000000046566,819749.039999999920838,813240.459999999962747,757578.420000000041910,803038.320000000065193,10391176.130000000819564
20120924,771638.399999999906868,757760.799999999930151,777722.430000000051223,854527.919999999925494,802044.720000000088476,785160.600000000093132,853247.639999999897555,805264.780000000027940,800676.980000000097789,812219.759999999892898,813953.179999999934807,769661.540000000153668,802688.880000000004657,10406577.630000002682209
20120925,764413.199999999953434,750727.799999999930151,766519.650000000023283,831811.119999999995343,806501.040000000037253,788801.880000000004657,839175.719999999972060,804729.610000000102445,798725.890000000130385,817077.359999999986030,812884.099999999860302,778292.340000000083819,801465.839999999967404,10361135.550000000745058
20120926,751166.999999999883585,760141.199999999953434,748812.030000000027940,828733.359999999986030,799073.840000000083819,785160.600000000093132,832760.580000000074506,802945.710000000079162,795397.560000000055879,804690.479999999981374,812349.560000000055879,772898.090000000083819,797010.480000000097789,10291150.490000000223517
20120927,756920.399999999906868,758518.199999999837019,750076.859999999986030,844488.560000000055879,808661.680000000051223,785274.390000000130385,841865.940000000060536,806870.290000000037253,795397.560000000055879,813191.279999999795109,815378.619999999878928,789728.150000000139698,801990.000000000000000,10368371.929999999701977
20120928,760800.599999999976717,753108.199999999837019,745017.540000000037253,833130.160000000032596,815278.640000000013970,784136.490000000107102,837727.139999999897555,804551.220000000088476,796086.180000000051223,815377.199999999953434,811993.199999999953434,786275.830000000074506,798932.400000000139698,10342424.799999998882413
