訓練日期,20110628 - 20110928
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10224505.890000000596046
真實報酬,224505.890000000596046

夏普值報酬,0.013750589000000
夏普值風險,0.030194502827261
夏普值,0.455400411083610

預期報酬,4483.533315112373202
風險,365242.688319996930659
趨勢值,0.012275490950237
找到最佳解世代,17
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AAPL[0](1),AXP[1](15),CSCO[4](5),IBM[10](8),MCD[15](2),PFE[20](19),PG[21](10),UTX[24](27),V[25](4),VZ[26](12),
Stock#,AAPL[0](1),AXP[1](15),CSCO[4](5),IBM[10](8),MCD[15](2),PFE[20](19),PG[21](10),UTX[24](27),V[25](4),VZ[26](12),
張數,21083,20185,66445,5965,12147,49578,15918,11719,54141,27472,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,33.310000000055879,35.099999999976717,2.750000000000000,146.699999999953434,58.960000000079162,11.739999999874271,31.239999999990687,17.729999999981374,15.730000000097789,19.200000000069849,
20110628,1009698.180000000051223,1005651.799999999930151,1005315.600000000093132,1014256.349999999860302,1024658.410000000032596,1018839.639999999897555,998408.199999999953434,1014297.179999999934807,1018949.350000000093132,1004670.240000000107102,10114744.949999999254942
20110629,1006114.070000000065193,1027855.300000000046566,1019269.050000000046566,1017417.799999999930151,1027330.750000000000000,1024789.000000000000000,995702.139999999897555,1013359.659999999916181,1171626.970000000204891,1008791.040000000037253,10312255.780000001192093
20110630,1010963.160000000149012,1043599.599999999976717,1037209.199999999953434,1023442.450000000069849,1024294.000000000000000,1021318.539999999920838,1011938.500000000000000,1037266.420000000041910,1140766.600000000093132,1022801.760000000009313,10373600.230000000447035
20110701,1033943.630000000004657,1056518.000000000000000,1053820.449999999953434,1041277.799999999930151,1040449.510000000125729,1028755.239999999874271,1023081.099999999976717,1056251.199999999953434,1190576.319999999832362,1038460.800000000046566,10563134.050000000745058
20110705,1052496.670000000158325,1056316.149999999906868,1041195.900000000023283,1046586.650000000023283,1040328.040000000037253,1030242.579999999958090,1022921.920000000041910,1048985.419999999925494,1195449.009999999776483,1039010.240000000107102,10573532.580000000074506
20110706,1059454.060000000055879,1064995.699999999720603,1033886.950000000069849,1060186.850000000093132,1043000.380000000121072,1030242.579999999958090,1029925.840000000083819,1059649.709999999962747,1193824.780000000260770,1031318.080000000074506,10606484.930000001564622
20110707,1075898.800000000046566,1081749.250000000000000,1056478.250000000000000,1052849.899999999906868,1045429.780000000144355,1002974.679999999934807,1033905.340000000083819,1071017.139999999897555,1220353.870000000111759,1028021.440000000060536,10668678.449999997392297
20110708,1083488.680000000167638,1071253.049999999813735,1045847.050000000046566,1052909.550000000046566,1039842.160000000032596,999504.219999999855645,1033586.980000000097789,1058829.379999999888241,1214398.359999999869615,1029669.760000000009313,10629329.189999999478459
20110711,1066200.620000000111759,1055105.049999999813735,1025249.099999999976717,1043962.050000000046566,1036805.410000000032596,993554.859999999869615,1030244.199999999953434,1044532.199999999953434,1190034.910000000149012,1019779.839999999967404,10505468.240000000223517
20110712,1065568.130000000121072,1057729.100000000093132,1036544.750000000000000,1038354.950000000069849,1032432.489999999990687,991571.739999999874271,1027219.780000000027940,1036680.469999999855645,1187327.859999999869615,1018955.680000000167638,10492384.950000001117587
20110713,1078428.760000000009313,1048645.850000000093132,1034551.400000000023283,1039965.499999999883585,1032068.079999999958090,991075.959999999846332,1028970.760000000009313,1033281.959999999962747,1201404.520000000018626,1014834.880000000004657,10503227.669999999925494
20110714,1077585.439999999944121,1037140.400000000023283,1025249.099999999976717,1039428.649999999906868,1042393.030000000144355,987109.719999999855645,1028334.039999999920838,1029180.309999999939464,1190576.319999999832362,1013186.560000000172295,10470183.570000000298023
20110715,1099090.100000000093132,1045819.950000000069849,1035880.300000000046566,1047242.799999999930151,1038384.520000000135042,979177.239999999874271,1031995.179999999934807,1035039.809999999939464,1201404.520000000018626,1011538.240000000107102,10525572.660000000149012
20110718,1125865.510000000009313,1036131.149999999906868,1025913.549999999930151,1045691.899999999906868,1037412.760000000125729,973723.659999999916181,1027538.139999999897555,1026836.510000000009313,1192200.550000000279397,1008516.320000000065193,10499830.049999998882413
20110719,1135142.030000000027940,1045819.950000000069849,1040531.449999999953434,1104924.350000000093132,1047251.829999999958090,988597.059999999939464,1028493.219999999972060,1040899.309999999939464,1207360.030000000260770,1015659.040000000037253,10654678.269999999552965
20110720,1165290.720000000204891,1051471.750000000000000,1051162.649999999906868,1095618.949999999953434,1047980.650000000023283,986613.939999999827705,1021966.840000000083819,1022148.909999999916181,1199780.290000000037253,1025548.960000000079162,10667583.660000000149012
20110721,1166555.699999999953434,1061362.399999999906868,1086378.500000000000000,1103075.199999999953434,1051260.340000000316650,996529.539999999920838,1026583.059999999939464,1033750.719999999855645,1191659.140000000130385,1032142.240000000107102,10749296.840000001713634
20110722,1184687.080000000074506,1054499.500000000000000,1093687.449999999953434,1104745.399999999906868,1075797.280000000260770,995042.199999999837019,1022762.739999999990687,1027774.030000000027940,1211691.310000000055879,1009340.480000000097789,10780027.470000000670552
20110725,1200288.500000000000000,1045819.950000000069849,1081727.350000000093132,1095917.199999999953434,1070452.600000000093132,982151.919999999809079,1007799.820000000065193,1023320.809999999939464,1205735.800000000279397,995055.040000000037253,10708268.990000002086163
20110726,1215046.600000000093132,1040975.549999999930151,1082391.800000000046566,1091324.149999999906868,1069237.899999999906868,973227.879999999771826,1004297.860000000102445,1009961.150000000023283,1207360.030000000260770,996703.360000000102445,10690526.280000001192093
