訓練日期,20160519 - 20160819
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10818512.780000001192093
真實報酬,818512.780000001192093

夏普值報酬,0.073151278000000
夏普值風險,0.025712674755353
夏普值,2.844950153805764

預期報酬,15180.886950194846577
風險,99111.400338382227346
趨勢值,0.153169937044224
找到最佳解世代,34
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AAPL[0](16),CSCO[4](7),DIS[6](28),JNJ[12](9),MSFT[18](14),TRV[22](11),UTX[24](5),VZ[26](15),WBA[27](17),
Stock#,AAPL[0](16),CSCO[4](7),DIS[6](28),JNJ[12](9),MSFT[18](14),TRV[22](11),UTX[24](5),VZ[26](15),WBA[27](17),
張數,11750,41583,11223,9781,21867,9983,11190,22050,14516,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,31.000000000000000,13.239999999990687,34.000000000000000,87.209999999962747,48.729999999981374,3.100000000093132,55.899999999906868,11.500000000000000,56.359999999869615,
20160519,1106881.000000000000000,1146456.550000000046566,1104489.429999999934807,1103873.059999999823049,1100396.169999999925494,1099131.400000000139698,1102382.800000000046566,1094353.000000000000000,1106320.719999999739230,9964285.129999998956919
20160520,1118866.000000000000000,1163089.750000000000000,1119864.939999999944121,1101819.050000000046566,1106956.270000000018626,1117000.970000000204891,1108984.899999999906868,1095014.500000000000000,1120981.879999999888241,10052579.260000001639128
20160523,1133083.500000000000000,1161842.260000000009313,1113131.140000000130385,1097124.169999999925494,1094054.739999999990687,1112009.470000000204891,1106746.899999999906868,1083548.500000000000000,1110965.839999999850988,10012507.520000001415610
20160524,1150356.000000000000000,1183881.250000000000000,1116834.729999999981374,1102308.099999999860302,1128167.260000000009313,1132474.620000000111759,1118048.799999999813735,1093250.500000000000000,1119965.760000000009313,10145288.019999999552965
20160525,1170566.000000000000000,1202593.600000000093132,1120762.780000000027940,1108763.559999999823049,1139756.770000000018626,1133472.920000000158325,1122636.699999999720603,1099204.000000000000000,1126933.439999999711290,10224690.769999997690320
20160526,1179848.500000000000000,1201761.939999999944121,1120201.630000000121072,1104362.110000000102445,1134727.360000000102445,1134071.900000000139698,1123643.799999999813735,1106039.500000000000000,1114594.839999999850988,10219252.580000001937151
20160527,1179143.500000000000000,1202593.600000000093132,1125588.670000000158325,1105927.070000000065193,1144130.169999999925494,1139862.040000000270084,1127560.300000000046566,1116182.500000000000000,1117788.359999999869615,10258777.210000000894070
20160531,1173386.000000000000000,1207999.390000000130385,1113580.060000000055879,1102308.099999999860302,1158999.729999999981374,1139462.720000000204891,1125546.099999999860302,1122356.500000000000000,1123594.760000000009313,10267234.359999999403954
20160601,1156936.000000000000000,1201761.939999999944121,1105723.959999999962747,1103188.389999999897555,1155719.679999999934807,1146450.820000000065193,1122972.399999999906868,1111993.000000000000000,1133755.959999999729916,10238503.149999998509884
20160602,1148241.000000000000000,1209246.879999999888241,1107968.560000000055879,1119913.899999999906868,1147628.889999999897555,1146750.310000000055879,1127896.000000000000000,1119490.000000000000000,1148271.959999999729916,10275408.499999998137355
20160603,1150591.000000000000000,1211326.030000000027940,1108305.250000000000000,1122554.770000000018626,1132540.659999999916181,1144254.560000000055879,1123867.600000000093132,1122797.500000000000000,1142175.239999999990687,10258413.610000001266599
20160606,1158933.500000000000000,1210078.540000000037253,1108641.939999999944121,1132433.579999999841675,1139975.439999999944121,1141359.489999999990687,1134274.299999999813735,1118167.000000000000000,1141884.919999999925494,10285749.709999999031425
20160607,1163633.500000000000000,1208831.050000000046566,1103816.050000000046566,1132042.340000000083819,1139319.429999999934807,1143855.239999999990687,1135281.399999999906868,1141099.000000000000000,1148562.280000000027940,10316441.289999999105930
20160608,1162576.000000000000000,1211741.860000000102445,1100336.920000000158325,1132727.010000000009313,1138007.409999999916181,1140261.360000000102445,1142219.199999999720603,1136027.500000000000000,1153207.399999999906868,10317105.660000000149012
20160609,1170918.500000000000000,1211741.860000000102445,1098092.320000000065193,1144464.209999999962747,1128823.270000000018626,1140261.360000000102445,1145016.699999999720603,1145509.000000000000000,1146965.520000000018626,10331793.740000000223517
20160610,1161283.500000000000000,1207167.729999999981374,1092480.820000000065193,1144562.020000000018626,1125761.889999999897555,1136168.330000000074506,1141435.899999999906868,1161385.000000000000000,1197190.879999999888241,10367437.070000000298023
20160613,1143776.000000000000000,1199266.959999999962747,1095062.109999999869615,1142410.199999999953434,1096460.110000000102445,1128082.100000000093132,1132595.799999999813735,1159180.000000000000000,1224626.119999999878928,10321460.400000000372529
20160614,1145186.000000000000000,1204256.919999999925494,1104377.199999999953434,1145637.929999999934807,1089681.339999999850988,1123589.750000000000000,1132371.999999999767169,1168441.000000000000000,1224335.799999999813735,10337878.940000001341105
20160615,1141426.000000000000000,1191366.189999999944121,1102918.209999999962747,1138693.419999999925494,1086619.959999999962747,1116202.330000000074506,1125098.500000000000000,1165133.500000000000000,1207932.719999999739230,10275391.829999998211861
20160616,1146243.500000000000000,1200514.449999999953434,1104152.739999999990687,1140943.050000000046566,1101926.860000000102445,1125586.350000000093132,1131588.699999999953434,1178804.500000000000000,1207061.760000000009313,10336822.910000002011657
20160617,1120158.500000000000000,1203841.089999999850988,1111111.000000000000000,1129597.090000000083819,1096241.439999999944121,1116701.479999999981374,1132483.899999999906868,1185860.500000000000000,1199803.760000000009313,10295799.759999999776483
20160620,1117456.000000000000000,1197603.640000000130385,1117508.109999999869615,1139964.949999999953434,1094929.419999999925494,1124188.729999999981374,1138078.899999999906868,1185419.500000000000000,1203868.239999999990687,10319018.490000000223517
20160621,1126973.500000000000000,1196356.149999999906868,1109090.859999999869615,1136443.790000000037253,1119420.459999999962747,1125286.860000000102445,1136624.199999999720603,1192916.500000000000000,1207787.559999999823049,10350900.880000000819564
20160622,1122743.500000000000000,1194277.000000000000000,1108754.170000000158325,1139182.469999999972060,1115047.060000000055879,1116401.989999999990687,1134162.399999999906868,1191373.000000000000000,1215626.199999999720603,10337568.789999999105930
20160623,1129206.000000000000000,1215068.500000000000000,1111335.459999999962747,1148180.989999999990687,1135164.699999999953434,1136567.650000000139698,1145128.599999999860302,1205485.000000000000000,1234787.319999999832362,10460925.220000000670552
20160624,1097481.000000000000000,1153941.489999999990687,1074299.560000000055879,1131064.239999999990687,1089681.339999999850988,1108315.760000000009313,1106635.000000000000000,1200193.000000000000000,1187174.839999999850988,10148787.230000000447035
20160627,1081501.000000000000000,1135644.969999999972060,1059260.739999999990687,1140062.760000000009313,1059067.540000000037253,1101627.150000000139698,1087835.799999999813735,1207028.500000000000000,1152481.599999999860302,10024511.060000000521541
20160628,1099713.500000000000000,1155604.810000000055879,1078003.149999999906868,1156494.840000000083819,1081153.209999999962747,1139362.890000000130385,1108201.599999999860302,1208792.500000000000000,1159594.439999999711290,10186921.939999999478459
20160629,1109231.000000000000000,1175148.820000000065193,1088440.540000000037253,1167253.939999999944121,1105206.909999999916181,1166117.330000000074506,1124315.199999999953434,1214084.500000000000000,1207642.399999999906868,10357441.640000002458692
20160630,1123331.000000000000000,1193029.510000000009313,1097867.859999999869615,1186522.510000000009313,1118983.120000000111759,1188379.420000000158325,1147590.399999999906868,1231283.500000000000000,1208803.679999999701977,10495792.000000000000000
20160701,1126738.500000000000000,1197603.640000000130385,1100224.689999999944121,1186424.699999999953434,1118764.449999999953434,1186482.650000000139698,1149604.599999999860302,1239883.000000000000000,1205755.319999999832362,10511482.550000000745058
20160705,1116163.500000000000000,1178059.629999999888241,1096072.179999999934807,1196010.079999999841675,1118983.120000000111759,1184785.540000000270084,1125993.699999999953434,1246498.000000000000000,1212432.679999999701977,10474999.429999999701977
20160706,1122508.500000000000000,1194277.000000000000000,1104938.350000000093132,1199629.050000000046566,1123575.189999999944121,1185584.180000000167638,1134498.099999999860302,1240544.500000000000000,1183836.159999999916181,10489392.029999999329448
20160707,1127326.000000000000000,1195108.659999999916181,1104489.429999999934807,1198357.520000000018626,1123575.189999999944121,1173105.430000000167638,1141100.199999999953434,1221140.500000000000000,1168594.359999999869615,10452798.289999999105930
20160708,1136021.000000000000000,1216731.820000000065193,1118069.260000000009313,1201683.059999999823049,1143692.829999999841675,1178795.739999999990687,1160011.299999999813735,1232606.500000000000000,1187465.159999999916181,10575077.669999999925494
20160711,1139546.000000000000000,1223800.929999999934807,1122109.540000000037253,1202465.540000000037253,1150034.260000000009313,1179195.060000000055879,1163368.299999999813735,1233268.000000000000000,1190513.520000000018626,10604302.149999998509884
20160712,1144716.000000000000000,1231285.869999999878928,1124578.600000000093132,1202367.729999999981374,1163591.800000000046566,1178895.570000000065193,1169410.899999999906868,1223125.000000000000000,1179045.879999999888241,10617018.350000001490116
20160713,1138253.500000000000000,1237107.489999999990687,1120987.239999999990687,1203150.209999999962747,1170151.899999999906868,1177997.100000000093132,1176013.000000000000000,1234811.500000000000000,1187029.679999999701977,10645502.619999999180436
20160714,1160813.500000000000000,1237523.320000000065193,1121997.310000000055879,1204910.790000000037253,1175181.310000000055879,1185384.520000000018626,1176572.500000000000000,1231283.500000000000000,1216206.839999999850988,10709874.589999999850988
20160715,1160696.000000000000000,1240018.300000000046566,1120089.399999999906868,1203150.209999999962747,1174306.630000000121072,1184386.220000000204891,1180600.899999999906868,1231283.500000000000000,1197771.520000000018626,10692303.679999999701977
20160718,1173033.500000000000000,1243760.770000000018626,1124017.449999999953434,1204519.550000000046566,1179992.050000000046566,1171807.640000000130385,1180488.999999999767169,1233268.000000000000000,1201690.839999999850988,10712579.799999998882413
20160719,1173503.500000000000000,1244176.600000000093132,1116385.810000000055879,1225157.459999999962747,1160967.760000000009313,1168513.250000000000000,1181943.699999999953434,1228196.500000000000000,1193416.719999999739230,10692262.300000000745058
20160720,1174561.000000000000000,1273700.530000000027940,1102357.060000000055879,1224081.550000000046566,1222632.699999999953434,1168113.930000000167638,1186643.500000000000000,1226432.500000000000000,1197771.520000000018626,10776295.290000000968575
20160721,1168333.500000000000000,1271621.379999999888241,1100000.229999999981374,1224179.360000000102445,1220227.329999999841675,1165218.860000000102445,1184517.399999999906868,1220920.000000000000000,1186013.559999999823049,10741032.620000001043081
20160722,1159286.000000000000000,1277027.169999999925494,1096633.329999999841675,1223005.639999999897555,1237064.919999999925494,1169511.550000000046566,1176460.599999999860302,1237016.500000000000000,1180932.959999999729916,10756939.669999998062849
20160725,1143776.000000000000000,1280353.810000000055879,1093041.969999999972060,1221636.300000000046566,1240563.639999999897555,1172506.450000000186265,1171089.399999999906868,1231945.000000000000000,1184126.479999999748543,10739040.050000000745058
20160726,1135903.500000000000000,1284096.280000000027940,1085185.869999999878928,1224179.360000000102445,1241219.649999999906868,1174503.050000000046566,1207345.000000000000000,1208572.000000000000000,1180642.639999999897555,10741648.350000001490116
20160727,1209693.500000000000000,1279106.320000000065193,1081145.590000000083819,1220462.579999999841675,1228755.459999999962747,1162323.790000000270084,1205106.999999999767169,1219817.500000000000000,1160465.399999999906868,10766878.140000000596046
20160728,1226026.000000000000000,1269126.399999999906868,1076431.929999999934807,1217430.469999999972060,1229192.800000000046566,1174103.729999999981374,1203876.099999999860302,1209674.500000000000000,1153497.719999999739230,10759360.649999998509884
20160729,1224498.500000000000000,1269542.229999999981374,1076880.850000000093132,1224961.840000000083819,1239470.290000000037253,1160227.360000000102445,1204659.399999999906868,1221802.000000000000000,1150449.359999999869615,10772492.830000000074506
20160801,1246118.500000000000000,1277858.830000000074506,1072279.420000000158325,1226624.610000000102445,1237283.589999999850988,1166117.330000000074506,1196714.499999999767169,1201736.500000000000000,1150739.679999999701977,10775473.959999999031425
20160802,1227671.000000000000000,1273284.699999999953434,1066331.229999999981374,1221245.059999999823049,1237283.589999999850988,1168313.590000000083819,1189217.199999999953434,1190711.500000000000000,1146094.559999999823049,10720153.430000001564622
20160803,1243063.500000000000000,1277443.000000000000000,1078452.070000000065193,1211953.110000000102445,1245811.719999999972060,1177797.440000000176951,1189441.000000000000000,1188506.500000000000000,1155529.959999999729916,10767999.299999998882413
20160804,1244003.500000000000000,1280769.640000000130385,1068014.679999999934807,1211561.869999999878928,1254995.860000000102445,1176799.140000000130385,1190224.299999999813735,1189168.000000000000000,1159158.959999999729916,10774696.950000001117587
20160805,1262921.000000000000000,1290749.560000000055879,1075534.090000000083819,1215278.649999999906868,1267460.050000000046566,1183787.239999999990687,1205666.499999999767169,1182773.500000000000000,1169029.839999999850988,10853201.429999999701977
20160808,1273378.500000000000000,1289502.070000000065193,1074636.250000000000000,1209507.860000000102445,1269646.750000000000000,1179494.550000000046566,1206226.000000000000000,1181671.000000000000000,1170481.439999999711290,10854545.419999999925494
20160809,1278548.500000000000000,1286591.260000000009313,1084961.409999999916181,1207356.040000000037253,1272708.130000000121072,1179794.040000000270084,1212380.500000000000000,1183214.500000000000000,1174255.599999999860302,10879810.979999998584390
20160810,1269031.000000000000000,1282848.790000000037253,1098316.780000000027940,1206671.369999999878928,1268772.070000000065193,1180293.190000000176951,1209918.699999999953434,1186522.000000000000000,1197626.359999999869615,10900001.259999999776483
20160811,1268208.500000000000000,1287007.089999999850988,1097306.709999999962747,1210681.579999999841675,1274894.829999999841675,1183986.900000000139698,1221780.100000000093132,1187624.500000000000000,1203577.919999999925494,10935069.130000000819564
20160812,1271146.000000000000000,1283680.449999999953434,1086869.320000000065193,1205302.030000000027940,1267022.709999999962747,1183088.430000000167638,1218311.199999999953434,1182994.000000000000000,1209529.479999999748543,10907944.620000001043081
20160815,1286421.000000000000000,1296987.010000000009313,1089787.300000000046566,1196401.320000000065193,1270958.770000000018626,1181491.150000000139698,1227486.999999999767169,1182112.000000000000000,1213739.119999999878928,10945385.669999999925494
20160816,1285246.000000000000000,1294076.199999999953434,1087318.239999999990687,1177034.939999999944121,1256089.209999999962747,1167814.440000000176951,1221556.299999999813735,1163369.500000000000000,1201981.159999999916181,10854486.990000002086163
20160817,1283366.000000000000000,1277443.000000000000000,1087206.010000000009313,1186620.320000000065193,1258713.250000000000000,1172206.960000000195578,1219094.499999999767169,1172410.000000000000000,1197916.679999999701977,10854977.719999998807907
20160818,1281721.000000000000000,1267463.080000000074506,1084736.949999999953434,1180849.530000000027940,1259587.929999999934807,1176200.159999999916181,1223458.599999999860302,1165795.000000000000000,1199803.760000000009313,10839617.009999999776483
20160819,1285011.000000000000000,1269126.399999999906868,1081818.969999999972060,1173024.729999999981374,1260025.270000000018626,1172706.110000000102445,1221332.500000000000000,1156534.000000000000000,1198932.799999999813735,10818512.780000001192093
