訓練日期,20120830 - 20121204
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10483697.349999999627471
真實報酬,483697.349999999627471

夏普值報酬,0.039669735000000
夏普值風險,0.017262690991824
夏普值,2.298004118754666

預期報酬,9620.080087546035429
風險,225223.879712514317362
趨勢值,0.042713410761885
找到最佳解世代,25
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,7
GS[8](5),JNJ[12](4),MCD[15](23),MRK[17](8),NKE[19](24),PFE[20](9),V[25](1),
Stock#,GS[8](5),JNJ[12](4),MCD[15](23),MRK[17](8),NKE[19](24),PFE[20](9),V[25](1),
張數,13537,21204,15934,33176,57907,59623,44628,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,11.389999999897555,57.520000000018626,87.899999999906868,12.439999999944121,5.309999999823049,3.919999999925494,28.720000000204891,
20120830,1417606.029999999795109,1425178.359999999869615,1413433.699999999953434,1430561.559999999823049,1415252.389999999897555,1421416.239999999990687,1413843.760000000242144,9937295.039999999105930
20120831,1431143.029999999795109,1429843.240000000223517,1426021.559999999823049,1428239.239999999757856,1409461.689999999711290,1422608.699999999953434,1430802.400000000372529,9978122.859999999403954
20120904,1440483.559999999823049,1426238.560000000055879,1419010.599999999860302,1434874.439999999944121,1408303.549999999813735,1417838.860000000102445,1433926.360000000335276,9980678.929999999701977
20120905,1488269.169999999925494,1426450.599999999860302,1419169.939999999944121,1441177.879999999888241,1409461.689999999711290,1426186.080000000074506,1423661.920000000158325,10034380.279999999329448
20120906,1537002.369999999878928,1438536.880000000121072,1444823.679999999934807,1467718.679999999934807,1440152.399999999906868,1451227.739999999990687,1445083.360000000335276,10224548.109999999403954
20120907,1574770.599999999860302,1439385.040000000037253,1450400.579999999841675,1461415.239999999757856,1437257.049999999813735,1445265.439999999944121,1447314.760000000242144,10255811.709999999031425
20120910,1552434.550000000046566,1445746.240000000223517,1454862.099999999860302,1468382.199999999953434,1448259.379999999888241,1436918.219999999972060,1435711.480000000214204,10242317.169999999925494
20120911,1579643.919999999925494,1446170.320000000065193,1453268.699999999953434,1470704.519999999785796,1443047.750000000000000,1441091.830000000074506,1466951.080000000074506,10300881.119999999180436
20120912,1600626.269999999785796,1445110.120000000111759,1447213.779999999795109,1477339.719999999972060,1459840.779999999795109,1435129.530000000027940,1489265.080000000074506,10354528.279999999329448
20120913,1633521.179999999934807,1462921.479999999981374,1459164.279999999795109,1481652.599999999860302,1436098.909999999916181,1445861.669999999925494,1505777.440000000409782,10425000.559999998658895
20120914,1642861.709999999962747,1451895.399999999906868,1461235.699999999953434,1447149.559999999823049,1399038.429999999934807,1419031.320000000065193,1497744.400000000372529,10318959.519999999552965
20120917,1623097.689999999944121,1447230.520000000018626,1468246.659999999916181,1459756.439999999944121,1418147.739999999757856,1432148.379999999888241,1493727.880000000121072,10342358.310000000521541
20120918,1622826.949999999720603,1453591.719999999972060,1483224.619999999878928,1462410.519999999785796,1414673.319999999832362,1431552.149999999906868,1491496.480000000214204,10359778.759999999776483
20120919,1611185.129999999888241,1454651.919999999925494,1479241.119999999878928,1476676.199999999953434,1414094.250000000000000,1440495.599999999860302,1503992.320000000298023,10380339.540000000968575
20120920,1592368.699999999720603,1461013.120000000111759,1484340.000000000000000,1489283.080000000074506,1400196.569999999832362,1455401.349999999860302,1501760.920000000158325,10384366.740000000223517
20120921,1580050.029999999795109,1464405.760000000009313,1493263.039999999804422,1489946.599999999860302,1397301.219999999739230,1461959.879999999888241,1506223.720000000204891,10393153.250000000000000
20120924,1578425.589999999850988,1463133.520000000018626,1493263.039999999804422,1497577.080000000074506,1379929.119999999646097,1475673.169999999925494,1492389.040000000037253,10380393.559999998658895
20120925,1536460.889999999897555,1469918.799999999813735,1479719.139999999897555,1496581.799999999813735,1376454.699999999720603,1481039.239999999990687,1501314.640000000130385,10341492.209999999031425
20120926,1530775.349999999860302,1463133.520000000018626,1485136.699999999953434,1493264.199999999953434,1382245.399999999906868,1480443.009999999776483,1478554.360000000335276,10313555.539999999105930
20120927,1559879.899999999906868,1463345.560000000055879,1486252.079999999841675,1500562.919999999925494,1389773.309999999823049,1488194.000000000000000,1494174.160000000149012,10382184.929999999701977
20120928,1538897.550000000046566,1461225.159999999916181,1462032.399999999906868,1496250.040000000037253,1374138.419999999925494,1481635.469999999972060,1498190.680000000167638,10312372.719999998807907
20121001,1581945.209999999962747,1465890.040000000037253,1465856.559999999823049,1500231.159999999916181,1383403.539999999804422,1492963.839999999850988,1525413.760000000242144,10415707.109999999403954
20121002,1587224.639999999897555,1462285.359999999869615,1448966.520000000018626,1508525.159999999916181,1374717.489999999757856,1497733.679999999934807,1517380.720000000204891,10396836.570000000298023
20121003,1596159.059999999823049,1463133.520000000018626,1439724.799999999813735,1518809.719999999972060,1357924.459999999729916,1509658.280000000027940,1545496.360000000335276,10430909.199999999254942
20121004,1623097.689999999944121,1468858.599999999860302,1450559.919999999925494,1530089.559999999823049,1388036.099999999860302,1511446.969999999972060,1558438.480000000214204,10530530.320000000298023
20121005,1615110.859999999869615,1476916.120000000111759,1450081.899999999906868,1535397.719999999972060,1378770.979999999748543,1521582.879999999888241,1565132.680000000167638,10542996.139999998733401
20121008,1617141.409999999916181,1472463.280000000027940,1458686.260000000009313,1537388.280000000027940,1375296.559999999823049,1514428.119999999878928,1547727.760000000242144,10523134.669999999925494
20121009,1619442.699999999720603,1450623.159999999916181,1467768.639999999897555,1531748.360000000102445,1367768.649999999906868,1509062.049999999813735,1525860.040000000037253,10472276.599999997764826
20121010,1625534.349999999860302,1446594.399999999906868,1472389.500000000000000,1512838.040000000037253,1364294.229999999748543,1500118.599999999860302,1533000.520000000251457,10454772.639999998733401
20121011,1651390.019999999785796,1441293.399999999906868,1471752.139999999897555,1507861.640000000130385,1374138.419999999925494,1497733.679999999934807,1551298.000000000000000,10495470.299999998882413
20121012,1627158.790000000037253,1441293.399999999906868,1474142.239999999990687,1513501.559999999823049,1367189.579999999841675,1497733.679999999934807,1552190.560000000288710,10473212.810000000521541
20121015,1685367.889999999897555,1454651.919999999925494,1489916.899999999906868,1545682.280000000027940,1383982.609999999636784,1524564.030000000027940,1560669.880000000121072,10644838.509999999776483
20121016,1668040.529999999795109,1474795.719999999972060,1499317.959999999962747,1564924.360000000102445,1407724.479999999748543,1538277.320000000065193,1574950.840000000083819,10728034.209999999031425
20121017,1691053.429999999934807,1505541.520000000018626,1492785.020000000018626,1572223.080000000074506,1412357.039999999804422,1540662.239999999990687,1590570.640000000130385,10805195.970000000670552
20121018,1694166.939999999944121,1537771.599999999860302,1479719.139999999897555,1591133.399999999906868,1412357.039999999804422,1552586.839999999850988,1582983.880000000121072,10850721.840000001713634
20121019,1673455.330000000074506,1523776.959999999962747,1413752.379999999888241,1560279.719999999972060,1396143.079999999841675,1535892.399999999906868,1561562.440000000409782,10664865.309999998658895
20121022,1661948.879999999888241,1522080.640000000130385,1409450.199999999953434,1542032.919999999925494,1367768.649999999906868,1526352.719999999972060,1550851.720000000204891,10580488.730000000447035
20121023,1610914.389999999897555,1503209.080000000074506,1401642.539999999804422,1522459.080000000074506,1344026.779999999795109,1501907.290000000037253,1524521.199999999953434,10408683.359999999403954
20121024,1621337.879999999888241,1500028.479999999981374,1390807.419999999925494,1522127.320000000065193,1344605.849999999860302,1509062.049999999813735,1522736.080000000074506,10410708.080000000074506
20121025,1620661.029999999795109,1508510.080000000074506,1391604.119999999878928,1536061.239999999757856,1322022.119999999646097,1526948.949999999953434,1534785.640000000130385,10440596.179999997839332
20121026,1616870.669999999925494,1503421.120000000111759,1381725.039999999804422,1531084.839999999850988,1319705.839999999850988,1516216.809999999823049,1543264.960000000195578,10412292.280000001192093
20121031,1656804.819999999832362,1501724.799999999813735,1383159.099999999860302,1513833.320000000065193,1323180.260000000009313,1482827.929999999934807,1548174.040000000037253,10409707.269999999552965
20121101,1690105.839999999850988,1516143.520000000018626,1383159.099999999860302,1524117.879999999888241,1380508.189999999711290,1463748.570000000065193,1605297.880000000121072,10563083.980000000447035
20121102,1668446.639999999897555,1503421.120000000111759,1384115.139999999897555,1526108.439999999944121,1368926.789999999804422,1463748.570000000065193,1599942.520000000251457,10514712.219999998807907
20121105,1679682.349999999860302,1501088.680000000167638,1393675.539999999804422,1515160.360000000102445,1379350.049999999813735,1465537.259999999776483,1578967.360000000335276,10513464.600000001490116
20121106,1709057.639999999897555,1505753.560000000055879,1401801.879999999888241,1523454.360000000102445,1391510.519999999785796,1473288.250000000000000,1605297.880000000121072,10610167.090000001713634
20121107,1597106.649999999906868,1491546.880000000121072,1384115.139999999897555,1475017.399999999906868,1370084.929999999934807,1441091.830000000074506,1590570.640000000130385,10349536.470000000670552
20121108,1560421.379999999888241,1476916.120000000111759,1356549.319999999832362,1454448.280000000027940,1330129.099999999860302,1440495.599999999860302,1585215.280000000260770,10204178.080000001937151
20121109,1572333.939999999944121,1481581.000000000000000,1350335.059999999823049,1461415.239999999757856,1336498.869999999646097,1441091.830000000074506,1594587.160000000149012,10237846.099999999627471
20121112,1587089.269999999785796,1477552.240000000223517,1352565.819999999832362,1460419.959999999962747,1335919.799999999813735,1437514.449999999953434,1598157.400000000372529,10249221.939999999478459
20121113,1576665.779999999795109,1473947.560000000055879,1348741.659999999916181,1449140.119999999878928,1324338.399999999906868,1433937.070000000065193,1589231.800000000279397,10196005.390000000596046
20121114,1546478.269999999785796,1468858.599999999860302,1348422.979999999981374,1428239.239999999757856,1311598.859999999636784,1419627.549999999813735,1561562.440000000409782,10084790.940000001341105
20121115,1562722.669999999925494,1464617.799999999813735,1339340.599999999860302,1419945.239999999757856,1315073.279999999795109,1410684.099999999860302,1562008.720000000204891,10074395.409999998286366
20121116,1568137.469999999972060,1467162.280000000027940,1340455.979999999981374,1428902.760000000009313,1340552.359999999636784,1422608.699999999953434,1592355.760000000242144,10160178.309999998658895
20121119,1601438.489999999757856,1468434.520000000018626,1355115.260000000009313,1437860.280000000027940,1394405.869999999646097,1439303.139999999897555,1624934.199999999953434,10321494.759999999776483
20121120,1598595.719999999972060,1477340.199999999953434,1365313.020000000018626,1445159.000000000000000,1383982.609999999636784,1447650.360000000102445,1632967.240000000456348,10351011.149999998509884
20121121,1593316.290000000037253,1475643.880000000121072,1370571.239999999990687,1456107.080000000074506,1383982.609999999636784,1451823.969999999972060,1636537.480000000214204,10367985.550000000745058
