訓練日期,20120820 - 20121121
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10280146.649999998509884
真實報酬,280146.649999998509884

夏普值報酬,0.019314665000000
夏普值風險,0.021271555041172
夏普值,0.908004373098990

預期報酬,8266.988713286720667
風險,215526.277197519433685
趨勢值,0.038357219457331
找到最佳解世代,21
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AXP[1](16),BA[2](23),GS[8](3),HD[9](2),JPM[13](4),MRK[17](8),NKE[19](17),TRV[22](5),WBA[27](24),WMT[28](12),
Stock#,AXP[1](16),BA[2](23),GS[8](3),HD[9](2),JPM[13](4),MRK[17](8),NKE[19](17),TRV[22](5),WBA[27](24),WMT[28](12),
張數,17364,13529,9652,17627,27041,23073,41545,15353,27901,13890,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,7.239999999990687,71.610000000102445,52.800000000046566,20.290000000037253,23.820000000065193,16.179999999934807,11.849999999976717,59.110000000102445,28.159999999916181,58.900000000023283,
20120820,988018.839999999967404,998917.680000000051223,1016215.360000000102445,997179.680000000051223,1010545.989999999990687,1009459.929999999934807,994599.150000000023283,1007830.030000000144355,1005301.189999999944121,1004305.900000000023283,10032373.750000000000000
20120821,982809.640000000013970,991341.440000000060536,1016601.439999999944121,992772.930000000051223,1028663.460000000079162,990770.799999999930151,995430.050000000046566,1001535.300000000162981,994698.809999999823049,992221.600000000093132,9986845.469999998807907
20120822,986629.719999999972060,984982.810000000055879,1010327.640000000013970,998413.570000000065193,1022984.849999999976717,990078.609999999869615,994599.150000000023283,1004912.960000000195578,991908.709999999846332,996944.199999999953434,9981782.219999998807907
20120823,979684.119999999995343,951972.050000000046566,1004632.960000000079162,996827.140000000013970,1006760.250000000000000,987540.579999999841675,991275.549999999930151,994933.510000000009313,994977.819999999832362,994027.300000000046566,9902631.279999999329448
20120824,998263.599999999976717,961848.220000000204891,1013126.719999999972060,1004054.210000000079162,1005137.790000000153668,994923.939999999827705,1006231.749999999883585,1004145.310000000172295,994698.809999999823049,1001666.800000000046566,9984097.150000000372529
20120827,997048.119999999995343,965771.630000000004657,1014671.040000000037253,998942.380000000121072,1006760.250000000000000,993308.829999999841675,1001661.799999999930151,1000767.650000000256114,993303.760000000009313,1007083.900000000023283,9979319.360000001266599
20120828,999479.080000000074506,967665.690000000060536,1013802.360000000102445,996474.600000000093132,1004056.150000000139698,988232.769999999902211,1027004.249999999883585,995547.630000000121072,987723.559999999823049,1005833.799999999930151,9985819.890000000596046
20120829,997048.119999999995343,966583.370000000111759,1018628.360000000102445,1001938.970000000088476,1008653.119999999995343,993539.559999999939464,1024927.000000000000000,994933.510000000009313,984933.459999999846332,1010834.199999999953434,10002019.669999998062849
20120830,992707.119999999995343,958195.390000000013970,1010810.239999999990687,998061.030000000027940,997836.719999999972060,994923.939999999827705,1015371.650000000023283,990174.080000000074506,982422.369999999995343,1003611.400000000023283,9944113.939999999478459
20120831,1012328.439999999944121,966042.210000000195578,1020462.239999999990687,1000352.540000000037253,1004326.560000000055879,993308.829999999841675,1011217.150000000023283,994012.330000000074506,997767.919999999809079,1008472.899999999906868,10008291.120000001043081
20120904,1017711.280000000027940,958871.840000000200234,1027122.119999999995343,1001057.619999999995343,1000811.229999999981374,997923.429999999934807,1010386.250000000000000,992477.030000000144355,996093.859999999986030,1021112.800000000046566,10023567.460000000894070
20120905,993054.399999999906868,973077.290000000153668,1061193.679999999934807,996650.869999999995343,1003515.330000000074506,1002307.299999999930151,1011217.150000000023283,990788.200000000069849,1001116.040000000037253,1021668.400000000023283,10054588.660000002011657
20120906,996874.479999999981374,985253.390000000013970,1095940.880000000121072,1016216.839999999967404,1046240.109999999986030,1020765.699999999953434,1033236.000000000000000,1003224.130000000121072,982143.359999999986030,1039169.800000000046566,10219064.690000001341105
20120907,1002430.959999999962747,986200.420000000158325,1122869.959999999962747,1009342.310000000055879,1062735.119999999878928,1016381.829999999841675,1031158.750000000000000,1001228.239999999990687,974889.099999999860302,1025418.699999999953434,10232655.389999998733401
20120910,998784.520000000018626,961712.930000000051223,1106944.160000000149012,1010047.390000000013970,1048132.979999999981374,1021227.159999999916181,1039052.300000000046566,1002763.540000000153668,980469.299999999930151,1021112.800000000046566,10190247.080000001937151
20120911,993748.959999999962747,964283.440000000060536,1126344.679999999934807,999823.729999999981374,1070847.420000000158325,1022842.269999999902211,1035313.250000000000000,1027942.460000000195578,979632.269999999902211,1028752.300000000046566,10249530.780000001192093
20120912,994443.520000000018626,960089.450000000069849,1141305.280000000027940,1005640.640000000013970,1079500.540000000037253,1027456.869999999995343,1047361.300000000046566,1037000.730000000214204,986607.519999999902211,1028891.199999999953434,10308297.049999998882413
20120913,1025351.439999999944121,968477.430000000051223,1164759.640000000130385,1027674.390000000013970,1119521.219999999972060,1030456.359999999869615,1030327.849999999976717,1050971.960000000195578,1005022.180000000051223,1043753.500000000000000,10466315.970000000670552
20120914,1029171.520000000018626,964418.730000000097789,1171419.520000000018626,1048121.710000000079162,1124118.190000000176951,1006460.439999999827705,1003739.049999999930151,1052967.850000000093132,1005022.180000000051223,1034863.900000000023283,10440303.089999999850988
20120917,1027608.760000000009313,946019.290000000153668,1157327.600000000093132,1038426.859999999986030,1113842.610000000102445,1015228.179999999934807,1017448.899999999906868,1051432.550000000279397,996093.859999999986030,1027780.000000000000000,10391208.609999999403954
20120918,1018753.119999999995343,953189.660000000149012,1157134.560000000055879,1037545.510000000009313,1115735.479999999981374,1017074.019999999902211,1014956.199999999953434,1051125.489999999990687,994977.819999999832362,1027224.400000000023283,10387716.259999999776483
20120919,1018753.119999999995343,945748.710000000195578,1148833.840000000083819,1048297.979999999981374,1117898.760000000242144,1026995.409999999916181,1014540.750000000000000,1047594.300000000162981,999162.969999999972060,1033058.200000000069849,10400884.039999999105930
20120920,1013023.000000000000000,945072.260000000009313,1135417.560000000055879,1044948.850000000093132,1115465.070000000065193,1035763.149999999906868,1004569.949999999953434,1050971.960000000195578,991908.709999999846332,1038336.400000000023283,10375476.910000000149012
20120921,1004688.280000000027940,946695.740000000107102,1126634.239999999990687,1047416.630000000121072,1105459.900000000139698,1036224.609999999869615,1002492.699999999953434,1053428.440000000176951,979632.269999999902211,1034169.400000000023283,10336842.210000000894070
20120924,1001389.119999999995343,947507.480000000097789,1125476.000000000000000,1046887.820000000065193,1114924.250000000000000,1041531.399999999906868,990029.199999999953434,1050511.370000000111759,995256.829999999958090,1038197.500000000000000,10351710.970000000670552
20120925,992012.560000000055879,938713.630000000004657,1095554.800000000046566,1052704.729999999981374,1096536.369999999878928,1040839.209999999962747,987536.500000000000000,1051432.550000000279397,1006417.229999999981374,1031530.300000000046566,10293277.880000000819564
20120926,974822.199999999953434,950483.860000000102445,1091500.959999999962747,1043009.880000000121072,1088153.660000000149012,1038531.909999999916181,991691.000000000000000,1040685.450000000069849,999441.979999999981374,1030558.000000000000000,10248878.900000000372529
20120927,982288.719999999972060,948454.510000000009313,1112252.760000000009313,1055525.050000000046566,1100051.699999999953434,1043607.969999999855645,997091.849999999976717,1050357.840000000083819,1021204.760000000009313,1027641.100000000093132,10338476.259999999776483
20120928,987324.280000000027940,941690.010000000009313,1097292.160000000149012,1064162.280000000027940,1094643.500000000000000,1040608.479999999981374,985874.699999999953434,1048054.890000000130385,1016740.599999999860302,1025140.900000000023283,10301531.800000000745058
20121001,1002430.959999999962747,947236.900000000139698,1127985.520000000018626,1067687.679999999934807,1107893.590000000083819,1043377.239999999874271,992521.900000000023283,1060490.820000000065193,1030970.109999999986030,1028613.400000000023283,10409208.120000001043081
20121002,992880.760000000009313,940742.980000000097789,1131749.800000000046566,1063457.199999999953434,1106541.540000000037253,1049145.489999999990687,986290.149999999906868,1054810.210000000195578,1029854.069999999832362,1024446.400000000023283,10379918.599999999627471
20121003,996700.839999999967404,945207.550000000046566,1138120.120000000111759,1088840.080000000074506,1104919.080000000074506,1056298.119999999878928,974242.099999999976717,1059569.640000000130385,1014508.519999999902211,1030696.900000000023283,10409102.949999999254942
20121004,1013543.919999999925494,946289.870000000111759,1157327.600000000093132,1088311.270000000018626,1130878.440000000176951,1064142.939999999944121,995845.499999999883585,1063714.950000000186265,1014787.529999999795109,1037919.699999999953434,10512761.720000000670552
20121005,1016843.080000000074506,959142.420000000158325,1151632.920000000158325,1114046.690000000176951,1127903.930000000167638,1067834.619999999878928,989198.299999999930151,1068013.790000000037253,1008091.290000000037253,1043614.599999999976717,10546321.639999998733401
20121008,1021357.719999999972060,954813.140000000013970,1153080.719999999972060,1090779.050000000046566,1126551.879999999888241,1069219.000000000000000,986705.599999999976717,1067706.730000000214204,1002232.079999999958090,1045281.400000000023283,10517727.320000000298023
20121009,1011286.599999999976717,955760.170000000158325,1154721.560000000055879,1074385.940000000176951,1118980.400000000139698,1065296.590000000083819,981304.750000000000000,1064329.070000000065193,993303.760000000009313,1029863.500000000000000,10449232.339999999850988
20121010,1006598.319999999948777,951701.470000000204891,1159064.959999999962747,1053057.270000000018626,1129526.390000000130385,1052144.979999999981374,978812.049999999930151,1065557.310000000288710,994140.790000000037253,1047642.700000000069849,10438246.239999998360872
20121011,1015280.319999999948777,958330.680000000051223,1177500.280000000027940,1040189.560000000055879,1138449.920000000158325,1048684.030000000027940,985874.699999999953434,1061872.590000000083819,1007254.260000000009313,1041947.800000000046566,10475384.140000002458692
20121012,1005209.199999999953434,972130.260000000009313,1160223.200000000186265,1049884.410000000149012,1125470.239999999990687,1052606.439999999944121,980889.299999999930151,1055117.270000000018626,1002790.099999999860302,1053059.800000000279397,10457380.220000000670552
20121015,1000000.000000000000000,977541.860000000102445,1201726.800000000046566,1069097.840000000083819,1146021.400000000139698,1074987.250000000000000,992937.349999999860302,1071544.980000000214204,1009207.329999999958090,1071672.399999999906868,10614737.210000000894070
20121016,1018058.560000000055879,994182.530000000144355,1189372.239999999990687,1072799.510000000009313,1158189.850000000093132,1088369.590000000083819,1009970.799999999930151,1082292.080000000074506,1014787.529999999795109,1068338.799999999813735,10696361.489999998360872
20121017,1030907.919999999925494,996211.880000000004657,1205780.640000000130385,1082141.820000000065193,1171439.940000000176951,1093445.649999999906868,1013294.400000000023283,1095956.250000000000000,999720.989999999874271,1070005.600000000093132,10758905.089999999850988
20121018,1000347.280000000027940,1004735.150000000139698,1208000.600000000093132,1089368.889999999897555,1163057.229999999981374,1106597.260000000009313,1013294.400000000023283,1135259.930000000167638,1007533.269999999902211,1063477.300000000279397,10791671.310000000521541
20121019,987324.280000000027940,1001352.900000000139698,1193233.040000000037253,1090955.320000000065193,1144398.940000000176951,1085139.369999999878928,1001661.799999999930151,1128658.140000000130385,998604.949999999837019,1050420.700000000186265,10681749.440000001341105
20121022,985240.599999999976717,997158.910000000149012,1185028.840000000083819,1093599.370000000111759,1138179.510000000242144,1072449.219999999972060,981304.750000000000000,1136027.580000000074506,1013671.489999999874271,1050837.399999999906868,10653497.670000001788139
20121023,961625.560000000055879,985253.390000000013970,1148640.800000000046566,1088487.540000000037253,1117628.350000000093132,1058836.149999999906868,964271.300000000046566,1126662.250000000000000,987444.549999999930151,1038475.300000000046566,10477325.190000001341105
20121024,959020.959999999962747,983765.200000000069849,1156072.840000000083819,1080202.850000000093132,1127903.930000000167638,1058605.419999999925494,964686.749999999883585,1123591.650000000139698,989118.609999999986030,1039308.699999999953434,10482276.909999998286366
20121025,962667.399999999906868,967936.270000000135042,1155590.239999999990687,1066101.250000000000000,1126822.290000000037253,1068296.079999999841675,948484.199999999953434,1107317.470000000204891,985770.489999999874271,1046253.699999999953434,10435239.390000000596046
20121026,968050.239999999990687,962118.800000000046566,1152887.679999999934807,1058345.370000000111759,1113031.379999999888241,1064835.129999999888241,946822.399999999906868,1098719.790000000037253,981864.349999999860302,1043336.800000000046566,10390011.940000001341105
20121031,971870.319999999948777,953054.370000000111759,1181361.080000000074506,1081965.550000000046566,1127092.699999999953434,1052837.169999999925494,949315.100000000093132,1089200.930000000167638,982980.389999999781139,1042086.699999999953434,10431764.310000000521541
20121101,987150.640000000013970,957789.520000000135042,1205105.000000000000000,1097477.310000000055879,1158460.260000000242144,1059989.799999999813735,990444.650000000023283,1078300.300000000279397,990513.659999999916181,1020279.400000000023283,10545510.540000000968575
20121102,984719.680000000051223,947778.060000000055879,1189661.800000000046566,1093246.830000000074506,1147103.040000000037253,1061374.179999999934807,982135.650000000023283,1068934.970000000204891,973494.049999999930151,1010834.199999999953434,10459282.460000000894070
20121105,978642.280000000027940,952648.500000000000000,1197672.959999999962747,1099592.550000000046566,1143046.890000000130385,1053760.090000000083819,989613.750000000000000,1061104.940000000176951,950894.239999999874271,1015973.500000000000000,10442949.699999999254942
20121106,993054.399999999906868,974430.190000000060536,1218617.800000000046566,1103823.030000000027940,1159541.900000000139698,1059528.340000000083819,998338.200000000069849,1077379.120000000111759,946988.099999999860302,1024585.300000000046566,10556286.380000000819564
20121107,964924.719999999972060,948589.800000000046566,1138795.760000000009313,1092718.020000000018626,1094643.500000000000000,1025841.760000000009313,982966.549999999930151,1054963.739999999990687,933037.599999999860302,1015556.800000000046566,10252038.250000001862645
20121108,964751.080000000074506,960360.030000000144355,1112638.840000000083819,1072799.510000000009313,1092480.219999999972060,1011536.500000000000000,954300.499999999883585,1059416.110000000102445,914343.930000000051223,1006806.100000000093132,10149432.820000000298023
20121109,969439.359999999986030,991070.860000000102445,1121132.600000000093132,1074562.209999999962747,1098429.239999999990687,1016381.829999999841675,958870.449999999953434,1059109.050000000279397,911274.819999999832362,1004444.800000000046566,10204715.220000002533197
20121112,964056.520000000018626,997023.620000000111759,1131653.280000000027940,1078087.609999999869615,1097347.600000000093132,1015689.640000000013970,958455.000000000000000,1050664.900000000139698,914064.919999999809079,1006806.100000000093132,10213849.189999999478459
20121113,950512.599999999976717,992559.050000000046566,1124221.239999999990687,1117219.550000000046566,1082745.459999999962747,1007844.819999999948777,950146.000000000000000,1047594.300000000162981,907926.699999999837019,997499.800000000046566,10178269.519999999552965
20121114,931585.839999999967404,964554.020000000135042,1102697.280000000027940,1083551.979999999981374,1062464.709999999962747,993308.829999999841675,941006.099999999860302,1045137.819999999948777,900114.419999999809079,990554.800000000046566,10014975.800000000745058
20121115,931412.199999999953434,961171.770000000135042,1114279.679999999934807,1079674.040000000037253,1065168.810000000055879,987540.579999999841675,943498.800000000046566,1048976.070000000065193,899277.389999999781139,954579.699999999953434,9985579.039999999105930
20121116,942872.439999999944121,957518.940000000060536,1118140.479999999981374,1095009.530000000027940,1068954.550000000046566,993770.289999999920838,961778.599999999860302,1054042.560000000288710,897324.319999999832362,944995.600000000093132,10034407.309999998658895
20121119,959020.959999999962747,973618.450000000069849,1141884.399999999906868,1116338.199999999953434,1097618.010000000242144,1000000.000000000000000,1000415.449999999953434,1067706.730000000214204,910995.809999999823049,958746.699999999953434,10226344.709999999031425
20121120,969960.280000000027940,981465.270000000135042,1139857.479999999981374,1124975.429999999934807,1100592.520000000251457,1005076.059999999939464,992937.349999999860302,1069242.030000000027940,912948.879999999888241,958468.900000000023283,10255524.200000001117587
