訓練日期,20120305 - 20120605
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10105037.580000001937151
真實報酬,105037.580000001937151

夏普值報酬,0.001803758000000
夏普值風險,0.014082694643581
夏普值,0.128083299798194

預期報酬,6412.729893236533826
風險,175102.153869137109723
趨勢值,0.036622792761471
找到最佳解世代,100
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AAPL[0](9),AXP[1](5),DIS[6](4),DD[7](26),KO[14](1),MMM[16](18),NKE[19](16),PFE[20](3),PG[21](19),TRV[22](2),UNH[23](12),VZ[26](6),WMT[28](8),
Stock#,AAPL[0](9),AXP[1](5),DIS[6](4),DD[7](26),KO[14](1),MMM[16](18),NKE[19](16),PFE[20](3),PG[21](19),TRV[22](2),UNH[23](12),VZ[26](6),WMT[28](8),
張數,9877,14516,18159,15795,22238,8789,28290,35928,11537,13260,13775,19892,13035,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,9.239999999990687,27.159999999916181,14.760000000009313,13.500000000000000,17.579999999958090,16.720000000088476,24.899999999906868,11.520000000018626,58.209999999962747,17.400000000023283,34.000000000000000,6.359999999986030,34.650000000023283,
20120305,752340.329999999958090,768939.679999999934807,775404.060000000055879,757857.599999999976717,769897.139999999897555,765187.060000000055879,772624.799999999813735,772463.520000000018626,772460.359999999986030,775727.400000000023283,758210.000000000000000,775794.359999999986030,774313.650000000023283,9991229.959999999031425
20120306,748191.989999999990687,751085.000000000000000,762692.760000000009313,731006.099999999976717,764560.020000000018626,746642.270000000135042,759328.499999999883585,764200.079999999958090,771191.290000000037253,755704.800000000046566,750220.500000000000000,769627.839999999967404,768708.599999999976717,9843169.750000000000000
20120307,748784.609999999986030,758778.479999999981374,758153.010000000009313,745063.650000000023283,765004.779999999911524,751212.550000000046566,761025.899999999906868,767792.880000000004657,768191.669999999925494,754113.599999999976717,749256.250000000000000,773208.399999999906868,780309.750000000000000,9880905.529999997466803
20120308,764785.350000000093132,768649.359999999986030,763055.940000000060536,761648.400000000023283,770341.900000000023283,762110.910000000032596,763289.099999999976717,771026.400000000023283,771883.510000000009313,757163.400000000023283,766061.750000000000000,780170.599999999976717,779136.600000000093132,9979333.219999998807907
20120309,769230.000000000000000,772278.359999999986030,767050.920000000041910,766071.000000000000000,773010.459999999962747,762901.920000000041910,777999.899999999906868,771744.960000000079162,772229.619999999995343,763926.000000000000000,768403.500000000000000,777783.560000000055879,783177.449999999953434,10025817.650000000372529
20120312,778909.459999999962747,766036.479999999981374,768866.820000000065193,755962.199999999953434,780126.619999999878928,769405.780000000144355,774039.299999999930151,773900.640000000013970,781228.479999999864958,763926.000000000000000,757934.500000000000000,782159.800000000046566,790998.450000000069849,10043504.529999999329448
20120313,801626.559999999939464,787520.159999999916181,799192.349999999976717,778233.150000000023283,781238.520000000018626,780040.470000000088476,783375.000000000000000,790786.800000000046566,783420.510000000009313,774534.000000000000000,762204.750000000000000,785342.519999999902211,795169.650000000023283,10202694.439999999478459
20120314,831948.950000000069849,815100.559999999939464,789568.079999999958090,774916.200000000069849,780793.759999999892898,781095.150000000139698,780263.099999999860302,787912.560000000055879,782843.659999999916181,781694.400000000023283,768403.500000000000000,785143.599999999976717,796212.449999999953434,10255905.969999998807907
20120315,826220.290000000037253,823374.679999999934807,789386.489999999990687,787236.300000000046566,782128.040000000037253,791026.720000000088476,783092.099999999860302,787194.000000000000000,780882.369999999995343,783418.199999999953434,767439.250000000000000,786536.039999999920838,798167.699999999953434,10286112.179999997839332
20120316,826220.290000000037253,820906.959999999846332,784301.969999999972060,794028.150000000023283,780126.619999999878928,787159.560000000055879,786769.799999999813735,788271.840000000083819,775921.459999999962747,785009.400000000023283,765786.250000000000000,787132.800000000046566,793084.050000000046566,10274729.150000000372529
20120319,848147.229999999981374,831358.479999999981374,788841.719999999972060,797187.150000000023283,782795.180000000051223,788741.580000000074506,792993.599999999976717,786116.160000000032596,775459.979999999864958,783948.599999999976717,773224.750000000000000,788724.159999999916181,791780.550000000046566,10329329.140000000596046
20120320,855061.129999999888241,826132.719999999855645,785209.920000000041910,794028.150000000023283,785018.979999999864958,785313.869999999995343,790447.500000000000000,783241.920000000041910,775459.979999999864958,784479.000000000000000,754628.500000000000000,788326.320000000065193,789955.650000000023283,10297313.639999998733401
20120321,850122.629999999888241,828164.959999999846332,785754.690000000060536,788184.000000000000000,790800.859999999986030,781446.710000000079162,781111.799999999930151,782164.079999999958090,775344.609999999986030,775860.000000000000000,743470.750000000000000,791310.119999999995343,789434.250000000000000,10263179.459999999031425
20120322,845677.979999999981374,831648.799999999930151,786117.869999999995343,775390.050000000046566,794136.559999999939464,778458.450000000069849,785072.399999999906868,780726.960000000079162,779036.449999999953434,768699.599999999976717,742231.000000000000000,788923.079999999958090,790607.400000000023283,10246736.599999999627471
20120323,841035.790000000037253,831068.159999999916181,792655.109999999986030,787710.149999999906868,794803.699999999953434,777491.660000000032596,759894.299999999930151,783960.479999999981374,777998.119999999995343,771749.400000000023283,739200.500000000000000,784149.000000000000000,791910.900000000023283,10233637.270000001415610
20120326,856443.909999999916181,851535.719999999855645,805911.180000000051223,802557.450000000069849,799473.680000000051223,783292.400000000139698,767815.499999999883585,796176.000000000000000,778344.229999999864958,780368.400000000023283,759036.500000000000000,782358.719999999972060,797776.650000000023283,10361100.340000001713634
20120327,867012.300000000046566,845148.679999999934807,801734.609999999986030,790869.150000000023283,799251.299999999930151,783468.180000000051223,763006.199999999837019,808391.520000000018626,774767.760000000009313,775462.199999999953434,763582.250000000000000,769031.079999999958090,796342.800000000046566,10338078.029999999329448
