訓練日期,20190610 - 20190910
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10618019.500000000000000
真實報酬,618019.500000000000000

夏普值報酬,0.053101950000000
夏普值風險,0.018751778763404
夏普值,2.831835351195274

預期報酬,9202.742196338012945
風險,216347.020337932743132
趨勢值,0.042536949119814
找到最佳解世代,98
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
AXP[1](13),BA[2](23),DIS[6](17),HD[9](4),IBM[10](12),INTC[11](11),KO[14](5),MCD[15](2),MSFT[18](7),NKE[19](15),PG[21](1),WMT[28](8),
Stock#,AXP[1](13),BA[2](23),DIS[6](17),HD[9](4),IBM[10](12),INTC[11](11),KO[14](5),MCD[15](2),MSFT[18](7),NKE[19](15),PG[21](1),WMT[28](8),
張數,6880,2356,6036,4223,6251,18104,16184,4055,6341,9990,7661,7857,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,96.199999999953434,15.800000000046566,123.560000000055879,135.099999999976717,12.189999999944121,5.880000000004657,18.839999999967404,111.600000000093132,125.599999999976717,67.099999999976717,46.030000000027940,19.579999999958090,
20190610,843996.999999999883585,833568.600000000093132,827478.079999999958090,836500.250000000000000,842271.930000000051223,847273.079999999958090,831552.760000000009313,816383.100000000093132,840942.199999999953434,825041.299999999930151,832949.950000000069849,844804.219999999972060,10022766.470000000670552
20190611,847918.599999999976717,823037.280000000027940,815466.440000000176951,836331.329999999958090,849835.639999999897555,848178.280000000027940,830743.559999999939464,824330.900000000023283,837771.699999999953434,831834.500000000000000,838006.209999999962747,848104.159999999916181,10031562.600000001490116
20190612,839662.599999999976717,817618.479999999981374,819329.480000000097789,840258.719999999972060,843084.559999999939464,838583.160000000032596,835760.599999999976717,831102.750000000116415,833903.690000000060536,825540.799999999930151,840304.510000000125729,855018.319999999948777,10020171.669999999925494
20190613,838493.000000000000000,821929.960000000079162,855666.200000000069849,854659.149999999906868,848647.949999999837019,845462.680000000051223,827506.760000000009313,829318.550000000162981,839166.719999999972060,835331.000000000000000,849727.540000000037253,853682.630000000004657,10099596.139999998733401
20190614,839456.199999999953434,817924.760000000125729,855122.960000000079162,869101.810000000055879,844834.839999999967404,836229.640000000013970,830419.880000000004657,832562.550000000046566,839991.049999999930151,833632.699999999953434,851949.230000000097789,856982.569999999948777,10108212.189999999478459
20190617,835672.199999999953434,836160.199999999953434,851018.480000000097789,874211.639999999897555,843584.639999999897555,835143.400000000023283,823298.919999999925494,826561.150000000139698,842527.449999999953434,820346.000000000000000,850340.420000000041910,857689.699999999953434,10096558.199999999254942
20190618,849294.599999999976717,881065.560000000055879,840576.200000000069849,876323.139999999897555,852523.569999999948777,857592.359999999986030,819576.599999999976717,829399.650000000023283,857175.159999999916181,842224.099999999976717,839691.630000000004657,861539.630000000004657,10206986.200000002980232
20190619,857894.599999999976717,868343.160000000032596,850716.679999999934807,878265.719999999972060,856899.270000000018626,852161.160000000032596,827344.919999999925494,829561.850000000093132,860535.890000000013970,834731.599999999976717,845973.650000000023283,861303.920000000041910,10223736.419999999925494
20190620,859545.799999999930151,883233.080000000074506,857356.280000000144355,892243.849999999976717,867963.539999999920838,854333.640000000013970,836084.279999999911524,831873.200000000069849,868525.549999999930151,851614.699999999953434,856086.170000000041910,866803.819999999948777,10325667.910000000149012
20190621,858238.599999999976717,876070.839999999967404,846551.839999999967404,884389.069999999948777,870151.389999999897555,859221.719999999972060,834304.039999999920838,828385.900000000023283,868652.369999999995343,856709.599999999976717,851949.230000000097789,873167.989999999874271,10307796.589999999850988
20190624,854179.399999999906868,881136.240000000107102,840455.480000000097789,867961.599999999976717,871089.039999999920838,862299.400000000023283,840292.119999999995343,827007.200000000069849,873788.579999999958090,844222.099999999976717,860606.160000000032596,874032.259999999892898,10297073.580000000074506
20190625,847436.999999999883585,870133.720000000088476,844801.400000000023283,864752.119999999995343,864900.550000000046566,848178.280000000027940,837702.679999999934807,834265.650000000139698,846205.229999999981374,825440.900000000023283,855932.950000000069849,869946.619999999995343,10209701.099999999627471
20190626,850395.400000000023283,883374.440000000060536,847577.960000000079162,871846.759999999892898,865900.709999999962747,872437.640000000013970,827344.919999999925494,829561.850000000093132,849375.729999999981374,824741.599999999976717,840687.560000000055879,865546.699999999953434,10228795.269999999552965
20190627,852803.399999999906868,857646.920000000041910,840938.360000000102445,874380.560000000055879,865900.709999999962747,859221.719999999972060,826697.559999999939464,836536.450000000186265,850770.750000000000000,835830.500000000000000,841070.609999999986030,865075.279999999911524,10206876.819999998435378
20190628,849363.399999999906868,857623.359999999986030,842990.599999999976717,878392.409999999916181,862025.089999999967404,866644.359999999986030,824108.119999999995343,842172.900000000023283,849565.960000000079162,838727.599999999976717,840074.680000000051223,868139.509999999892898,10219831.990000000223517
