訓練日期,20160727 - 20161026
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10277259.029999999329448
真實報酬,277259.029999999329448

夏普值報酬,0.019025903000000
夏普值風險,0.009716753360161
夏普值,1.958051449366490

預期報酬,5584.380294453630995
風險,71797.716495796019444
趨勢值,0.077779357993657
找到最佳解世代,100
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](3),CAT[3](9),DD[7](11),GS[8](4),IBM[10](19),INTC[11](7),JPM[13](1),KO[14](23),MSFT[18](8),TRV[22](18),V[25](2),
Stock#,AAPL[0](3),CAT[3](9),DD[7](11),GS[8](4),IBM[10](19),INTC[11](7),JPM[13](1),KO[14](23),MSFT[18](8),TRV[22](18),V[25](2),
張數,9404,10985,11922,5640,5607,25907,14175,20256,16016,7727,11582,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,5.319999999948777,81.250000000000000,37.500000000000000,147.599999999976717,83.160000000032596,13.369999999878928,47.250000000116415,0.719999999972060,21.840000000083819,8.449999999953434,18.820000000065193,
20160727,968147.119999999995343,923919.749999999883585,910520.640000000013970,908131.200000000069849,907463.970000000088476,902354.179999999818392,911925.000000000116415,879111.119999999995343,899960.880000000004657,899663.060000000055879,909553.280000000027940,10020760.199999999254942
20160728,981218.679999999934807,910957.450000000069849,911235.960000000079162,905536.799999999930151,904884.750000000000000,900799.760000000009313,908664.750000000000000,884175.119999999995343,900281.200000000069849,908780.919999999925494,917197.400000000023283,10033742.790000000968575
20160729,979996.159999999916181,909199.850000000093132,911235.960000000079162,895836.000000000000000,900679.500000000000000,903131.389999999897555,906822.000000000116415,883770.000000000000000,907808.720000000088476,898040.389999999897555,903993.920000000041910,10000523.890000000596046
20160801,997299.519999999902211,900302.000000000000000,910878.300000000046566,892282.800000000046566,905333.309999999939464,902872.319999999948777,904412.250000000116415,880123.920000000041910,906207.120000000111759,902599.319999999948777,906426.140000000130385,10008747.000000000000000
20160802,982535.239999999990687,892502.649999999906868,902056.019999999902211,880326.000000000000000,900455.220000000088476,895359.289999999920838,902286.000000000116415,881744.400000000023283,906207.120000000111759,904299.260000000009313,906657.780000000027940,9954438.980000000447035
20160803,994854.479999999981374,901180.800000000046566,907182.480000000097789,893185.199999999953434,900959.849999999976717,887328.119999999878928,916602.750000000116415,883972.559999999939464,912453.360000000102445,911639.910000000032596,911638.040000000037253,10021007.550000000745058
20160804,995606.800000000046566,898324.699999999953434,908136.239999999990687,891549.600000000093132,905894.010000000125729,895877.429999999818392,915185.250000000116415,881339.279999999911524,919180.080000000074506,910867.209999999962747,920556.180000000167638,10042526.780000001192093
20160805,1010747.239999999990687,907002.849999999976717,910759.079999999958090,914335.199999999953434,916827.660000000032596,906240.229999999748543,939849.750000000116415,880731.599999999860302,928309.200000000069849,916276.109999999986030,928200.300000000046566,10159289.220000000670552
20160808,1019116.800000000046566,916669.650000000023283,910043.760000000009313,918508.800000000046566,908641.439999999944121,907794.649999999906868,937014.750000000000000,879921.359999999869615,929910.800000000162981,912953.500000000000000,925999.720000000088476,10166585.229999998584390
20160809,1023254.559999999939464,909968.799999999930151,906467.160000000032596,921949.199999999953434,907127.550000000046566,904685.809999999939464,933754.500000000232831,880529.039999999920838,932153.040000000153668,913185.310000000055879,927273.740000000107102,10160358.709999999031425
20160810,1015637.319999999948777,907991.500000000116415,907540.140000000013970,914899.199999999953434,908865.720000000088476,894582.079999999958090,925391.250000000116415,883364.880000000004657,929270.160000000149012,913571.660000000032596,922872.580000000190921,10123996.490000000223517
20160811,1014979.040000000037253,914472.649999999906868,910759.079999999958090,924318.000000000000000,916995.869999999995343,898468.129999999888241,927942.750000000000000,886200.719999999972060,933754.640000000013970,916430.649999999906868,927968.660000000149012,10172300.189999999478459
20160812,1017330.040000000037253,911836.250000000000000,888464.939999999944121,920877.599999999976717,908136.809999999939464,895618.359999999869615,925958.250000000000000,891872.400000000023283,927988.880000000004657,915735.219999999972060,926810.459999999962747,10130639.210000000894070
20160815,1029555.239999999990687,924469.000000000116415,896333.460000000079162,933849.600000000093132,907744.320000000065193,904426.739999999757856,931628.250000000116415,896126.160000000032596,930871.760000000009313,914498.899999999906868,937118.440000000060536,10206631.869999999180436
20160816,1028614.839999999850988,926006.900000000023283,889061.039999999920838,934413.599999999976717,901128.059999999939464,912198.839999999850988,931486.500000000000000,887821.199999999953434,919980.880000000004657,903912.910000000032596,935960.240000000107102,10170595.009999999776483
20160817,1027110.199999999953434,927325.099999999976717,893710.619999999878928,934526.399999999906868,899670.239999999990687,907276.510000000009313,934038.000000000116415,892480.080000000074506,921902.800000000162981,907312.789999999920838,936307.700000000069849,10181670.439999997615814
20160818,1025793.639999999897555,916010.549999999930151,903725.099999999976717,936726.000000000000000,904828.680000000051223,905981.159999999799766,934888.500000000116415,893290.319999999948777,922543.440000000060536,910403.589999999850988,929705.959999999962747,10183906.940000001341105
20160819,1028426.759999999892898,921063.650000000023283,906944.039999999920838,937684.799999999930151,897427.439999999944121,912976.049999999930151,933612.750000000116415,889644.239999999990687,922863.760000000009313,907699.139999999897555,932022.360000000102445,10190374.989999998360872
