訓練日期,20160627 - 20160927
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10995295.580000001937151
真實報酬,995295.580000001937151

夏普值報酬,0.090829558000000
夏普值風險,0.025445527771465
夏普值,3.569568641522063

預期報酬,20953.558769017257873
風險,246884.691227632254595
趨勢值,0.084871843064978
找到最佳解世代,69
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AAPL[0](2),BA[2](17),CSCO[4](6),GS[8](7),IBM[10](13),INTC[11](4),MMM[16](12),MRK[17](8),MSFT[18](9),PG[21](5),TRV[22](16),V[25](1),WBA[27](24),
Stock#,AAPL[0](2),BA[2](17),CSCO[4](6),GS[8](7),IBM[10](13),INTC[11](4),MMM[16](12),MRK[17](8),MSFT[18](9),PG[21](5),TRV[22](16),V[25](1),WBA[27](24),
張數,8235,6079,27720,5422,5247,24381,4548,13765,15437,9351,6928,10249,9406,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,81.000000000000000,114.920000000041910,0.000000000000000,65.079999999958090,72.270000000018626,9.449999999953434,72.239999999990687,41.799999999930151,4.290000000037253,16.739999999990687,83.440000000060536,42.550000000046566,7.319999999948777,
20160627,758030.400000000023283,746008.220000000088476,757033.199999999953434,756488.299999999930151,753016.770000000018626,748993.769999999902211,760452.359999999986030,761383.949999999953434,747618.200000000069849,759598.469999999972060,764588.239999999990687,751704.210000000079162,746749.659999999916181,9811675.750000001862645
20160628,770794.650000000023283,753242.230000000097789,770338.799999999930151,772212.099999999976717,764560.169999999925494,760452.839999999967404,771367.560000000055879,765100.499999999883585,763209.569999999948777,771100.199999999953434,790776.080000000074506,770357.390000000013970,751358.599999999860302,9974880.689999999478459
20160629,777465.000000000000000,772087.130000000004657,783367.200000000069849,788966.079999999958090,779041.890000000013970,778494.779999999911524,780145.200000000069849,785335.049999999930151,780190.270000000018626,784659.149999999906868,809343.120000000111759,786550.809999999939464,782492.459999999962747,10188148.140000000596046
20160630,787347.000000000000000,789594.650000000023283,795286.800000000046566,805665.840000000083819,796461.930000000051223,799706.249999999883585,796518.000000000000000,793043.449999999953434,789915.580000000074506,791765.910000000032596,824792.560000000055879,760210.880000000121072,783244.939999999944121,10313563.790000000968575
20160701,789735.150000000023283,788500.430000000051223,798336.000000000000000,803876.579999999958090,799452.719999999972060,798487.199999999953434,798428.159999999916181,797585.899999999906868,789761.209999999962747,792794.520000000018626,823476.239999999990687,763388.070000000065193,781269.679999999934807,10325101.860000001266599
20160705,782323.649999999906868,771965.550000000046566,785307.599999999976717,783272.979999999864958,795937.230000000097789,796780.529999999911524,798837.479999999981374,798411.799999999930151,789915.580000000074506,798966.179999999934807,822298.480000000097789,765335.380000000121072,785596.439999999944121,10274958.879999998956919
20160706,786770.550000000046566,771904.760000000009313,796118.400000000023283,789399.840000000083819,799557.660000000032596,803851.019999999902211,796699.919999999925494,814379.199999999837019,793157.350000000093132,795132.270000000018626,822852.720000000088476,759083.490000000107102,767066.619999999878928,10295983.799999998882413
20160707,790146.900000000023283,773181.350000000093132,796672.799999999930151,797099.079999999958090,800764.469999999972060,809458.650000000023283,795381.000000000000000,809148.500000000000000,793157.350000000093132,793262.069999999948777,814192.720000000088476,759083.490000000107102,757190.319999999948777,10288748.700000001117587
20160708,796240.800000000046566,790932.030000000027940,811087.200000000069849,815425.439999999944121,810523.890000000013970,828963.449999999953434,805614.000000000000000,816994.549999999930151,807359.390000000013970,802052.010000000009313,818141.680000000051223,783271.130000000121072,769418.119999999878928,10456033.689999999478459
20160711,798711.300000000046566,802786.079999999958090,815799.599999999976717,825239.259999999892898,815088.780000000027940,838228.229999999981374,809661.719999999972060,816856.900000000023283,811836.120000000111759,801864.989999999990687,818418.800000000046566,784296.030000000027940,771393.380000000004657,10510191.190000001341105
20160712,802334.700000000069849,795308.910000000032596,820789.199999999953434,850885.319999999832362,824061.150000000023283,851881.589999999850988,814891.919999999925494,820435.799999999930151,821407.060000000055879,801864.989999999990687,818210.960000000079162,794135.070000000065193,763962.639999999897555,10580179.310000000521541
