訓練日期,20181019 - 20190124
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10190772.779999997466803
真實報酬,190772.779999997466803

夏普值報酬,0.010377278000000
夏普值風險,0.029506059979702
夏普值,0.351699888332725

預期報酬,2661.627269631132094
風險,340065.168645080295391
趨勢值,0.007826815313770
找到最佳解世代,46
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
HD[9](15),JNJ[12](21),JPM[13](22),KO[14](5),MCD[15](2),NKE[19](7),PG[21](1),TRV[22](12),V[25](11),VZ[26](6),WBA[27](20),
Stock#,HD[9](15),JNJ[12](21),JPM[13](22),KO[14](5),MCD[15](2),NKE[19](7),PG[21](1),TRV[22](12),V[25](11),VZ[26](6),WBA[27](20),
張數,5038,6516,8410,19931,5449,12025,11329,7264,6526,16634,11871,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,33.280000000027940,108.000000000000000,53.099999999976717,37.089999999967404,142.309999999939464,0.000000000116415,51.040000000037253,73.040000000037253,83.460000000079162,41.900000000023283,8.820000000065193,
20181019,906117.579999999958090,906157.800000000046566,907576.199999999953434,923440.319999999948777,912795.319999999948777,892375.250000000000000,989072.739999999990687,915845.520000000018626,914245.540000000153668,913248.500000000000000,918230.670000000041910,10099115.439999999478459
20181022,900575.780000000027940,903746.880000000004657,894540.699999999953434,916265.159999999916181,908109.179999999934807,900672.500000000232831,981142.439999999944121,901317.520000000018626,917900.099999999976717,914579.219999999972060,921791.970000000088476,10060651.450000001117587
20181023,899467.420000000041910,905375.880000000004657,885205.599999999976717,924038.250000000000000,965432.659999999916181,882033.750000000000000,987486.680000000051223,899356.239999999990687,907980.580000000074506,951673.040000000037253,917162.280000000144355,10125222.379999998956919
20181024,891608.140000000013970,895862.520000000018626,868722.000000000000000,931412.719999999855645,966522.459999999962747,867243.000000000116415,1013543.380000000004657,883084.880000000004657,876264.219999999972060,955166.180000000051223,880837.020000000135042,10030276.519999999552965
20181025,902187.939999999944121,902378.520000000018626,881925.699999999953434,927027.899999999906868,955406.500000000000000,879027.500000000000000,1008332.040000000037253,880760.400000000023283,917116.980000000097789,938698.520000000018626,899118.359999999986030,10091990.360000001266599
20181026,867728.020000000018626,892604.520000000018626,869815.300000000046566,915268.609999999986030,944671.969999999972060,866641.750000000000000,995416.979999999981374,881123.600000000093132,898974.700000000186265,923395.239999999990687,904935.150000000139698,9960585.839999999850988
20181029,872614.880000000004657,896383.800000000046566,881841.599999999976717,926031.349999999976717,944072.579999999841675,868084.750000000116415,999722.000000000000000,888605.520000000018626,876721.040000000153668,939530.219999999972060,911939.040000000037253,10005556.780000001192093
