訓練日期,20171213 - 20180319
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10541143.540000000968575
真實報酬,541143.540000000968575

夏普值報酬,0.045414354000000
夏普值風險,0.027165276460598
夏普值,1.671779562629188

預期報酬,14557.256266908661928
風險,269126.947049573587719
趨勢值,0.054090667718336
找到最佳解世代,93
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
BA[2](3),CSCO[4](1),DIS[6](20),HD[9](13),INTC[11](7),JPM[13](4),MMM[16](17),NKE[19](6),TRV[22](9),UNH[23](12),UTX[24](8),
Stock#,BA[2](3),CSCO[4](1),DIS[6](20),HD[9](13),INTC[11](7),JPM[13](4),MMM[16](17),NKE[19](6),TRV[22](9),UNH[23](12),UTX[24](8),
張數,3135,23980,8462,5000,20980,8508,3842,14622,6766,4085,7362,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,128.099999999976717,8.200000000069849,17.339999999967404,90.000000000000000,26.600000000093132,10.200000000069849,149.639999999897555,40.260000000009313,77.900000000023283,218.349999999976717,30.239999999990687,
20171213,915046.499999999883585,914845.200000000069849,910613.159999999916181,915240.000000000000000,909299.800000000162981,897689.280000000144355,918810.259999999892898,940234.859999999986030,903744.859999999986030,916688.099999999976717,915126.839999999967404,10057348.860000001266599
20171214,921441.899999999906868,908850.200000000069849,935660.679999999934807,910740.000000000000000,907621.400000000023283,890457.480000000097789,914853.000000000000000,943597.920000000041910,897114.180000000051223,904024.599999999976717,911151.359999999986030,10045522.720000000670552
20171215,921630.000000000000000,915804.400000000023283,941584.079999999958090,912990.000000000116415,934895.400000000139698,903049.320000000065193,914545.639999999897555,947399.640000000130385,912743.639999999897555,906353.049999999930151,928893.780000000027940,10139898.949999999254942
20171218,928526.999999999883585,922758.599999999976717,939553.199999999953434,923740.000000000000000,970561.400000000023283,910025.880000000004657,916159.279999999795109,947692.080000000074506,914908.760000000125729,909825.299999999930151,932869.259999999892898,10216630.759999999776483
20171219,932006.849999999976717,918442.199999999953434,946153.559999999939464,929990.000000000000000,986925.800000000046566,906197.280000000144355,916044.019999999902211,939357.539999999920838,917141.539999999920838,907251.750000000000000,933384.599999999976717,10232905.139999998733401
20171220,934044.599999999860302,928993.400000000139698,928214.119999999995343,936640.000000000000000,997835.400000000139698,903049.320000000065193,910396.279999999795109,929853.240000000107102,915247.059999999939464,908640.649999999906868,935004.239999999990687,10227928.310000000521541
20171221,925047.149999999906868,923957.600000000093132,927198.679999999934807,940490.000000000116415,981051.400000000023283,917427.840000000083819,902174.399999999906868,947107.199999999953434,909698.940000000060536,905822.000000000000000,937286.459999999962747,10217271.670000001788139
20171222,925266.600000000093132,924437.199999999953434,919582.880000000004657,940740.000000000000000,979792.600000000209548,914194.800000000046566,901982.299999999813735,925466.640000000013970,909360.639999999897555,898918.349999999976717,936697.500000000000000,10176449.509999999776483
20171226,926081.700000000069849,922758.599999999976717,914928.780000000027940,951890.000000000116415,966785.000000000000000,910536.359999999986030,904748.539999999804422,930730.559999999939464,911999.380000000004657,897284.349999999976717,936034.920000000041910,10173788.189999999478459
20171227,926896.800000000046566,924677.000000000116415,910867.020000000018626,951040.000000000000000,967414.400000000023283,912237.960000000079162,907630.039999999804422,920495.160000000032596,911931.720000000088476,900634.049999999930151,939274.199999999953434,10173108.349999999627471
20171228,929185.350000000093132,925396.400000000139698,911967.079999999958090,948990.000000000000000,969722.200000000069849,917087.520000000135042,905785.879999999888241,920495.160000000032596,917953.459999999962747,910233.800000000046566,943249.680000000051223,10200076.530000001192093
20171229,924670.950000000069849,918442.199999999953434,909766.959999999962747,947740.000000000000000,968463.400000000023283,909855.720000000088476,904441.179999999934807,914646.359999999986030,917818.139999999897555,900797.449999999953434,939200.579999999958090,10155852.939999999478459
20180102,930721.499999999883585,931871.000000000000000,946068.939999999944121,940240.000000000000000,982939.600000000093132,918448.800000000046566,905478.519999999902211,928391.040000000037253,893054.579999999958090,903656.949999999953434,943544.159999999916181,10224425.089999999850988
20180103,933731.099999999976717,939304.800000000162981,950130.699999999953434,945140.000000000000000,949581.400000000023283,919384.680000000051223,905440.099999999860302,928244.819999999948777,895896.300000000046566,913134.149999999906868,957384.719999999972060,10237382.769999999552965
20180104,930188.550000000046566,934988.400000000139698,949707.599999999976717,952640.000000000000000,932168.000000000116415,927722.520000000135042,917273.459999999962747,927659.939999999944121,895896.300000000046566,917096.599999999976717,960403.139999999897555,10245754.510000001639128
20180105,968341.499999999883585,947937.600000000093132,944545.780000000027940,962590.000000000000000,938671.800000000162981,921766.920000000041910,924419.579999999841675,935555.819999999948777,894272.459999999962747,934580.399999999906868,968648.579999999958090,10341340.440000001341105
20180108,972448.349999999860302,957769.400000000023283,931006.579999999958090,960290.000000000000000,938671.800000000162981,923128.200000000069849,921422.819999999832362,943890.359999999986030,889468.599999999976717,918362.949999999953434,977851.079999999958090,10334320.140000000596046
20180109,998406.150000000023283,951774.400000000023283,930329.619999999995343,965590.000000000000000,915174.200000000069849,927807.600000000093132,927147.399999999906868,937164.240000000107102,896369.920000000041910,922938.149999999906868,988525.980000000097789,10361237.660000002011657
20180110,1004143.199999999953434,957050.000000000000000,926352.479999999981374,959090.000000000000000,891676.600000000093132,938017.200000000069849,926609.519999999902211,939065.099999999976717,893934.160000000149012,916075.349999999976717,993164.040000000037253,10345187.649999998509884
20180111,1028784.300000000046566,961606.200000000069849,939214.719999999972060,973490.000000000000000,910768.400000000023283,943036.920000000041910,931104.659999999916181,940088.640000000130385,895490.340000000083819,920936.499999999883585,993826.620000000111759,10438357.300000000745058
20180112,1054146.449999999720603,980070.800000000046566,951738.479999999981374,982189.999999999883585,907201.800000000162981,958606.560000000055879,939403.379999999888241,945645.000000000000000,911661.079999999958090,934212.749999999883585,1005532.200000000069849,10570418.499999998137355
20180116,1050854.700000000186265,972157.400000000023283,936676.119999999995343,981640.000000000000000,905103.800000000162981,955203.359999999986030,940440.719999999972060,927367.500000000000000,917006.220000000088476,951614.849999999976717,986317.380000000004657,10524392.050000000745058
20180117,1100544.449999999720603,987984.200000000186265,947507.479999999981374,999190.000000000000000,931328.800000000162981,961329.119999999995343,953388.259999999892898,933070.080000000074506,926072.660000000149012,974204.900000000023283,989630.279999999911524,10704260.230000000447035
20180118,1066529.700000000186265,990382.199999999953434,934391.380000000004657,991740.000000000116415,933217.000000000000000,963626.280000000144355,944935.859999999869615,937456.680000000051223,929320.340000000083819,993526.949999999953434,991029.060000000055879,10676165.449999999254942
