訓練日期,20120911 - 20121213
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10405310.589999999850988
真實報酬,405310.589999999850988

夏普值報酬,0.031831059000000
夏普值風險,0.013621856018661
夏普值,2.336763724149837

預期報酬,5133.487911493081810
風險,165561.851232055429136
趨勢值,0.031006466002231
找到最佳解世代,31
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
BA[2](6),GS[8](8),JNJ[12](4),JPM[13](5),KO[14](16),MCD[15](23),MMM[16](12),NKE[19](25),TRV[22](3),UTX[24](14),V[25](1),VZ[26](13),
Stock#,BA[2](6),GS[8](8),JNJ[12](4),JPM[13](5),KO[14](16),MCD[15](23),MMM[16](12),NKE[19](25),TRV[22](3),UTX[24](14),V[25](1),VZ[26](13),
張數,11723,7266,12222,21499,22127,9127,9190,33319,12759,10600,25904,18913,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,62.160000000032596,68.119999999995343,37.039999999920838,31.760000000009313,30.180000000051223,37.900000000023283,75.699999999953434,24.809999999939464,42.709999999962747,67.000000000000000,1.319999999948777,26.219999999972060,
20120911,835560.369999999995343,847937.660000000032596,833577.439999999944121,851392.160000000032596,835766.970000000088476,832420.300000000046566,837928.000000000000000,830334.290000000037253,854257.760000000009313,834923.000000000000000,851465.799999999930151,836737.339999999967404,10082305.089999999850988
20120912,831926.239999999990687,859199.959999999962747,832966.339999999967404,858271.840000000083819,830899.030000000027940,828952.039999999920838,834619.599999999976717,839996.799999999930151,861785.570000000065193,835665.000000000000000,864417.799999999930151,849030.790000000037253,10127735.010000001639128
20120913,839194.500000000000000,876856.339999999967404,843232.819999999832362,890090.359999999986030,848600.630000000121072,835797.289999999920838,846107.099999999976717,826336.010000000009313,873396.260000000009313,853685.000000000000000,874002.280000000027940,862080.759999999892898,10269383.349999997764826
20120914,835677.600000000093132,881869.880000000004657,836877.379999999888241,893745.190000000060536,843511.420000000041910,836983.800000000046566,863751.900000000023283,805011.849999999976717,875054.929999999934807,874037.000000000000000,869339.560000000055879,842222.109999999986030,10258086.619999999180436
20120917,819734.320000000065193,871261.520000000018626,834188.539999999920838,885575.569999999948777,848600.630000000121072,840999.680000000051223,861913.899999999906868,816007.119999999878928,873779.030000000027940,870857.000000000116415,867008.199999999953434,843167.759999999892898,10233097.269999999552965
20120918,825947.510000000009313,871116.199999999953434,837855.139999999897555,887080.500000000000000,854574.920000000041910,849579.060000000055879,858697.400000000023283,814007.979999999981374,873523.849999999860302,863755.000000000000000,865713.000000000000000,849409.049999999930151,10251263.610000001266599
20120919,819499.860000000102445,864867.439999999944121,838466.239999999874271,888800.420000000041910,852362.220000000088476,847297.310000000055879,860535.399999999906868,813674.790000000037253,870589.280000000027940,866299.000000000000000,872966.119999999995343,856217.729999999981374,10251579.810000000521541
20120920,818913.709999999962747,854767.699999999953434,842132.839999999967404,886865.510000000009313,855017.460000000079162,850217.950000000069849,860075.899999999906868,805678.229999999981374,873396.260000000009313,857819.000000000000000,871670.919999999925494,860378.589999999967404,10236938.070000000298023
20120921,820320.469999999972060,848155.640000000013970,844088.359999999986030,878910.880000000121072,841519.990000000107102,855329.069999999948777,856675.599999999860302,804012.279999999911524,875437.699999999953434,856017.000000000000000,874261.319999999948777,863215.540000000037253,10217947.850000001490116
20120924,821023.850000000093132,847283.719999999972060,843355.039999999920838,886435.529999999911524,843511.420000000041910,855329.069999999948777,861454.400000000023283,794016.579999999841675,873013.489999999990687,848385.000000000000000,866231.079999999841675,863972.059999999939464,10204015.240000002086163
20120925,813403.900000000023283,824759.119999999995343,847266.079999999841675,871816.209999999962747,833775.540000000037253,847571.119999999995343,853183.399999999906868,792017.439999999944121,873779.030000000027940,835029.000000000000000,871411.880000000004657,862837.279999999911524,10126854.000000000000000
20120926,823602.910000000032596,821707.400000000023283,843355.039999999920838,865151.520000000018626,835545.699999999953434,850674.300000000046566,850977.799999999930151,795349.339999999967404,864847.729999999981374,832485.000000000000000,858200.839999999967404,862269.890000000013970,10104171.470000000670552
20120927,821844.459999999962747,837329.300000000046566,843477.260000000009313,874611.079999999958090,847715.550000000046566,851313.189999999944121,853091.499999999883585,799680.809999999939464,872885.899999999906868,830576.999999999883585,867267.239999999874271,865485.099999999976717,10165282.389999998733401
20120928,815982.959999999962747,826067.000000000000000,842255.059999999823049,870311.279999999911524,839307.290000000037253,837440.150000000023283,849415.500000000000000,790684.679999999934807,870972.050000000046566,829941.000000000116415,869598.599999999976717,861891.630000000004657,10103871.199999999254942
20121001,820789.390000000130385,849172.880000000004657,844943.899999999906868,880845.790000000037253,849264.440000000060536,839630.630000000004657,857410.800000000046566,796015.719999999972060,881306.839999999850988,830576.999999999883585,885400.039999999920838,866430.750000000000000,10201792.179999997839332
20121002,815162.350000000093132,852006.619999999995343,842866.159999999799766,879770.840000000083819,848379.360000000102445,829956.010000000125729,859708.300000000046566,791017.869999999878928,876586.010000000009313,831001.000000000000000,880737.319999999948777,867376.399999999906868,10174572.240000000223517
