訓練日期,20181011 - 20190115
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10195229.370000001043081
真實報酬,195229.370000001043081

夏普值報酬,0.010822937000000
夏普值風險,0.022902659363411
夏普值,0.472562457846747

預期報酬,2953.128671221911645
風險,246766.771457680792082
趨勢值,0.011967286575001
找到最佳解世代,13
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
DIS[6](9),IBM[10](30),INTC[11](4),KO[14](5),MCD[15](3),MMM[16](18),MRK[17](2),NKE[19](10),PFE[20](13),PG[21](1),V[25](8),VZ[26](6),WMT[28](11),
Stock#,DIS[6](9),IBM[10](30),INTC[11](4),KO[14](5),MCD[15](3),MMM[16](18),MRK[17](2),NKE[19](10),PFE[20](13),PG[21](1),V[25](8),VZ[26](6),WMT[28](11),
張數,6815,5390,17170,16839,4568,3805,10918,10264,17282,9445,5676,14158,8032,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,89.099999999976717,130.900000000023283,14.000000000000000,24.479999999981374,115.839999999967404,49.250000000000000,56.900000000023283,45.839999999967404,8.180000000051223,29.200000000069849,18.479999999981374,25.859999999986030,85.679999999934807,
20181011,757576.349999999976717,749448.700000000069849,759443.099999999976717,751717.439999999944121,744562.799999999930151,748606.899999999906868,746520.560000000055879,764816.479999999981374,739850.600000000093132,744956.350000000093132,759069.959999999962747,755072.000000000000000,754451.119999999995343,9776102.359999997541308
20181012,767526.250000000000000,759312.400000000023283,770603.600000000093132,752391.000000000000000,748445.599999999976717,754314.399999999906868,762242.480000000097789,779186.079999999958090,756614.140000000013970,746750.900000000139698,794999.040000000037253,760735.199999999953434,761599.599999999976717,9914730.689999999478459
20181015,773182.699999999953434,760821.599999999976717,764594.099999999976717,756263.969999999972060,747760.399999999906868,757015.949999999953434,758421.179999999934807,769743.199999999953434,745208.020000000018626,756857.050000000046566,778935.959999999962747,758894.660000000032596,753647.919999999925494,9881356.709999999031425
20181016,791923.949999999953434,782327.700000000069849,788803.799999999930151,766030.589999999967404,749587.599999999976717,769914.900000000023283,777636.859999999986030,795300.560000000055879,759206.440000000060536,765168.650000000139698,804534.720000000088476,760310.460000000079162,769631.599999999976717,10080387.830000001937151
20181017,798330.049999999930151,722660.400000000139698,787945.300000000046566,772261.020000000018626,761921.200000000069849,772197.900000000023283,784187.659999999916181,785036.560000000055879,770266.920000000041910,773196.900000000023283,808564.679999999934807,763991.540000000037253,775655.599999999976717,10076225.729999998584390
20181018,791855.800000000046566,703795.400000000139698,772148.900000000023283,768051.270000000018626,762103.919999999925494,762495.150000000023283,788445.679999999934807,776004.239999999874271,760416.180000000051223,757896.000000000000000,790628.519999999902211,773760.559999999939464,772523.119999999995343,9980134.740000000223517
20181019,810392.599999999976717,695979.900000000023283,755494.000000000000000,780175.349999999976717,765210.160000000032596,760478.500000000000000,789974.199999999953434,761737.279999999911524,769057.180000000051223,824577.700000000069849,795112.560000000055879,777300.059999999939464,780394.479999999981374,10065893.970000000670552
20181022,806099.149999999906868,700938.700000000069849,772835.699999999953434,774113.309999999939464,761281.679999999934807,766224.050000000046566,792376.159999999916181,768819.440000000060536,766810.520000000018626,817966.200000000069849,798291.119999999878928,778432.699999999953434,780314.159999999916181,10084512.890000000596046
20181023,803236.849999999976717,707352.800000000046566,764079.000000000000000,780680.520000000018626,809337.040000000037253,732702.000000000000000,787244.699999999953434,752910.239999999874271,762144.380000000121072,823255.400000000023283,789663.599999999976717,810005.040000000037253,785615.279999999911524,10108236.849999999627471
20181024,760711.250000000000000,685792.800000000046566,728365.400000000023283,786910.949999999953434,810250.639999999897555,702223.949999999953434,770212.620000000111759,740285.520000000018626,734147.540000000037253,844978.900000000023283,762078.239999999874271,812978.219999999972060,783687.599999999976717,9922633.630000000819564
20181025,778089.500000000000000,681696.400000000023283,760816.700000000069849,783206.369999999995343,800931.919999999925494,703936.200000000069849,763880.179999999934807,750344.239999999874271,750219.800000000046566,840634.200000000069849,797610.000000000000000,798961.799999999930151,796699.439999999944121,10007036.750000000000000
20181026,771478.949999999953434,672749.000000000000000,784511.299999999930151,773271.359999999986030,791932.959999999962747,703784.000000000000000,768684.100000000093132,739772.319999999948777,736221.380000000121072,829866.900000000023283,781830.720000000088476,785936.439999999944121,794771.759999999892898,9934821.189999999478459
20181029,770456.700000000069849,644990.500000000000000,779532.000000000000000,782364.420000000041910,791430.479999999864958,706980.199999999953434,780148.000000000000000,741004.000000000000000,747109.040000000037253,833456.000000000000000,762475.560000000055879,799669.699999999953434,801679.279999999911524,9941305.879999998956919
20181030,782178.500000000000000,622136.900000000023283,820053.199999999953434,802066.050000000046566,815458.160000000032596,722276.300000000046566,795651.560000000055879,764816.479999999981374,741233.160000000032596,842428.750000000000000,753564.239999999874271,823738.299999999930151,822723.119999999995343,10108334.720000000670552
20181031,782655.549999999930151,622298.600000000093132,804943.600000000093132,806275.800000000046566,808195.040000000037253,723988.549999999930151,803730.880000000004657,770256.400000000023283,744171.100000000093132,837611.800000000162981,782455.079999999958090,808306.080000000074506,805534.639999999897555,10100433.119999999180436
20181101,791310.599999999976717,629844.599999999976717,827951.400000000023283,803918.339999999967404,798967.679999999934807,731446.349999999976717,798381.060000000055879,788218.400000000023283,754713.120000000111759,846206.750000000116415,799369.560000000055879,793581.759999999892898,807944.239999999874271,10171863.859999999403954
20181102,785040.800000000046566,623592.200000000069849,808892.699999999953434,808296.479999999981374,807509.839999999967404,733691.300000000046566,789100.760000000009313,786062.959999999962747,741924.440000000060536,848284.650000000139698,793409.760000000009313,801793.400000000023283,814048.559999999939464,10141657.850000001490116
20181105,786880.849999999976717,647254.300000000046566,823658.900000000023283,819915.389999999897555,824137.359999999869615,735365.500000000000000,798381.060000000055879,795813.760000000009313,752120.820000000065193,861413.200000000069849,793523.280000000027940,810005.040000000037253,826658.799999999930151,10275138.260000001639128
20181106,795467.749999999883585,663747.700000000069849,811296.500000000000000,826987.770000000018626,834735.119999999995343,743165.750000000000000,800455.480000000097789,785960.319999999948777,743307.000000000000000,864341.150000000139698,799142.519999999902211,810005.040000000037253,830032.239999999874271,10308654.340000001713634
20181107,797784.849999999976717,673018.500000000000000,836536.400000000023283,831365.909999999916181,841769.839999999967404,765957.699999999953434,819780.339999999967404,800329.919999999925494,767328.979999999981374,862263.250000000116415,821789.760000000009313,816234.559999999939464,837983.919999999925494,10472153.929999999701977
20181108,790629.099999999976717,665149.099999999976717,841172.300000000046566,830692.349999999976717,847388.479999999864958,776535.599999999976717,824147.540000000037253,798379.760000000009313,757823.880000000121072,862924.400000000023283,824343.959999999962747,825012.520000000018626,842481.839999999850988,10486690.829999998211861
20181109,804259.099999999976717,666011.500000000000000,826062.699999999953434,836586.000000000000000,849489.760000000009313,765234.750000000000000,817378.380000000004657,783804.880000000004657,765255.140000000013970,872841.650000000023283,816965.160000000032596,827702.540000000037253,847943.599999999976717,10479545.159999998286366
20181112,795399.599999999976717,651781.900000000023283,800994.500000000000000,839785.409999999916181,842318.000000000000000,749786.449999999953434,815522.319999999948777,770872.239999999874271,762317.200000000069849,875580.700000000069849,793069.199999999953434,831383.619999999995343,834369.520000000018626,10363190.660000000149012
20181113,796421.849999999976717,651458.500000000000000,813700.300000000046566,839617.020000000018626,840673.519999999902211,754847.099999999976717,814648.880000000004657,771898.640000000013970,752120.820000000065193,882853.350000000093132,793069.199999999953434,830534.139999999897555,826899.759999999892898,10368753.080000000074506
20181114,798261.900000000023283,648008.900000000023283,808549.300000000046566,837933.119999999995343,839942.639999999897555,753667.550000000046566,808971.520000000018626,771898.640000000013970,741578.800000000046566,883042.250000000000000,791763.720000000088476,834498.380000000004657,815574.639999999897555,10333701.360000001266599
20181115,798193.750000000000000,654692.500000000000000,826062.699999999953434,837596.339999999967404,838617.919999999925494,779731.799999999930151,817160.020000000018626,762968.959999999962747,746763.400000000023283,886253.550000000046566,805102.319999999948777,836480.500000000000000,799590.959999999962747,10389224.719999998807907
20181116,791923.949999999953434,655393.199999999953434,838425.099999999976717,844837.109999999986030,857026.959999999962747,795294.250000000000000,830479.980000000097789,767177.199999999953434,751948.000000000000000,886159.099999999976717,795680.160000000032596,852479.040000000037253,784731.759999999892898,10451565.810000000521541
