訓練日期,20150923 - 20151223
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11272751.460000000894070
真實報酬,1272751.460000000894070

夏普值報酬,0.118575146000000
夏普值風險,0.039326936838968
夏普值,3.015112681812172

預期報酬,24468.121651203768124
風險,240291.319366450508824
趨勢值,0.101826906255774
找到最佳解世代,57
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AAPL[0](24),HD[9](2),JPM[13](11),MCD[15](1),MSFT[18](3),NKE[19](14),PG[21](5),TRV[22](8),VZ[26](21),
Stock#,AAPL[0](24),HD[9](2),JPM[13](11),MCD[15](1),MSFT[18](3),NKE[19](14),PG[21](5),TRV[22](8),VZ[26](21),
張數,9798,9595,18241,11431,25310,19160,15830,11225,25008,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,17.800000000046566,10.000000000000000,51.690000000176951,17.800000000046566,2.000000000000000,22.599999999860302,3.300000000046566,60.500000000000000,5.560000000055879,
20150923,1120125.159999999916181,1114661.149999999906868,1106185.930000000167638,1113168.580000000074506,1110351.699999999953434,1105937.799999999813735,1112219.100000000093132,1112233.500000000000000,1099857.399999999906868,9994741.320000000298023
20150924,1126787.800000000046566,1116292.300000000046566,1098524.710000000195578,1112139.790000000037253,1111364.099999999860302,1099806.599999999860302,1129632.100000000093132,1109764.000000000000000,1102608.280000000027940,10006920.679999999701977
20150925,1123946.379999999888241,1120130.300000000046566,1121325.960000000195578,1115569.090000000083819,1112123.399999999906868,1197522.599999999860302,1150369.400000000139698,1121550.250000000000000,1105859.320000000065193,10168397.699999999254942
20150928,1101704.919999999925494,1094799.500000000000000,1094146.870000000111759,1096936.560000000055879,1095671.899999999906868,1170123.799999999813735,1136122.399999999906868,1112233.500000000000000,1093855.480000000214204,9995595.929999999701977
20150929,1068587.680000000167638,1083381.449999999953434,1091593.130000000353903,1114311.680000000167638,1099468.399999999906868,1146557.000000000000000,1144195.699999999953434,1116611.250000000000000,1088603.800000000046566,9953311.089999999850988
20150930,1080737.199999999953434,1108136.550000000046566,1112205.460000000195578,1126314.229999999981374,1120222.599999999860302,1178171.000000000000000,1138813.500000000000000,1117284.750000000000000,1088103.639999999897555,10069989.929999999701977
20151001,1073682.640000000130385,1122912.850000000093132,1120413.910000000149012,1129171.979999999981374,1129081.100000000093132,1186409.799999999813735,1138971.800000000046566,1103927.000000000000000,1074349.239999999990687,10078921.320000000298023
20151002,1081521.040000000037253,1130396.949999999953434,1109286.900000000139698,1140717.290000000037253,1153378.699999999953434,1199630.199999999953434,1146411.900000000139698,1122897.250000000000000,1071348.280000000027940,10155589.509999999776483
20151005,1085440.239999999990687,1143734.000000000000000,1131358.510000000242144,1156492.070000000065193,1180207.300000000046566,1190624.999999999767169,1159075.900000000139698,1143439.000000000000000,1100357.560000000055879,10290730.580000000074506
20151006,1090633.180000000167638,1138744.600000000093132,1131905.740000000223517,1164836.700000000186265,1183244.500000000000000,1180278.599999999860302,1161925.300000000046566,1134571.250000000000000,1101858.040000000037253,10287998.910000000149012
20151007,1085440.239999999990687,1148051.750000000000000,1133365.020000000251457,1163350.669999999925494,1184510.000000000000000,1169740.599999999860302,1166990.900000000139698,1146918.750000000000000,1096606.360000000102445,10294975.289999999105930
20151008,1072898.800000000046566,1161580.699999999953434,1133365.020000000251457,1176839.250000000000000,1200961.500000000000000,1196756.199999999953434,1177755.300000000046566,1157245.750000000000000,1106109.399999999906868,10383512.919999999925494
20151009,1098569.560000000055879,1164171.350000000093132,1129716.820000000065193,1174667.360000000102445,1192356.100000000093132,1196947.799999999813735,1179021.700000000186265,1155562.000000000000000,1104358.840000000083819,10395372.530000001192093
20151012,1093474.600000000093132,1169640.500000000000000,1125886.210000000195578,1180154.239999999990687,1189572.000000000000000,1211317.799999999813735,1176647.199999999953434,1164317.500000000000000,1107859.959999999962747,10418871.010000001639128
20151013,1095336.220000000204891,1166857.949999999953434,1122785.240000000223517,1181754.580000000074506,1186787.899999999906868,1205378.199999999720603,1173164.600000000093132,1159715.250000000000000,1109360.439999999944121,10401141.379999998956919
20151014,1079855.379999999888241,1154000.649999999906868,1094329.280000000260770,1175353.219999999972060,1181472.800000000046566,1205569.799999999813735,1174747.599999999860302,1153653.750000000000000,1100107.480000000214204,10319090.960000000894070
20151015,1096022.080000000074506,1168776.949999999953434,1128987.180000000167638,1184955.260000000009313,1189825.099999999860302,1233926.599999999860302,1175697.399999999906868,1178236.500000000000000,1117112.920000000158325,10473540.990000000223517
20151016,1087987.720000000204891,1177700.300000000046566,1138837.320000000065193,1198215.219999999972060,1202480.099999999860302,1250020.999999999767169,1185670.300000000046566,1188788.000000000000000,1117863.160000000149012,10547564.120000001043081
20151019,1094748.340000000083819,1181154.500000000000000,1135006.710000000195578,1194442.989999999990687,1205264.199999999953434,1276270.199999999953434,1189786.100000000093132,1193502.500000000000000,1117863.160000000149012,10588039.700000001117587
20151020,1114736.260000000009313,1178755.750000000000000,1140479.010000000242144,1187012.840000000083819,1209060.700000000186265,1268222.999999999767169,1178230.200000000186265,1223024.250000000000000,1131367.480000000214204,10630890.490000002086163
20151021,1114638.280000000027940,1183073.500000000000000,1132088.150000000139698,1172152.540000000037253,1194634.000000000000000,1269180.999999999767169,1164933.000000000000000,1242668.000000000000000,1121864.439999999944121,10595233.910000000149012
20151022,1131686.800000000046566,1193244.199999999953434,1152700.480000000214204,1267372.770000000018626,1215641.300000000046566,1268606.199999999720603,1184878.800000000046566,1260852.500000000000000,1147622.680000000167638,10822606.730000000447035
20151023,1166763.640000000130385,1195642.949999999953434,1165104.360000000102445,1287034.090000000083819,1338141.699999999953434,1250595.799999999813735,1219388.199999999953434,1260403.500000000000000,1154374.840000000083819,11037450.080000000074506
20151026,1129531.239999999990687,1199480.949999999953434,1165651.590000000083819,1282347.380000000121072,1373069.500000000000000,1258642.999999999767169,1226670.000000000000000,1265903.750000000000000,1159376.439999999944121,11060674.849999999627471
20151027,1122378.699999999953434,1194299.649999999906868,1160908.930000000167638,1276174.640000000130385,1358895.899999999906868,1253278.199999999720603,1223504.000000000232831,1273087.750000000000000,1154624.920000000158325,11017153.689999999478459
20151028,1168625.260000000009313,1188062.899999999906868,1194837.190000000176951,1291034.939999999944121,1366235.799999999813735,1257876.599999999860302,1211156.600000000093132,1282629.000000000000000,1162377.399999999906868,11122836.690000001341105
20151029,1180970.739999999990687,1186239.849999999860302,1189547.300000000046566,1287377.020000000018626,1350543.600000000093132,1256152.199999999953434,1219229.899999999906868,1282965.750000000000000,1160376.760000000009313,11113404.119999999180436
20151030,1170878.800000000046566,1186335.800000000046566,1172035.940000000176951,1283147.550000000046566,1332320.399999999906868,1255385.799999999813735,1209098.699999999953434,1267250.750000000000000,1172380.600000000093132,11048835.339999999850988
20151102,1187339.440000000176951,1193723.949999999953434,1195566.830000000307336,1281547.209999999962747,1347506.400000000139698,1256918.599999999860302,1212581.300000000046566,1278251.250000000000000,1169879.800000000046566,11123315.780000001192093
20151103,1200958.659999999916181,1205717.699999999953434,1199944.670000000158325,1281204.280000000027940,1370538.500000000000000,1258834.599999999860302,1219704.800000000046566,1276230.750000000000000,1161627.160000000149012,11174762.120000001043081
20151104,1195373.800000000046566,1203031.099999999860302,1201221.540000000037253,1284862.200000000186265,1376866.000000000000000,1248871.399999999906868,1219863.100000000093132,1280608.500000000000000,1153874.680000000167638,11164573.320000000298023
20151105,1184791.959999999962747,1206293.399999999906868,1211983.730000000214204,1290006.149999999906868,1376359.800000000046566,1263241.399999999906868,1209257.000000000000000,1279373.750000000000000,1155375.160000000149012,11176683.349999999627471
20151106,1186163.680000000167638,1208788.100000000093132,1248830.550000000046566,1295264.410000000149012,1390027.199999999953434,1262474.999999999767169,1196276.399999999906868,1269608.000000000000000,1144871.800000000046566,11202306.140000000596046
20151109,1181362.659999999916181,1194587.500000000000000,1229312.680000000167638,1290920.630000000121072,1370791.599999999860302,1250020.999999999767169,1193585.300000000046566,1266577.250000000000000,1132867.959999999962747,11110027.580000001937151
