訓練日期,20160804 - 20161103
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10140786.469999998807907
真實報酬,140786.469999998807907

夏普值報酬,0.005378647000000
夏普值風險,0.006208202383487
夏普值,0.866377522470371

預期報酬,4750.813786900120249
風險,91949.986763214677921
趨勢值,0.051667367817401
找到最佳解世代,79
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AAPL[0](3),CAT[3](8),CSCO[4](13),CVX[5](11),GS[8](2),KO[14](18),PG[21](9),V[25](4),WBA[27](12),WMT[28](21),
Stock#,AAPL[0](3),CAT[3](8),CSCO[4](13),CVX[5](11),GS[8](2),KO[14](18),PG[21](9),V[25](4),WBA[27](12),WMT[28](21),
張數,9452,12190,32552,9939,6315,22914,11631,12704,12562,13709,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,72.919999999925494,54.299999999930151,2.560000000055879,37.209999999962747,82.900000000023283,33.040000000037253,82.930000000051223,68.160000000032596,64.800000000046566,65.540000000037253,
20160804,1000756.159999999916181,996830.599999999860302,1002604.160000000032596,997813.419999999925494,998168.650000000139698,997021.179999999934807,1000930.479999999981374,1009782.080000000074506,1003140.500000000000000,1004935.239999999990687,10011982.470000000670552
20160805,1015973.880000000004657,1006460.699999999953434,1010416.640000000013970,999006.099999999976717,1023681.250000000000000,996333.760000000009313,997790.110000000102445,1018166.720000000088476,1011682.660000000032596,1011241.380000000121072,10090753.200000001117587
20160808,1024386.159999999916181,1017187.899999999906868,1009440.080000000074506,1005864.010000000009313,1028354.350000000093132,995417.199999999953434,997557.490000000107102,1015752.960000000079162,1012938.859999999986030,1005483.600000000093132,10112382.609999999403954
20160809,1028545.039999999920838,1009751.999999999883585,1007161.440000000060536,1007056.689999999944121,1032206.500000000000000,996104.619999999995343,1000232.619999999995343,1017150.400000000023283,1016204.980000000097789,1008225.400000000139698,10122639.690000001341105
20160810,1020888.919999999925494,1007557.800000000046566,1004231.760000000125729,995328.669999999925494,1024312.750000000000000,999312.580000000074506,1003954.540000000037253,1012322.880000000121072,1036429.800000000046566,1013846.090000000083819,10118185.790000000968575
20160811,1020227.280000000027940,1014749.899999999906868,1007486.960000000079162,1007851.810000000055879,1034858.800000000162981,1002520.540000000037253,1008839.560000000055879,1017912.640000000130385,1041580.219999999972060,1011789.739999999990687,10167817.450000001117587
