訓練日期,20181022 - 20190125
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10289932.179999999701977
真實報酬,289932.179999999701977

夏普值報酬,0.020293218000000
夏普值風險,0.027364162796919
夏普值,0.741598350755493

預期報酬,596.395189345006429
風險,277828.849823367665522
趨勢值,0.002146628003982
找到最佳解世代,75
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AXP[1](23),BA[2](25),CAT[3](17),CSCO[4](8),MCD[15](3),MRK[17](4),NKE[19](7),PG[21](1),UNH[23](16),V[25](11),VZ[26](5),
Stock#,AXP[1](23),BA[2](25),CAT[3](17),CSCO[4](8),MCD[15](3),MRK[17](4),NKE[19](7),PG[21](1),UNH[23](16),V[25](11),VZ[26](5),
張數,8517,2551,6922,20050,5427,12565,12250,10413,3426,6489,16559,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,70.589999999967404,270.739999999990687,92.960000000079162,22.999999999883585,121.769999999902211,12.250000000116415,17.500000000116415,35.099999999976717,172.199999999953434,110.879999999888241,0.900000000023283,
20181022,890182.260000000009313,908375.720000000088476,891023.580000000190921,917510.999999999883585,904422.779999999911524,911854.300000000046566,917542.500000000232831,901800.899999999906868,898435.139999999897555,912723.839999999850988,910414.719999999972060,9964296.740000000223517
20181023,889075.049999999930151,893248.290000000037253,823672.520000000135042,910693.999999999883585,961514.819999999948777,905948.750000000000000,898555.000000000000000,907632.179999999934807,907582.560000000055879,902860.559999999939464,947341.290000000037253,9948135.019999999552965
20181024,867441.869999999995343,904982.889999999897555,777710.440000000060536,883626.499999999883585,962600.219999999855645,886347.350000000209548,883487.500000000116415,931582.079999999958090,878324.519999999902211,871324.019999999785796,950818.680000000051223,9798256.070000000298023
20181025,882431.789999999920838,928248.009999999892898,800483.820000000065193,911696.499999999883585,951529.139999999897555,879059.650000000023283,895492.500000000000000,926792.099999999976717,905458.439999999944121,911945.159999999916181,934425.270000000018626,9927572.379999998956919
20181026,862416.839999999967404,916768.509999999892898,796469.060000000055879,887235.499999999883585,940837.949999999953434,884588.250000000232831,882875.000000000000000,914921.280000000027940,884696.880000000004657,893905.739999999990687,919190.989999999990687,9783916.000000000000000
20181029,861905.819999999948777,856360.829999999958090,789062.520000000135042,879015.000000000000000,940240.979999999864958,897781.500000000116415,884345.000000000116415,918878.219999999972060,879009.719999999855645,871778.250000000000000,935253.219999999972060,9713641.060000000521541
20181030,869485.949999999953434,892891.150000000023283,813151.080000000074506,893851.999999999883585,968787.000000000000000,915623.800000000162981,912765.000000000232831,928770.569999999948777,885039.479999999864958,861590.519999999785796,963403.520000000018626,9905370.069999998435378
20181031,875022.000000000000000,905518.599999999976717,839870.000000000000000,917310.499999999883585,960158.069999999948777,924921.900000000139698,919257.500000000232831,923459.940000000060536,895557.300000000046566,894619.529999999795109,945354.210000000079162,10001059.550000000745058
20181101,886179.270000000018626,926462.309999999939464,863266.360000000102445,915305.499999999883585,949195.529999999911524,918765.050000000162981,940695.000000000232831,932935.770000000018626,894118.380000000004657,913956.750000000000000,928132.849999999976717,10069022.770000001415610
20181102,883368.659999999916181,912890.989999999990687,870811.340000000083819,911896.999999999767169,959344.019999999902211,908084.800000000046566,938122.500000000116415,935226.630000000004657,894392.459999999962747,907143.299999999930151,937737.070000000065193,10059028.769999999552965
20181105,896144.159999999916181,923681.720000000088476,875102.980000000097789,925129.999999999883585,979098.299999999813735,918765.050000000162981,949760.000000000116415,949700.699999999953434,894392.459999999962747,907273.079999999958090,947341.290000000037253,10166399.739999998360872
20181106,894185.250000000000000,935135.710000000079162,895315.220000000204891,932347.999999999883585,991688.939999999944121,921152.400000000139698,938000.000000000000000,952928.729999999981374,903060.239999999990687,913697.189999999827705,947341.290000000037253,10224862.969999998807907
20181107,914029.859999999986030,949293.759999999892898,935255.160000000032596,960417.999999999883585,1000046.519999999902211,943392.450000000069849,955150.000000000116415,950637.869999999995343,941054.579999999958090,939588.299999999930151,954627.250000000000000,10443503.750000000000000
20181108,924165.089999999967404,946105.009999999892898,909574.540000000037253,971244.999999999883585,1006721.729999999864958,948418.450000000186265,952822.500000000116415,951366.780000000027940,947975.099999999860302,942508.349999999860302,964893.830000000074506,10465806.379999998956919
20181109,922291.349999999976717,942457.079999999958090,878563.980000000097789,944578.499999999883585,1009218.149999999906868,940628.150000000139698,935427.500000000116415,962300.429999999934807,947632.500000000000000,934072.649999999906868,968040.040000000037253,10385220.330000001937151
20181112,907045.919999999925494,911054.269999999902211,865342.960000000079162,914703.999999999883585,1000697.759999999892898,938492.100000000093132,919992.500000000000000,965320.199999999953434,933346.079999999958090,906753.959999999846332,972345.380000000004657,10235105.130000000819564
20181113,918714.209999999962747,891870.750000000000000,871988.080000000074506,904678.999999999883585,998744.039999999804422,937486.900000000139698,921217.500000000116415,973338.209999999962747,922519.920000000041910,906753.959999999846332,971351.839999999967404,10218674.410000000149012
20181114,917947.679999999934807,879651.460000000079162,866035.160000000032596,888839.499999999883585,997875.719999999855645,930953.100000000209548,921217.500000000116415,973546.469999999972060,907925.159999999916181,905261.489999999990687,975988.359999999986030,10165251.599999999627471
