訓練日期,20190228 - 20190531
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10424669.170000001788139
真實報酬,424669.170000001788139

夏普值報酬,0.033766917000000
夏普值風險,0.025102954459489
夏普值,1.345137165208710

預期報酬,12842.309390273858298
風險,124067.220396134158364
趨勢值,0.103510897957330
找到最佳解世代,73
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](13),AXP[1](6),CVX[5](17),DIS[6](8),JPM[13](14),MCD[15](3),MRK[17](20),MSFT[18](4),PFE[20](23),PG[21](7),TRV[22](5),
Stock#,AAPL[0](13),AXP[1](6),CVX[5](17),DIS[6](8),JPM[13](14),MCD[15](3),MRK[17](20),MSFT[18](4),PFE[20](23),PG[21](7),TRV[22](5),
張數,5198,8462,7570,8060,8644,4957,11276,8104,21176,9191,6854,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,115.739999999990687,101.959999999962747,84.400000000023283,83.199999999953434,86.960000000079162,174.479999999981374,18.880000000004657,64.319999999948777,4.319999999948777,8.190000000060536,112.520000000018626,
20190228,900149.440000000060536,911797.839999999967404,905305.000000000000000,909573.599999999976717,902174.800000000046566,911469.359999999986030,916644.920000000041910,907955.439999999944121,917983.919999999925494,905781.239999999990687,911077.660000000032596,9999923.220000000670552
20190301,909609.799999999930151,921613.760000000009313,923851.500000000000000,919003.800000000046566,902779.880000000121072,917467.330000000074506,920704.280000000027940,912007.439999999944121,918195.679999999934807,904770.230000000097789,911900.140000000013970,10061913.840000001713634
20190304,914184.039999999920838,922459.959999999962747,924532.800000000046566,921582.999999999883585,900705.320000000065193,895359.109999999986030,917547.000000000000000,909819.359999999986030,912054.639999999897555,908722.360000000102445,905868.620000000111759,10032846.210000000894070
20190305,912520.680000000051223,921190.659999999916181,933389.700000000069849,918923.199999999953434,900013.800000000046566,899126.429999999934807,921268.080000000074506,905281.119999999995343,908242.959999999962747,910744.380000000121072,909569.780000000027940,10040280.789999999105930
20190306,907270.700000000069849,922290.719999999972060,935206.500000000000000,925774.199999999953434,896642.640000000013970,902497.189999999944121,910668.640000000013970,905686.319999999948777,886431.679999999934807,909273.820000000065193,903469.720000000088476,10005222.129999998956919
20190307,896770.739999999990687,912813.279999999911524,923170.199999999953434,919003.800000000046566,890159.640000000013970,895012.119999999995343,907173.080000000074506,894664.880000000004657,876478.959999999962747,905781.239999999990687,901344.980000000097789,9922382.919999999925494
