訓練日期,20110322 - 20110622
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10540218.549999998882413
真實報酬,540218.549999998882413

夏普值報酬,0.045321855000000
夏普值風險,0.022414225795449
夏普值,2.022012957913661

預期報酬,12992.479528318999655
風險,196588.985497075191233
趨勢值,0.066089559877770
找到最佳解世代,83
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,8
AAPL[0](20),AXP[1](5),JNJ[12](2),KO[14](14),MCD[15](1),NKE[19](7),VZ[26](19),WBA[27](16),
Stock#,AAPL[0](20),AXP[1](5),JNJ[12](2),KO[14](14),MCD[15](1),NKE[19](7),VZ[26](19),WBA[27](16),
張數,25789,28203,21247,39320,16946,65070,34284,29783,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,7.169999999925494,43.040000000037253,38.989999999990687,17.199999999953434,63.039999999804422,5.300000000046566,5.359999999869615,7.489999999990687,
20110322,1256963.030000000027940,1262127.290000000037253,1249150.119999999878928,1248820.399999999906868,1251864.059999999823049,1227225.500000000000000,1266799.159999999916181,1167798.919999999925494,9930748.479999998584390
20110323,1249742.109999999869615,1269742.100000000093132,1247662.830000000074506,1263762.000000000000000,1263048.419999999925494,1256507.000000000000000,1267827.679999999701977,1186264.379999999888241,10004556.519999999552965
20110324,1270889.089999999850988,1285817.810000000055879,1254249.399999999906868,1272019.199999999953434,1269826.819999999832362,1248047.900000000139698,1274684.479999999748543,1189838.340000000083819,10065373.040000000968575
20110325,1295130.750000000000000,1285817.810000000055879,1253187.049999999813735,1282242.399999999906868,1275249.539999999804422,1247397.200000000186265,1278455.719999999739230,1180605.610000000102445,10098086.079999998211861
20110328,1291004.510000000009313,1289484.199999999953434,1258711.270000000018626,1278703.600000000093132,1271013.039999999804422,1234383.199999999953434,1294226.359999999869615,1169883.729999999981374,10087409.910000000149012
20110329,1293067.629999999888241,1287509.989999999990687,1258286.330000000074506,1292072.399999999906868,1277283.059999999823049,1242191.600000000093132,1312739.719999999739230,1189242.679999999934807,10152393.410000000149012
20110330,1284299.369999999878928,1294842.770000000018626,1261685.850000000093132,1298363.600000000093132,1284739.299999999813735,1248698.600000000093132,1318568.000000000000000,1191327.489999999990687,10182524.980000000447035
20110331,1284041.479999999981374,1274818.640000000130385,1258923.739999999990687,1304261.600000000093132,1289484.179999999934807,1231780.400000000139698,1321310.719999999739230,1195497.110000000102445,10160117.870000001043081
20110401,1269341.750000000000000,1279331.120000000111759,1264023.020000000018626,1321562.399999999906868,1287789.579999999608845,1244794.399999999906868,1318910.839999999850988,1219323.510000000009313,10205076.619999999180436
20110404,1256963.030000000027940,1281023.300000000046566,1278046.040000000037253,1330212.799999999813735,1294567.979999999748543,1259109.800000000046566,1323710.599999999860302,1216047.379999999888241,10239680.929999999701977
20110405,1248452.659999999916181,1281023.300000000046566,1270609.589999999850988,1326674.000000000000000,1298126.639999999664724,1267568.900000000139698,1315825.280000000027940,1224386.619999999878928,10232666.989999998360872
20110406,1245357.979999999981374,1305277.880000000121072,1267635.010000000009313,1329819.599999999860302,1300160.159999999683350,1279932.200000000186265,1297654.760000000009313,1227662.750000000000000,10253500.339999999850988
20110407,1245615.869999999878928,1301893.520000000018626,1263810.549999999813735,1325887.599999999860302,1288128.500000000000000,1270171.699999999953434,1294569.199999999720603,1230938.879999999888241,10221015.820000000298023
20110408,1234526.599999999860302,1305277.880000000121072,1263385.610000000102445,1322742.000000000000000,1288636.879999999888241,1259109.800000000046566,1293197.839999999850988,1221408.319999999832362,10188284.929999999701977
20110411,1218795.309999999823049,1308098.180000000167638,1271884.409999999916181,1325101.199999999953434,1292195.539999999804422,1270822.400000000139698,1297654.760000000009313,1231236.710000000195578,10215788.510000001639128
20110412,1224726.780000000027940,1297945.100000000093132,1273584.169999999925494,1315271.199999999953434,1299143.399999999674037,1272123.800000000046566,1290455.119999999878928,1229151.900000000139698,10202401.469999998807907
20110413,1238394.949999999953434,1300201.340000000083819,1266360.189999999944121,1322742.000000000000000,1303040.979999999748543,1291644.800000000046566,1292169.319999999832362,1230641.050000000046566,10245194.630000000819564
20110414,1224726.780000000027940,1293996.680000000167638,1275283.930000000167638,1343188.399999999906868,1306091.259999999776483,1302706.699999999953434,1292855.000000000000000,1234512.840000000083819,10273361.589999999850988
20110415,1206416.589999999850988,1304431.790000000037253,1286757.310000000055879,1337290.399999999906868,1311344.519999999785796,1280582.900000000139698,1297654.760000000009313,1247021.699999999953434,10271499.969999998807907
20110418,1222663.659999999916181,1299073.220000000204891,1284632.610000000102445,1323528.399999999906868,1304905.039999999804422,1278630.800000000046566,1279141.399999999906868,1240469.439999999944121,10233044.570000000298023
20110419,1244842.199999999953434,1315430.959999999962747,1332013.419999999925494,1318810.000000000000000,1298126.639999999664724,1280582.900000000139698,1276741.520000000018626,1261913.199999999953434,10328460.839999999850988
20110420,1261605.050000000046566,1325584.040000000037253,1368133.320000000065193,1333751.600000000093132,1328629.439999999944121,1302706.699999999953434,1295597.719999999739230,1267571.969999999972060,10483579.839999999850988
20110421,1292036.070000000065193,1328686.370000000111759,1361334.279999999795109,1334537.999999999767169,1303379.899999999674037,1304658.800000000046566,1265427.799999999813735,1271443.760000000009313,10461504.979999998584390
20110425,1300546.439999999944121,1326994.189999999944121,1362184.159999999916181,1331785.599999999860302,1307108.019999999785796,1303357.400000000139698,1268170.520000000018626,1264295.840000000083819,10464442.169999999925494
20110426,1291004.510000000009313,1328404.340000000083819,1380031.640000000130385,1316057.599999999860302,1303888.279999999795109,1300754.599999999860302,1290112.280000000027940,1276804.699999999953434,10487057.949999997392297
20110427,1289972.949999999953434,1343069.899999999906868,1393204.779999999795109,1317237.199999999953434,1319648.059999999823049,1319624.900000000139698,1311368.359999999869615,1277102.530000000027940,10571228.679999997839332
20110428,1277594.229999999981374,1368452.600000000093132,1389167.849999999860302,1325494.399999999906868,1322359.419999999925494,1343050.100000000093132,1312054.040000000037253,1285739.600000000093132,10623912.240000000223517
20110429,1289972.949999999953434,1384246.280000000027940,1396391.830000000074506,1326280.799999999813735,1327104.299999999813735,1339145.899999999906868,1295254.879999999888241,1272337.250000000000000,10630734.189999997615814
20110502,1275789.000000000000000,1400321.989999999990687,1406802.859999999869615,1331392.399999999906868,1332696.479999999748543,1337844.500000000000000,1287712.399999999906868,1260126.219999999972060,10632685.849999999627471
20110503,1282752.030000000027940,1407372.739999999990687,1407865.210000000195578,1334537.999999999767169,1337780.279999999795109,1328734.700000000186265,1295940.559999999823049,1284250.449999999953434,10679233.969999998807907
20110504,1287909.829999999841675,1401732.140000000130385,1395329.479999999981374,1326280.799999999813735,1339983.259999999776483,1346954.300000000046566,1291483.639999999897555,1274124.229999999981374,10663797.679999999701977
20110505,1277594.229999999981374,1396655.600000000093132,1381306.460000000195578,1311339.199999999953434,1332018.639999999664724,1343700.800000000046566,1272627.439999999711290,1265784.989999999990687,10581027.359999999403954
20110506,1277078.449999999953434,1415833.640000000130385,1386830.679999999934807,1315271.199999999953434,1333713.239999999757856,1334591.000000000232831,1278112.879999999888241,1261019.710000000195578,10602450.800000000745058
20110509,1280688.909999999916181,1415551.609999999869615,1394479.599999999860302,1316450.799999999813735,1344050.299999999813735,1348906.400000000139698,1276741.520000000018626,1283654.790000000037253,10660523.929999999701977
20110510,1287394.050000000046566,1414987.550000000046566,1397241.710000000195578,1323921.600000000093132,1350828.699999999720603,1358666.899999999906868,1288055.239999999990687,1295567.989999999990687,10716663.740000000223517
20110511,1279141.570000000065193,1405398.530000000027940,1414451.779999999795109,1323528.399999999906868,1347439.500000000000000,1345002.200000000186265,1277427.199999999720603,1313139.960000000195578,10705529.140000000596046
20110512,1276820.559999999823049,1397219.659999999916181,1427624.919999999925494,1343188.399999999906868,1366927.399999999674037,1376235.800000000046566,1283255.479999999748543,1338157.679999999934807,10809429.899999998509884
20110513,1254384.129999999888241,1395809.510000000009313,1415514.130000000121072,1340436.000000000000000,1368283.079999999608845,1403565.199999999953434,1277427.199999999720603,1339349.000000000000000,10794768.250000000000000
20110516,1227821.459999999962747,1412167.250000000000000,1410202.380000000121072,1333751.600000000093132,1375061.479999999748543,1387297.699999999953434,1267484.839999999850988,1343816.449999999953434,10757603.159999998286366
20110517,1238394.949999999953434,1431627.320000000065193,1410839.790000000037253,1336504.000000000000000,1371502.819999999832362,1380790.699999999953434,1272284.599999999860302,1319394.389999999897555,10761338.570000002160668
20110518,1252063.119999999878928,1440088.220000000204891,1412964.489999999990687,1342795.199999999953434,1381162.039999999804422,1380140.000000000000000,1271598.919999999925494,1316118.260000000009313,10796930.250000000000000
20110519,1254642.019999999785796,1461522.500000000000000,1410627.320000000065193,1345940.799999999813735,1398277.500000000000000,1400962.400000000139698,1279484.239999999990687,1317309.579999999841675,10868766.359999999403954
20110520,1235042.379999999888241,1443754.609999999869615,1395754.419999999925494,1342795.199999999953434,1395227.219999999739230,1383393.500000000232831,1273655.959999999729916,1321479.199999999953434,10791102.489999998360872
20110523,1231947.699999999953434,1441780.399999999906868,1392992.310000000055879,1326674.000000000000000,1398108.039999999804422,1360619.000000000000000,1263370.760000000009313,1325350.989999999990687,10740843.200000001117587
20110524,1223953.109999999869615,1425986.720000000204891,1397666.649999999906868,1326674.000000000000000,1400480.479999999748543,1371680.899999999906868,1265084.959999999729916,1319096.560000000055879,10730623.379999998956919
20110525,1240715.959999999962747,1421756.270000000018626,1408502.620000000111759,1315664.399999999906868,1401836.159999999683350,1353461.300000000046566,1247942.959999999729916,1314629.110000000102445,10704508.779999999329448
20110526,1234268.709999999962747,1429371.080000000074506,1391929.960000000195578,1311339.199999999953434,1396921.819999999832362,1367776.699999999953434,1255142.599999999860302,1301524.590000000083819,10688274.660000000149012
20110527,1243036.969999999972060,1442062.430000000167638,1418701.179999999934807,1307800.399999999906868,1383195.559999999823049,1376886.500000000000000,1257199.639999999897555,1301822.419999999925494,10730705.099999999627471
20110531,1281462.579999999841675,1455317.840000000083819,1429749.620000000111759,1313698.399999999906868,1381839.879999999888241,1373633.000000000000000,1266113.479999999748543,1299439.780000000027940,10801254.579999998211861
20110601,1272952.209999999962747,1407654.770000000018626,1412539.550000000046566,1312518.800000000046566,1372350.119999999878928,1336543.100000000093132,1243486.040000000037253,1290207.050000000046566,10648251.640000000596046
20110602,1275015.329999999841675,1412731.310000000055879,1412539.550000000046566,1298363.600000000093132,1368452.539999999804422,1320275.600000000093132,1240057.639999999897555,1287228.750000000000000,10614664.320000000298023
20110603,1265215.510000000009313,1389886.880000000121072,1404253.219999999972060,1288533.600000000093132,1364893.879999999888241,1307261.600000000093132,1221544.280000000027940,1285143.939999999944121,10526732.910000000149012
20110606,1245357.979999999981374,1375785.380000000121072,1403403.339999999850988,1286174.399999999906868,1367605.239999999757856,1297501.100000000093132,1207145.000000000000000,1278889.510000000009313,10461861.949999999254942
20110607,1223179.439999999944121,1378887.709999999962747,1391717.489999999990687,1281849.199999999953434,1375061.479999999748543,1332638.900000000139698,1212973.280000000027940,1278591.679999999934807,10474899.179999999701977
20110608,1223953.109999999869615,1356607.340000000083819,1405315.570000000065193,1285781.199999999953434,1375230.939999999944121,1302706.699999999953434,1230800.959999999729916,1286037.429999999934807,10466433.250000000000000
20110609,1221374.209999999962747,1363094.030000000027940,1418913.649999999906868,1295611.199999999953434,1377095.000000000000000,1312467.200000000186265,1222915.639999999897555,1298546.290000000037253,10510017.219999998807907
20110610,1200743.010000000009313,1346454.260000000009313,1404253.219999999972060,1285781.199999999953434,1361843.599999999860302,1296199.700000000186265,1206459.319999999832362,1279783.000000000000000,10381517.310000000521541
20110613,1203321.909999999916181,1360555.760000000009313,1414876.719999999972060,1280276.400000000139698,1368113.619999999878928,1309864.399999999906868,1221544.280000000027940,1295567.989999999990687,10454121.080000000074506
20110614,1224726.780000000027940,1358017.489999999990687,1425712.689999999944121,1290106.400000000139698,1380653.659999999683350,1337844.500000000000000,1219830.079999999841675,1313437.790000000037253,10550329.390000000596046
20110615,1203837.689999999944121,1333480.880000000121072,1405740.510000000009313,1277524.000000000000000,1376756.079999999608845,1307912.300000000046566,1204059.439999999711290,1304205.060000000055879,10413515.960000000894070
20110616,1197906.219999999972060,1365350.270000000018626,1409140.029999999795109,1287354.000000000000000,1386415.299999999813735,1305960.199999999953434,1208173.520000000018626,1321777.030000000027940,10482076.569999998435378
20110617,1179853.919999999925494,1367888.540000000037253,1408502.620000000111759,1290106.400000000139698,1398446.959999999729916,1319624.900000000139698,1217430.199999999720603,1330414.100000000093132,10512267.640000000596046
20110620,1161801.619999999878928,1378605.680000000167638,1413176.960000000195578,1294431.600000000093132,1401327.779999999795109,1354112.000000000000000,1222229.959999999729916,1345603.429999999934807,10571289.029999997466803
20110621,1198422.000000000000000,1397501.689999999944121,1412752.019999999785796,1302688.800000000046566,1403191.839999999850988,1374934.399999999906868,1233886.520000000018626,1289015.729999999981374,10612393.000000000000000
20110622,1188622.179999999934807,1405962.590000000083819,1403828.279999999795109,1305441.199999999953434,1400649.939999999944121,1333289.599999999860302,1232172.319999999832362,1270252.439999999944121,10540218.549999998882413
