訓練日期,20180110 - 20180413
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10122561.620000001043081
真實報酬,122561.620000001043081

夏普值報酬,0.003556162000000
夏普值風險,0.021872236521906
夏普值,0.162587945518896

預期報酬,3731.948439118140868
風險,259598.837370547029423
趨勢值,0.014375828786133
找到最佳解世代,86
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](12),BA[2](6),CAT[3](22),CSCO[4](2),INTC[11](1),JNJ[12](25),JPM[13](7),NKE[19](4),TRV[22](5),UTX[24](14),V[25](8),
Stock#,AAPL[0](12),BA[2](6),CAT[3](22),CSCO[4](2),INTC[11](1),JNJ[12](25),JPM[13](7),NKE[19](4),TRV[22](5),UTX[24](14),V[25](8),
張數,5214,2854,5462,22904,20841,6306,8336,14184,6862,6770,7632,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,133.379999999888241,290.780000000027940,49.339999999967404,30.240000000107102,5.580000000074506,143.160000000032596,49.200000000069849,37.439999999944121,80.859999999986030,82.099999999976717,42.479999999981374,
20180110,908881.439999999827705,914312.819999999948777,906031.280000000027940,914128.880000000004657,885748.080000000074506,908017.979999999981374,919093.200000000069849,910933.919999999925494,906619.680000000051223,913355.099999999976717,908097.839999999967404,9995230.220000000670552
20180111,914043.299999999930151,936745.260000000009313,924219.739999999874271,918480.640000000130385,904713.390000000013970,913188.900000000023283,924011.440000000060536,911926.800000000046566,908197.940000000060536,913964.400000000023283,914661.359999999986030,10084163.169999999925494
20180112,923480.639999999897555,959834.119999999995343,930227.940000000060536,936116.720000000088476,901170.420000000158325,919305.719999999972060,939266.320000000065193,917316.719999999972060,924598.119999999878928,924728.700000000069849,916569.359999999986030,10192624.779999999329448
20180116,918788.039999999920838,956837.420000000041910,924820.559999999939464,928558.400000000139698,899086.320000000065193,926242.320000000065193,935931.920000000041910,899586.719999999972060,930019.100000000093132,907059.000000000000000,918858.959999999962747,10145798.760000001639128
20180117,933960.779999999911524,1002073.319999999948777,920396.339999999967404,943675.040000000153668,925137.570000000065193,926999.039999999920838,941933.840000000083819,905118.479999999981374,939214.180000000051223,910105.499999999883585,930993.839999999967404,10279617.929999999701977
20180118,934795.019999999785796,971107.420000000041910,922198.800000000046566,945965.440000000060536,927013.260000000009313,926620.679999999934807,944184.560000000055879,909373.679999999934807,942507.940000000060536,911391.800000000046566,939618.000000000000000,10274786.599999999627471
20180119,930623.819999999948777,964172.200000000069849,930828.759999999892898,945736.400000000139698,934099.200000000069849,929395.320000000065193,942100.560000000055879,953344.079999999841675,946007.559999999939464,920125.099999999976717,936488.880000000004657,10332931.880000000819564
20180122,923011.379999999888241,964942.780000000027940,933450.519999999902211,954210.880000000004657,953481.330000000074506,934314.000000000000000,953104.080000000074506,941713.199999999953434,956300.559999999939464,915453.800000000046566,948929.039999999920838,10378921.570000000298023
