訓練日期,20120222 - 20120523
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10254437.600000001490116
真實報酬,254437.600000001490116

夏普值報酬,0.016743760000000
夏普值風險,0.013181214972517
夏普值,1.270274404515124

預期報酬,6446.571762878337722
風險,126239.082744607803761
趨勢值,0.051066370435535
找到最佳解世代,84
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AXP[1](3),DIS[6](4),HD[9](5),JNJ[12](19),MCD[15](24),NKE[19](9),UNH[23](12),V[25](6),VZ[26](11),WMT[28](17),
Stock#,AXP[1](3),DIS[6](4),HD[9](5),JNJ[12](19),MCD[15](24),NKE[19](9),UNH[23](12),V[25](6),VZ[26](11),WMT[28](17),
張數,18921,24055,21312,15375,9951,38109,18076,35026,25980,16647,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,25.150000000023283,33.650000000023283,40.959999999962747,9.999999999883585,24.010000000009313,19.840000000083819,35.680000000051223,7.699999999953434,29.799999999930151,14.709999999962747,
20120222,998864.739999999990687,992783.500000000116415,992540.799999999930151,999384.999999999883585,1001691.669999999925494,1007240.710000000079162,997469.360000000102445,1018914.039999999920838,992725.599999999976717,975528.910000000032596,9977144.330000000074506
20120223,996594.220000000088476,997835.049999999930151,1000639.359999999986030,1000922.499999999767169,1003184.320000000065193,1011432.700000000069849,993131.119999999995343,1019964.819999999948777,990647.199999999953434,974530.089999999967404,9988881.380000000819564
20120224,1009082.079999999958090,993745.700000000069849,1001278.719999999855645,991082.499999999767169,998308.329999999958090,1012575.970000000088476,1005965.080000000074506,1029421.839999999967404,990907.000000000000000,978691.839999999967404,10011059.059999998658895
20120227,1025164.930000000051223,1001683.850000000093132,1000213.119999999995343,990928.749999999883585,998706.369999999995343,1020959.950000000069849,1007411.160000000032596,1023467.419999999925494,990647.199999999953434,973198.329999999958090,10032381.080000000074506
20120228,1017218.109999999986030,1008659.800000000046566,1006606.719999999855645,1002152.500000000000000,992934.790000000037253,1023627.580000000074506,1009399.520000000135042,1041680.939999999944121,991166.799999999930151,981022.419999999925494,10074469.180000001564622
20120229,1000756.840000000083819,1010103.100000000093132,1013852.799999999930151,1000614.999999999883585,987959.290000000037253,1028200.660000000149012,1007772.680000000051223,1018914.039999999920838,990127.599999999860302,983519.469999999972060,10041821.480000000447035
20120301,1013623.119999999995343,1019725.100000000093132,1011508.479999999981374,996771.249999999883585,987660.760000000009313,1034298.100000000093132,1012110.920000000041910,1026269.500000000000000,998441.199999999953434,979191.250000000000000,10079599.679999999701977
20120302,1002648.940000000060536,1019003.449999999953434,1010442.879999999888241,995848.749999999767169,990148.510000000009313,1036203.550000000162981,1009399.520000000135042,1017162.739999999874271,1004676.400000000023283,982354.179999999934807,10067888.919999999925494
20120305,1002270.520000000018626,1027182.150000000139698,1010016.640000000013970,998001.249999999883585,994526.949999999953434,1040776.630000000004657,994938.720000000088476,1017863.259999999892898,1013249.799999999930151,988846.509999999892898,10087672.429999999701977
20120306,978997.690000000060536,1010343.650000000023283,988704.640000000013970,989391.249999999767169,994029.400000000023283,1022865.400000000023283,984454.640000000013970,1005604.160000000032596,1005195.999999999883585,981688.299999999930151,9961275.130000000819564
20120307,989025.820000000065193,1004329.900000000023283,1010016.640000000013970,988622.499999999883585,996915.190000000060536,1025151.940000000060536,983189.320000000065193,1012609.359999999986030,1009872.399999999906868,996504.130000000004657,10016237.200000002980232
20120308,1001892.100000000093132,1010824.750000000116415,1019180.799999999930151,997078.749999999767169,964872.969999999972060,1028200.660000000149012,1005242.040000000037253,1032924.439999999944121,1018965.399999999906868,995005.900000000023283,10074187.810000000521541
20120309,1006622.350000000093132,1016116.850000000093132,1025148.160000000032596,995387.499999999767169,963678.850000000093132,1048017.340000000083819,1008314.960000000079162,1025919.239999999874271,1015847.799999999930151,1000166.469999999972060,10105219.520000001415610
20120312,998486.320000000065193,1018522.350000000093132,1035591.040000000037253,1000922.499999999767169,961887.669999999925494,1042682.080000000074506,994577.200000000069849,1020315.079999999958090,1021563.399999999906868,1010154.669999999925494,10104702.310000000521541
20120313,1026489.400000000023283,1058694.200000000186265,1047312.640000000013970,1004458.749999999883585,963081.790000000037253,1055258.050000000046566,1000180.760000000009313,1026970.020000000018626,1025720.199999999837019,1015481.709999999962747,10223647.519999999552965
20120314,1062439.299999999813735,1045945.049999999930151,1054345.599999999860302,1000614.999999999883585,968156.800000000046566,1051066.060000000055879,1008314.960000000079162,1022416.640000000013970,1025460.399999999906868,1016813.469999999972060,10255573.279999999329448
20120315,1073224.270000000018626,1045704.500000000000000,1048591.359999999869615,1000461.249999999767169,975620.050000000046566,1054876.959999999962747,1007049.640000000013970,1024518.199999999953434,1027278.999999999883585,1019310.519999999902211,10276635.749999998137355
20120316,1070007.700000000186265,1038969.099999999976717,1045394.559999999939464,1001230.000000000000000,971838.669999999925494,1059831.130000000121072,1004880.520000000135042,1021716.119999999995343,1028058.399999999906868,1012818.190000000060536,10254744.390000000596046
20120319,1083630.820000000298023,1044982.849999999976717,1040705.919999999925494,1002613.749999999767169,972535.240000000107102,1068215.110000000102445,1014641.560000000055879,1040630.160000000032596,1030136.799999999930151,1011153.489999999990687,10309245.700000001117587
20120320,1076819.259999999776483,1040171.850000000093132,1052427.520000000018626,998769.999999999767169,971739.160000000032596,1064785.300000000046566,990238.960000000079162,1020315.079999999958090,1029617.199999999953434,1008822.910000000032596,10253707.240000000223517
20120321,1079468.200000000186265,1040893.500000000116415,1061165.439999999944121,995695.000000000000000,962484.729999999981374,1052209.330000000074506,975597.400000000023283,1022416.640000000013970,1033514.199999999953434,1008157.030000000027940,10231601.469999998807907
20120322,1084009.240000000223517,1041374.599999999976717,1058821.119999999878928,991082.499999999767169,953329.809999999939464,1057544.590000000083819,973970.560000000055879,1026970.020000000018626,1030396.599999999860302,1009655.259999999892898,10227154.299999998882413
20120323,1083252.399999999906868,1050034.399999999906868,1055837.439999999944121,992466.249999999883585,950842.059999999939464,1023627.580000000074506,969993.839999999967404,1040279.899999999906868,1024161.400000000023283,1011319.959999999962747,10201815.230000000447035
20120326,1109931.009999999776483,1067594.550000000279397,1068411.520000000018626,1001998.749999999883585,964972.479999999981374,1034298.100000000093132,996023.280000000027940,1051488.219999999972060,1021823.199999999837019,1018811.109999999986030,10335352.219999998807907
20120327,1101605.770000000018626,1062061.899999999906868,1066493.439999999944121,1005535.000000000000000,968654.350000000093132,1027819.570000000065193,1001988.360000000102445,1049036.399999999906868,1004416.599999999860302,1016979.940000000060536,10304591.329999998211861
20120328,1117499.410000000149012,1046666.699999999953434,1063722.879999999888241,1008917.500000000000000,966067.089999999967404,1021722.130000000004657,1002169.119999999995343,1045183.539999999920838,994024.599999999860302,1018644.639999999897555,10284617.610000001266599
20120329,1095361.839999999850988,1034639.199999999953434,1063722.879999999888241,1007687.500000000000000,971639.650000000023283,1027438.480000000097789,1050432.040000000037253,1042031.199999999953434,989088.399999999906868,1012485.250000000000000,10294526.440000001341105
20120330,1094794.209999999962747,1053161.550000000279397,1072247.679999999934807,1014144.999999999767169,976217.109999999986030,1033154.830000000074506,1065435.120000000111759,1033274.699999999953434,993245.199999999837019,1018811.109999999986030,10354486.509999999776483
20120402,1097632.359999999869615,1054604.850000000093132,1065427.840000000083819,1017988.749999999767169,978804.369999999995343,1038871.180000000167638,1068688.799999999813735,1042031.199999999953434,1000779.400000000023283,1021474.630000000004657,10386303.380000000819564
20120403,1104822.339999999850988,1041374.599999999976717,1065640.959999999962747,1012914.999999999767169,989153.410000000032596,1046874.070000000065193,1073750.080000000074506,1053940.040000000037253,999220.599999999976717,1009655.259999999892898,10397346.359999999403954
20120404,1085522.919999999925494,1032714.800000000046566,1062444.159999999916181,1005381.249999999883585,970047.490000000107102,1043063.170000000158325,1067604.240000000223517,1042031.199999999953434,997402.000000000000000,1003162.929999999934807,10309374.160000000149012
20120405,1099335.250000000000000,1036323.049999999930151,1078854.399999999906868,1004612.499999999883585,981391.630000000004657,1051828.240000000223517,1066700.439999999944121,1059544.199999999953434,978436.599999999860302,1009988.199999999953434,10367014.509999999776483
20120409,1081549.509999999776483,1012989.699999999953434,1078001.919999999925494,998154.999999999883585,983978.890000000013970,1054495.870000000111759,1050974.319999999832362,1046584.579999999958090,973240.599999999976717,1000998.819999999948777,10280969.209999999031425
20120410,1063006.930000000167638,986048.100000000093132,1052001.280000000027940,987084.999999999883585,971938.180000000051223,1014481.420000000158325,1040490.240000000107102,1022416.640000000013970,956093.799999999813735,997669.419999999925494,10091231.009999999776483
20120411,1077576.100000000093132,995189.000000000000000,1060312.959999999962747,986008.749999999767169,980794.570000000065193,1031249.380000000004657,1048805.200000000186265,1028020.800000000046566,971162.199999999953434,995505.309999999939464,10174624.269999999552965
20120412,1098199.990000000223517,1013951.900000000023283,1079067.520000000018626,986316.250000000000000,971639.650000000023283,1035060.280000000144355,1056758.640000000130385,1059894.459999999962747,975578.799999999813735,1001165.289999999920838,10277632.779999999329448
20120413,1083820.030000000260770,1006735.400000000023283,1086100.479999999981374,976937.499999999883585,964972.479999999981374,1036584.640000000013970,1049347.479999999981374,1078458.239999999990687,968044.599999999860302,995005.900000000023283,10246006.750000000000000
20120416,1094226.580000000074506,1002164.949999999953434,1101658.239999999990687,983702.499999999883585,961091.589999999967404,1042300.990000000107102,1036875.040000000037253,1058143.159999999916181,972461.199999999953434,1008489.969999999972060,10261114.220000000670552
20120417,1100848.930000000167638,1026701.050000000046566,1108904.320000000065193,987392.499999999883585,966365.619999999995343,1046492.980000000097789,1050251.280000000260770,1069001.219999999972060,980515.000000000000000,1029964.599999999976717,10366437.500000001862645
20120418,1098199.990000000223517,1022130.600000000093132,1104215.679999999934807,972632.499999999883585,968654.350000000093132,1053352.600000000093132,1036152.000000000000000,1066549.399999999906868,978436.599999999860302,1033127.530000000027940,10333451.250000000000000
