訓練日期,20091102 - 20100204
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11120756.169999998062849
真實報酬,1120756.169999998062849

夏普值報酬,0.103375617000000
夏普值風險,0.032865437272916
夏普值,3.145420404468224

預期報酬,30001.319590028291714
風險,360577.682057158206590
趨勢值,0.083203484527566
找到最佳解世代,19
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
BA[2](1),DIS[6](12),DD[7](10),INTC[11](15),MCD[15](11),MRK[17](3),PFE[20](5),TRV[22](26),UNH[23](2),WMT[28](13),
Stock#,BA[2](1),DIS[6](12),DD[7](10),INTC[11](15),MCD[15](11),MRK[17](3),PFE[20](5),TRV[22](26),UNH[23](2),WMT[28](13),
張數,20920,36536,29904,52328,17061,32331,58719,20084,38535,20128,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,24.000000000116415,9.679999999934807,10.240000000107102,11.920000000041910,54.790000000037253,2.170000000041910,15.429999999934807,17.640000000013970,16.750000000000000,40.959999999962747,
20091102,1009832.400000000139698,1001461.439999999944121,1014353.920000000158325,994767.200000000069849,1009383.549999999930151,1010669.230000000097789,995302.479999999864958,1008234.440000000060536,1018111.450000000069849,1012076.799999999930151,10074192.910000002011657
20091103,1006276.000000000116415,1009134.000000000000000,1016447.200000000186265,968079.920000000041910,1010748.430000000051223,991593.940000000060536,991779.339999999967404,1005824.359999999986030,1036993.599999999976717,1004428.159999999916181,10041304.950000001117587
20091104,1005648.400000000139698,1024113.760000000009313,1008074.080000000074506,972789.440000000060536,1028662.479999999981374,1055286.010000000242144,994128.099999999860302,1007431.079999999958090,1073987.199999999953434,1014089.599999999976717,10184210.149999998509884
20091105,1041212.400000000139698,1059553.679999999934807,1060406.080000000074506,988487.840000000083819,1048965.070000000065193,1057549.180000000167638,999412.809999999939464,1017071.400000000023283,1087089.100000000093132,1032204.799999999930151,10391952.360000001266599
20091106,1039329.600000000093132,1043477.839999999850988,1056219.520000000018626,990580.960000000079162,1053059.709999999962747,1053669.459999999962747,995889.670000000041910,1042377.239999999990687,1104815.199999999953434,1031600.959999999962747,10411020.160000000149012
20091109,1074266.000000000000000,1059553.679999999934807,1103467.839999999850988,1018314.800000000046566,1068755.830000000074506,1080827.500000000000000,1023487.599999999860302,1076520.040000000037253,1122541.300000000046566,1046696.959999999962747,10674431.550000000745058
20091110,1052718.399999999906868,1063938.000000000000000,1105561.120000000111759,1020407.920000000041910,1062613.870000000111759,1086647.080000000074506,1031121.069999999832362,1083147.759999999776483,1116375.699999999953434,1052936.639999999897555,10675467.560000000521541
20091111,1060249.600000000093132,1070149.119999999878928,1137558.399999999906868,1038199.440000000060536,1071997.419999999925494,1074037.990000000223517,1034644.209999999962747,1090779.680000000167638,1131789.699999999953434,1066221.119999999878928,10775626.679999997839332
20091112,1051881.600000000093132,1061380.479999999981374,1218000.160000000149012,1029826.960000000079162,1060737.160000000149012,1066278.549999999813735,1034644.209999999962747,1067281.399999999906868,1108283.350000000093132,1071655.679999999934807,10769969.549999998882413
20091113,1060249.600000000093132,1112165.520000000018626,1212318.399999999906868,1037152.880000000004657,1084793.169999999925494,1070158.270000000018626,1032882.639999999897555,1070093.160000000149012,1120614.550000000046566,1070850.560000000055879,10871278.750000001862645
20091116,1097905.600000000093132,1121664.879999999888241,1229363.680000000167638,1058607.359999999869615,1101001.120000000111759,1093113.280000000260770,1053434.290000000037253,1063264.600000000093132,1123312.000000000000000,1070045.439999999944121,11011712.250000000000000
20091117,1098951.600000000093132,1127876.000000000000000,1252987.839999999850988,1063316.879999999888241,1084622.560000000055879,1108632.160000000149012,1053434.290000000037253,1067482.239999999757856,1116375.699999999953434,1080109.439999999944121,11053788.709999999031425
20091118,1088282.400000000372529,1120568.800000000046566,1229064.640000000130385,1052851.280000000260770,1091617.570000000065193,1136113.510000000242144,1068114.040000000037253,1067482.239999999757856,1112522.199999999953434,1089972.159999999916181,11056588.839999999850988
20091119,1075939.600000000093132,1103762.239999999990687,1195871.200000000186265,1009942.320000000065193,1081892.800000000046566,1142256.399999999906868,1063416.519999999785796,1058042.759999999776483,1103273.800000000046566,1097822.079999999841675,10932219.720000000670552
20091120,1081588.000000000000000,1096455.040000000037253,1189292.320000000298023,1006802.640000000013970,1091446.959999999962747,1178790.430000000167638,1078096.269999999785796,1052017.560000000055879,1100576.349999999860302,1092588.800000000046566,10967654.370000001043081
20091123,1101043.600000000093132,1113626.959999999962747,1191086.560000000055879,1015175.119999999995343,1091788.180000000167638,1177497.189999999944121,1088078.500000000000000,1063867.120000000111759,1120614.550000000046566,1100640.000000000000000,11063417.780000001192093
20091124,1087236.399999999906868,1104492.959999999962747,1191684.640000000130385,1014651.840000000083819,1095712.209999999962747,1171030.990000000223517,1075160.319999999832362,1066277.200000000186265,1139111.349999999860302,1104061.760000000009313,11049419.669999998062849
20091125,1107319.600000000093132,1118376.639999999897555,1214710.720000000204891,1012035.440000000060536,1099636.239999999990687,1182346.839999999850988,1091601.639999999897555,1059649.479999999981374,1138340.649999999906868,1106275.840000000083819,11130293.089999999850988
20091127,1097278.000000000000000,1108877.280000000027940,1173742.240000000223517,1000000.000000000000000,1085134.390000000130385,1173294.160000000149012,1071637.179999999934807,1037356.239999999990687,1134487.150000000139698,1099633.600000000093132,10981440.240000000223517
20091130,1096441.200000000186265,1104127.599999999860302,1183012.479999999981374,1004709.520000000018626,1079163.040000000037253,1170707.680000000167638,1066939.660000000149012,1052218.399999999906868,1104815.199999999953434,1098023.359999999869615,10960158.139999998733401
20091201,1123846.399999999906868,1122760.959999999962747,1195871.200000000186265,1028780.400000000023283,1084110.729999999981374,1192369.450000000186265,1106868.580000000074506,1056436.040000000037253,1105971.250000000000000,1102048.959999999962747,11119063.969999998807907
20091202,1125101.600000000093132,1124953.119999999878928,1213215.520000000018626,1031920.079999999958090,1066367.290000000037253,1189782.969999999739230,1100409.489999999757856,1057440.239999999757856,1090171.899999999906868,1098425.919999999925494,11097788.129999998956919
20091203,1124892.400000000372529,1108146.559999999823049,1177031.680000000167638,1039769.280000000144355,1057324.959999999962747,1188813.040000000037253,1094537.590000000083819,1033138.599999999976717,1053178.300000000046566,1095809.280000000027940,10972641.689999999478459
20091204,1143929.600000000093132,1126779.919999999925494,1170153.760000000242144,1070642.800000000279397,1050841.780000000027940,1186549.870000000111759,1085729.739999999757856,1025105.000000000000000,1058187.850000000093132,1091783.679999999934807,11009704.000000000000000
20091207,1167778.399999999906868,1132625.679999999934807,1193179.839999999850988,1065933.280000000260770,1056642.520000000018626,1186549.870000000111759,1060480.569999999832362,1015665.520000000018626,1090557.250000000000000,1105672.000000000000000,11075084.929999999701977
20091208,1164431.200000000186265,1120934.159999999916181,1172845.120000000111759,1046048.640000000013970,1034122.000000000000000,1175234.020000000018626,1042864.869999999995343,1002610.920000000041910,1096722.850000000093132,1095205.439999999944121,10951019.220000000670552
20091209,1160456.399999999906868,1121664.879999999888241,1165967.200000000186265,1047095.200000000069849,1033951.390000000013970,1201098.819999999832362,1071049.989999999757856,1006226.040000000037253,1098264.250000000000000,1088361.919999999925494,10994136.089999997988343
20091210,1150833.200000000186265,1143586.479999999981374,1135764.160000000149012,1054421.120000000111759,1041628.839999999967404,1213707.910000000149012,1075747.510000000009313,1019481.479999999981374,1168012.599999999860302,1100841.280000000027940,11104024.580000000074506
20091211,1163176.000000000000000,1158200.879999999888241,1134867.040000000037253,1041339.119999999995343,1052036.050000000046566,1198512.339999999850988,1074573.129999999888241,1018276.440000000060536,1174563.550000000046566,1100036.159999999916181,11115580.710000000894070
20091214,1172590.000000000000000,1162950.559999999823049,1170751.839999999850988,1045525.360000000102445,1060225.330000000074506,1221144.040000000037253,1080445.029999999795109,1024703.320000000065193,1192675.000000000000000,1088361.919999999925494,11219372.400000000372529
20091215,1164640.400000000372529,1175738.159999999916181,1139950.720000000204891,1036106.320000000065193,1057836.790000000037253,1228580.169999999925494,1073985.939999999944121,1012452.079999999958090,1206932.949999999953434,1086550.399999999906868,11182773.929999999701977
20091216,1153343.600000000093132,1184872.159999999916181,1161780.640000000130385,1014128.559999999939464,1065002.410000000149012,1220497.419999999925494,1081032.219999999972060,998192.440000000060536,1240843.750000000000000,1073265.919999999925494,11192959.119999999180436
20091217,1139536.399999999906868,1166604.159999999916181,1127690.080000000074506,997906.880000000004657,1056471.910000000149012,1205301.850000000093132,1069875.609999999869615,971681.560000000055879,1226200.449999999953434,1061994.239999999990687,11023263.139999998733401
20091218,1117988.800000000279397,1167334.879999999888241,1116625.600000000093132,1027210.559999999939464,1060737.160000000149012,1209181.569999999832362,1074573.129999999888241,966861.400000000023283,1215410.649999999906868,1063805.760000000009313,11019729.509999999776483
20091221,1135980.000000000000000,1183776.079999999841675,1139053.600000000093132,1051281.439999999944121,1069097.050000000046566,1218557.560000000055879,1092776.019999999785796,977505.920000000041910,1239687.699999999953434,1074876.159999999916181,11182591.529999999329448
