訓練日期,20140711 - 20141010
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10241254.869999999180436
真實報酬,241254.869999999180436

夏普值報酬,0.015425487000000
夏普值風險,0.020876072410400
夏普值,0.738907525168149

預期報酬,10076.079075855441261
風險,138493.410892700310796
趨勢值,0.072754934772038
找到最佳解世代,43
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,14
AAPL[0](5),BA[2](17),CSCO[4](21),DD[7](12),GS[8](2),HD[9](1),INTC[11](6),JNJ[12](22),JPM[13](4),MRK[17](13),MSFT[18](3),NKE[19](7),PG[21](10),V[25](16),
Stock#,AAPL[0](5),BA[2](17),CSCO[4](21),DD[7](12),GS[8](2),HD[9](1),INTC[11](6),JNJ[12](22),JPM[13](4),MRK[17](13),MSFT[18](3),NKE[19](7),PG[21](10),V[25](16),
張數,7515,5633,28077,9811,4370,8996,22849,6751,12856,12193,17133,18433,8752,13254,
分配資金,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,714285.000000000000000,
剩餘資金,59.399999999906868,76.929999999934807,6.119999999995343,44.200000000069849,139.600000000093132,2.599999999976717,25.260000000009313,29.200000000069849,5.640000000013970,19.060000000055879,10.229999999981374,6.250000000000000,34.280000000027940,26.939999999944121,
20140711,715637.699999999953434,721607.899999999906868,716531.160000000032596,720956.480000000097789,720315.600000000093132,716174.159999999916181,714056.510000000009313,709559.300000000046566,717370.439999999944121,712577.979999999981374,721138.200000000069849,712441.699999999953434,710346.599999999976717,719056.439999999944121,10027780.169999999925494
20140714,724881.149999999906868,729663.089999999967404,714285.000000000000000,719582.940000000060536,729929.600000000093132,714824.759999999892898,719540.270000000018626,711449.580000000074506,723669.880000000004657,709407.800000000046566,721994.849999999976717,718524.589999999967404,711746.919999999925494,732442.979999999864958,10081953.410000000149012
20140715,716389.199999999837019,727297.229999999864958,720742.710000000079162,720171.600000000093132,739412.500000000000000,718423.159999999916181,724567.050000000046566,697272.480000000097789,749124.760000000009313,706115.690000000060536,727306.080000000074506,719261.910000000032596,711221.800000000046566,734961.239999999990687,10112277.410000000149012
20140716,712331.099999999860302,717833.789999999920838,729446.579999999958090,727529.850000000093132,745093.500000000116415,716623.959999999962747,791743.109999999986030,690116.420000000041910,754781.400000000023283,709042.010000000009313,755232.869999999995343,708939.430000000051223,708421.160000000032596,737877.119999999995343,10205022.299999998882413
20140717,699630.749999999883585,709158.969999999855645,719619.630000000004657,721643.250000000000000,743651.400000000023283,715634.399999999906868,770036.560000000055879,677627.070000000065193,743853.800000000046566,702335.860000000102445,762942.719999999972060,705437.160000000032596,703695.080000000074506,721972.319999999948777,10097248.969999998807907
20140718,709700.849999999976717,719073.049999999930151,727481.189999999944121,722231.910000000032596,749463.500000000116415,720402.279999999911524,770036.560000000055879,687281.000000000000000,748610.520000000018626,711358.680000000051223,765684.000000000000000,714469.329999999958090,705007.880000000004657,729659.639999999897555,10180470.390000000596046
20140721,706018.499999999883585,722790.829999999958090,725796.570000000065193,724586.550000000046566,750556.000000000116415,717073.759999999892898,778262.200000000069849,683702.970000000088476,748739.080000000074506,707213.060000000055879,768253.950000000069849,708017.779999999911524,702644.840000000083819,726478.679999999934807,10170144.769999999552965
20140722,711880.199999999953434,730902.349999999976717,728604.270000000018626,730767.480000000097789,764977.000000000116415,724540.440000000060536,794941.969999999972060,691804.170000000041910,754267.160000000032596,712456.050000000046566,768082.619999999995343,710045.410000000032596,701069.479999999981374,733238.219999999972060,10257586.820000000298023
20140723,730442.249999999883585,713834.359999999869615,721023.479999999981374,752940.339999999967404,772843.000000000116415,728858.519999999902211,788315.760000000009313,689913.890000000013970,758509.640000000013970,708554.290000000037253,768767.939999999944121,713179.019999999902211,700106.760000000009313,732973.139999999897555,10280272.389999998733401
20140724,729239.849999999860302,700822.130000000004657,725235.029999999911524,752253.570000000065193,770395.800000000046566,730477.800000000046566,782603.510000000009313,689981.400000000139698,760695.160000000032596,709773.590000000083819,760715.429999999934807,724423.149999999906868,702469.800000000046566,738142.199999999953434,10277238.419999999925494
